Word	Label
the	1
ect	2
to	3
enron	4
i	5
hou	6
you	7
and	8
a	9
of	10
for	11
is	12
on	13
in	14
lt	15
	16
this	17
have	18
that	19
be	20
scott	21
me	22
will	23
please	24
with	25
we	26
subject	27
neal	28
are	29
if	30
from	31
your	32
com	33
amp	34
it	35
corp	36
as	37
at	38
2000	39
s	40
not	41
thanks	42
know	43
or	44
20001	45
would	46
am	47
stacy	48
any	49
ectcc	50
enronxgate	51
x	52
gas	53
1	54
can	55
my	56
by	57
et	58
let	59
do	60
na	61
need	62
an	63
pmto	64
all	65
our	66
john	67
2	68
call	69
e	70
111	71
up	72
was	73
attached	74
what	75
us	76
time	77
about	78
out	79
he	80
like	81
thank	82
000	83
10	84
they	85
but	86
so	87
cc	88
has	89
get	90
there	91
re	92
04	93
01	94
agreement	95
them	96
think	97
amto	98
should	99
one	100
trading	101
dickson	102
these	103
just	104
12	105
week	106
pm	107
going	108
20	109
deal	110
questions	111
did	112
phillip	113
sent	114
she	115
3	116
see	117
meeting	118
mail	119
which	120
new	121
make	122
help	123
some	124
here	125
4	126
no	127
when	128
america	129
very	130
information	131
their	132
03	133
lynn	134
how	135
day	136
firm	137
well	138
forward	139
may	140
changes	141
713	142
north	143
her	144
05	145
30	146
month	147
group	148
06	149
m	150
09	151
j	152
02	153
energy	154
want	155
version	156
sure	157
chris	158
also	159
had	160
email	161
today	162
send	163
content	164
per	165
him	166
7	167
than	168
credit	169
good	170
i'm	171
other	172
0	173
first	174
mike	175
desk	176
w	177
been	178
take	179
transaction	180
find	181
kimberly	182
were	183
more	184
comments	185
08	186
hope	187
kevin	188
enroncc	189
letter	190
june	191
who	192
work	193
year	194
eol	195
message	196
working	197
last	198
ena	199
frank	200
steve	201
5	202
07	203
price	204
review	205
david	206
schedule	207
each	208
contact	209
give	210
still	211
contract	212
allen	213
number	214
office	215
his	216
check	217
go	218
wanted	219
thursday	220
could	221
add	222
fyi	223
phone	224
c	225
master	226
business	227
next	228
use	229
back	230
deals	231
marketing	232
gregg	233
don't	234
regarding	235
l	236
talk	237
process	238
gisb	239
853	240
shall	241
tomorrow	242
two	243
k	244
blair	245
look	246
