Word	Label
you	1
i	2
out	3
com	4
the	5
ww	6
gorelieberman	7
2000	8
check	9
this	10
going	11
what	12
my	13
to	14
do	15
are	16
me	17
is	18
ok	19
up	20
not	21
time	22
today	23
will	24
about	25
know	26
sorry	27
yes	28
where	29
enron	30
fed	31
ex	32
guy	33
with	34
if	35
it's	36
now	37
drink	38
line	39
can	40
and	41
mean	42
boys	43
thought	44
were	45
gym	46
all	47
those	48
times	49
unfortunately	50
leaving	51
too	52
think	53
of	54
somewhere	55
definately	56
working	57
im	58
sure	59
drinking	60
feeling	61
cant	62
dear	63
woman	64
call	65
http	66
gasfundy	67
corp	68
gas	69
framework	70
default	71
asp	72
how	73
morgage	74
company	75
took	76
additional	77
funds	78
second	79
leave	80
envelope	81
office	82
already	83
been	84
delivered	85
thats	86
but	87
owe	88
a	89
one	90
here	91
go	92
democrat	93
stephanie	94
as	95
per	96
eol	97
help	98
please	99
set	100
id	101
password	102
for	103
on	104
thanks	105
joe	106
quenet	107
yo	108
big	109
at	110
5	111
000	112
in	113
car	114
yeah	115
happen	116
am	117
puerto	118
rico	119
sarah	120
matty	121
be	122
around	123
memorial	124
day	125
weekend	126
it	127
don't	128
worry	129
your	130
blood	131
pressure	132
probably	133
there	134
right	135
that	136
woke	137
late	138
when	139
get	140
we	141
