Word	Label
the	1
to	2
lt	3
you	4
i	5
ect	6
and	7
enron	8
a	9
is	10
com	11
bass	12
hou	13
of	14
that	15
for	16
on	17
in	18
eric	19
have	20
this	21
we	22
are	23
it	24
subject	25
me	26
be	27
with	28
from	29
will	30
if	31
	32
2000	33
your	34
am	35
at	36
know	37
re	38
can	39
carol	40
do	41
not	42
my	43
or	44
please	45
as	46
would	47
what	48
ectcc	49
let	50
but	51
so	52
about	53
up	54
by	55
get	56
10	57
need	58
was	59
1	60
thanks	61
20001	62
amp	63
st	64
jason	65
out	66
want	67
going	68
2	69
corp	70
any	71
he	72
they	73
like	74
bigplanet	75
all	76
e	77
just	78
12	79
an	80
our	81
phillip	82
713	83
amto	84
time	85
think	86
new	87
how	88
01	89
there	90
111	91
000	92
cc	93
sent	94
some	95
make	96
has	97
fax	98
853	99
09	100
here	101
08	102
good	103
when	104
go	105
see	106
work	107
phone	108
message	109
no	110
week	111
should	112
call	113
daphneco64	114
k	115
don't	116
could	117
3	118
day	119
http	120
one	121
pmto	122
646	123
m	124
03	125
america	126
3989	127
20	128
30	129
us	130
33393	131
4	132
02	133
claireb	134
game	135
them	136
north	137
mailto	138
pm	139
gas	140
been	141
original	142
did	143
more	144
had	145
bryan	146
were	147
x	148
5	149
mail	150
i'm	151
today	152
next	153
ees	154
6	155
shanna	156
s	157
take	158
www	159
back	160
his	161
draft	162
these	163
which	164
04	165
last	166
who	167
7	168
david	169
give	170
clair	171
hull	172
07	173
stacy	174
him	175
only	176
send	177
now	178
other	179
well	180
9	181
na	182
she	183
8	184
friday	185
credit	186
questions	187
their	188
lenhart	189
still	190
compaq	191
bass2	192
3892713	193
also	194
eees	195
come	196
look	197
after	198
then	199
may	200
email	201
agreement	202
brian	203
year	204
matthew	205
tomorrow	206
language	207
d	208
husser	209
much	210
sure	211
15	212
than	213
before	214
et	215
talk	216
05	217
baumbach	218
development	219
love	220
group	221
into	222
help	223
over	224
weekend	225
people	226
respond	227
way	228
does	229
lwbthemarine	230
21	231
forward	232
b	233
14	234
mark	235
got	236
larry	237
use	238
deal	239
try	240
hotmail	241
w	242
dad	243
attached	244
tonight	245
might	246
timothy	247
said	248
team	249
blanchard	250
check	251
p	252
number	253
where	254
'eric	255
value	256
around	257
find	258
hoskins	259
section	260
date	261
13	262
really	263
again	264
comments	265
computer	266
same	267
too	268
form	269
since	270
susan	271
can't	272
her	273
home	274
pick	275
26	276
two	277
com'	278
list	279
under	280
following	281
things	282
price	283
office	284
o'neal	285
winfree	286
tuesday	287
meeting	288
25	289
06	290
c	291
hope	292
better	293
why	294
19	295
doing	296
information	297
right	298
probably	299
master	300
very	301
hey	302
wednesday	303
letter	304
night	305
wanted	306
off	307
24	308
i'll	309
guaranty	310
leave	311
16	312
michael	313
allen	314
first	315
big	316
comcc	317
net	318
thursday	319
because	320
0	321
until	322
another	323
free	324
thought	325
great	326
jasonsubject	327
aol	328
product	329
anything	330
both	331
getting	332
fine	333
each	334
thank	335
either	336
little	337
communications	338
l	339
bid	340
done	341
made	342
issues	343
order	344
monday	345
john	346
keep	347
looking	348
those	349
18	350
23	351
month	352
being	353
daily	354
didn't	355
17	356
38889713	357
accrual	358
28	359
something	360
few	361
27	362
tell	363
enroncc	364
per	365
trading	366
end	367
play	368
changes	369
september	370
set	371
lu	372
houston	373
isda	374
deals	375
yet	376
sorry	377
trade	378
place	379
45	380
steve	381
looks	382
trying	383
between	384
file	385
jeff	386
put	387
morning	388
type	389
review	390
emazing	391
chad	392
texas	393
together	394
received	395
add	396
say	397
best	398
left	399
hear	400
plan	401
dickson	402
through	403
meet	404
change	405
everyone	406
able	407
long	408
such	409
offer	410
below	411
house	412
tickets	413
taylor	414
energy	415
it's	416
guys	417
contract	418
physical	419
corporation	420
trades	421
name	422
hector	423
business	424
transaction	425
money	426
version	427
31	428
football	429
dinner	430
29	431
enronxgate	432
termination	433
party	434
pay	435
schedule	436
part	437
mike	438
address	439
lisa	440
risk	441
above	442
soon	443
t	444
interested	445
mom	446
else	447
market	448
george	449
read	450
info	451
mena	452
happy	453
person	454
222	455
having	456
january	457
basstsecompaq	458
available	459
luis	460
landry	461
numbers	462
august	463
feel	464
thinking	465
50	466
someone	467
id	468
saturday	469
event	470
discuss	471
walters	472
start	473
lunch	474
won't	475
html	476
during	477
though	478
later	479
transfer	480
total	481
most	482
its	483
weeks	484
contact	485
days	486
needs	487
whether	488
mary	489
nice	490
counterparty	491
content	492
side	493
down	494
news	495
amendment	496
point	497
job	498
even	499
heard	500
edu	501
gary	502
san	503
j	504
access	505
guess	506
asked	507
fun	508
already	509
season	510
management	511
company	512
cost	513
default	514
harry	515
ut	516
yes	517
40	518
bill	519
amount	520
points	521
show	522
understand	523
power	524
working	525
59	526
state	527
ready	528
lynn	529
anyone	530
hi	531
process	532
west	533
eol	534
conference	535
firm	536
run	537
mandell	538
sara	539
site	540
meter	541
09777	542
maybe	543
open	544
desk	545
cash	546
costs	547
financial	548
used	549
brenda	550
never	551
confirm	552
doesn't	553
include	554
book	555
enclosed	556
tom	557
additional	558
note	559
early	560
index	561
while	562
copy	563
project	564
products	565
own	566
o	567
suzanne	568
trip	569
campos	570
years	571
second	572
click	573
issue	574
regarding	575
okay	576
lucy	577
chris	578
possible	579
text	580
shall	581
1000	582
receive	583
follow	584
june	585
drop	586
request	587
asp	588
due	589
based	590
51	591
ok	592
voice	593
everything	594
against	595
data	596
collateral	597
pretty	598
bring	599
country	600
remember	601
39	602
that's	603
respect	604
february	605
bank	606
scott	607
current	608
haven't	609
dave	610
invite	611
paid	612
thoughts	613
legal	614
march	615
games	616
cannot	617
amplease	618
volumes	619
g	620
works	621
round	622
keith	623
fyi	624
sunday	625
coming	626
prices	627
discussed	628
bad	629
always	630
jan	631
joe	632
ahanchian	633
old	634
greg	635
capital	636
currently	637
provide	638
chance	639
return	640
32	641
real	642
care	643
agreements	644
49	645
tax	646
telluride	647
using	648
room	649
notes	650
vacation	651
buy	652
lot	653
longer	654
least	655
preston	656
starting	657
running	658
signed	659
he's	660
seems	661
counterparties	662
rent	663
talked	664
different	665
effective	666
lsu	667
believe	668
once	669
hour	670
response	671
requested	672
ever	673
34	674
many	675
taking	676
given	677
54	678
wants	679
sign	680
post	681
code	682
52	683
delivery	684
details	685
support	686
garner	687
late	688
final	689
afternoon	690
far	691
paul	692
ask	693
school	694
visit	695
333	696
position	697
yeah	698
eescc	699
53	700
says	701
system	702
randy	703
program	704
willing	705
anderson	706
mentioned	707
amir	708
35	709
