Word	Label
the	1
enron	2
to	3
i	4
you	5
ect	6
and	7
for	8
of	9
a	10
is	11
errol	12
	13
that	14
have	15
thanks	16
on	17
this	18
in	19
me	20
please	21
hou	22
with	23
be	24
amp	25
are	26
we	27
if	28
20001	29
mclaughlin	30
will	31
your	32
corp	33
s	34
stacy	35
from	36
know	37
deals	38
subject	39
not	40
it	41
as	42
at	43
et	44
deal	45
let	46
any	47
am	48
gas	49
attached	50
e	51
do	52
enroncc	53
out	54
1	55
was	56
call	57
x	58
can	59
they	60
would	61
enronxgate	62
price	63
up	64
need	65
an	66
or	67
dickson	68
these	69
questions	70
my	71
c	72
x5	73
book	74
by	75
01	76
8274	77
when	78
com	79
agreement	80
should	81
but	82
2	83
all	84
2000	85
nymex	86
so	87
new	88
just	89
our	90
eol	91
john	92
4	93
sent	94
cc	95
us	96
ng	97
get	98
has	99
what	100
lynn	101
pmto	102
how	103
02	104
day	105
lt	106
thank	107
111	108
20	109
daily	110
one	111
changes	112
credit	113
04	114
been	115
there	116
them	117
information	118
were	119
10	120
mail	121
going	122
na	123
i'm	124
pm	125
see	126
could	127
here	128
below	129
good	130
713	131
amto	132
03	133
re	134
well	135
also	136
had	137
about	138
like	139
which	140
version	141
time	142
he	143
message	144
no	145
12	146
transaction	147
counterparty	148
06	149
firm	150
per	151
energy	152
did	153
help	154
north	155
america	156
mark	157
may	158
3	159
09	160
gregg	161
05	162
blair	163
gossett	164
000	165
0	166
number	167
master	168
give	169
comments	170
financial	171
options	172
changed	173
gisb	174
l	175
sure	176
5	177
find	178
review	179
jeffrey	180
original	181
change	182
last	183
she	184
does	185
look	186
think	187
requested	188
following	189
send	190
make	191
don't	192
done	193
april	194
each	195
30	196
david	197
date	198
shall	199
dutch	200
tagg	201
month	202
some	203
p	204
back	205
14	206
file	207
access	208
jeff	209
shannon	210
work	211
today	212
group	213
june	214
mike	215
more	216
only	217
gpgfin	218
swap	219
than	220
wanted	221
m	222
him	223
check	224
content	225
booked	226
into	227
two	228
other	229
who	230
now	231
nui	232
option	233
take	234
between	235
08	236
night	237
tuesday	238
ava	239
go	240
doing	241
email	242
853	243
joe	244
provide	245
yes	246
value	247
still	248
working	249
report	250
want	251
days	252
then	253
shirley	254
reps	255
sorry	256
anything	257
b	258
contract	259
got	260
monday	261
swaps	262
sale	263
after	264
morning	265
type	266
notes	267
sherry	268
risk	269
migration	270
week	271
request	272
mcpearson	273
invoices	274
randy	275
great	276
contact	277
friday	278
team	279
use	280
terry	281
susan	282
her	283
post	284
29	285
list	286
first	287
chris	288
purchase	289
through	290
market	291
quigley	292
ena	293
agreements	294
being	295
before	296
love	297
meeting	298
those	299
really	300
already	301
over	302
looking	303
kam	304
baumbach	305
again	306
etc	307
user	308
additional	309
under	310
07	311
left	312
desk	313
tomorrow	314
same	315
hope	316
soon	317
come	318
their	319
folder	320
next	321
forward	322
end	323
keiser	324
darron	325
19	326
larry	327
222	328
d	329
system	330
basis	331
letter	332
fine	333
ectcc	334
total	335
pr	336
regarding	337
transfer	338
because	339
talk	340
fw	341
march	342
possible	343
stacey	344
keep	345
dawn	346
correct	347
detail	348
345	349
irena	350
giron	351
8	352
6	353
name	354
npng	355
guaranty	356
w	357
i'll	358
discussed	359
pg	360
23	361
torrey	362
totalled	363
opt	364
26	365
13	366
marketing	367
25	368
order	369
it's	370
currently	371
bcc	372
outlook	373
trades	374
sharon	375
where	376
ok	377
too	378
id	379
phillip	380
tell	381
trading	382
gd	383
t	384
set	385
looks	386
document	387
getting	388
garcia	389
process	390
long	391
form	392
fyi	393
text	394
office	395
few	396
went	397
told	398
position	399
doc	400
dec	401
home	402
since	403
address	404
50	405
latest	406
feel	407
21	408
kathy	409
trader	410
15	411
fgt	412
quantity	413
delivery	414
term	415
mary	416
info	417
31	418
daniel	419
floor	420
put	421
run	422
debra	423
r	424
mime	425
plain	426
charset	427
ascii	428
encoding	429
7bit	430
origin	431
filename	432
physical	433
down	434
can't	435
phone	436
made	437
able	438
kowalke	439
nng	440
kenne	441
curve	442
draft	443
5705	444
coral	445
7	446
schedule	447
business	448
cal	449
start	450
thursday	451
raetta	452
excel	453
copy	454
reviewing	455
trv	456
broker	457
natural	458
provisions	459
ellen	460
moorer	461
respond	462
fax	463
received	464
special	465
talked	466
understand	467
sign	468
o	469
said	470
off	471
provision	472
section	473
guys	474
update	475
storage	476
concerns	477
rick	478
very	479
everyone	480
tara	481
myself	482
9	483
both	484
rebecca	485
ford	486
services	487
yet	488
free	489
ww	490
web	491
laura	492
hr	493
anyone	494
tickets	495
little	496
jean	497
frank	498
buyer	499
unit	500
big	501
amendment	502
spot	503
contracts	504
why	505
referenced	506
issue	507
having	508
buchanan	509
while	510
receive	511
company	512
trying	513
right	514
february	515
folders	516
nsf	517
several	518
test	519
16	520
sweitzer	521
close	522
calendar	523
house	524
steve	525
arnold	526
inc	527
however	528
available	529
region	530
amy	531
dawson	532
james	533
ots	534
18	535
bankers	536
trust	537
transactions	538
mtm	539
gtc	540
product	541
sell	542
website	543
termination	544
volume	545
enovate	546
28	547
shows	548
remember	549
columbia	550
confirmation	551
question	552
january	553
sending	554
language	555
heard	556
answer	557
linda	558
asked	559
needs	560
glad	561
problems	562
russell	563
sdickso	564
further	565
says	566
george	567
houston	568
everything	569
his	570
care	571
much	572
kim	573
reliant	574
maggi	575
jan	576
feb	577
thought	578
confirms	579
added	580
location	581
gorelieberman	582
j	583
leave	584
27	585
even	586
site	587
anderson	588
exotic	589
elizabeth	590
greg	591
william	592
vacation	593
current	594
books	595
found	596
open	597
line	598
listed	599
mcdowell	600
agree	601
i've	602
rudwell	603
confirmations	604
job	605
n	606
nancy	607
melba	608
robert	609
meredith	610
hpl	611
penman	612
jim	613
stevens	614
voice	615
files	616
discuss	617
showing	618
lynnfrom	619
different	620
assistance	621
taken	622
person	623
response	624
fix	625
tonight	626
aware	627
nov20001	628
paul	629
most	630
above	631
kelly	632
non	633
17	634
imbalances	635
view	636
forwards	637
erroldawn	638
em	639
yesterday	640
later	641
hodge	642
exchange	643
rest	644
way	645
settled	646
bubbles	647
clean	648
hunter	649
taylor	650
kori	651
prior	652
palm	653
responsible	654
plan	655
hours	656
numbers	657
tangie	658
stock	659
customer	660
items	661
include	662
erms	663
things	664
cary	665
execution	666
wednesday	667
cyndie	668
such	669
testing	670
janet	671
resources	672
cycle	673
dsl	674
another	675
management	676
guarantee	677
oba	678
kevin	679
effective	680
quoted	681
millions	682
allegheny	683
lot	684
flipped	685
place	686
msdw	687
dan	688
people	689
checking	690
problem	691
305	692
hey	693
many	694
account	695
diamond	696
perlingiere	697
fixed	698
instead	699
stated	700
breese	701
large	702
orig	703
say	704
bodnar	705
loop	706
47	707
either	708
ect03	709
stage	710
gotta	711
guy	712
theriot	713
conversation	714
idacorp	715
every	716
else	717
mean	718
add	719
attorney	720
second	721
event	722
payment	723
service	724
old	725
using	726
values	727
h	728
cover	729
bubblescarwash	730
details	731
diane	732
cheryl	733
adams	734
loibl	735
valdes	736
development	737
bryan	738
survey	739
click	740
future	741
errolfrom	742
reply	743
jeremy	744
better	745
talking	746
corresponding	747
curves	748
worksheet	749
333	750
took	751
spoke	752
behalf	753
crude	754
booking	755
names	756
reports	757
agreed	758
ask	759
janzen	760
brokers	761
december	762
ect02	763
utilicorp	764
berger	765
terms	766
seller	767
equal	768
description	769
against	770
plant	771
scheduled	772
points	773
meter	774
assignment	775
longer	776
thoughts	777
54	778
hansen	779
starting	780
note	781
companies	782
1502	783
acting	784
pretty	785
tonite	786
1st	787
storm	788
attending	789
follow	790
cynthia	791
something	792
included	793
family	794
1000	795
k	796
timely	797
45	798
robin	799
portion	800
positions	801
tanya	802
versions	803
incorporates	804
track	805
granted	806
approved	807
brad	808
verify	809
tried	810
looked	811
assume	812
emclaug	813
lunch	814
miss	815
sounds	816
small	817
short	818
states	819
michelle	820
temp	821
hi	822
nicor	823
addition	824
provided	825
due	826
johnson	827
comcc	828
smith	829
three	830
tommorrow	831
code	832
within	833
without	834
windows	835
print	836
mr	837
includes	838
24	839
individual	840
visit	841
might	842
mailto	843
works	844
andrea	845
vargas	846
nov	847
together	848
apologize	849
minutes	850
okay	851
gary	852
derek	853
soto	854
hogan	855
jennifer	856
miller	857
brian	858
hit	859
pilot	860
shared	861
mm	862
meet	863
8274from	864
vega	865
final	866
tx	867
called	868
