Word	Label
the	1
to	2
ect	3
and	4
of	5
i	6
a	7
you	8
enron	9
in	10
is	11
that	12
	13
for	14
lt	15
we	16
on	17
be	18
this	19
have	20
hou	21
with	22
it	23
are	24
carol	25
if	26
will	27
mark	28
me	29
com	30
as	31
or	32
st	33
not	34
from	35
subject	36
20	37
your	38
please	39
at	40
would	41
taylor	42
can	43
any	44
our	45
my	46
by	47
know	48
but	49
clair	50
an	51
am	52
they	53
2000	54
do	55
thanks	56
so	57
what	58
amp	59
us	60
e	61
713	62
there	63
was	64
about	65
cc	66
get	67
all	68
fax	69
up	70
out	71
need	72
which	73
has	74
853	75
should	76
phone	77
let	78
time	79
legal	80
1	81
think	82
like	83
646	84
2	85
may	86
re	87
one	88
credit	89
agreement	90
3989	91
them	92
new	93
just	94
33393	95
x	96
here	97
he	98
could	99
mail	100
trading	101
s	102
claireb	103
call	104
some	105
corp	106
ectcc	107
been	108
sent	109
when	110
10	111
these	112
see	113
development	114
want	115
lon	116
i'm	117
pm	118
000	119
week	120
master	121
their	122
3	123
09	124
how	125
other	126
make	127
no	128
01	129
work	130
more	131
only	132
had	133
price	134
send	135
day	136
were	137
don't	138
05	139
also	140
isda	141
back	142
language	143
111	144
into	145
gas	146
go	147
draft	148
3892713	149
phillip	150
form	151
20001	152
message	153
12	154
since	155
use	156
issues	157
comments	158
counterparty	159
good	160
office	161
sure	162
last	163
information	164
next	165
30	166
group	167
his	168
5	169
4	170
999	171
06	172
john	173
date	174
attached	175
david	176
transaction	177
where	178
before	179
energy	180
who	181
going	182
take	183
then	184
amto	185
list	186
now	187
power	188
product	189
enrononline	190
under	191
letter	192
review	193
look	194
company	195
first	196
well	197
than	198
might	199
financial	200
pmto	201
still	202
susan	203
such	204
today	205
him	206
she	207
changes	208
give	209
long	210
following	211
04	212
guaranty	213
6	214
meeting	215
forward	216
number	217
did	218
after	219
08	220
na	221
friday	222
over	223
much	224
way	225
questions	226
stacy	227
shall	228
trade	229
version	230
email	231
m	232
houston	233
process	234
help	235
very	236
through	237
her	238
each	239
business	240
02	241
transactions	242
section	243
original	244
schedule	245
until	246
its	247
tana	248
issue	249
b	250
tomorrow	251
doc	252
it's	253
copy	254
does	255
07	256
law	257
part	258
03	259
et	260
looks	261
change	262
between	263
discuss	264
eol	265
file	266
market	267
able	268
content	269
talk	270
per	271
termination	272
done	273
t	274
p	275
reference	276
l	277
products	278
days	279
sara	280
below	281
two	282
both	283
those	284
access	285
swap	286
morning	287
38889713	288
few	289
available	290
type	291
3d	292
thank	293
set	294
people	295
find	296
approval	297
inc	298
monday	299
contract	300
received	301
i'll	302
off	303
online	304
made	305
paul	306
transfer	307
jeff	308
possible	309
party	310
getting	311
request	312
hope	313
mary	314
23	315
contact	316
same	317
either	318
physical	319
note	320
try	321
8	322
system	323
check	324
right	325
something	326
derivatives	327
leave	328
too	329
agreements	330
point	331
respect	332
confirm	333
year	334
north	335
put	336
being	337
asked	338
come	339
regarding	340
jones	341
address	342
9	343
14	344
feel	345
thought	346
counterparties	347
place	348
really	349
down	350
15	351
deal	352
around	353
month	354
event	355
sorry	356
period	357
final	358
another	359
london	360
25	361
said	362
yet	363
probably	364
13	365
bill	366
name	367
america	368
term	369
risk	370
looking	371
plan	372
trades	373
soon	374
site	375
yes	376
working	377
collateral	378
default	379
amendment	380
ena	381
proposed	382
anything	383
enronxgate	384
having	385
already	386
additional	387
notes	388
even	389
eta	390
most	391
counsel	392
doing	393
works	394
end	395
website	396
while	397
16	398
tuesday	399
person	400
services	401
7	402
tax	403
text	404
based	405
deals	406
general	407
18	408
entity	409
heard	410
contracts	411
c	412
thursday	413
agree	414
can't	415
needs	416
fyi	417
because	418
again	419
things	420
amount	421
brent	422
suzanne	423
further	424
current	425
keep	426
firm	427
cash	428
why	429
user	430
didn't	431
guys	432
used	433
justin	434
maybe	435
revised	436
fine	437
confirmation	438
g	439
got	440
home	441
i've	442
june	443
include	444
password	445
understand	446
scott	447
discussed	448
someone	449
index	450
commercial	451
many	452
wanted	453
whether	454
terms	455
afternoon	456
vacation	457
louise	458
forster	459
line	460
case	461
ii	462
great	463
leslie	464
believe	465
meet	466
prices	467
weather	468
ees	469
canada	470
0	471
dave	472
commodity	473
order	474
27	475
taffy	476
bob	477
night	478
add	479
26	480
york	481
boat	482
together	483
necessary	484
j	485
description	486
wednesday	487
once	488
communications	489
21	490
requested	491
enclosed	492
dickson	493
project	494
arbitration	495
better	496
31	497
allen	498
conference	499
different	500
h	501
exchange	502
left	503
document	504
given	505
ask	506
r	507
without	508
question	509
weeks	510
using	511
currently	512
several	513
19	514
provide	515
say	516
bank	517
chance	518
second	519
else	520
entities	521
bandwidth	522
best	523
mike	524
bcc	525
calendar	526
thoughts	527
signed	528
sending	529
little	530
haven't	531
okay	532
problem	533
gtc	534
customers	535
page	536
dale	537
approved	538
consent	539
voice	540
open	541
17	542
provisions	543
non	544
alan	545
however	546
etc	547
24	548
actually	549
trying	550
notice	551
start	552
free	553
upon	554
idea	555
support	556
offer	557
response	558
annex	559
richard	560
jeffrey	561
pretty	562
intended	563
seems	564
weekend	565
policy	566
ok	567
customer	568
steve	569
agreed	570
course	571
d	572
due	573
haedicke	574
hodge	575
won't	576
doesn't	577
remember	578
anyone	579
222	580
reason	581
early	582
russell	583
team	584
yesterday	585
determination	586
boyd	587
far	588
own	589
lc	590
robert	591
assignment	592
during	593
desk	594
paragraph	595
above	596
definition	597
option	598
joe	599
bruce	600
payment	601
clear	602
linda	603
management	604
west	605
update	606
parties	607
mentioned	608
traders	609
position	610
forms	611
1999	612
csa	613
plain	614
later	615
volume	616
unit	617
documents	618
close	619
andrea	620
times	621
added	622
executed	623
charset	624
folder	625
lunch	626
web	627
latest	628
companies	629
28	630
michael	631
encoding	632
net	633
eees	634
ny	635
elizabeth	636
service	637
marketing	638
must	639
couple	640
29	641
pay	642
mime	643
filename	644
id	645
effective	646
lawyer	647
rather	648
origin	649
peter	650
sense	651
greg	652
that's	653
never	654
hear	655
bailey	656
attend	657
happy	658
president	659
keith	660
house	661
cross	662
cal	663
trip	664
ago	665
room	666
neuner	667
let's	668
required	669
receive	670
sign	671
always	672
cost	673
regards	674
daily	675
numbers	676
return	677
care	678
n	679
nsf	680
'carol	681
threshold	682
cannot	683
side	684
hopefully	685
resources	686
internet	687
planning	688
cover	689
dead	690
delivery	691
short	692
ready	693
within	694
hansen	695
floating	696
along	697
shackleton	698
k	699
we're	700
com'	701
march	702
complete	703
including	704
away	705
tell	706
electronic	707
