Word	Label
the	1
to	2
enron	3
713	4
i	5
and	6
you	7
of	8
a	9
is	10
lt	11
853	12
646	13
for	14
carol	15
in	16
that	17
corp	18
this	19
with	20
have	21
north	22
america	23
st	24
ect	25
texas	26
we	27
eb	28
smith	29
street	30
3490	31
38885houston	32
perlingiereenron	33
7658fax	34
7770002dperlin	35
comphone	36
debra	37
on	38
legal	39
please	40
be	41
me	42
will	43
department14000	44
	45
are	46
com	47
your	48
clair	49
or	50
as	51
if	52
it	53
not	54
from	55
hou	56
thanks	57
our	58
fax	59
any	60
phone	61
at	62
would	63
my	64
agreement	65
do	66
am	67
can	68
know	69
3989	70
33393	71
claireb	72
1	73
draft	74
what	75
need	76
by	77
call	78
subject	79
2	80
credit	81
master	82
attached	83
see	84
let	85
an	86
they	87
all	88
cc	89
e	90
so	91
sent	92
mail	93
3892713	94
about	95
2000	96
but	97
send	98
may	99
out	100
gas	101
was	102
should	103
has	104
here	105
regards	106
re	107
amp	108
000	109
which	110
x	111
guaranty	112
3	113
up	114
there	115
time	116
get	117
them	118
comments	119
like	120
language	121
want	122
20	123
phillip	124
he	125
14000	126
new	127
us	128
these	129
some	130
questions	131
review	132
could	133
section	134
4	135
give	136
think	137
week	138
s	139
mark	140
just	141
5	142
doc	143
pm	144
when	145
been	146
gisb	147
how	148
also	149
their	150
isda	151
contract	152
05	153
work	154
form	155
no	156
today	157
energy	158
regarding	159
other	160
party	161
forward	162
6	163
10	164
changes	165
06	166
going	167
one	168
letter	169
stacy	170
20001	171
under	172
message	173
same	174
had	175
12	176
30	177
only	178
date	179
111	180
make	181
38889713	182
john	183
i'm	184
susan	185
ena	186
tomorrow	187
look	188
issues	189
were	190
day	191
good	192
back	193
following	194
she	195
go	196
did	197
group	198
help	199
take	200
next	201
information	202
contact	203
discuss	204
last	205
into	206
number	207
such	208
him	209
more	210
version	211
well	212
suzanne	213
company	214
confirm	215
email	216
original	217
still	218
sure	219
before	220
her	221
file	222
change	223
after	224
use	225
transfer	226
amendment	227
01	228
below	229
office	230
mary	231
l	232
firm	233
discussed	234
purchase	235
shall	236
don't	237
further	238
et	239
does	240
termination	241
agree	242
both	243
between	244
sara	245
jeff	246
power	247
guarantor	248
copy	249
thank	250
where	251
best	252
then	253
received	254
event	255
agreements	256
who	257
sale	258
its	259
part	260
each	261
schedule	262
name	263
respect	264
list	265
talk	266
na	267
june	268
hope	269
7	270
23	271
made	272
since	273
his	274
transaction	275
monday	276
counterparty	277
enclosed	278
lunch	279
inc	280
place	281
person	282
requested	283
collateral	284
again	285
deal	286
provisions	287
working	288
8	289
enronxgate	290
transactions	291
now	292
upon	293
friday	294
two	295
doing	296
perlingiere	297
execution	298
than	299
additional	300
assignment	301
david	302
law	303
default	304
process	305
13	306
9	307
until	308
final	309
address	310
trades	311
days	312
few	313
consent	314
p	315
meeting	316
response	317
put	318
yes	319
b	320
delivery	321
find	322
issue	323
much	324
fine	325
amount	326
soon	327
russell	328
done	329
fyi	330
keep	331
price	332
point	333
over	334
getting	335
first	336
revised	337
leave	338
content	339
type	340
sorry	341
07	342
dickson	343
great	344
financial	345
very	346
set	347
way	348
lc	349
either	350
trading	351
allen	352
physical	353
term	354
swap	355
okay	356
request	357
tana	358
business	359
w	360
try	361
executed	362
04	363
morning	364
ok	365
left	366
09	367
obligations	368
really	369
dp	370
ii	371
02	372
bill	373
deals	374
per	375
signed	376
advise	377
long	378
check	379
sending	380
being	381
payment	382
wanted	383
15	384
needs	385
tax	386
special	387
houston	388
right	389
confirmation	390
status	391
possible	392
notice	393
someone	394
leslie	395
however	396
through	397
looks	398
agreed	399
0	400
note	401
looking	402
year	403
understand	404
attorney	405
cannot	406
pay	407
entity	408
customer	409
adams	410
tuesday	411
spoke	412
notes	413
m	414
home	415
add	416
threshold	417
conversation	418
off	419
include	420
sign	421
currently	422
project	423
thoughts	424
documents	425
things	426
mike	427
terms	428
given	429
around	430
development	431
anything	432
thought	433
those	434
feel	435
engage	436
14	437
said	438
taylor	439
people	440
mega	441
'carol	442
come	443
cash	444
able	445
marketing	446
something	447
matter	448
asked	449
because	450
order	451
receive	452
confirms	453
services	454
thursday	455
com'	456
plan	457
return	458
cover	459
03	460
online	461
08	462
canada	463
hear	464
pmto	465
definition	466
scott	467
buyer	468
meet	469
works	470
another	471
month	472
latest	473
conference	474
why	475
info	476
i'll	477
having	478
trying	479
believe	480
counterparties	481
16	482
mr	483
bank	484
above	485
weeks	486
concerning	487
different	488
eta	489
wednesday	490
line	491
keith	492
weekend	493
hesitate	494
25	495
too	496
open	497
might	498
joe	499
ready	500
available	501
night	502
update	503
voice	504
csa	505
anyone	506
amto	507
revisions	508
proceed	509
j	510
end	511
document	512
alos	513
parties	514
product	515
heard	516
arbitration	517
18	518
amounts	519
morgan	520
house	521
annex	522
31	523
many	524
else	525
market	526
numbers	527
copies	528
page	529
lin	530
steve	531
ed	532
provide	533
later	534
close	535
used	536
mac	537
current	538
bailey	539
cost	540
correct	541
due	542
better	543
without	544
format	545
signature	546
finally	547
west	548
bcc	549
d	550
lynn	551
afternoon	552
paid	553
drafts	554
free	555
guarantee	556
larry	557
counsel	558
desk	559
paragraph	560
added	561
yet	562
maria	563
proposed	564
c	565
hopefully	566
say	567
changed	568
based	569
sheet	570
word	571
can't	572
care	573
ace	574
addition	575
provided	576
i've	577
charles	578
it's	579
yesterday	580
once	581
folder	582
july	583
dave	584
attention	585
corporation	586
got	587
hearing	588
rights	589
etc	590
lucy	591
21	592
text	593
encoding	594
26	595
tell	596
points	597
contracts	598
effective	599
mailto	600
service	601
mime	602
plain	603
charset	604
origin	605
filename	606
hansen	607
rhonda	608
written	609
question	610
cross	611
shackleton	612
didn't	613
limited	614
obligor	615
follow	616
vacation	617
ascii	618
7bit	619
sections	620
reviewed	621
19	622
support	623
whether	624
using	625
thanksdebra	626
second	627
daily	628
risk	629
including	630
george	631
jim	632
ees	633
dan	634
natural	635
prior	636
worksheet	637
most	638
approval	639
denton	640
g	641
1000	642
case	643
28	644
assistance	645
waiting	646
rod	647
together	648
chnages	649
concerns	650
down	651
flynn	652
prefer	653
general	654
prepare	655
docs	656
accept	657
setoff	658
during	659
gpu	660
previously	661
222	662
29	663
reviewing	664
apply	665
access	666
seller	667
shuttee	668
utilicorp	669
schedules	670
paul	671
trade	672
previous	673
already	674
27	675
frank	676
provision	677
otherwise	678
required	679
suggest	680
except	681
prices	682
taffy	683
everything	684
side	685
checking	686
jones	687
rating	688
folders	689
nsf	690
k	691
invoices	692
