Word	Label
the	1
and	2
to	3
enron	4
you	5
i	6
on	7
a	8
for	9
harry	10
arora	11
of	12
with	13
ect	14
subject	15
be	16
3	17
at	18
out	19
com	20
02	21
20001	22
have	23
can	24
john	25
communications	26
are	27
me	28
hou	29
that	30
10	31
meeting	32
this	33
2000	34
call	35
07	36
would	37
my	38
some	39
in	40
it	41
2	42
please	43
000pm	44
do	45
not	46
am	47
check	48
ww	49
gorelieberman	50
today	51
will	52
these	53
our	54
marketing	55
sure	56
we	57
your	58
thanks	59
saji	60
amto	61
ectcc	62
rsl	63
capacity	64
how	65
company	66
eds	67
employees	68
body	69
re	70
dealbench	71
questions	72
pm	73
up	74
new	75
or	76
other	77
procurement	78
one	79
time	80
if	81
help	82
good	83
harryfrom	84
about	85
between	86
thankssaji	87
power	88
azurix	89
is	90
work	91
06	92
shop	93
know	94
amp	95
dates	96
frame	97
big	98
guy	99
enclosed	100
business	101
plan	102
valuation	103
model	104
feel	105
free	106
from	107
bartlett	108
flat	109
but	110
an	111
philippe	112
like	113
arrange	114
4	115
live	116
auction	117
contract	118
make	119
meet	120
needs	121
when	122
want	123
line	124
corp	125
sounds	126
39	127
auctionsharry	128
so	129
they	130
bodyshop	131
might	132
morning	133
jocelyn	134
pmto	135
quick	136
just	137
them	138
contractors	139
what	140
let	141
5	142
by	143
dependents	144
18	145
23	146
living	147
home	148
month	149
25	150
50	151
enroncc	152
auctions	153
000	154
office	155
leonardo	156
pacheco	157
tss	158
presentation	159
focus	160
development	161
production	162
date	163
finalize	164
legal	165
rooms	166
group	167
data	168
hey	169
w	170
where	171
woman	172
robfind	173
cool	174
jeff	175
03	176
16	177
martin	178
bucknell	179
enronxgatecc	180
bcc	181
panel	182
procurementjust	183
left	184
voicemail	185
thought	186
follow	187
email	188
summarizing	189
conversation	190
earlier	191
apparently	192
building	193
purchasing	194
panels	195
assume	196
mostly	197
pc	198
monitors	199
potentially	200
plasma	201
tvs	202
bidders	203
compete	204
online	205
he	206
mentioned	207
charge	208
contacting	209
compaq	210
nec	211
suppliers	212
displays	213
primary	214
person	215
involved	216
i'm	217
estimating	218
million	219
wanted	220
offer	221
professionals	222
spend	223
walk	224
through	225
sample	226
comfortable	227
platform	228
all	229
auctioning	230
give	231
5629	232
minute	233
discuss	234
demo	235
contact	236
vanessa	237
carranza	238
5030	239
jeffjeffrey	240
m	241
bartlettdirector	242
net	243
works713	244
853	245
5629jeff	246
stephanie	247
as	248
per	249
eol	250
set	251
id	252
password	253
joe	254
quenet	255
http	256
gasfundy	257
gas	258
framework	259
default	260
asp	261
davefind	262
yo	263
jocelynnew	264
affiliate	265
companies	266
totally	267
different	268
which	269
outsourced	270
stuff	271
number	272
premises	273
personally	274
unable	275
hr	276
co	277
ordinator	278
lauren	279
ben	280
should	281
able	282
provide	283
further	284
assistance	285
gordon	286
enronxgate	287
questionharry	288
question	289
read	290
guidelines	291
included	292
below	293
regarding	294
beginning	295
page	296
includes	297
category	298
include	299
familiar	300
course	301
see	302
area	303
however	304
was	305
curious	306
classifications	307
employeesi	308
correct	309
fees	310
prior	311
making	312
commitment	313
join	314
also	315
ever	316
been	317
super	318
crowded	319
can't	320
imagine	321
too	322
many	323
people	324
arriving	325
30am	326
ahead	327
input	328
appreciate	329
gordondealbench713	330
345	331
3826	332
p	333
713	334
346	335
8576	336
f	337
shopww	338
hrweb	339
wellness	340
fitness	341
center	342
member	343
only	344
workout	345
facility	346
use	347
their	348
spouses	349
retirees	350
long	351
term	352
minimum	353
assignment	354
membership	355
feesenron	356
monthlocker	357
laundry	358
fee	359
monthspouse	360
yrs	361
15	362
monthretirees	363
36	364
monthcontractors	365
38	366
eb2762	367
111	368
08	369
steve	370
crumley	371
any	372
conference	373
room	374
available	375
during	376
01	377
cc	378
auctionsthat	379
yolandai	380
attending	381
ski	382
outing	383
arrival	384
departure	385
did	386
put	387
tentative	388
once	389
bookings	390
update	391
final	392
stay	393
extra	394
day	395
pick	396
thanksharry	397
does	398
look	399
enron02	400
open	401
after	402
come	403
leonardoharry	404
ect02	405
05	406
34	407
leonardolets	408
more	409
iteration	410
tomorrow	411
looking	412
pretty	413
sureshfor	414
next	415
two	416
weeks	417
i'd	418
following	419
1	420
getting	421
zach	422
upto	423
speed	424
specs	425
syndication	426
report	427
testing	428
questionnaire	429
modifications	430
invitee	431
user	432
stats2	433
enrononline	434
structure	435
hash	436
details	437
enable	438
kick	439
off3	440
shorten	441
contracts	442
both	443
deal	444
auctions4	445
materials	446
leasing	447
mail	448
top	449
1000	450
list	451
complete	452
transfer	453
operations	454
networks	455
sherri	456
thomas's	457
6	458
budget	459
changes7	460
hiring	461
q1	462
q28	463
each	464
leads	465
revenue	466
client	467
lists	468
outreach	469
sales	470
strategy	471
ross	472
don	473
banks	474
toby	475
miguel	476
leases	477
rooms9	478
dataroom	479
workharry	480
