Word	Label
the	1
to	2
i	3
enron	4
ect	5
and	6
you	7
lt	8
a	9
of	10
is	11
for	12
sara	13
in	14
com	15
that	16
we	17
on	18
with	19
hou	20
have	21
this	22
be	23
	24
will	25
me	26
shackleton	27
are	28
carol	29
please	30
if	31
it	32
from	33
713	34
subject	35
thanks	36
fax	37
your	38
st	39
phone	40
853	41
as	42
corp	43
not	44
646	45
know	46
or	47
am	48
can	49
at	50
would	51
our	52
cc	53
my	54
do	55
any	56
america	57
let	58
north	59
clair	60
2000	61
need	62
1	63
x	64
re	65
texas	66
an	67
agreement	68
smith	69
by	70
call	71
eb	72
but	73
street	74
5620	75
was	76
3490	77
about	78
what	79
14000	80
2	81
credit	82
20001	83
3801ahouston	84
shackletonenron	85
7770002713	86
isda	87
so	88
sent	89
all	90
has	91
up	92
which	93
they	94
us	95
like	96
should	97
get	98
out	99
10	100
there	101
time	102
susan	103
e	104
3	105
amp	106
just	107
pm	108
also	109
master	110
think	111
development	112
may	113
3989	114
attached	115
want	116
33393	117
when	118
he	119
mail	120
new	121
message	122
claireb	123
send	124
12	125
could	126
000	127
111	128
week	129
see	130
s	131
some	132
ena	133
mark	134
them	135
20	136
one	137
i'm	138
draft	139
no	140
bass	141
these	142
been	143
email	144
ectcc	145
had	146
how	147
other	148
going	149
back	150
04	151
here	152
09	153
legal	154
amto	155
schedule	156
enronxgate	157
05	158
4	159
don't	160
pmto	161
questions	162
language	163
guaranty	164
comments	165
01	166
na	167
work	168
john	169
who	170
03	171
02	172
trading	173
30	174
08	175
5	176
eric	177
3892713	178
issues	179
only	180
did	181
next	182
i'll	183
06	184
were	185
last	186
form	187
today	188
make	189
forward	190
she	191
day	192
into	193
deal	194
gas	195
original	196
their	197
review	198
office	199
swap	200
meeting	201
jason	202
group	203
information	204
doc	205
date	206
go	207
kim	208
6	209
more	210
help	211
her	212
c	213
still	214
discuss	215
friday	216
content	217
good	218
list	219
houston	220
tomorrow	221
number	222
transfer	223
look	224
07	225
received	226
p	227
changes	228
now	229
take	230
mary	231
ss	232
before	233
two	234
give	235
inc	236
confirm	237
party	238
version	239
after	240
does	241
well	242
then	243
notes	244
sure	245
copy	246
letter	247
file	248
following	249
use	250
agreements	251
david	252
phillip	253
financial	254
hope	255
him	256
counterparty	257
his	258
morning	259
b	260
9	261
change	262
monday	263
confirmation	264
both	265
under	266
type	267
since	268
8	269
first	270
jeff	271
name	272
taylor	273
talk	274
per	275
section	276
price	277
tuesday	278
where	279
transaction	280
transactions	281
regards	282
tana	283
thank	284
than	285
issue	286
trade	287
l	288
ward	289
energy	290
7	291
15	292
0	293
between	294
contact	295
dg	296
regarding	297
until	298
power	299
much	300
com'	301
13	302
very	303
999	304
mailto	305
each	306
soon	307
16	308
m	309
executed	310
set	311
heard	312
trades	313
23	314
paul	315
thursday	316
address	317
because	318
done	319
bcc	320
through	321
anything	322
w	323
fyi	324
provide	325
try	326
meet	327
38889713	328
its	329
14	330
deals	331
termination	332
nelson	333
suzanne	334
conference	335
respect	336
available	337
brent	338
year	339
voice	340
people	341
over	342
working	343
wednesday	344
again	345
find	346
asked	347
below	348
part	349
event	350
tax	351
lon	352
check	353
same	354
annex	355
able	356
company	357
such	358
19	359
rod	360
21	361
cheryl	362
stephanie	363
great	364
tanya	365
26	366
wanted	367
text	368
account	369
process	370
response	371
days	372
right	373
thought	374
sorry	375
stacy	376
put	377
few	378
either	379
lunch	380
possible	381
physical	382
fine	383
bank	384
amendment	385
might	386
28	387
april	388
25	389
really	390
person	391
darron	392
222	393
amount	394
looking	395
it's	396
off	397
place	398
add	399
bill	400
giron	401
trying	402
way	403
documents	404
made	405
doing	406
hear	407
default	408
law	409
business	410
looks	411
request	412
can't	413
believe	414
folder	415
origin	416
spoke	417
plain	418
encoding	419
entity	420
paragraph	421
collateral	422
keep	423
too	424
mime	425
charset	426
needs	427
left	428
said	429
leave	430
come	431
17	432
filename	433
yet	434
someone	435
7bit	436
june	437
further	438
net	439
joe	440
long	441
ascii	442
end	443
pereira	444
got	445
bailey	446
folders	447
ed	448
being	449
nsf	450
lawyer	451
24	452
whether	453
agreed	454
csa	455
jones	456
advise	457
counsel	458
anyone	459
night	460
desk	461
getting	462
yesterday	463
assignment	464
kaye	465
scott	466
support	467
27	468
chris	469
afternoon	470
london	471
format	472
18	473
morgan	474
mike	475
however	476
etc	477
additional	478
why	479
works	480
best	481
29	482
march	483
discussed	484
something	485
already	486
note	487
having	488
adams	489
i've	490
order	491
services	492
robert	493
didn't	494
another	495
yes	496
understand	497
requested	498
dec2000	499
info	500
online	501
let's	502
things	503
execution	504
follow	505
revised	506
maybe	507
steve	508
contract	509
home	510
confirms	511
receive	512
currently	513
june20001	514
upon	515
et	516
term	517
document	518
those	519
free	520
rate	521
most	522
vacation	523
later	524
final	525
k	526
agree	527
sshackle	528
payment	529
risk	530
update	531
russell	532
else	533
market	534
michael	535
used	536
west	537
respond	538
aol	539
latest	540
include	541
bruce	542
counterparties	543
opinion	544
hendry	545
speak	546
bear	547
waiting	548
ok	549
richard	550
george	551
point	552
side	553
d	554
jim	555
based	556
short	557
plan	558
above	559
weeks	560
equity	561
tell	562
31	563
provisions	564
early	565
ask	566
feel	567
comcc	568
firm	569
j	570
flynn	571
during	572
cannot	573
signed	574
love	575
lynn	576
sheila	577
together	578
project	579
samantha	580
tracy	581
product	582
parties	583
copies	584
better	585
tom	586
h	587
cash	588
sign	589
weekend	590
different	591
never	592
guys	593
terms	594
g	595
frank	596
threshold	597
sending	598
probably	599
http	600
products	601
month	602
interested	603
okay	604
book	605
handle	606
ready	607
around	608
marie	609
wants	610
told	611
ii	612
return	613
panus	614
sarasara	615
u	616
existing	617
docs	618
r	619
access	620
general	621
open	622
computer	623
pay	624
daily	625
gary	626
proposed	627
weather	628
trader	629
eol	630
derivatives	631
little	632
memo	633
prior	634
many	635
down	636
current	637
consent	638
communications	639
offer	640
enroncc	641
lotus	642
limited	643
house	644
notice	645
prices	646
ever	647
allen	648
say	649
line	650
once	651
given	652
must	653
second	654
t	655
cook	656
everyone	657
chance	658
team	659
shall	660
non	661
securities	662
enclosed	663
confirmed	664
effective	665
leslie	666
reviewing	667
el	668
45	669
correct	670
verify	671
due	672
word	673
hearing	674
arbitration	675
handling	676
called	677
even	678
9573	679
system	680
status	681
taffy	682
report	683
bob	684
case	685
san	686
interest	687
swaps	688
loan	689
reference	690
earlier	691
game	692
ml	693
ca	694
without	695
elizabeth	696
larry	697
question	698
prepare	699
lawyers	700
