Word	Label
the	1
to	2
enron	3
and	4
i	5
of	6
a	7
	8
in	9
you	10
is	11
that	12
for	13
on	14
we	15
this	16
with	17
have	18
be	19
ect	20
are	21
it	22
will	23
hou	24
if	25
as	26
20	27
from	28
na	29
would	30
at	31
me	32
kean	33
not	34
please	35
lt	36
com	37
your	38
or	39
ees	40
x	41
our	42
eees	43
subject	44
corp	45
by	46
j	47
steven	48
can	49
but	50
am	51
carol	52
about	53
do	54
what	55
my	56
know	57
has	58
he	59
they	60
an	61
any	62
was	63
need	64
thanks	65
cc	66
1	67
should	68
20001	69
up	70
get	71
think	72
some	73
amp	74
out	75
us	76
time	77
like	78
call	79
there	80
all	81
e	82
jeff	83
s	84
new	85
713	86
so	87
mark	88
development	89
meeting	90
let	91
2000	92
phillip	93
which	94
st	95
been	96
2	97
may	98
853	99
also	100
could	101
want	102
enronxgate	103
more	104
000	105
just	106
one	107
these	108
sent	109
09	110
work	111
them	112
fax	113
steve	114
make	115
see	116
power	117
when	118
here	119
had	120
attached	121
how	122
gas	123
their	124
phone	125
communications	126
market	127
other	128
pm	129
business	130
were	131
ken	132
john	133
10	134
01	135
california	136
going	137
mail	138
3	139
price	140
111	141
no	142
week	143
information	144
his	145
richard	146
comments	147
energy	148
him	149
646	150
good	151
5	152
who	153
12	154
group	155
content	156
did	157
3989	158
i'm	159
send	160
use	161
only	162
go	163
33393	164
last	165
m	166
into	167
forward	168
she	169
stacy	170
claireb	171
next	172
very	173
4	174
questions	175
draft	176
email	177
re	178
letter	179
pmto	180
office	181
shapiro	182
take	183
agreement	184
don't	185
james	186
enroncc	187
issues	188
issue	189
said	190
help	191
today	192
credit	193
skean	194
et	195
now	196
changes	197
well	198
05	199
look	200
back	201
day	202
02	203
than	204
30	205
two	206
version	207
way	208
over	209
joe	210
susan	211
through	212
d	213
before	214
04	215
still	216
type	217
thank	218
karen	219
clair	220
03	221
mike	222
its	223
message	224
sure	225
year	226
much	227
committee	228
after	229
dasovich	230
give	231
david	232
review	233
state	234
language	235
transfer	236
friday	237
date	238
both	239
discuss	240
plan	241
talk	242
0	243
asked	244
bill	245
maureen	246
monday	247
3892713	248
made	249
number	250
ferc	251
people	252
conference	253
her	254
contact	255
first	256
list	257
such	258
prices	259
under	260
notes	261
process	262
working	263
below	264
p	265
company	266
those	267
following	268
lay	269
does	270
policy	271
linda	272
set	273
where	274
mary	275
bcc	276
then	277
team	278
fyi	279
most	280
put	281
markets	282
text	283
too	284
might	285
tomorrow	286
looks	287
response	288
allen	289
attend	290
since	291
again	292
06	293
folder	294
access	295
keep	296
6	297
regarding	298
right	299
steffes	300
find	301
great	302
done	303
amto	304
07	305
mime	306
plain	307
charset	308
encoding	309
origin	310
filename	311
form	312
deal	313
houston	314
part	315
because	316
try	317
note	318
already	319
l	320
being	321
copy	322
palmer	323
mcvicker	324
15	325
available	326
08	327
nsf	328
public	329
getting	330
it's	331
13	332
san	333
government	334
7	335
points	336
discussed	337
folders	338
yes	339
long	340
per	341
things	342
schedule	343
provide	344
possible	345
include	346
wanted	347
utilities	348
cost	349
address	350
project	351
rate	352
follow	353
doing	354
received	355
something	356
paul	357
interest	358
change	359
anything	360
electricity	361
same	362
rick	363
report	364
believe	365
few	366
open	367
whether	368
left	369
morning	370
request	371
calendar	372
based	373
end	374
affairs	375
problem	376
come	377
7bit	378
file	379
master	380
off	381
enron's	382
until	383
several	384
point	385
able	386
down	387
another	388
really	389
best	390
current	391
program	392
guaranty	393
meet	394
update	395
person	396
between	397
additional	398
michael	399
around	400
jim	401
given	402
ascii	403
brown	404
dickson	405
looking	406
while	407
section	408
position	409
denne	410
add	411
check	412
event	413
support	414
thought	415
w	416
each	417
many	418
scott	419
b	420
lon	421
tuesday	422
thoughts	423
needs	424
having	425
robert	426
executive	427
soon	428
14	429
together	430
order	431
case	432
cindy	433
feel	434
got	435
memo	436
better	437
management	438
either	439
services	440
9	441
risk	442
press	443
why	444
skilling	445
yet	446
etc	447
system	448
rob	449
firm	450
proposed	451
however	452
document	453
job	454
pay	455
someone	456
continue	457
talking	458
understand	459
legal	460
contract	461
members	462
organization	463
mentioned	464
isda	465
cap	466
eescc	467
even	468
net	469
8	470
customers	471
hr	472
agree	473
18	474
elizabeth	475
release	476
told	477
i'd	478
home	479
house	480
t	481
problems	482
companies	483
further	484
fine	485
discussion	486
staff	487
currently	488
interested	489
chris	490
c	491
governor	492
idea	493
real	494
month	495
transaction	496
couple	497
talked	498
26	499
g	500
spoke	501
solutions	502
respond	503
17	504
hope	505
probably	506
23	507
june	508
west	509
cash	510
once	511
consider	512
agreed	513
else	514
corporate	515
jeffrey	516
without	517
i'll	518
leave	519
trying	520
view	521
term	522
weeks	523
wants	524
name	525
concerns	526
38889713	527
place	528
resources	529
trading	530
above	531
16	532
level	533
robertson	534
april	535
hartsoe	536
site	537
lynn	538
yesterday	539
july	540
revised	541
later	542
key	543
guys	544
19	545
termination	546
president	547
hearing	548
generation	549
sarah	550
thursday	551
employees	552
opportunity	553
short	554
early	555
second	556
smith	557
sorry	558
article	559
presentation	560
o	561
say	562
question	563
keith	564
mr	565
ok	566
industry	567
25	568
physical	569
paid	570
supply	571
lucy	572
demand	573
general	574
rates	575
months	576
financial	577
21	578
little	579
kaufman	580
sfo	581
frank	582
party	583
high	584
return	585
suzanne	586
larry	587
senior	588
kathy	589
daily	590
hear	591
anyone	592
unit	593
let's	594
floor	595
regards	596
rice	597
ena	598
council	599
respect	600
costs	601
future	602
likely	603
pdx	604
kevin	605
distribution	606
political	607
caps	608
during	609
needed	610
capacity	611
receive	612
original	613
mara	614
tim	615
latest	616
i've	617
move	618
r	619
wednesday	620
basis	621
three	622
different	623
units	624
including	625
clear	626
terms	627
can't	628
didn't	629
eric	630
greg	631
regulatory	632
least	633
bid	634
buy	635
amendment	636
statement	637
fact	638
chance	639
everyone	640
hard	641
money	642
though	643
role	644
western	645
making	646
used	647
days	648
utility	649
numbers	650
24	651
george	652
natural	653
perhaps	654
plans	655
desk	656
sending	657
org	658
others	659
room	660
final	661
close	662
offer	663
sherri	664
upon	665
within	666
course	667
using	668
documents	669
222	670
27	671
dc	672
meetings	673
heard	674
dave	675
dan	676
k	677
data	678
cynthia	679
gov	680
31	681
cannot	682
default	683
commission	684
ask	685
counterparty	686
peggy	687
start	688
ca	689
city	690
full	691
building	692
important	693
davis	694
kelly	695
line	696
run	697
iso	698
situation	699
efforts	700
big	701
location	702
own	703
investment	704
items	705
dec2000	706
prc	707
federal	708
novosel	709
