Word	Label
the	1
to	2
i	3
for	4
you	5
in	6
it	7
this	8
and	9
of	10
an	11
my	12
enron	13
a	14
am	15
time	16
website	17
like	18
about	19
that	20
monitor	21
out	22
com	23
get	24
with	25
going	26
on	27
will	28
apartment	29
high	30
more	31
from	32
public	33
check	34
ww	35
gorelieberman	36
2000	37
was	38
your	39
looks	40
by	41
been	42
had	43
let	44
me	45
know	46
think	47
andy	48
as	49
access	50
are	51
employees	52
all	53
would	54
sorry	55
internet	56
be	57
have	58
cents	59
upgrade	60
big	61
hey	62
christmas	63
snow	64
vacation	65
just	66
before	67
set	68
i'm	69
days	70
not	71
what	72
do	73
talk	74
if	75
hear	76
anyway	77
since	78
outta	79
here	80
line	81
up	82
does	83
consider	84
live	85
program	86
were	87
every	88
response	89
thank	90
20	91
20001	92
19	93
clickathome	94
andrew	95
h	96
lewis	97
subject	98
whom	99
may	100
concern	101
speed	102
but	103
has	104
we	105
basis	106
boston	107
forward	108
is	109
why	110
dell	111
example	112
available	113
extra	114
same	115
allows	116
e7770	117
p9991	118
yo	119
guy	120
how	121
did	122
guys	123
hammered	124
ice	125
very	126
relaxing	127
managed	128
leave	129
real	130
cold	131
weather	132
also	133
miss	134
biggest	135
storm	136
winter	137
five	138
still	139
sure	140
new	141
year's	142
eve	143
it's	144
so	145
busy	146
week	147
haven't	148
any	149
friends	150
anything	151
nymex	152
closed	153
at	154
noon	155
heck	156
later	157
stephanie	158
per	159
eol	160
help	161
can	162
please	163
id	164
password	165
today	166
thanks	167
joe	168
quenet	169
http	170
gasfundy	171
corp	172
gas	173
framework	174
default	175
asp	176
mean	177
providing	178
near	179
future	180
imagine	181
their	182
quite	183
few	184
who	185
almost	186
recent	187
college	188
graduates	189
considering	190
intentions	191
bring	192
technology	193
into	194
employee's	195
household	196
neglecting	197
those	198
make	199
failure	200
opinion	201
appreciate	202
detailed	203
andyclickathome	204
enron02	205
05	206
pmsent	207
enronto	208
hou	209
ect	210
ectcc	211
re	212
keep	213
mind	214
ect02	215
04	216
47	217
pmto	218
comcc	219
disappointed	220
lack	221
options	222
someone	223
myself	224
lives	225
impossible	226
perhaps	227
cutting	228
deal	229
optel	230
they	231
provide	232
houston	233
eva	234
delay	235
absolutely	236
nuts	237
lately	238
smallest	239
move	240
last	241
2	242
weeks	243
30	244
mention	245
8	246
close	247
or	248
than	249
1	250
000	251
luckily	252
most	253
us	254
right	255
side	256
through	257
lest	258
forget	259
demarc	260
vent	261
chicago	262
70	263
pepl	264
trading	265
plus	266
25	267
taking	268
much	269
deserved	270
flying	271
tomorrow	272
coming	273
back	274
looking	275
hanging	276
family	277
spending	278
nephew	279
during	280
cell	281
phone	282
number	283
713	284
306	285
0760	286
completely	287
different	288
note	289
finally	290
got	291
postcard	292
peru	293
backpack	294
fiasco	295
sounds	296
incredible	297
its	298
lots	299
laundry	300
packing	301
lew	302
diem	303
forwarding	304
gets	305
purged	306
e	307
mail	308
again	309
first	310
choices	311
upgrades	312
then	313
m9991	314
140	315
second	316
charging	317
products	318
offers	319
general	320
290	321
4000	322
therefore	323
being	324
charged	325
1110	326
look	327
andy3	328
6278	329
