Word	Label
lt	1
the	2
to	3
i	4
you	5
enron	6
and	7
a	8
for	9
on	10
is	11
of	12
in	13
amp	14
we	15
that	16
this	17
s	18
have	19
et	20
be	21
	22
me	23
if	24
it	25
my	26
your	27
with	28
thanks	29
are	30
not	31
would	32
can	33
do	34
will	35
know	36
at	37
was	38
as	39
just	40
what	41
please	42
or	43
but	44
i'm	45
up	46
from	47
out	48
like	49
lynn	50
get	51
about	52
all	53
going	54
there	55
so	56
let	57
they	58
x	59
any	60
need	61
he	62
time	63
had	64
back	65
an	66
by	67
should	68
am	69
sure	70
hey	71
good	72
our	73
when	74
how	75
been	76
blair	77
enronxgate	78
who	79
new	80
see	81
now	82
june	83
gas	84
stacy	85
here	86
think	87
call	88
1	89
20001	90
make	91
one	92
wanted	93
these	94
it's	95
anyway	96
she	97
day	98
last	99
also	100
work	101
us	102
e	103
did	104
still	105
go	106
love	107
were	108
2	109
again	110
really	111
ava	112
energy	113
next	114
questions	115
has	116
well	117
talk	118
check	119
send	120
some	121
them	122
no	123
email	124
could	125
reps	126
john	127
trading	128
product	129
000	130
sent	131
address	132
said	133
subject	134
hope	135
terry	136
name	137
much	138
soon	139
com	140
products	141
invoices	142
m	143
10	144
then	145
which	146
change	147
randy	148
favorite	149
right	150
06	151
more	152
come	153
long	154
week	155
today	156
talked	157
him	158
yes	159
may	160
dickson	161
want	162
anything	163
too	164
find	165
house	166
got	167
great	168
2000	169
take	170
than	171
thank	172
help	173
very	174
month	175
attached	176
company	177
tori	178
3	179
thing	180
where	181
restricted	182
i'll	183
enroncc	184
deal	185
30	186
because	187
different	188
pat	189
mike	190
tuesday	191
night	192
marketing	193
4	194
before	195
little	196
into	197
care	198
same	199
mom	200
people	201
01	202
other	203
both	204
fgt	205
raetta	206
person	207
everyone	208
dont	209
index	210
due	211
firm	212
ok	213
nng	214
kowalke	215
6	216
don't	217
access	218
tell	219
larry	220
went	221
way	222
kathy	223
inc	224
keep	225
since	226
mary	227
her	228
use	229
everything	230
his	231
forward	232
looks	233
fyi	234
number	235
birthday	236
mail	237
rachel	238
able	239
big	240
give	241
tx	242
coming	243
days	244
say	245
drunk	246
111	247
25	248
katy	249
memory	250
joe	251
year	252
first	253
0	254
content	255
type	256
doing	257
start	258
list	259
working	260
thats	261
already	262
trip	263
even	264
per	265
version	266
message	267
every	268
non	269
thought	270
glad	271
222	272
having	273
pmto	274
meeting	275
reviewing	276
5	277
never	278
getting	279
12	280
20	281
l	282
buchanan	283
however	284
being	285
definitely	286
only	287
look	288
blanco	289
n	290
something	291
original	292
job	293
sorry	294
monday	295
while	296
system	297
credit	298
9	299
houston	300
least	301
maybe	302
you're	303
weeks	304
