Word	Label
the	1
to	2
i	3
you	4
and	5
a	6
is	7
of	8
for	9
that	10
in	11
enron	12
on	13
this	14
have	15
with	16
are	17
me	18
be	19
will	20
if	21
we	22
it	23
ben	24
here	25
please	26
your	27
	28
at	29
know	30
thanks	31
from	32
my	33
not	34
would	35
any	36
as	37
can	38
am	39
phillip	40
or	41
questions	42
ect	43
let	44
was	45
call	46
out	47
but	48
get	49
what	50
about	51
amp	52
do	53
need	54
up	55
going	56
so	57
some	58
they	59
by	60
these	61
1	62
e	63
all	64
he	65
just	66
2	67
x	68
time	69
an	70
there	71
thanksben	72
713	73
stacy	74
send	75
work	76
gas	77
them	78
our	79
s	80
talk	81
see	82
mail	83
give	84
sent	85
hou	86
like	87
853	88
should	89
carol	90
000	91
think	92
good	93
which	94
has	95
more	96
week	97
et	98
79998	99
new	100
when	101
were	102
one	103
been	104
hope	105
also	106
back	107
go	108
their	109
information	110
com	111
wanted	112
how	113
could	114
soon	115
still	116
did	117
well	118
had	119
make	120
agreement	121
3	122
want	123
latest	124
us	125
list	126
version	127
next	128
4	129
year	130
presentation	131
today	132
fax	133
meeting	134
st	135
again	136
deal	137
help	138
other	139
very	140
email	141
sure	142
office	143
phone	144
allen	145
guys	146
attached	147
last	148
corp	149
5	150
into	151
20001	152
project	153
number	154
only	155
regarding	156
thank	157
comments	158
him	159
who	160
may	161
changes	162
tomorrow	163
model	164
energy	165
his	166
she	167
look	168
day	169
no	170
use	171
take	172
dickson	173
through	174
site	175
mike	176
over	177
numbers	178
don't	179
two	180
morning	181
cc	182
jeff	183
before	184
don	185
regards	186
try	187
working	188
cost	189
now	190
than	191
letter	192
10	193
great	194
lt	195
price	196
i'm	197
getting	198
done	199
forward	200
na	201
little	202
put	203
friday	204
find	205
down	206
weekend	207
looking	208
due	209
enronxgate	210
credit	211
subject	212
646	213
review	214
trying	215
type	216
where	217
then	218
plan	219
issues	220
since	221
0	222
copy	223
following	224
company	225
under	226
much	227
3989	228
after	229
lynn	230
doing	231
able	232
content	233
john	234
12	235
talked	236
business	237
check	238
master	239
01	240
school	241
group	242
does	243
6	244
right	245
really	246
received	247
together	248
33393	249
yes	250
already	251
hear	252
draft	253
meet	254
monday	255
transaction	256
rogers	257
team	258
first	259
visit	260
claireb	261
mark	262
per	263
lucy	264
file	265
anything	266
2000	267
firm	268
date	269
said	270
9	271
ben3	272
address	273
her	274
trading	275
around	276
same	277
message	278
contact	279
m	280
things	281
come	282
desk	283
might	284
its	285
else	286
because	287
pm	288
prices	289
west	290
set	291
additional	292
way	293
111	294
clair	295
contract	296
couple	297
leave	298
transfer	299
home	300
risk	301
15	302
taking	303
b	304
another	305
form	306
different	307
costs	308
keith	309
power	310
those	311
got	312
interested	313
7	314
paid	315
susan	316
larry	317
place	318
language	319
why	320
sending	321
both	322
cash	323
rent	324
second	325
san	326
house	327
needs	328
process	329
summer	330
left	331
plants	332
mary	333
hey	334
looks	335
30	336
month	337
agreements	338
deals	339
keep	340
randy	341
market	342
too	343
report	344
physical	345
talking	346
daily	347
plant	348
such	349
20	350
better	351
notes	352
rentroll	353
between	354
george	355
application	356
i'll	357
yesterday	358
currently	359
long	360
gregg	361
didn't	362
thursday	363
probably	364
night	365
construction	366
later	367
tuesday	368
off	369
p	370
run	371
columbia	372
june	373
houston	374
made	375
being	376
miller	377
went	378
3892713	379
financial	380
gisb	381
final	382
potential	383
pay	384
david	385
understand	386
discuss	387
used	388
blair	389
ca	390
signed	391
end	392
wheatland	393
shall	394
dealbench	395
it's	396
guaranty	397
ena	398
level	399
storage	400
days	401
people	402
something	403
even	404
bid	405
schedule	406
note	407
fine	408
finance	409
change	410
04	411
afternoon	412
sale	413
most	414
confirm	415
section	416
reason	417
possible	418
8	419
megan	420
nyc	421
receive	422
response	423
property	424
update	425
thought	426
files	427
each	428
points	429
copies	430
bcc	431
folder	432
having	433
document	434
access	435
graduate	436
can't	437
issue	438
question	439
sorry	440
few	441
02	442
chris	443
product	444
three	445
text	446
while	447
based	448
fun	449
original	450
unit	451
money	452
bruce	453
open	454
trades	455
gleason	456
o	457
k	458
jim	459
until	460
steve	461
mime	462
plain	463
charset	464
encoding	465
origin	466
filename	467
loan	468
everything	469
best	470
land	471
total	472
tonight	473
index	474
lunch	475
14	476
06	477
james	478
follow	479
companies	480
program	481
class	482
concerns	483
ascii	484
7bit	485
believe	486
provide	487
summary	488
include	489
investment	490
development	491
above	492
natural	493
answers	494
socal	495
yet	496
lets	497
diligence	498
july	499
termination	500
bank	501
inc	502
sounds	503
wednesday	504
complete	505
page	506
utilities	507
thinking	508
ready	509
03	510
manager	511
works	512
let's	513
further	514
seems	515
grigsby	516
lm	517
tickets	518
purchase	519
heard	520
below	521
frank	522
thanksben3	523
early	524
line	525
info	526
actually	527
person	528
add	529
teco	530
follows	531
units	532
point	533
documents	534
nui	535
spoke	536
north	537
terms	538
25	539
appreciate	540
assets	541
missing	542
anyone	543
buyer	544
clean	545
term	546
invoices	547
pretty	548
admissions	549
feel	550
requested	551
during	552
reports	553
floor	554
plans	555
once	556
rest	557
profit	558
weeks	559
request	560
everyone	561
financing	562
dave	563
spreadsheet	564
actual	565
13	566
deposit	567
c	568
someone	569
short	570
answer	571
ava	572
counterparties	573
close	574
fgt	575
gmat	576
april	577
folders	578
eol	579
ok	580
room	581
books	582
myself	583
big	584
high	585
consultants	586
discussed	587
continue	588
times	589
joe	590
system	591
annex	592
ahead	593
data	594
migration	595
mm	596
reps	597
dad	598
texas	599
nsf	600
amount	601
haven't	602
running	603
payment	604
projects	605
track	606
updated	607
fill	608
test	609
terry	610
re	611
morgan	612
contracts	613
wade	614
management	615
estimates	616
conference	617
doc	618
chance	619
csfb	620
state	621
america	622
general	623
ina	624
pallen	625
planning	626
case	627
26	628
says	629
tell	630
delivery	631
ask	632
l	633
large	634
lot	635
sunday	636
worked	637
austin	638
recent	639
million	640
amendment	641
05	642
past	643
items	644
street	645
mentioned	646
000pm	647
plus	648
'sent	649
fyi	650
jacques	651
late	652
book	653
sign	654
t	655
sometime	656
1000	657
50	658
several	659
without	660
across	661
closing	662
tom	663
value	664
part	665
basis	666
disability	667
care	668
non	669
enroncc	670
coming	671
1st	672
confirms	673
special	674
current	675
lincoln	676
procedures	677
members	678
outside	679
require	680
revised	681
available	682
idea	683
alot	684
gary	685
side	686
bring	687
partnership	688
full	689
told	690
hopefully	691
missed	692
outlook	693
order	694
job	695
reviewing	696
allegheny	697
holst	698
sell	699
legal	700
traders	701
remember	702
09	703
