Word	Label
enron	1
the	2
to	3
and	4
you	5
i	6
is	7
are	8
for	9
	10
we	11
in	12
if	13
of	14
ect	15
a	16
be	17
at	18
will	19
on	20
have	21
or	22
this	23
hou	24
it	25
communications	26
me	27
346	28
with	29
that	30
your	31
s	32
amp	33
please	34
about	35
et	36
com	37
know	38
000	39
development	40
corp	41
she	42
but	43
am	44
9	45
pilot	46
so	47
going	48
09	49
martin	50
4	51
lt	52
our	53
would	54
don't	55
as	56
not	57
can	58
eees	59
ees	60
right	61
interested	62
1	63
out	64
want	65
also	66
713	67
0	68
2000	69
weekend	70
time	71
cuilla	72
chest	73
call	74
temp	75
from	76
up	77
very	78
zooey	79
there	80
agreement	81
tickets	82
5	83
thanks	84
all	85
what	86
any	87
max	88
amy	89
alec	90
had	91
who	92
was	93
just	94
by	95
think	96
talk	97
work	98
15	99
bid	100
2	101
10	102
prices	103
ww	104
free	105
only	106
next	107
get	108
dinner	109
they	110
when	111
na	112
houston	113
dressing	114
gorelieberman	115
86	116
looking	117
should	118
high	119
were	120
them	121
both	122
some	123
because	124
over	125
her	126
new	127
terms	128
conditions	129
ots	130
my	131
cell	132
look	133
year	134
points	135
days	136
bed	137
20	138
subject	139
email	140
internet	141
do	142
home	143
111	144
around	145
check	146
already	147
deviation	148
things	149
one	150
coming	151
didn't	152
let	153
help	154
he	155
mark	156
long	157
come	158
accept	159
program	160
read	161
return	162
two	163
fuck	164
go	165
853	166
59333	167
earnings	168
stone	169
furniture	170
01	171
questions	172
us	173
6	174
mail	175
house	176
second	177
min	178
like	179
grandma	180
said	181
able	182
more	183
people	184
bill	185
try	186
rehearsal	187
family	188
afternoon	189
ok	190
mike	191
wanted	192
town	193
ecf	194
e	195
an	196
participate	197
clickathome	198
under	199
sure	200
reach	201
516	202
88820	203
gas	204
agent	205
16	206
row	207
305	208
table	209
base	210
chair	211
poster	212
top	213
vanity	214
lexfurniture	215
mcuilla	216
collection	217
paris	218
glad	219
numbers	220
web	221
site	222
see	223
feel	224
h	225
pop	226
i'll	227
30	228
got	229
been	230
wedding	231
normal	232
good	233
now	234
through	235
23	236
7	237
59	238
bringing	239
years	240
make	241
open	242
most	243
friday	244
however	245
could	246
way	247
pay	248
line	249
while	250
ina	251
then	252
doing	253
joyce	254
attend	255
saturday	256
forward	257
big	258
12	259
still	260
arrive	261
m	262
here	263
better	264
michael	265
gpgfin	266
garcia	267
dave	268
invitation	269
where	270
computer	271
connection	272
three	273
phone	274
nadalin	275
reading	276
0346	277
give	278
even	279
dec	280
rehersal	281
242	282
2444	283
502	284
air	285
501	286
side	287
435	288
sleigh	289
527	290
metal	291
canopy	292
457	293
1444	294
237	295
236	296
bachelor's	297
235	298
bachelor'e	299
042	300
0444	301
043	302
madison	303
pmadison	304
25	305
58	306
pm	307
respond	308
cc	309
dear	310
received	311
lexington	312
bernhardt	313
delivery	314
need	315
additional	316
information	317
again	318
company	319
graham	320
boyfriend	321
called	322
how	323
funds	324
fed	325
ex	326
guy	327
leave	328
it's	329
thought	330
forecast	331
far	332
getting	333
wouldn't	334
worried	335
reason	336
tropical	337
moisture	338
down	339
91	340
3	341
52houston	342
67	343
24	344
28	345
62	346
64	347
16houston	348
planned	349
couple	350
friends	351
their	352
restaurant	353
fine	354
worry	355
having	356
live	357
aren't	358
until	359
difference	360
tight	361
resources	362
hope	363
offended	364
several	365
starting	366
best	367
man	368
james	369
probably	370
quick	371
love	372
betty	373
understand	374
planning	375
haven't	376
reply	377
card	378
him	379
finally	380
really	381
day	382
tonight	383
sharon	384
did	385
plan	386
no	387
came	388
left	389
soon	390
eating	391
ask	392
pressure	393
doesn't	394
hard	395
mamanet	396
p	397
depending	398
why	399
excited	400
week	401
thursday	402
schedule	403
participant	404
clickathomepilot2	405
08	406
steve	407
larry	408
glenn	409
davis	410
kevin	411
dinh	412
hr	413
gco	414
fgt	415
espinoza	416
frazier	417
chuck	418
goodman	419
enron's	420
member	421
speed	422
available	423
participating	424
below	425
electronically	426
stating	427
asked	428
decline	429
order	430
before	431
directories	432
thehiringspot	433
those	434
hey	435
celebration	436
copy	437
selected	438
432	439
7163	440
price	441
model	442
include	443
1pm	444
point	445
based	446
score	447
base346	448
pieces	449
top346	450
chest346	451
credit	452
another	453
50	454
t	455
distance	456
charge	457
guess	458
cake	459
well	460
winner	461
matthews	462
accidently	463
pairs	464
sale	465
pair	466
buying	467
111th	468
345	469
8th	470
which	471
seats	472
sell	473
asap	474
leaving	475
2pm	476
anytime	477
fyi	478
notifying	479
person	480
first	481
estimating	482
term	483
natural	484
ago	485
930	486
920	487
702	488
782	489
05	490
kirby	491
westheimer	492
turn	493
22218	494
bellefontaine	495
b	496
tx	497
777030	498
armoire	499
709	500
309	501
mirror	502
509	503
bench	504
02	505
request	506
regarding	507
sales	508
response	509
inquiry	510
carry	511
ll	512
quote	513
incl	514
ude	515
complete	516
name	517
address	518
future	519
correspondence	520
along	521
style	522
pricing	523
charges	524
visit	525
else	526
offer	527
859	528
254	529
5362	530
thank	531
ofd	532
autry	533
31m	534
pittman	535
312	536
moore	537
31d	538
jackson	539
21j	540
yvette's	541
ish	542
andm	543
voice	544
we're	545
rob's	546
morgage	547
took	548
envelope	549
office	550
delivered	551
weather	552
data	553
includes	554
ie	555
888	556
percent	557
precipitation	558
cold	559
front	560
hitting	561
texas	562
monday	563
looks	564
beautiful	565
rain	566
either	567
gulf	568
mexico	569
blow	570
after	571
tropics	572
settle	573
much	574
less	575
likely	576
city	577
date	578
70	579
53houston	580
21	581
72	582
222	583
57houston	584
93	585
74	586
8	587
83	588
555houston	589
80	590
27houston	591
26	592
82	593
7houston	594
27	595
61	596
14houston	597
26houston	598
29	599
85	600
definitely	601
welcome	602
actually	603
daughter	604
flower	605
girl	606
old	607
whole	608
room	609
ourselves	610
talked	611
julie	612
knew	613
cautious	614
inviting	615
aunts	616
uncles	617
flood	618
gates	619
late	620
comfortable	621
pick	622
rest	623
food	624
tax	625
tip	626
350	627
appreciative	628
parent's	629
quickly	630
found	631
weddings	632
expensive	633
adults	634
careers	635
self	636
sufficient	637
realize	638
seem	639
extravagant	640
parents	641
standards	642
easily	643
mexican	644
cheaper	645
rather	646
certain	647
guys	648
budget	649
building	650
bottom	651
grateful	652
receive	653
balance	654
important	655
concern	656
great	657
mother	658
feeling	659
hurt	660
drinking	661
wine	662
mention	663
can't	664
change	665
desert	666
toasts	667
cook	668
matron	669
honor	670
amber	671
ending	672
toast	673
grandmother	674
stay	675
skipper	676
whether	677
stop	678
car	679
depends	680
dallas	681
ride	682
works	683
support	684
nlrb	685
gov	686
19	687
57	688
pmto	689
comcc	690
plans	691
hi	692
marty	693
talking	694
keep	695
brought	696
special	697
detract	698
sorry	699
missing	700
quite	701
feels	702
away	703
disturbing	704
anyone	705
prefer	706
say	707
certainly	708
feelings	709
spoke	710
sunday	711
julianna	712
husband	713
chester	714
renee	715
travis	716
29th	717
dad	718
early	719
decided	720
fly	721
comes	722
extra	723
trip	724
yesterday	725
ticket	726
chance	727
i'm	728
seems	729
remember	730
class	731
reunion	732
busy	733
may	734
lunch	735
whatever	736
every	737
mom	738
cuillax359333	739
06	740
sent	741
suzanne	742
brownto	743
chris	744
cockrell	745
allen	746
cohrs	747
brad	748
coleman	749
wes	750
colwell	751
elaine	752
concklin	753
cooper	754
gina	755
corteselli	756
emile	757
courrege	758
paige	759
cox	760
penny	761
crane	762
cuccia	763
jeff	764
cullison	765
pamela	766
culpepper	767
dan	768
cummings	769
dahnke	770
dallman	771
darrah	772
lohit	773
datta	774
barua	775
raul	776
davila	777
clara	778
don	779
daze	780
ryan	781
deane	782
sf	783
juanita	784
delgado	785
denzel	786
derrett	787
ladonna	788
dervin	789
desbiens	790
peggy	791
determeyer	792
leslie	793
d	794
dever	795
deville	796
shirley	797
jo	798
wilson	799
stacy	800
dickson	801
ashley	802
dietz	803
richard	804
dimichele	805
huy	806
trang	807
danny	808
doan	809
karla	810
dobbs	811
jodi	812
dobrinski	813
margaret	814
doucette	815
stephen	816
douglas	817
dumas	818
tina	819
dunnaway	820
dianna	821
dupree	822
carlos	823
duran	824
deborah	825
durr	826
john	827
dushinske	828
judy	829
dyess	830
dypiangco	831
calvin	832
eakins	833
scott	834
earnest	835
eberts	836
monica	837
edwards	838
karen	839
ehlert	840
david	841
eldridge	842
connie	843
emerson	844
kenton	845
erwin	846
cynthia	847
u	848
javier	849
carrie	850
evans	851
leo	852
fajardo	853
charles	854
falgout	855
lachandra	856
fenceroy	857
youyi	858
feng	859
roger	860
fernandez	861
lee	862
ferrell	863
kathy	864
fink	865
dara	866
flinn	867
darlene	868
c	869
forsyth	870
frank	871
paul	872
fraser	873
lamar	874
perry	875
darryl	876
frevert	877
elba	878
funes	879
bruno	880
gaillard	881
eu	882
sonja	883
galloway	884
gambill	885
ava	886
frances	887
orlando	888
susan	889
gensichen	890
npng	891
robert	892
george	893
gerstenkorn	894
tom	895
gilbert	896
beverly	897
gilmore	898
ginty	899
matt	900
gitchell	901
gonzales	902
elizabeth	903
sherry	904
j	905
alma	906
green	907
vance	908
griffith	909
angela	910
grohol	911
marlin	912
gubser	913
hahn	914
sfo	915
gigi	916
hall	917
harada	918
harbers	919
russell	920
hardie	921
michelle	922
hargrave	923
cole	924
harper	925
communicationscc	926
clickathomewe	927
extend	928
invited	929
human	930
department	931
project	932
innovative	933
provide	934
eligible	935
employees	936
access	937
end	938
materials	939
consent	940
action	941
required	942
described	943
ordering	944
websites	945
weeks	946
accessible	947
kickoff2	948
ppt	949
details	950
expectations	951
commitments	952
tentative	953
these	954
beforeyou	955
employee	956
election	957
replying	958
mailbox	959
sign	960
via	961
mentioned	962
n	963
o	964
z	965
nyc	966
forgot	967
anything	968
brother	969
04	970
pmplease	971
yearswhat	972
myvoice	973
democrat	974
blood	975
w	976
bobbywe	977
happy	978
marriage	979
attached	980
won't	981
seeing	982
meeting	983
ceremony	984
take	985
place	986
http	987
gasfundy	988
framework	989
default	990
asp	991
purchasing	992
huglu	993
shotgun	994
au1	995
semi	996
automatic	997
approximate	998
til	999
choices	1000
extras	1001
note	1002
bye	1003
replacements	1004
draft	1005
held	1006
submit	1007
requests	1008
drop	1009
amount	1010
someone	1011
bids	1012
lose	1013
case	1014
tying	1015
teams	1016
determine	1017
gets	1018
player	1019
everyone	1020
start	1021
1000	1022
weekly	1023
finish	1024
highest	1025
lowest	1026
cheryl	1027
store	1028
saw	1029
dining	1030
chairs	1031
table346	1032
chairalso	1033
beds	1034
416	1035
headboard	1036
thru	1037
0on	1038
tell	1039
between	1040
amroire	1041
draws	1042
granite	1043
armoire346	1044
basei	1045
hearing	1046
