Word	Label
you	1
the	2
for	3
i	4
like	5
rob	6
to	7
guy	8
check	9
this	10
out	11
ww	12
gorelieberman	13
2000	14
com	15
as	16
line	17
please	18
my	19
if	20
call	21
me	22
at	23
713	24
golf	25
yo	26
big	27
stephanie	28
per	29
eol	30
help	31
can	32
set	33
up	34
id	35
and	36
password	37
enron	38
on	39
today	40
thanks	41
joe	42
quenet	43
peter	44
tell	45
hellman	46
snowboard	47
a	48
girl	49
then	50
he	51
skies	52
grandmother	53
where	54
are	55
woman	56
george	57
saturday	58
night	59
sounds	60
great	61
darlene	62
is	63
in	64
south	65
africa	66
next	67
2	68
weeks	69
so	70
i'm	71
ready	72
home	73
5888	74
5176	75
or	76
work	77
853	78
3917	79
also	80
sound	81
good	82
another	83
from	84
calgary	85
who	86
now	87
works	88
down	89
here	90
chris	91
dorland	92
think	93
you've	94
met	95
him	96
before	97
wants	98
well	99
look	100
forward	101
seeing	102
benson	103
east	104
power	105
tradig	106
director	107
would	108
4	109
tickets	110
houston	111
open	112
available	113
sent	114
31st	115
floor	116
location	117
31117d	118
thank	119
very	120
much	121
got	122
it	123
