Word	Label
the	1
to	2
	3
and	4
enron	5
i	6
a	7
you	8
of	9
in	10
is	11
for	12
ect	13
on	14
this	15
that	16
be	17
will	18
have	19
we	20
with	21
20	22
are	23
regardsdelainey	24
your	25
please	26
would	27
it	28
hou	29
if	30
me	31
as	32
or	33
not	34
at	35
from	36
can	37
phillip	38
any	39
09	40
sa	41
x	42
am	43
our	44
amp	45
need	46
do	47
by	48
what	49
time	50
up	51
my	52
thanks	53
gas	54
an	55
1	56
2000	57
call	58
like	59
all	60
out	61
should	62
ena	63
get	64
these	65
na	66
meeting	67
know	68
there	69
s	70
000	71
about	72
business	73
was	74
has	75
2	76
they	77
he	78
one	79
stacy	80
but	81
corp	82
3	83
think	84
review	85
e	86
let	87
questions	88
some	89
guys	90
just	91
deal	92
work	93
kay	94
et	95
mark	96
new	97
market	98
john	99
com	100
pm	101
which	102
us	103
may	104
so	105
david	106
20001	107
713	108
want	109
more	110
carol	111
jeff	112
here	113
date	114
4	115
year	116
been	117
how	118
their	119
delainey	120
them	121
team	122
could	123
friday	124
no	125
going	126
make	127
process	128
agreement	129
group	130
week	131
go	132
also	133
plan	134
good	135
very	136
see	137
into	138
01	139
forward	140
following	141
30	142
sent	143
mail	144
next	145
development	146
other	147
attached	148
don't	149
allen	150
did	151
his	152
take	153
853	154
office	155
him	156
subject	157
cc	158
email	159
o	160
send	161
information	162
5	163
give	164
than	165
when	166
value	167
look	168
however	169
well	170
project	171
energy	172
fax	173
only	174
back	175
power	176
trading	177
content	178
mike	179
had	180
issues	181
10	182
find	183
discuss	184
note	185
risk	186
help	187
st	188
before	189
changes	190
were	191
dave	192
lt	193
b	194
two	195
cost	196
june	197
mid	198
dickson	199
day	200
sure	201
august	202
given	203
phone	204
12	205
set	206
number	207
0643	208
use	209
over	210
version	211
commercial	212
list	213
under	214
type	215
thank	216
provide	217
meetings	218
groups	219
each	220
price	221
c	222
ensure	223
performance	224
management	225
then	226
still	227
0	228
m	229
today	230
fyi	231
w	232
manage	233
janet	234
current	235
she	236
per	237
d	238
origination	239
credit	240
feel	241
feedback	242
lynn	243
enronxgate	244
strategy	245
last	246
end	247
unit	248
between	249
joe	250
transaction	251
try	252
through	253
keep	254
place	255
right	256
transfer	257
does	258
letter	259
working	260
where	261
sale	262
capital	263
chris	264
9	265
resources	266
contact	267
much	268
west	269
believe	270
put	271
who	272
first	273
111	274
product	275
being	276
until	277
east	278
view	279
america	280
topic	281
6	282
comments	283
7	284
change	285
continue	286
support	287
l	288
master	289
firm	290
costs	291
646	292
rob	293
prices	294
few	295
july	296
numbers	297
possible	298
together	299
free	300
employees	301
include	302
follow	303
committee	304
lets	305
i'm	306
great	307
contract	308
needs	309
monday	310
done	311
down	312
location	313
lucy	314
way	315
3989	316
bcc	317
notes	318
including	319
issue	320
come	321
point	322
discussion	323
fine	324
larry	325
same	326
talk	327
global	328
brian	329
now	330
people	331
above	332
such	333
non	334
after	335
15	336
assets	337
since	338
ie	339
message	340
tomorrow	341
doing	342
units	343
regarding	344
based	345
technical	346
company	347
re	348
mary	349
text	350
looks	351
wes	352
program	353
j	354
deals	355
north	356
cal	357
open	358
33393	359
keith	360
folder	361
made	362
financial	363
overall	364
update	365
might	366
check	367
jim	368
copy	369
george	370
organization	371
budget	372
important	373
r	374
final	375
scott	376
p	377
paid	378
qbr	379
memo	380
available	381
claireb	382
mime	383
plain	384
charset	385
encoding	386
origin	387
filename	388
tim	389
both	390
ees	391
job	392
lead	393
ascii	394
7bit	395
basis	396
additional	397
asset	398
8	399
month	400
report	401
desk	402
too	403
move	404
discussed	405
system	406
due	407
home	408
assume	409
book	410
file	411
again	412
randy	413
order	414
off	415
yes	416
physical	417
houston	418
hpl	419
getting	420
below	421
looking	422
part	423
clair	424
different	425
another	426
soon	427
further	428
why	429
better	430
hope	431
san	432
cash	433
flow	434
original	435
room	436
speak	437
rent	438
steve	439
daily	440
14	441
points	442
short	443
ok	444
spoke	445
those	446
storage	447
high	448
really	449
rentroll	450
reports	451
draft	452
frevert	453
appreciate	454
pay	455
managed	456
natural	457
manager	458
tuesday	459
future	460
gregg	461
completed	462
form	463
around	464
most	465
necessary	466
prc	467
customers	468
meet	469
lavorato	470
25	471
services	472
frank	473
folders	474
nsf	475
probably	476
language	477
able	478
increase	479
position	480
schedule	481
plans	482
confirm	483
morning	484
vp	485
couple	486
little	487
house	488
k	489
'sent	490
agree	491
long	492
days	493
markets	494
response	495
gisb	496
leave	497
construction	498
calendar	499
reminder	500
conflicts	501
term	502
received	503
focus	504
redmond	505
needed	506
scheduled	507
concerns	508
either	509
site	510
06	511
blair	512
shall	513
start	514
significant	515
attend	516
didn't	517
across	518
technology	519
three	520
legal	521
held	522
can't	523
access	524
its	525
sounds	526
investment	527
line	528
transactions	529
customer	530
understand	531
money	532
understanding	533
receive	534
rick	535
agreed	536
buyer	537
ahead	538
things	539
during	540
left	541
pre	542
chairman	543
add	544
best	545
purchase	546
detail	547
december	548
request	549
jean	550
wanted	551
her	552
thought	553
several	554
interest	555
having	556
bid	557
canada	558
asked	559
products	560
asap	561
consistent	562
hr	563
discussions	564
managing	565
otherwise	566
said	567
south	568
anything	569
kevin	570
monthly	571
structure	572
plus	573
complete	574
thursday	575
second	576
dietrich	577
sorry	578
everyone	579
opportunity	580
trying	581
agreements	582
trades	583
run	584
opportunities	585
utilities	586
loan	587
23	588
staff	589
weeks	590
used	591
employee	592
direct	593
appropriate	594
wholesale	595
3892713	596
susan	597
guaranty	598
eol	599
without	600
n	601
13	602
sell	603
folks	604
financing	605
f	606
property	607
latest	608
income	609
key	610
ranking	611
addition	612
later	613
bring	614
hard	615
california	616
signed	617
front	618
socal	619
222	620
conference	621
suggest	622
already	623
close	624
index	625
amount	626
goals	627
industrial	628
05	629
afternoon	630
operating	631
level	632
within	633
general	634
prior	635
t	636
responsible	637
bowen	638
haedicke	639
sales	640
dinner	641
grigsby	642
generation	643
capacity	644
side	645
enroncc	646
items	647
etc	648
chapman	649
person	650
less	651
document	652
strategic	653
even	654
thoughts	655
land	656
page	657
counterparties	658
termination	659
ina	660
finance	661
follows	662
oxley	663
16	664
once	665
profit	666
beverly	667
04	668
gary	669
dan	670
aep	671
invoices	672
ultimately	673
commodity	674
pmto	675
nui	676
address	677
early	678
statement	679
expenses	680
upstream	681
regards	682
accounting	683
ed	684
night	685
got	686
03	687
currently	688
contracts	689
potential	690
1000	691
26	692
floor	693
making	694
ava	695
sign	696
02	697
miller	698
fgt	699
coverage	700
goal	701
upon	702
