Word	Label
the	1
to	2
i	3
enron	4
you	5
and	6
a	7
is	8
of	9
for	10
on	11
that	12
in	13
it	14
	15
have	16
ect	17
with	18
me	19
this	20
s	21
amp	22
we	23
be	24
was	25
et	26
not	27
if	28
know	29
are	30
so	31
will	32
but	33
your	34
my	35
at	36
please	37
get	38
hou	39
from	40
up	41
as	42
he	43
thanks	44
about	45
stacy	46
just	47
do	48
going	49
out	50
i'm	51
see	52
did	53
time	54
e	55
they	56
had	57
would	58
what	59
need	60
let	61
all	62
good	63
day	64
gas	65
talk	66
call	67
x	68
she	69
or	70
there	71
000	72
any	73
here	74
like	75
really	76
her	77
when	78
na	79
mail	80
am	81
one	82
an	83
can	84
how	85
attached	86
back	87
lynn	88
20001	89
want	90
last	91
later	92
yes	93
kids	94
said	95
go	96
well	97
it's	98
night	99
he's	100
new	101
i'll	102
corp	103
because	104
has	105
don't	106
hey	107
enronxgate	108
were	109
dickson	110
sure	111
also	112
think	113
his	114
him	115
by	116
work	117
our	118
them	119
agreement	120
m	121
some	122
should	123
price	124
went	125
no	126
anyway	127
week	128
us	129
company	130
hope	131
p	132
subject	133
over	134
take	135
today	136
very	137
may	138
make	139
anything	140
which	141
sent	142
2000	143
been	144
hi	145
now	146
tonight	147
keep	148
blair	149
credit	150
home	151
still	152
version	153
little	154
cc	155
give	156
changes	157
girl	158
shall	159
per	160
again	161
send	162
questions	163
deal	164
much	165
church	166
other	167
we'll	168
2	169
firm	170
1	171
yesterday	172
more	173
these	174
thank	175
their	176
20	177
morning	178
doing	179
okay	180
4	181
check	182
sorry	183
type	184
who	185
0	186
nice	187
help	188
find	189
set	190
pipeline	191
111	192
sunday	193
transaction	194
name	195
things	196
does	197
month	198
december	199
3	200
got	201
6	202
master	203
30	204
friday	205
could	206
come	207
then	208
b	209
joe	210
late	211
weekend	212
everything	213
yet	214
tell	215
way	216
comments	217
com	218
ava	219
made	220
information	221
john	222
tuesday	223
use	224
around	225
probably	226
something	227
06	228
where	229
number	230
off	231
days	232
review	233
date	234
monday	235
care	236
next	237
june	238
migration	239
reps	240
we're	241
5	242
lt	243
house	244
leave	245
invoices	246
only	247
same	248
told	249
looking	250
can't	251
called	252
content	253
gregg	254
daddy	255
down	256
10	257
rehearsal	258
those	259
soon	260
first	261
hear	262
nicor	263
product	264
before	265
terry	266
long	267
re	268
easter	269
choir	270
too	271
randy	272
enroncc	273
else	274
gisb	275
right	276
nui	277
wanted	278
period	279
daily	280
alliance	281
office	282
notes	283
contract	284
alot	285
outlook	286
working	287
people	288
222	289
15	290
tomorrow	291
until	292
pm	293
message	294
spoke	295
party	296
12	297
plan	298
mark	299
letter	300
mary	301
put	302
didn't	303
big	304
trying	305
than	306
while	307
volume	308
team	309
between	310
you're	311
after	312
eol	313
into	314
robert	315
fgt	316
thought	317
fine	318
that's	319
since	320
getting	321
say	322
supposed	323
latest	324
713	325
two	326
01	327
pmto	328
try	329
remember	330
delivery	331
such	332
always	333
mom	334
etc	335
jordan	336
todd	337
afternoon	338
email	339
guys	340
address	341
calendar	342
thinking	343
everyone	344
even	345
pretty	346
both	347
through	348
26	349
together	350
weather	351
under	352
each	353
change	354
phone	355
chris	356
04	357
copy	358
boy	359
vacation	360
ya	361
glad	362
asked	363
meeting	364
access	365
able	366
sing	367
chance	368
ask	369
what's	370
far	371
nng	372
boys	373
7	374
heard	375
money	376
several	377
simply	378
look	379
myself	380
best	381
following	382
debra	383
susan	384
sale	385
melba	386
position	387
love	388
real	389
kathy	390
kendall	391
kowalke	392
chicago	393
raetta	394
few	395
anyone	396
larry	397
thing	398
part	399
done	400
never	401
she's	402
patrice	403
being	404
its	405
north	406
america	407
seems	408
times	409
goes	410
online	411
received	412
document	413
understand	414
i've	415
mind	416
point	417
energy	418
o	419
agree	420
plain	421
transfer	422
bcc	423
fyi	424
purchase	425
believe	426
issue	427
25	428
mean	429
minutes	430
n	431
book	432
list	433
ok	434
ready	435
reviewing	436
another	437
small	438
dinner	439
songs	440
how's	441
once	442
gets	443
sell	444
thursday	445
853	446
5705	447
talked	448
case	449
fun	450
forward	451
amto	452
additional	453
start	454
ww	455
via	456
reflect	457
14	458
floor	459
jackson	460
natural	461
02	462
song	463
receive	464
already	465
provision	466
buyer	467
regarding	468
mime	469
text	470
charset	471
ascii	472
encoding	473
7bit	474
folder	475
origin	476
filename	477
agreements	478
says	479
gary	480
buchanan	481
original	482
concerns	483
came	484
d	485
discussed	486
ngpl	487
survey	488
system	489
quantity	490
feeling	491
line	492
great	493
family	494
definitely	495
services	496
extremely	497
busy	498
schedule	499
guy	500
stay	501
end	502
above	503
referenced	504
couple	505
might	506
without	507
market	508
taking	509
linda	510
contracts	511
customer	512
checking	513
gorelieberman	514
16	515
volumes	516
13	517
rudwell	518
took	519
further	520
business	521
tired	522
needs	523
interconnection	524
located	525
county	526
provisions	527
kevin	528
09	529
special	530
haven't	531
stacey	532
section	533
deals	534
april	535
mike	536
hunter	537
storage	538
8	539
along	540
available	541
open	542
spend	543
wedding	544
jean	545
oh	546
sheet	547
wait	548
used	549
rest	550
mims	551
sitara	552
term	553
steve	554
05	555
man	556
why	557
happening	558
western	559
oba	560
unit	561
dan	562
doesn't	563
45	564
free	565
regular	566
job	567
forgot	568
maybe	569
shared	570
transacted	571
buy	572
friend	573
talking	574
place	575
found	576
question	577
cycle	578
rev	579
test	580
funny	581
wants	582
sick	583
miss	584
possible	585
omaha	586
most	587
folders	588
sdickso	589
nsf	590
nothing	591
difference	592
report	593
many	594
smith	595
interested	596
non	597
realize	598
bed	599
tangie	600
lynnfrom	601
jennifer	602
high	603
correct	604
mmbtu	605
t	606
hospital	607
dsl	608
angela	609
h	610
user	611
responsible	612
j	613
class	614
gtc	615
spot	616
18	617
imbalances	618
response	619
quoted	620
drop	621
large	622
trip	623
cancer	624
although	625
asking	626
greg	627
dress	628
order	629
bobbi	630
numbers	631
balancing	632
revised	633
short	634
provide	635
having	636
janzen	637
year	638
points	639
owe	640
left	641
every	642
phoenix	643
weeks	644
kind	645
idea	646
id	647
second	648
9	649
info	650
21	651
telephone	652
222nd	653
activity	654
respond	655
note	656
timely	657
evening	658
happened	659
leaving	660
attending	661
coupon	662
early	663
johnson	664
allegheny	665
amendment	666
language	667
cyndie	668
acting	669
wasn't	670
music	671
description	672
nov20001	673
paul	674
fact	675
guaranty	676
different	677
gave	678
stand	679
perlingiere	680
c	681
answer	682
missed	683
jordan's	684
drive	685
hard	686
visit	687
experience	688
low	689
george	690
robin	691
l	692
