Word	Label
the	1
to	2
enron	3
and	4
i	5
lt	6
you	7
of	8
ect	9
a	10
is	11
that	12
in	13
com	14
for	15
this	16
	17
have	18
we	19
on	20
with	21
hou	22
be	23
are	24
me	25
if	26
it	27
will	28
or	29
sanders	30
richard	31
please	32
not	33
b	34
from	35
as	36
at	37
your	38
carol	39
subject	40
cc	41
am	42
any	43
would	44
can	45
by	46
our	47
x	48
know	49
e	50
my	51
what	52
enronxgate	53
do	54
an	55
about	56
has	57
713	58
1	59
2000	60
amp	61
mail	62
20	63
20001	64
thanks	65
st	66
call	67
they	68
was	69
but	70
need	71
all	72
he	73
s	74
pm	75
853	76
us	77
may	78
get	79
let	80
out	81
up	82
so	83
time	84
fax	85
message	86
2	87
there	88
sent	89
should	90
email	91
corp	92
which	93
phillip	94
send	95
phone	96
646	97
re	98
been	99
some	100
no	101
000	102
like	103
10	104
letter	105
01	106
them	107
could	108
these	109
think	110
week	111
information	112
want	113
33393	114
gas	115
111	116
3989	117
new	118
one	119
here	120
3	121
when	122
mark	123
work	124
other	125
claireb	126
just	127
development	128
him	129
intended	130
also	131
john	132
agreement	133
attached	134
his	135
09	136
12	137
going	138
make	139
how	140
did	141
litigation	142
were	143
their	144
4	145
good	146
more	147
05	148
5	149
who	150
clair	151
draft	152
recipient	153
had	154
use	155
only	156
case	157
next	158
received	159
credit	160
review	161
see	162
stacy	163
today	164
content	165
questions	166
its	167
03	168
legal	169
04	170
meeting	171
day	172
before	173
court	174
number	175
take	176
02	177
et	178
comments	179
thank	180
last	181
3892713	182
go	183
don't	184
back	185
robert	186
under	187
30	188
language	189
c	190
asked	191
p	192
r	193
linda	194
her	195
steve	196
forward	197
still	198
she	199
energy	200
na	201
original	202
sure	203
david	204
group	205
talk	206
than	207
l	208
help	209
brobeck	210
08	211
copy	212
after	213
set	214
well	215
list	216
0	217
issues	218
date	219
give	220
office	221
power	222
06	223
transfer	224
07	225
version	226
regarding	227
confidential	228
into	229
contact	230
susan	231
type	232
now	233
i'm	234
does	235
counsel	236
matter	237
friday	238
look	239
following	240
company	241
form	242
above	243
first	244
lisa	245
since	246
privileged	247
tomorrow	248
6	249
mary	250
bill	251
houston	252
m	253
arbitration	254
then	255
w	256
13	257
master	258
made	259
firm	260
two	261
california	262
allen	263
bcc	264
response	265
discuss	266
such	267
very	268
d	269
both	270
bob	271
documents	272
attorney	273
anything	274
find	275
monday	276
15	277
notes	278
jeff	279
section	280
over	281
until	282
file	283
request	284
notice	285
mike	286
where	287
guaranty	288
whether	289
way	290
conference	291
prohibited	292
issue	293
lunch	294
llgm	295
distribution	296
j	297
williams	298
charles	299
com'	300
order	301
ena	302
project	303
yes	304
pmto	305
available	306
changes	307
against	308
pay	309
through	310
schedule	311
including	312
pkns	313
much	314
looks	315
right	316
business	317
text	318
check	319
possible	320
jim	321
7	322
folder	323
v	324
cash	325
between	326
below	327
soon	328
attachments	329
left	330
plain	331
charset	332
encoding	333
done	334
either	335
getting	336
michelle	337
might	338
because	339
per	340
put	341
mime	342
why	343
gary	344
morning	345
38889713	346
working	347
origin	348
filename	349
return	350
try	351
same	352
understand	353
tuesday	354
judge	355
market	356
being	357
process	358
ascii	359
7bit	360
white	361
notify	362
8	363
san	364
amount	365
party	366
trading	367
those	368
contract	369
again	370
9	371
june	372
financial	373
respect	374
deal	375
inc	376
given	377
radack	378
folders	379
report	380
guinn	381
isda	382
best	383
law	384
16	385
price	386
each	387
michael	388
transaction	389
come	390
meet	391
doing	392
nsf	393
believe	394
wanted	395
year	396
fine	397
days	398
long	399
delete	400
dickson	401
14	402
person	403
25	404
cost	405
around	406
smith	407
additional	408
error	409
termination	410
event	411
leave	412
plan	413
heard	414
tx	415
dissemination	416
really	417
reply	418
communications	419
paid	420
note	421
copies	422
position	423
bonnie	424
told	425
off	426
house	427
discussed	428
fyi	429
hope	430
26	431
ees	432
james	433
payment	434
thursday	435
t	436
sender	437
thought	438
north	439
cannot	440
status	441
21	442
general	443
entities	444
davis	445
trying	446
provide	447
services	448
down	449
222	450
month	451
twanda	452
october	453
19	454
system	455
something	456
able	457
voice	458
n	459
respond	460
immediately	461
few	462
part	463
address	464
confirm	465
tell	466
default	467
edison	468
based	469
co	470
18	471
communication	472
keep	473
america	474
mailto	475
collateral	476
say	477
parties	478
agreements	479
committee	480
310	481
enclosed	482
money	483
second	484
follow	485
place	486
britt	487
velaw	488
another	489
hearing	490
elizabeth	491
ectcc	492
needs	493
document	494
april	495
due	496
iso	497
home	498
harris	499
change	500
haedicke	501
too	502
support	503
sara	504
thoughts	505
dca	506
lynn	507
notified	508
27	509
contain	510
march	511
however	512
28	513
dan	514
telephone	515
settlement	516
texas	517
sending	518
23	519
gibbs	520
said	521
agree	522
bracepatt	523
i'll	524
anyone	525
proposed	526
signed	527
claims	528
marketing	529
counterparty	530
requested	531
name	532
talked	533
hereby	534
client	535
non	536
data	537
amendment	538
spoke	539
someone	540
looking	541
already	542
brian	543
weeks	544
ferc	545
k	546
claim	547
service	548
trial	549
great	550
else	551
filed	552
yet	553
31	554
end	555
sorry	556
george	557
class	558
point	559
bruce	560
receive	561
24	562
currently	563
july	564
things	565
physical	566
amto	567
commission	568
suzanne	569
etc	570
becky	571
million	572
agsk	573
pge	574
wednesday	575
although	576
trades	577
people	578
update	579
'richard	580
gfergus	581
investment	582
problem	583
hear	584
larry	585
called	586
joe	587
policy	588
line	589
rsanders	590
agreed	591
copying	592
during	593
ask	594
november	595
include	596
okay	597
rob	598
mellencamp	599
directly	600
ca	601
access	602
bruns	603
together	604
matters	605
purchase	606
px	607
scheduled	608
17	609
interest	610
duke	611
even	612
keith	613
peter	614
answer	615
can't	616
further	617
having	618
susmangodfrey	619
andrew	620
29	621
didn't	622
works	623
question	624
disclosure	625
add	626
several	627
randy	628
advise	629
otherwise	630
lucy	631
open	632
sherry	633
prices	634
sign	635
yesterday	636
final	637
oct20001	638
got	639
h	640
revised	641
site	642
ggfcmk	643
job	644
without	645
coming	646
transactions	647
feel	648
insurance	649
later	650
bank	651
product	652
west	653
better	654
management	655
handle	656
risk	657
doc	658
jeffrey	659
costs	660
most	661
scott	662
strictly	663
derrick	664
entity	665
g	666
hours	667
involved	668
hodge	669
bankruptcy	670
public	671
along	672
state	673
gail	674
sweet	675
unit	676
bills	677
used	678
invoices	679
chris	680
demand	681
afternoon	682
info	683
reason	684
night	685
brownfeld	686
employee	687
while	688
motion	689
different	690
says	691
50	692
mentioned	693
reviewed	694
postmaster	695
referenced	696
delivery	697
