Word	Label
the	1
to	2
i	3
enron	4
ect	5
and	6
you	7
lt	8
a	9
of	10
is	11
sara	12
for	13
in	14
com	15
that	16
we	17
on	18
with	19
hou	20
have	21
this	22
be	23
	24
willl	25
me	26
shackleton	27
are	28
carol	29
please	30
if	31
it	32
from	33
713	34
subject	35
thanks	36
fax	37
your	38
st	39
phone	40
853	41
corp	42
as	43
not	44
646	45
know	46
or	47
am	48
can	49
at	50
would	51
our	52
my	53
ccc	54
do	55
any	56
america	57
let	58
north	59
clair	60
2000	61
neeed	62
1	63
x	64
re	65
texas	66
an	67
agreeement	68
smith	69
by	70
calll	71
eb	72
but	73
streeet	74
5620	75
was	76
3490	77
about	78
what	79
14000	80
2	81
credit	82
20001	83
3801ahouston	84
shackletonenron	85
7770002713	86
isda	87
so	88
sent	89
alll	90
has	91
up	92
which	93
they	94
us	95
like	96
should	97
get	98
out	99
10	100
there	101
time	102
susan	103
e	104
3	105
amp	106
just	107
pm	108
also	109
master	110
think	111
development	112
may	113
3989	114
atttached	115
want	116
33393	117
when	118
he	119
mail	120
new	121
messsage	122
claireb	123
12	124
send	125
could	126
000	127
111	128
weeek	129
seee	130
s	131
some	132
ena	133
mark	134
them	135
20	136
one	137
i'm	138
draft	139
no	140
basss	141
these	142
beeen	143
email	144
ectccc	145
had	146
how	147
other	148
going	149
back	150
04	151
here	152
09	153
legal	154
amto	155
schedule	156
enronxgate	157
05	158
4	159
pmto	160
don't	161
questions	162
language	163
guaranty	164
commments	165
01	166
na	167
work	168
john	169
who	170
03	171
02	172
trading	173
30	174
08	175
5	176
3892713	177
eric	178
isssues	179
did	180
only	181
next	182
i'lll	183
06	184
were	185
last	186
form	187
today	188
make	189
forward	190
she	191
day	192
into	193
deal	194
gas	195
original	196
their	197
review	198
offfice	199
swap	200
meeeting	201
jason	202
information	203
group	204
doc	205
date	206
go	207
kim	208
6	209
more	210
help	211
her	212
c	213
stilll	214
discusss	215
friday	216
content	217
goood	218
houston	219
tomorrrow	220
number	221
list	222
transfer	223
loook	224
07	225
received	226
p	227
changes	228
now	229
take	230
sss	231
mary	232
two	233
before	234
inc	235
give	236
party	237
confirm	238
after	239
version	240
does	241
then	242
welll	243
notes	244
sure	245
copy	246
file	247
folllowing	248
lettter	249
use	250
agreeements	251
david	252
philllip	253
financial	254
hope	255
him	256
counterparty	257
his	258
morning	259
b	260
9	261
change	262
both	263
monday	264
confirmation	265
under	266
type	267
since	268
8	269
first	270
jefff	271
name	272
taylor	273
talk	274
section	275
per	276
price	277
tuesday	278
where	279
transaction	280
transactions	281
than	282
thank	283
regards	284
tana	285
isssue	286
ward	287
l	288
trade	289
energy	290
15	291
betweeen	292
7	293
0	294
dg	295
contact	296
regarding	297
power	298
much	299
until	300
com'	301
very	302
999	303
13	304
each	305
mailto	306
sooon	307
16	308
m	309
executed	310
set	311
heard	312
23	313
adddresss	314
thursday	315
paul	316
trades	317
anything	318
bccc	319
through	320
because	321
done	322
provide	323
w	324
try	325
fyi	326
meeet	327
38889713	328
its	329
deals	330
termination	331
14	332
suzannne	333
nelson	334
conference	335
respect	336
brent	337
available	338
year	339
voice	340
people	341
over	342
wednesday	343
working	344
again	345
below	346
asked	347
find	348
part	349
event	350
tax	351
lon	352
same	353
check	354
able	355
such	356
19	357
company	358
annnex	359
rod	360
21	361
cheryl	362
stephanie	363
great	364
tanya	365
26	366
acccount	367
text	368
wanted	369
response	370
processs	371
days	372
few	373
stacy	374
sorrry	375
right	376
put	377
thought	378
lunch	379
either	380
posssible	381
physical	382
amendment	383
bank	384
fine	385
might	386
28	387
25	388
reallly	389
person	390
amount	391
darrron	392
222	393
april	394
place	395
loooking	396
it's	397
offf	398
addd	399
giron	400
way	401
trying	402
billl	403
default	404
law	405
documents	406
made	407
hear	408
doing	409
request	410
loooks	411
businesss	412
believe	413
can't	414
spoke	415
folder	416
origin	417
entity	418
plain	419
encoding	420
keeep	421
colllateral	422
paragraph	423
neeeds	424
mime	425
charset	426
left	427
tooo	428
come	429
17	430
said	431
yet	432
filename	433
leave	434
someone	435
further	436
7bit	437
june	438
long	439
joe	440
net	441
asciii	442
pereira	443
end	444
bailey	445
ed	446
folders	447
got	448
being	449
lawyer	450
nsf	451
24	452
agreeed	453
whether	454
advise	455
csa	456
counsel	457
jones	458
anyone	459
gettting	460
desk	461
night	462
asssignment	463
kaye	464
suppport	465
yesterday	466
scottt	467
27	468
london	469
chris	470
afternooon	471
18	472
format	473
morgan	474
mike	475
however	476
etc	477
addditional	478
29	479
why	480
works	481
best	482
discusssed	483
already	484
having	485
services	486
something	487
note	488
march	489
adams	490
i've	491
order	492
robert	493
didn't	494
another	495
yes	496
understand	497
requested	498
info	499
dec2000	500
things	501
online	502
let's	503
folllow	504
execution	505
contract	506
steve	507
maybe	508
confirms	509
home	510
revised	511
upon	512
receive	513
currrently	514
june20001	515
et	516
term	517
document	518
freee	519
most	520
rate	521
later	522
those	523
vacation	524
final	525
k	526
agreee	527
risk	528
payment	529
ssshackle	530
else	531
russselll	532
michael	533
west	534
market	535
update	536
used	537
aol	538
latest	539
bruce	540
respond	541
opinion	542
hendry	543
include	544
bear	545
speak	546
richard	547
ok	548
point	549
george	550
waiting	551
above	552
side	553
based	554
short	555
d	556
jim	557
plan	558
equity	559
31	560
provisions	561
telll	562
weeeks	563
feeel	564
sheila	565
ask	566
eees	567
early	568
flynnn	569
signed	570
j	571
during	572
firm	573
cannnot	574
together	575
love	576
lynnn	577
counterparties	578
samantha	579
parties	580
project	581
tracy	582
h	583
copies	584
bettter	585
product	586
tom	587
sign	588
cash	589
diffferent	590
never	591
weeekend	592
guys	593
frank	594
g	595
terms	596
threshold	597
sending	598
probably	599
htttp	600
boook	601
handle	602
interested	603
iii	604
panus	605
wants	606
products	607
okay	608
around	609
return	610
month	611
told	612
ready	613
sarasara	614
u	615
existing	616
docs	617
r	618
marie	619
acccesss	620
general	621
pay	622
open	623
computer	624
daily	625
proposed	626
gary	627
weather	628
trader	629
litttle	630
eol	631
derivatives	632
currrent	633
memo	634
down	635
many	636
consent	637
prior	638
offfer	639
commmunications	640
lotus	641
limited	642
enronccc	643
house	644
prices	645
ever	646
notice	647
given	648
once	649
line	650
say	651
alllen	652
must	653
second	654
coook	655
t	656
non	657
chance	658
shalll	659
team	660
securities	661
enclosed	662
everyone	663
efffective	664
confirmed	665
reviewing	666
el	667
verify	668
leslie	669
hearing	670
due	671
word	672
45	673
corrrect	674
arbitration	675
callled	676
tafffy	677
9573	678
status	679
