Word	Label
to	1
the	2
	3
enron	4
i	5
ect	6
a	7
you	8
and	9
of	10
on	11
for	12
that	13
hou	14
in	15
is	16
scott	17
have	18
if	19
000	20
it	21
i'm	22
up	23
this	24
but	25
we	26
my	27
0	28
out	29
get	30
so	31
be	32
going	33
at	34
about	35
do	36
your	37
are	38
not	39
now	40
corp	41
with	42
no	43
was	44
he	45
back	46
they	47
how	48
think	49
com	50
can	51
ots	52
there	53
too	54
me	55
here	56
na	57
20	58
just	59
what	60
really	61
will	62
from	63
as	64
know	65
last	66
like	67
all	68
2000	69
yes	70
night	71
some	72
today	73
didn't	74
it's	75
good	76
her	77
bad	78
check	79
go	80
take	81
01	82
one	83
he's	84
may	85
d	86
el	87
paso	88
any	89
30	90
ww	91
gorelieberman	92
nx1	93
house	94
by	95
need	96
don't	97
had	98
got	99
did	100
well	101
new	102
10	103
deal	104
little	105
birthday	106
said	107
guy	108
been	109
keep	110
were	111
time	112
rayfael	113
make	114
email	115
later	116
call	117
when	118
migration	119
w	120
5	121
must	122
much	123
day	124
big	125
index	126
an	127
that's	128
or	129
things	130
want	131
still	132
cng	133
weekend	134
should	135
i'll	136
thanks	137
9	138
those	139
trying	140
write	141
more	142
better	143
n	144
please	145
our	146
http	147
trip	148
sp	149
morning	150
job	151
come	152
police	153
am	154
see	155
does	156
mean	157
woman	158
put	159
starting	160
i'd	161
while	162
8	163
1	164
2	165
news	166
home	167
only	168
4	169
outlook	170
eric	171
f	172
m	173
09	174
then	175
calendar	176
who	177
anyone	178
could	179
move	180
days	181
him	182
off	183
over	184
talk	185
gotta	186
cal	187
stay	188
what's	189
outside	190
can't	191
them	192
relationship	193
together	194
mmbtu	195
month	196
attacker	197
ok	198
ena	199
right	200
we'll	201
second	202
leave	203
office	204
touch	205
joe	206
love	207
sorry	208
sounds	209
hope	210
hit	211
into	212
first	213
shared	214
room	215
went	216
thought	217
gym	218
times	219
remember	220
london	221
great	222
pretty	223
running	224
lbs	225
two	226
busy	227
send	228
also	229
comped	230
john	231
term	232
6	233
we're	234
pm	235
05	236
20001	237
mark	238
chris	239
germany	240
hendrickson	241
enr	242
t	243
notes	244
h	245
name	246
both	247
access	248
address	249
which	250
list	251
work	252
vacation	253
thing	254
hand	255
www	256
stuff	257
broke	258
'bout	259
hey	260
sure	261
contact	262
give	263
money	264
html	265
ever	266
saw	267
02	268
where	269
dominion	270
gas	271
st	272
65	273
down	274
i've	275
doing	276
let	277
probably	278
won't	279
though	280
anytime	281
help	282
tonight	283
whole	284
feels	285
feel	286
point	287
monday	288
during	289
delhi	290
reuters	291
after	292
town	293
deals	294
baseload	295
15	296
5000	297
volume	298
us	299
you're	300
yesterday	301
