Word	Label
the	1
to	2
i	3
of	4
you	5
and	6
a	7
lt	8
for	9
in	10
enron	11
is	12
on	13
that	14
have	15
with	16
this	17
derrick	18
we	19
be	20
	21
your	22
will	23
at	24
if	25
my	26
from	27
2000	28
james	29
com	30
or	31
please	32
me	33
would	34
it	35
12	36
subject	37
by	38
as	39
all	40
was	41
jim	42
not	43
out	44
x	45
are	46
up	47
thanks	48
know	49
john	50
one	51
any	52
pmto	53
thank	54
but	55
juno	56
corp	57
has	58
firm	59
he	60
000	61
sent	62
an	63
call	64
get	65
best	66
mail	67
1	68
us	69
just	70
going	71
amp	72
ww	73
20	74
20001	75
message	76
need	77
like	78
enroncc	79
fyi	80
amto	81
e	82
new	83
date	84
2	85
susman	86
room	87
too	88
golf	89
law	90
meeting	91
check	92
joe	93
cc	94
had	95
fine	96
good	97
do	98
his	99
documents	100
memo	101
tournament	102
could	103
project	104
original	105
gorelieberman	106
today	107
111	108
let	109
sfa	110
am	111
award	112
internet	113
free	114
j	115
m	116
client	117
compagas	118
30	119
comcc	120
there	121
go	122
back	123
been	124
what	125
much	126
randy	127
another	128
here	129
information	130
big	131
01	132
h	133
access	134
day	135
19	136
may	137
him	138
think	139
see	140
gas	141
steve	142
take	143
approval	144
which	145
counsel	146
stephanie	147
last	148
night	149
v	150
office	151
board	152
house	153
other	154
how	155
jeff	156
sokoloff	157
07	158
monday	159
no	160
0	161
robert	162
content	163
december	164
very	165
rex	166
jr	167
tom	168
only	169
course	170
web	171
utexas	172
edu	173
agreement	174
don't	175
want	176
outside	177
about	178
can	179
i'll	180
again	181
offer	182
their	183
details	184
were	185
change	186
april	187
karen	188
jurisprudence	189
first	190
guy	191
believe	192
asked	193
10	194
s	195
send	196
meet	197
long	198
gotta	199
those	200
harris	201
wednesday	202
september	203
re	204
search	205
she	206
stan	207
our	208
attorney	209
ok	210
worth	211
ees	212
p	213
petrobras	214
nancy	215
02	216
hold	217
50	218
its	219
transactions	220
business	221
set	222
8	223
pm	224
spoke	225
work	226
they	227
still	228
being	229
used	230
way	231
legal	232
06	233
personal	234
changes	235
within	236
below	237
immediately	238
litigation	239
3	240
4	241
transfer	242
04	243
hyatt	244
luncheon	245
everyone	246
http	247
rob	248
9	249
summer	250
cal	251
eickenroht	252
type	253
bcc	254
currently	255
next	256
time	257
some	258
elaine	259
veronika	260
fed	261
ex	262
rogers	263
them	264
already	265
mr	266
regards	267
so	268
i'm	269
looks	270
lifetime	271
achievement	272
hou	273
review	274
vice	275
president	276
now	277
it's	278
man	279
madman	280
ip	281
matters	282
whispering	283
pines	284
email	285
copel	286
nbrazzil	287
look	288
did	289
possibly	290
jimfrom	291
west	292
made	293
company	294
transaction	295
deal	296
put	297
b	298
position	299
use	300
close	301
per	302
help	303
got	304
try	305
mont	306
status	307
calls	308
short	309
lunch	310
conversation	311
most	312
also	313
support	314
november	315
registration	316
provide	317
must	318
keep	319
days	320
recently	321
near	322
than	323
representative	324
6	325
job	326
'bout	327
knock	328
woman	329
when	330
jimjeff	331
jeffsok	332
26	333
velaw	334
23	335
confirm	336
respond	337
offers	338
premium	339
less	340
join	341
software	342
visit	343
dl	344
tagj	345
went	346
david	347
off	348
home	349
later	350
mime	351
version	352
text	353
plain	354
charset	355
ascii	356
encoding	357
7bit	358
folder	359
dec2000	360
june20001	361
notes	362
folders	363
'sent	364
origin	365
filename	366
jderric	367
nsf	368
participate	369
kind	370
interest	371
mean	372
walls	373
stay	374
hop	375
play	376
boys	377
thought	378
who	379
zimmermann	380
her	381
21	382
week	383
esparza	384
looking	385
related	386
fw	387
after	388
yet	389
attend	390
jimtom	391
locke	392
liddell	393
three	394
4th	395
quarter	396
sale	397
unwound	398
held	399
general	400
c	401
mentioned	402
al	403
fort	404
texas	405
downtown	406
hotel	407
marc	408
relationship	409
development	410
opportunity	411
issues	412
mark	413
marianne	414
vivian	415
should	416
partners	417
shaw	418
club	419
championship	420
clients	421
intended	422
supply	423
suggest	424
four	425
jimnancy	426
brazzil	427
doesn't	428
preference	429
where	430
idea	431
street	432
loan	433
through	434
soc	435
gen	436
favor	437
order	438
engaged	439
dawson	440
vinson	441
elkins	442
worked	443
contacted	444
acceptable	445
approximately	446
92	447
line	448
quenet	449
yesterday	450
tonite	451
note	452
answer	453
regarding	454
interested	455
haven't	456
thing	457
didn't	458
return	459
price	460
little	461
40	462
houston	463
before	464
agree	465
comments	466
fax	467
forth	468
become	469
director	470
cole	471
corporate	472
data	473
base	474
directorships	475
222	476
registered	477
ask	478
required	479
notified	480
important	481
few	482
consider	483
otherwise	484
under	485
accordingly	486
changed	487
g	488
because	489
married	490
name	491
5	492
ie	493
department	494
plan	495
leave	496
el	497
paso	498
yes	499
dear	500
23rd	501
cpatman	502
bracepatt	503
grosenbaum	504
ssusman	505
susmangodfrey	506
mcominsky	507
aol	508
luncheonthe	509
notifyed	510
availablefor	511
wantto	512
works	513
asapand	514
ahead	515
booking	516
second	517
luck	518
attachments	519
calendar	520
beck	521
either	522
forgive	523
75	524
cin	525
rest	526
we're	527
appropriate	528
linda	529
able	530
conference	531
along	532
proposal	533
mistake	534
returning	535
congratulations	536
person	537
dilg	538
smu	539
school	540
working	541
application	542
university	543
copy	544
soon	545
completed	546
trying	547
trouble	548
small	549
find	550
gym	551
times	552
document	553
signed	554
jamessubject	555
twt	556
de	557
17	558
end	559
annual	560
signature	561
adam	562
herbert	563
peels	564
1000	565
henninger	566
thenninger	567
sen	568
attached	569
bentsen	570
feel	571
doc	572
digit	573
request	574
05	575
ect	576
aircraft	577
probably	578
pieringer	579
together	580
structures	581
engage	582
given	583
engaging	584
advise	585
29	586
08	587
directors	588
12th	589
list	590
approve	591
senior	592
vvrroomm	593
great	594
sorry	595
settled	596
same	597
sierra	598
jan	599
feb	600
risk	601
cold	602
high	603
northwest	604
prices	605
over	606
right	607
received	608
took	609
additional	610
eyes	611
fist	612
seen	613
stranger	614
bar	615
desk	616
key	617
door	618
light	619
large	620
injury	621
well	622
during	623
individual	624
friends	625
path	626
never	627
cross	628
many	629
serve	630
hereby	631
marcus	632
counseljim	633
bulgaria	634
commercial	635
manly	636
group	637
card	638
vicki	639
sharp	640
eees	641
schwartzenburg	642
tecaso	643
reviewing	644
services	645
structuring	646
effort	647
recent	648
polak	649
lebeouf	650
lamb	651
transactional	652
discussing	653
needed	654
cable	655
trip	656
term	657
called	658
closing	659
until	660
36	661
described	662
international	663
amateur	664
every	665
year	666
thereafter	667
invite	668
friday	669
available	670
buses	671
players	672
begin	673
