Word	Label
enron	1
the	2
to	3
i	4
and	5
you	6
of	7
a	8
ect	9
for	10
on	11
is	12
	13
in	14
that	15
hou	16
this	17
with	18
have	19
be	20
will	21
com	22
we	23
lt	24
are	25
me	26
corp	27
if	28
your	29
enronxgate	30
it	31
please	32
s	33
20001	34
amp	35
at	36
not	37
communications	38
would	39
eott	40
from	41
thanks	42
horton	43
subject	44
or	45
as	46
stacy	47
know	48
et	49
am	50
ees	51
development	52
20	53
by	54
eees	55
any	56
e	57
stanley	58
do	59
was	60
my	61
our	62
let	63
x	64
get	65
may	66
they	67
up	68
stan	69
has	70
can	71
good	72
but	73
like	74
out	75
about	76
meeting	77
attached	78
just	79
all	80
cc	81
what	82
call	83
mark	84
need	85
time	86
1	87
an	88
there	89
04	90
na	91
so	92
pmto	93
gas	94
us	95
cindy	96
7	97
should	98
vs	99
see	100
john	101
dickson	102
which	103
no	104
week	105
mail	106
agreement	107
05	108
gisb	109
2	110
when	111
thank	112
some	113
one	114
day	115
also	116
000	117
them	118
enroncc	119
111	120
think	121
questions	122
amto	123
new	124
going	125
30	126
01	127
their	128
these	129
sent	130
want	131
could	132
he	133
april	134
713	135
well	136
work	137
lynn	138
firm	139
june	140
david	141
had	142
l	143
make	144
changes	145
how	146
10	147
re	148
committee	149
did	150
morning	151
12	152
last	153
go	154
very	155
she	156
nbp	157
version	158
don't	159
4	160
houston	161
sure	162
send	163
here	164
deal	165
who	166
next	167
energy	168
were	169
more	170
james	171
g	172
steve	173
comments	174
use	175
business	176
now	177
j	178
brown	179
3	180
monday	181
him	182
review	183
attend	184
been	185
than	186
other	187
transaction	188
mike	189
message	190
then	191
jeff	192
tuesday	193
credit	194
email	195
board	196
m	197
friday	198
talk	199
information	200
8	201
back	202
ok	203
kathy	204
jeffrey	205
his	206
first	207
two	208
i'm	209
does	210
9	211
853	212
find	213
master	214
2000	215
5	216
number	217
hope	218
check	219
today	220
home	221
02	222
per	223
help	224
forward	225
gregg	226
both	227
caron	228
her	229
yes	230
content	231
fine	232
mary	233
comcc	234
since	235
still	236
tomorrow	237
rick	238
office	239
06	240
blair	241
thursday	242
23	243
over	244
sale	245
tickets	246
lon	247
stark	248
peggy	249
09	250
give	251
plan	252
doing	253
debbie	254
original	255
look	256
15	257
epenergy	258
letter	259
03	260
pm	261
take	262
following	263
sunday	264
conference	265
way	266
joe	267
under	268
0	269
process	270
rod	271
hayslett	272
america	273
msdw	274
date	275
after	276
love	277
great	278
anything	279
24	280
susan	281
karen	282
contact	283
before	284
glad	285
month	286
21	287
request	288
keep	289
i'll	290
those	291
company	292
shall	293
25	294
job	295
price	296
executive	297
michael	298
r	299
contract	300
p	301
again	302
better	303
too	304
into	305
only	306
30pm	307
type	308
notes	309
person	310
greg	311
carol	312
between	313
group	314
draft	315
wanted	316
weekend	317
fgt	318
natural	319
azurix	320
danny	321
garcia	322
smith	323
agreements	324
linda	325
working	326
concerns	327
provide	328
made	329
come	330
taylor	331
due	332
kevin	333
dan	334
k	335
nui	336
t	337
27	338
randy	339
play	340
ava	341
note	342
long	343
best	344
issues	345
terry	346
right	347
sorry	348
agree	349
steven	350
regards	351
either	352
put	353
through	354
looking	355
soon	356
later	357
ets	358
project	359
purchase	360
power	361
system	362
where	363
game	364
14	365
6	366
units	367
transfer	368
bcc	369
being	370
deals	371
golf	372
aol	373
bill	374
december	375
off	376
days	377
night	378
16	379
around	380
staff	381
able	382
mlp	383
reps	384
co	385
january	386
chris	387
sherri	388
w	389
ben	390
mccarty	391
ken	392
jennifer	393
discussed	394
doc	395
07	396
b	397
address	398
looks	399
jim	400
getting	401
08	402
much	403
saturday	404
such	405
29	406
invoices	407
retention	408
lead	409
product	410
rebecca	411
metts	412
mcmahon	413
richard	414
ann	415
north	416
understand	417
future	418
26	419
while	420
tonight	421
available	422
because	423
down	424
pge	425
market	426
org	427
larry	428
discuss	429
jerry	430
report	431
analyst	432
kean	433
sera	434
phillips	435
offer	436
feel	437
change	438
leave	439
phone	440
o	441
unit	442
got	443
c	444
below	445
whether	446
return	447
fyi	448
little	449
thought	450
same	451
needs	452
until	453
luck	454
services	455
said	456
went	457
each	458
13	459
trust	460
regarding	461
shelley	462
18	463
agent	464
ubs	465
mime	466
text	467
plain	468
charset	469
ascii	470
encoding	471
7bit	472
folder	473
origin	474
filename	475
buchanan	476
buy	477
glisan	478
hannon	479
koenig	480
skilling	481
owens	482
sharon	483
johnson	484
july	485
another	486
team	487
document	488
might	489
left	490
222	491
hello	492
weekly	493
floor	494
visit	495
employees	496
guaranty	497
buyer	498
follow	499
dad	500
possible	501
place	502
enovate	503
start	504
shorton	505
interested	506
even	507
reviewing	508
issue	509
advise	510
schedule	511
manager	512
based	513
kimberly	514
causey	515
lay	516
rice	517
suzanne	518
free	519
debra	520
name	521
location	522
access	523
calendar	524
distribution	525
list	526
year	527
past	528
50	529
via	530
17	531
however	532
happy	533
eol	534
things	535
told	536
risk	537
scheduled	538
people	539
phil	540
000pm	541
5705	542
it's	543
folders	544
nsf	545
lavorato	546
wade	547
cliff	548
baxter	549
mcdonald	550
harris	551
whalley	552
white	553
cathy	554
sue	555
mr	556
wednesday	557
inc	558
received	559
form	560
additional	561
outlook	562
migration	563
fax	564
response	565
update	566
try	567
daddy	568
done	569
requested	570
important	571
asked	572
further	573
meet	574
gary	575
elpaso	576
numbers	577
didn't	578
n	579
fw	580
latest	581
position	582
high	583
times	584
personal	585
house	586
anyone	587
everyone	588
hold	589
nicki	590
derrick	591
andrew	592
fastow	593
kenneth	594
matthew	595
sherriff	596
kay	597
dorothy	598
julie	599
kelly	600
janet	601
few	602
dana	603
afternoon	604
28	605
old	606
car	607
copy	608
already	609
systems	610
attorney	611
always	612
something	613
really	614
care	615
fowler	616
sounds	617
tell	618
non	619
term	620
follows	621
probably	622
coral	623
transactions	624
offering	625
firms	626
offerings	627
stacey	628
resume	629
else	630
hughes	631
mcconnell	632
stephanie	633
frevert	634
daw	635
jeremy	636
philippe	637
bibi	638
delainey	639
olson	640
scrimshaw	641
sherrick	642
dalton	643
danz	644
ena	645
respond	646
most	647
sales	648
adams	649
h	650
currently	651
having	652
nng	653
points	654
gpgfin	655
upon	656
mom	657
sending	658
holiday	659
during	660
approach	661
part	662
many	663
second	664
demand	665
yesterday	666
card	667
termination	668
california	669
set	670
course	671
customers	672
party	673
say	674
scott	675
called	676
financial	677
pipeline	678
guys	679
making	680
astros	681
kowalke	682
close	683
several	684
raetta	685
strong	686
19	687
pretty	688
standards	689
sdickso	690
confirm	691
hillis	692
cline	693
maureen	694
mcvicker	695
blachman	696
bowen	697
cox	698
louise	699
kitchen	700
muller	701
lou	702
sharron	703
westbrook	704
bridget	705
maronge	706
lauren	707
urquhart	708
tammie	709
schoppe	710
dick	711
campos	712
prior	713
recommendation	714
behalf	715
above	716
physical	717
robert	718
ellen	719
annual	720
file	721
together	722
bob	723
join	724
notice	725
lot	726
event	727
appreciate	728
line	729
nice	730
phillip	731
jean	732
provisions	733
limited	734
contracts	735
weeks	736
can't	737
add	738
provision	739
period	740
everything	741
storage	742
talked	743
lunch	744
meetings	745
approved	746
early	747
language	748
sa	749
confirmation	750
room	751
lowry	752
ots	753
ww	754
56	755
memo	756
key	757
case	758
customer	759
short	760
worth	761
russell	762
small	763
executor	764
aaron	765
thoughts	766
expected	767
mid	768
interest	769
underwriting	770
million	771
bank	772
quantity	773
wessex	774
poa	775
joannie	776
williamson	777
loretta	778
brelsford	779
dolores	780
fisher	781
lucy	782
raymond	783
elliott	784
leff	785
pai	786
shankman	787
marty	788
sunde	789
thomas	790
skarness	791
heathman	792
chapman	793
inez	794
dauterive	795
fleming	796
tori	797
wells	798
ford	799
mercedes	800
estrada	801
christina	802
grow	803
armstrong	804
daniel	805
marketing	806
paul	807
recent	808
referenced	809
section	810
legal	811
etc	812
works	813
current	814
texas	815
aware	816
sell	817
assets	818
end	819
wife	820
dorsey	821
vanessa	822
never	823
bit	824
given	825
yet	826
provided	827
gets	828
invitation	829
open	830
ready	831
final	832
agreed	833
documents	834
potential	835
continue	836
net	837
big	838
amendment	839
conversation	840
spot	841
plans	842
point	843
special	844
corman	845
details	846
family	847
stan's	848
basis	849
delivery	850
approval	851
policy	852
cal	853
positions	854
taking	855
molly	856
katherine	857
organization	858
associate	859
rest	860
members	861
fact	862
jana	863
paxton	864
connie	865
blackwood	866
marshall	867
rosalee	868
judy	869
mccurley	870
marsha	871
schiller	872
burns	873
beverly	874
dodgen	875
leah	876
rijo	877
morgan	878
columbia	879
diane	880
lisa	881
experience	882
minutes	883
fill	884
gibbs	885
resources	886
37	887
cegann	888
dow	889
tee	890
info	891
liz	892
video	893
sincerely	894
chance	895
bakerbotts	896
drafts	897
asap	898
fun	899
general	900
talking	901
nothing	902
within	903
answer	904
red	905
added	906
payment	907
question	908
medical	909
executed	910
couple	911
54	912
prices	913
union	914
doesn't	915
situation	916
http	917
000am	918
remember	919
gorelieberman	920
rudwell	921
guarantee	922
items	923
receive	924
taken	925
eei	926
cycle	927
gtc	928
'sent	929
execution	930
lynda	931
own	932
include	933
activity	934
areas	935
its	936
mean	937
investment	938
handle	939
05pmsaturday	940
baby	941
1st	942
bonus	943
equity	944
stay	945
suggest	946
corporate	947
hill	948
shop	949
half	950
39	951
international	952
served	953
proposed	954
commercial	955
ssb	956
merrill	957
prc	958
nov20001	959
assume	960
mrudula	961
gadade	962
found	963
why	964
marie	965
hodge	966
versions	967
touch	968
cash	969
user	970
individual	971
updating	972
included	973
mitchell	974
oba	975
answers	976
fallon	977
reserved	978
indicate	979
stephen	980
longer	981
expect	982
sd	983
wish	984
held	985
coordinate	986
coverage	987
acceptable	988
employee	989
chairman	990
anderson	991
believe	992
i'd	993
congratulations	994
wait	995
discussion	996
providing	997
heard	998
release	999
four	1000
signed	1001
copies	1002
presentation	1003
met	1004
understanding	1005
seems	1006
benefits	1007
coming	1008
trip	1009
cary	1010
penman	1011
jessica	1012
order	1013
clear	1014
less	1015
support	1016
mind	1017
sign	1018
miller	1019
tangie	1020
imbalances	1021
entire	1022
40	1023
problem	1024
myself	1025
lynnfrom	1026
allocations	1027
correct	1028
counterparty	1029
years	1030
show	1031
local	1032
diamond	1033
hear	1034
spoke	1035
wants	1036
joyce	1037
problems	1038
makes	1039
hartsoe	1040
tom	1041
adam	1042
trustee	1043
though	1044
ahead	1045
sample	1046
rather	1047
umanoff	1048
swap	1049
trying	1050
once	1051
dsl	1052
industry	1053
regulatory	1054
cyndie	1055
northern	1056
border	1057
placement	1058
recently	1059
joint	1060
participated	1061
utilities	1062
trinity	1063
edu	1064
management	1065
closing	1066
three	1067
exception	1068
harold	1069
