Word	Label
enron	1
ect	2
the	3
to	4
hou	5
you	6
	7
enronxgate	8
i	9
a	10
and	11
in	12
of	13
is	14
for	15
on	16
be	17
this	18
have	19
s	20
amp	21
that	22
me	23
if	24
et	25
will	26
kevin	27
with	28
your	29
are	30
it	31
we	32
at	33
know	34
thanks	35
please	36
not	37
corp	38
as	39
na	40
let	41
or	42
do	43
any	44
from	45
get	46
my	47
up	48
x	49
going	50
new	51
what	52
out	53
stacy	54
so	55
would	56
e	57
just	58
they	59
lynn	60
all	61
john	62
about	63
development	64
was	65
attached	66
time	67
by	68
but	69
think	70
could	71
when	72
an	73
should	74
garage	75
call	76
talk	77
soon	78
i'm	79
gas	80
house	81
email	82
i'll	83
lt	84
20001	85
how	86
some	87
can	88
work	89
hope	90
questions	91
need	92
com	93
may	94
back	95
our	96
subject	97
one	98
great	99
no	100
agreement	101
kr	102
ruscitti	103
had	104
good	105
only	106
energy	107
said	108
center	109
like	110
next	111
2000	112
it's	113
chris	114
also	115
sure	116
blair	117
go	118
been	119
well	120
us	121
which	122
give	123
more	124
take	125
see	126
state	127
make	128
l	129
he	130
firm	131
day	132
lisa	133
don't	134
were	135
there	136
20	137
who	138
parking	139
did	140
713	141
2	142
long	143
version	144
000	145
1	146
these	147
everything	148
am	149
m	150
smith	151
way	152
dickson	153
has	154
him	155
much	156
joe	157
n	158
mark	159
first	160
use	161
allen	162
h	163
ava	164
month	165
853	166
weekend	167
per	168
w	169
last	170
want	171
t	172
communications	173
them	174
here	175
6320	176
check	177
comments	178
date	179
send	180
you're	181
robert	182
she	183
tell	184
mary	185
ca	186
reps	187
where	188
than	189
power	190
receive	191
hear	192
into	193
summer	194
5	195
r	196
cc	197
employees	198
come	199
information	200
week	201
forward	202
company	203
other	204
doing	205
terry	206
michael	207
sent	208
yes	209
migration	210
again	211
transportation	212
j	213
lot	214
both	215
12	216
b	217
looking	218
days	219
3	220
find	221
content	222
4	223
mail	224
offer	225
invoices	226
mike	227
dan	228
k	229
ok	230
home	231
pmto	232
shall	233
does	234
we'll	235
big	236
c	237
few	238
june	239
over	240
susan	241
after	242
changes	243
credit	244
master	245
off	246
same	247
d	248
david	249
trading	250
her	251
price	252
keep	253
too	254
how's	255
wedding	256
randy	257
6	258
glad	259
then	260
fgt	261
en	262
ron	263
nui	264
name	265
each	266
jeff	267
list	268
review	269
transaction	270
look	271
california	272
since	273
06	274
gary	275
enroncc	276
enro	277
miller	278
0	279
type	280
10	281
very	282
available	283
address	284
hi	285
f	286
larry	287
today	288
during	289
thank	290
sell	291
crisis	292
doesn't	293
pretty	294
business	295
everyone	296
johnson	297
made	298
system	299
paul	300
able	301
following	302
01	303
try	304
notes	305
tuesday	306
being	307
demand	308
outlook	309
team	310
meeting	311
problem	312
now	313
access	314
floor	315
p	316
george	317
end	318
friday	319
letter	320
book	321
market	322
anything	323
stacey	324
purchase	325
via	326
term	327
what's	328
deal	329
move	330
http	331
www	332
houston	333
change	334
kowalke	335
richard	336
got	337
nron	338
we're	339
111	340
amto	341
until	342
add	343
ring	344
better	345
clark	346
15	347
own	348
current	349
under	350
contract	351
due	352
night	353
fyi	354
davis	355
guy	356
thing	357
didn't	358
talked	359
working	360
must	361
many	362
their	363
debra	364
still	365
help	366
gisb	367
feel	368
raetta	369
james	370
because	371
course	372
bruce	373
economy	374
prices	375
currently	376
his	377
sorry	378
care	379
favorite	380
christopher	381
brad	382
agreements	383
needs	384
number	385
incredibly	386
secondary	387
event	388
another	389
things	390
put	391
year	392
let's	393
kathy	394
buchanan	395
plant	396
down	397
bought	398
angela	399
i've	400
while	401
5705	402
monday	403
re	404
14	405
laura	406
kelly	407
transfer	408
bcc	409
most	410
wanted	411
message	412
employee	413
people	414
supply	415
years	416
two	417
cost	418
reply	419
30	420
trip	421
latest	422
steve	423
brian	424
concerns	425
calendar	426
garcia	427
nng	428
reviewing	429
percent	430
ww	431
gorelieberman	432
position	433
daily	434
basis	435
language	436
located	437
north	438
set	439
scheduled	440
location	441
kim	442
together	443
yet	444
country	445
even	446
222	447
pm	448
jean	449
waiting	450
getting	451
thought	452
those	453
say	454
around	455
group	456
meet	457
buying	458
x3	459
karen	460
linda	461
little	462
mime	463
text	464
plain	465
charset	466
ascii	467
encoding	468
7bit	469
folder	470
origin	471
filename	472
additional	473
notice	474
interested	475
increase	476
short	477
understand	478
might	479
initial	480
spaces	481
later	482
saturn	483
elevator	484
exit	485
weeks	486
greg	487
form	488
judy	489
jennifer	490
jason	491
williams	492
ct	493
anyone	494
msn	495
least	496
scott	497
eees	498
ees	499
kimberly	500
jeffrey	501
kenneth	502
nguyen	503
deals	504
non	505
bid	506
tom	507
07	508
anr	509
quantity	510
delivery	511
opinion	512
never	513
probably	514
dinner	515
within	516
guys	517
you'll	518
family	519
04	520
sherry	521
janet	522
harry	523
complete	524
issue	525
went	526
texas	527
phone	528
contracts	529
takes	530
though	531
told	532
ago	533
above	534
25	535
hernandez	536
cynthia	537
already	538
section	539
original	540
sign	541
process	542
conway	543
definitely	544
unless	545
reach	546
however	547
leave	548
seem	549
small	550
gotta	551
office	552
card	553
amy	554
elizabeth	555
moller	556
discussed	557
storage	558
seen	559
sale	560
o	561
g	562
document	563
keith	564
ec	565
user	566
hours	567
dsl	568
cycle	569
frank	570
ask	571
olson	572
patrick	573
unfortunately	574
remember	575
volume	576
ml7	577
hunter	578
period	579
else	580
ectcc	581
requested	582
buyer	583
through	584
normal	585
operational	586
constraints	587
unit	588
against	589
units	590
loop	591
we've	592
anyway	593
boy	594
blackouts	595
turn	596
it'll	597
become	598
months	599
job	600
money	601
mean	602
update	603
adams	604
tangie	605
town	606
block	607
couple	608
near	609
promoted	610
desk	611
game	612
referenced	613
wouldn't	614
bryan	615
william	616
12th	617
folders	618
nsf	619
something	620
lynnfrom	621
met	622
taken	623
possible	624
best	625
start	626
states	627
trouble	628
ou	629
enter	630
terms	631
person	632
second	633
goes	634
lopez	635
less	636
accept	637
old	638
along	639
line	640
stephanie	641
question	642
really	643
before	644
coming	645
point	646
every	647
sharon	648
bob	649
walters	650
enr	651
carolyn	652
julie	653
sheri	654
thomas	655
andrew	656
martin	657
survey	658
upgrade	659
hotmail	660
place	661
report	662
closing	663
highest	664
rates	665
imbalances	666
oba	667
bodnar	668
its	669
spot	670
several	671
eric	672
jones	673
moore	674
cary	675
training	676
solve	677
march	678
request	679
starting	680
customer	681
moved	682
responsible	683
patrice	684
eol	685
everything's	686
product	687
gtc	688
natural	689
counterparty	690
website	691
such	692
millions	693
sounds	694
gray	695
kendall	696
updated	697
picture	698
correct	699
why	700
seems	701
there's	702
situation	703
haven't	704
folks	705
janzen	706
13	707
issues	708
seeing	709
rick	710
christmas	711
always	712
stay	713
times	714
contact	715
sylvia	716
free	717
heard	718
past	719
longer	720
program	721
chance	722
conversation	723
mar	724
marketing	725
katherine	726
lynda	727
nancy	728
moving	729
april	730
different	731
02	732
09	733
fw	734
asked	735
final	736
kuehl	737
associate	738
operation	739
lowery	740
san	741
info	742
left	743
companies	744
likely	745
'bout	746
rating	747
ruscittix3	748
28	749
street	750
level	751
used	752
bell	753
7	754
actually	755
rena	756
jim	757
services	758
copy	759
having	760
sunday	761
party	762
brown	763
that's	764
touch	765
8	766
50	767
9	768
cal	769
legal	770
ots	771
maria	772
barbara	773
la	774
hit	775
shared	776
can't	777
perlingiere	778
visit	779
hodge	780
loan	781
close	782
approximately	783
high	784
flash	785
jan	786
won't	787
continue	788
obviously	789
sweets	790
michelle	791
nxgate	792
palmer	793
brokers	794
done	795
stand	796
lower	797
trades	798
consumers	799
signed	800
utility	801
district	802
traded	803
managed	804
michigan	805
physical	806
prior	807
worked	808
involved	809
commodity	810
phy	811
america	812
seller	813
pipeline	814
volumes	815
reductions	816
based	817
quoted	818
lunch	819
yourself	820
desks	821
sometime	822
assume	823
dallas	824
agree	825
fortune	826
you've	827
love	828
plans	829
shippers	830
shelley	831
steven	832
resources	833
gomez	834
between	835
ugliest	836
rotation	837
hopefully	838
session	839
boys	840
provide	841
copies	842
draft	843
rebecca	844
feb	845
run	846
016	847
berger	848
diana	849
porter	850
christine	851
rivers	852
talking	853
nov20001	854
sdickso	855
incorporates	856
ricki	857
flood	858
54	859
tropical	860
storm	861
providing	862
checks	863
tomorrow	864
manager	865
sending	866
van	867
bet	868
factor	869
weather	870
witha	871
ease	872
reduce	873
cut	874
caps	875
plants	876
fact	877
trying	878
21	879
concerning	880
right	881
hamilton	882
epsc	883
raquel	884
opening	885
building	886
park	887
garages	888
offered	889
space	890
filled	891
served	892
165	893
subsidy	894
leaving	895
monthly	896
94	897
choose	898
offers	899
connects	900
buildings	901
parkers	902
entrance	903
stairways	904
lobbies	905
accepting	906
decision	907
arrangements	908
transponder	909
packet	910
reached	911
7060	912
clay	913
st	914
pedestrians	915
stairwell	916
corner	917
msr's	918
explained	919
id	920
bill	921
shop	922
afternoon	923
file	924
took	925
one's	926
sf	927
huh	928
yesterday	929
miss	930
interesting	931
morning	932
details	933
gregg	934
luck	935
45	936
agreed	937
experience	938
'sent	939
kruscit	940
federal	941
17	942
ann	943
dawn	944
don	945
jose	946
y	947
margaret	948
rene	949
matthew	950
white	951
elliott	952
gilley	953
diane	954
sandra	955
meredith	956
lees	957
sever	958
ryan	959
zhang	960
deirdre	961
mccaffrey	962
geoff	963
storey	964
shively	965
parks	966
stevens	967
cuilla	968
mims	969
zivic	970
fill	971
palm	972
permission	973
updating	974
distribution	975
plan	976
etc	977
mm	978
ddd	979
yyy	980
payment	981
fed	982
lblair	983
privileged	984
bankruptcy	985
worse	986
schedule	987
result	988
works	989
18	990
ms	991
reports	992
myself	993
wgr	994
60	995
appreciate	996
speed	997
entire	998
fix	999
gerry	1000
stamos	1001
cash	1002
consumer	1003
real	1004
estate	1005
impact	1006
commercial	1007
u	1008
doc	1009
pg	1010
enronxga	1011
te	1012
000p	1013
magdelena	1014
they're	1015
ranking	1016
rankings	1017
phillip	1018
irma	1019
peggy	1020
carter	1021
conner	1022
flores	1023
butler	1024
ned	1025
harris	1026
hyvl	1027
melissa	1028
martinez	1029
veronica	1030
sandy	1031
rogers	1032
gregory	1033
shari	1034
stephen	1035
campos	1036
cook	1037
gerri	1038
gosnell	1039
victor	1040
post	1041
timely	1042
testing	1043
ramona	1044
deadline	1045
says	1046
8880	1047
4157	1048
index	1049
michcon	1050
ellen	1051
solutions	1052
gulf	1053
markets	1054
27	1055
revised	1056
equal	1057
effective	1058
description	1059
delivered	1060
conditions	1061
considered	1062
dollars	1063
yousoon	1064
congratulations	1065
functions	1066
mine	1067
galleria	1068
red	1069
turnaround	1070
1000	1071
decent	1072
ones	1073
life	1074
ice	1075
she's	1076
combined	1077
terri	1078
dykes	1079
forbish	1080
greaney	1081
mcdaniel	1082
scurlock	1083
sturr	1084
woodson	1085
western	1086
mitchell	1087
1st	1088
lead	1089
far	1090
instead	1091
ever	1092
prc	1093
received	1094
kevinp	1095
telephone	1096
pollan	1097
's	1098
sincerely	1099
woman	1100
marie	1101
cards	1102
interest	1103
kevinx3	1104
thinking	1105
someone	1106
