Word	Label
enron	1
the	2
to	3
and	4
i	5
in	6
of	7
this	8
	9
for	10
a	11
we	12
2000	13
is	14
that	15
be	16
on	17
hayslett	18
you	19
x	20
have	21
rod	22
fgt	23
with	24
subject	25
not	26
amp	27
as	28
are	29
will	30
at	31
com	32
do	33
enroncc	34
would	35
development	36
12	37
it	38
what	39
from	40
was	41
out	42
corp	43
ect	44
20001	45
your	46
year	47
thanks	48
can	49
one	50
if	51
budget	52
how	53
he	54
re	55
1	56
but	57
pmto	58
an	59
et	60
s	61
up	62
morris	63
or	64
some	65
my	66
there	67
revenue	68
amto	69
any	70
check	71
fyi	72
me	73
know	74
hou	75
gpgfin	76
0	77
work	78
by	79
think	80
m	81
been	82
going	83
ww	84
gorelieberman	85
kim	86
brassfield	87
elaine	88
content	89
approved	90
get	91
management	92
o	93
has	94
so	95
meeting	96
na	97
dave	98
cc	99
too	100
us	101
were	102
npng	103
cost	104
like	105
our	106
just	107
111	108
concklin	109
bcc	110
ots	111
new	112
phase	113
8	114
big	115
john	116
which	117
now	118
amount	119
accounting	120
here	121
saunders	122
danny	123
please	124
michael	125
kathy	126
pattison	127
mail	128
rhaysle	129
project	130
possible	131
since	132
time	133
all	134
other	135
thoughts	136
guy	137
pool	138
announcement	139
ratings	140
product	141
jo	142
jerry	143
08	144
fees	145
nbpl	146
estimated	147
service	148
costs	149
short	150
when	151
it's	152
got	153
13	154
01	155
stan	156
staff	157
let	158
09	159
prc	160
eees	161
ees	162
rodney	163
communications	164
mime	165
version	166
type	167
text	168
plain	169
charset	170
ascii	171
transfer	172
encoding	173
7bit	174
folder	175
'sent	176
origin	177
r	178
filename	179
should	180
about	181
probably	182
02	183
don't	184
take	185
good	186
tracy	187
go	188
plane	189
over	190
before	191
call	192
dollars	193
000	194
line	195
does	196
might	197
computers	198
more	199
no	200
risk	201
i'm	202
'bout	203
shirley	204
did	205
non	206
business	207
03	208
customer	209
situation	210
past	211
had	212
phil	213
may	214
part	215
these	216
issues	217
hayslett12	218
10	219
peters	220
doing	221
both	222
cindy	223
julie	224
january	225
first	226
2	227
campos	228
dec2000	229
notes	230
folders	231
nsf	232
ets	233
world	234
proposal	235
james	236
am	237
start	238
geaccone	239
last	240
still	241
also	242
against	243
current	244
i'll	245
into	246
caroline	247
lunch	248
30	249
questions	250
only	251
4	252
currently	253
steve	254
talking	255
7	256
spent	257
marketing	258
revenues	259
those	260
brasher	261
few	262
lead	263
believe	264
being	265
actually	266
week	267
26	268
much	269
ok	270
regarding	271
system	272
selected	273
arthur	274
application	275
lot	276
gotta	277
house	278
knock	279
woman	280
individual	281
wilson	282
pre	283
buy	284
answer	285
thought	286
plant	287
long	288
same	289
name	290
fiduciary	291
problem	292
patricia	293
interconnects	294
incremental	295
under	296
back	297
where	298
change	299
contract	300
involved	301
case	302
small	303
left	304
done	305
plains	306
could	307
services	308
others	309
jim	310
mccarty	311
heads	312
send	313
8th	314
who	315
they	316
armstrong12	317
end	318
scheduled	319
monday	320
required	321
attend	322
able	323
tuesday	324
14	325
lon	326
robert	327
mark	328
e	329
cao	330
hopefully	331
date	332
office	333
horton	334
citizen's	335
arizona	336
04	337
deal	338
discussed	339
sure	340
cash	341
make	342
another	343
29	344
mary	345
afflerbach	346
jolibois	347
holiday	348
soon	349
front	350
15	351
took	352
group	353
commercial	354
wants	355
lower	356
level	357
through	358
point	359
mike	360
waymire	361
never	362
issue	363
fasb	364
firms	365
off	366
merged	367
company	368
plan	369
companies	370
prior	371
two	372
revision	373
haysletr	374
lt	375
privileged	376
mean	377
713	378
43	379
he's	380
joe	381
tomorrow	382
america's	383
around	384
6	385
we're	386
555	387
kimberly	388
martha	389
question	390
capital	391
5	392
original	393
rm	394
approval	395
item	396
3	397
orders	398
9	399
carryover	400
additional	401
generated	402
reduced	403
because	404
quenet	405
excellent	406
clements	407
strong	408
fenstad	409
satisfactorythese	410
based	411
upon	412
general	413
knowledge	414
specifics	415
months	416
discussion	417
generous	418
payment	419
aol	420
see	421
ship	422
then	423
nalmp	424
established	425
after	426
feel	427
comfortable	428
details	429
ratner	430
ahead	431
1000	432
jerry's	433
brassfieldmorris	434
fully	435
support	436
recommended	437
review	438
second	439
went	440
understand	441
decision	442
everyone	443
analysis	444
caminus	445
andersen	446
touche	447
ernst	448
young	449
recently	450
very	451
procedures	452
drive	453
need	454
implementation	455
data	456
volume	457
low	458
looking	459
stay	460
fed	461
ex	462
sorry	463
rest	464
message	465
must	466
deleted	467
closing	468
day	469
boy	470
we'll	471
el	472
paso	473
worked	474
aquila	475
knows	476
participation	477
rates	478
entity	479
cooper	480
alliance	481
programbefore	482
email	483
confirm	484
intend	485
collecting	486
distributing	487
180k	488
rebate	489
program	490
methanol	491
contributed	492
3000k	493
toward	494
5000k	495
goal	496
dickens	497
wilsondirector	498
process	499
operating	500
equipmentglobal	501
strategic	502
sourcing713	503
646	504
7545shirley	505
term	506
pjm	507
florida	508
similar	509
suggestion	510
create	511
regulated	512
affiliate	513
leaves	514
venture	515
solves	516
peters12	517
51	518
wiederholt	519
janet	520
place	521
charging	522
tariff	523
credited	524
originally	525
charged	526
definitely	527
least	528
maintaining	529
lateral	530
synfuels	531
nd	532
fact	533
district	534
manager	535
glasgow	536
booked	537
most	538
cases	539
negotiating	540
suggest	541
unless	542
significant	543
contracts	544
amounts	545
main	546
reasons	547
ease	548
avoidance	549
relations	550
06	551
05	552
interconnectshow	553
guys	554
doesn't	555
employees	556
yet	557
understaood	558
provide	559
forgot	560
attachment	561
attendance	562
stark12	563
52	564
armstrong	565
subs	566
cindyjulie	567
38	568
stark	569
fyicindy	570
note	571
received	572
information	573
olson	574
vp	575
md	576
serves	577
committee	578
stan's	579
having	580
sharron	581
westbrook	582
enron12	583
kent	584
castleman	585
sally	586
beck	587
melissa	588
becker	589
howard	590
selzer	591
bob	592
butts	593
wes	594
colwell	595
wanda	596
curry	597
fernley	598
dyson	599
faldyn	600
hermann	601
tod	602
lindholm	603
lindsey	604
keith	605
marlow	606
jeffrey	607
sommers	608
kevin	609
hughes	610
carol	611
howes	612
k	613
patrick	614
echols	615
brent	616
price	617
george	618
wasaff	619
andrew	620
parsons	621
gunther	622
developmentcc	623
margarite	624
cunningham	625
linda	626
hawkins	627
dortha	628
gray	629
karen	630
myer	631
nicole	632
scott	633
shelley	634
grover	635
bobbie	636
moody	637
sandy	638
lewelling	639
norma	640
petry	641
leigh	642
ann	643
van	644
houten	645
tijerina	646
patti	647
thompson	648
cathy	649
corbin	650
ruth	651
noble	652
michele	653
beffer	654
carolyn	655
olsovsky	656
chantelle	657
villanueva	658
karina	659
prizont	660
darlene	661
taylor	662
christina	663
liscano	664
weldon	665
meetnigthe	666
dec	667
19	668
canceled	669
responsible	670
area	671
such	672
seen	673
nothing	674
available	675
pattison12	676
attending	677
yourself	678
kim68301rod	679
21	680
david	681
rosenberg	682
hayes	683
jack	684
boatman	685
market	686
questionhayes	687
suggested	688
run	689
mtm	690
looks	691
particularly	692
i'mnot	693
regards	694
discount	695
factors	696
allowed	697
whether	698
toaccount	699
factor	700
moneys	701
flowing	702
until	703
2nd	704
quarter	705
20002	706
job	707
can't	708
keiser12	709
nancy	710
carpenter	711
larry	712
palma	713
botello	714
jennifer	715
lev	716
anne	717
henry	718
baker	719
luncheonnon	720
replies	721
levi	722
keiser	723
drivers	724
three	725
contact	726
rides	727
parked	728
building	729
pick	730
maggie	731
her	732
restaurant	733
quite	734
pleased	735
minute	736
banking	737
democrat	738
working	739
billed	740
rc	741
reserving	742
flight	743
than	744
them	745
actual	746
side	747
happen	748
taken	749
care	750
planning	751
view	752
executive	753
track	754
comments	755
mcgowan12	756
16	757
goodpasture	758
usage	759
20001rod	760
heard	761
airplane	762
timing	763
finalize	764
omaha	765
article	766
sunday's	767
herald	768
reversed	769
its	770
position	771
merger	772
require	773
amortize	774
goodwill	775
write	776
income	777
addition	778
eliminate	779
pooling	780
interest	781
restrictions	782
allow	783
sell	784
unwanted	785
assets	786
waing	787
period	788
applicable	789
mergers	790
occurred	791
insights	792
thank	793
mcgowan	794
flash	795
net	796
pst	797
want	798
numbers	799
853	800
52229	801
pleasure	802
barnes02	803
revised	804
jan	805
infrastructure	806
allocationlet's	807
discuss	808
cvb	809
little	810
exageration	811
hurts	812
remember	813
fourteen	814
man	815
many	816
submitted	817
hey	818
w	819
luck	820
keep	821
touch	822
status	823
closer	824
confirmeda	825
reminder	826
december	827
12th	828
confirmed	829
reservation	830
located	831
18000	832
post	833
oak	834
blvd	835
pavilion	836
shopping	837
center	838
961	839
1492please	840
x333597	841
pop	842
yvette's	843
boyfriend	844
home	845
ish	846
called	847
andm	848
voice	849
rob's	850
pm	851
flows	852
locked	853
chance	854
adjust	855
carry	856
forwards	857
worst	858
reapproved	859
outside	860
likely	861
internal	862
moving	863
compensate	864
guarenteed	865
gilbert12	866
watson	867
janousek	868
fiscus	869
expenditureswhile	870
asked	871
budgeting	872
carrying	873
previously	874
facts	875
millions	876
july	877
spend	878
expected	879
expenditures	880
assessment	881
money	882
needed	883
deliverables	884
carried	885
200020001	886
total	887
2000question	888
covered	889
existing	890
additive	891
without	892
further	893
even	894
though	895
offset	896
million	897
reduce	898
words	899
yo	900
detail	901
provided	902
sarabeth	903
boys	904
gym	905
times	906
yes	907
dear	908
stephanie	909
per	910
eol	911
help	912
set	913
id	914
password	915
today	916
approve	917
forward	918
hi	919
felicia	920
amex	921
gift	922
certificate	923
50	924
processed	925
fine	926
ratner12	927
39	928
mmvmunson	929
comcc	930
nelson	931
why	932
prefer	933
shipped	934
exact	935
say	936
something	937
relationship	938
transportation	939
pipeline	940
subsidiary	941
corporation	942
mentioning	943
michaelmmvmunson	944
27	945
usually	946
update	947
supporters	948
donors	949
lies	950
mention	951
pending	952
totally	953
agree	954
insurance	955
fits	956
you're	957
duck	958
excellentclements	959
strongfenstad	960
satisfactory12	961
pmmorris	962
brassfield12	963
pm12	964
casual	965
observations	966
cannot	967
dispute	968
needs	969
step	970
plate	971
delivering	972
creative	973
solutions	974
outstanding	975
capabilities	976
seems	977
tends	978
manage	979
wandering	980
taking	981
barney's	982
rating	983
larry's	984
edge	985
shore	986
organization	987
placing	988
expectations	989
improvements	990
whole	991
dividing	992
accountabilities	993
accordingly	994
53	995
http	996
gasfundy	997
gas	998
framework	999
default	1000
asp	1001
pretty	1002
high	1003
priority	1004
gary	1005
smith	1006
use	1007
contractor	1008
worry	1009
blood	1010
pressure	1011
right	1012
women	1013
rob	1014
shared	1015
room	1016
third	1017
sleep	1018
slight	1019
buzz	1020
bush	1021
plenty	1022
streets	1023
apart	1024
guess	1025
request	1026
put	1027
ets'	1028
