Word	Label
the	1
to	2
i	3
enron	4
ect	5
and	6
you	7
lt	8
a	9
of	10
is	11
for	12
sara	13
in	14
com	15
that	16
we	17
on	18
with	19
hou	20
have	21
this	22
be	23
	24
willl	25
me	26
shackleton	27
are	28
carol	29
please	30
if	31
it	32
from	33
713	34
subject	35
thanks	36
fax	37
your	38
st	39
phone	40
853	41
corp	42
as	43
not	44
646	45
know	46
or	47
am	48
can	49
at	50
would	51
our	52
my	53
ccc	54
do	55
any	56
america	57
let	58
north	59
clair	60
2000	61
neeed	62
1	63
x	64
re	65
texas	66
an	67
agreeement	68
smith	69
by	70
calll	71
eb	72
but	73
streeet	74
5620	75
about	76
3490	77
was	78
what	79
14000	80
2	81
credit	82
20001	83
3801ahouston	84
shackletonenron	85
7770002713	86
isda	87
so	88
sent	89
alll	90
has	91
up	92
which	93
they	94
us	95
like	96
should	97
get	98
out	99
10	100
there	101
time	102
susan	103
e	104
3	105
amp	106
just	107
pm	108
also	109
master	110
think	111
development	112
may	113
3989	114
atttached	115
want	116
33393	117
when	118
he	119
mail	120
new	121
messsage	122
claireb	123
12	124
send	125
could	126
000	127
111	128
weeek	129
seee	130
s	131
some	132
ena	133
mark	134
them	135
20	136
one	137
i'm	138
draft	139
no	140
basss	141
these	142
beeen	143
email	144
ectccc	145
how	146
had	147
other	148
going	149
back	150
04	151
here	152
09	153
legal	154
amto	155
schedule	156
enronxgate	157
05	158
4	159
don't	160
pmto	161
questions	162
language	163
guaranty	164
commments	165
01	166
na	167
work	168
john	169
03	170
who	171
02	172
trading	173
30	174
08	175
5	176
3892713	177
eric	178
isssues	179
did	180
only	181
i'lll	182
next	183
06	184
were	185
last	186
form	187
today	188
make	189
she	190
forward	191
day	192
into	193
deal	194
gas	195
original	196
their	197
review	198
offfice	199
swap	200
meeeting	201
jason	202
group	203
information	204
doc	205
date	206
go	207
kim	208
more	209
6	210
help	211
her	212
c	213
stilll	214
discusss	215
content	216
friday	217
goood	218
list	219
tomorrrow	220
houston	221
number	222
transfer	223
loook	224
07	225
received	226
p	227
changes	228
now	229
take	230
mary	231
sss	232
two	233
before	234
inc	235
give	236
party	237
confirm	238
after	239
version	240
does	241
then	242
welll	243
notes	244
sure	245
copy	246
file	247
lettter	248
folllowing	249
use	250
agreeements	251
philllip	252
david	253
financial	254
hope	255
him	256
his	257
counterparty	258
morning	259
b	260
9	261
change	262
both	263
monday	264
confirmation	265
under	266
type	267
since	268
8	269
first	270
jefff	271
name	272
taylor	273
talk	274
section	275
per	276
price	277
tuesday	278
where	279
transaction	280
transactions	281
regards	282
thank	283
than	284
isssue	285
tana	286
l	287
trade	288
ward	289
energy	290
betweeen	291
15	292
7	293
0	294
contact	295
dg	296
regarding	297
much	298
power	299
until	300
com'	301
very	302
13	303
999	304
mailto	305
each	306
sooon	307
16	308
executed	309
m	310
set	311
heard	312
trades	313
adddresss	314
23	315
paul	316
thursday	317
through	318
bccc	319
done	320
anything	321
because	322
try	323
fyi	324
w	325
provide	326
meeet	327
38889713	328
its	329
deals	330
14	331
termination	332
respect	333
nelson	334
suzannne	335
conference	336
brent	337
available	338
year	339
voice	340
people	341
over	342
working	343
wednesday	344
again	345
below	346
find	347
asked	348
part	349
event	350
tax	351
lon	352
check	353
same	354
annnex	355
able	356
company	357
such	358
19	359
rod	360
21	361
cheryl	362
stephanie	363
great	364
tanya	365
26	366
text	367
wanted	368
acccount	369
processs	370
response	371
days	372
thought	373
few	374
sorrry	375
put	376
right	377
stacy	378
either	379
lunch	380
posssible	381
physical	382
fine	383
bank	384
amendment	385
reallly	386
might	387
28	388
april	389
25	390
222	391
person	392
amount	393
darrron	394
it's	395
loooking	396
place	397
addd	398
offf	399
way	400
trying	401
billl	402
giron	403
doing	404
default	405
made	406
documents	407
hear	408
law	409
loooks	410
businesss	411
request	412
believe	413
can't	414
folder	415
origin	416
spoke	417
entity	418
plain	419
encoding	420
paragraph	421
keeep	422
colllateral	423
mime	424
charset	425
neeeds	426
left	427
tooo	428
17	429
come	430
leave	431
said	432
yet	433
filename	434
someone	435
june	436
7bit	437
further	438
long	439
net	440
joe	441
asciii	442
end	443
pereira	444
got	445
folders	446
bailey	447
ed	448
being	449
24	450
nsf	451
lawyer	452
agreeed	453
csa	454
advise	455
whether	456
jones	457
counsel	458
anyone	459
gettting	460
desk	461
night	462
yesterday	463
asssignment	464
suppport	465
kaye	466
scottt	467
27	468
chris	469
london	470
afternooon	471
18	472
format	473
mike	474
however	475
morgan	476
addditional	477
etc	478
29	479
best	480
why	481
works	482
discusssed	483
march	484
note	485
having	486
something	487
services	488
already	489
order	490
adams	491
i've	492
didn't	493
robert	494
another	495
understand	496
requested	497
yes	498
online	499
things	500
let's	501
dec2000	502
execution	503
folllow	504
info	505
home	506
confirms	507
contract	508
revised	509
steve	510
maybe	511
receive	512
upon	513
june20001	514
currrently	515
et	516
document	517
term	518
freee	519
those	520
rate	521
most	522
later	523
vacation	524
final	525
k	526
agreee	527
payment	528
ssshackle	529
risk	530
update	531
used	532
else	533
russselll	534
michael	535
market	536
west	537
respond	538
latest	539
aol	540
include	541
counterparties	542
bruce	543
opinion	544
hendry	545
bear	546
richard	547
speak	548
waiting	549
ok	550
point	551
george	552
plan	553
side	554
above	555
short	556
jim	557
d	558
based	559
weeeks	560
provisions	561
31	562
equity	563
telll	564
feeel	565
ask	566
early	567
sheila	568
eees	569
lynnn	570
love	571
during	572
together	573
flynnn	574
cannnot	575
firm	576
signed	577
j	578
tracy	579
samantha	580
parties	581
product	582
project	583
copies	584
bettter	585
tom	586
h	587
sign	588
cash	589
never	590
diffferent	591
weeekend	592
guys	593
sending	594
g	595
threshold	596
terms	597
frank	598
probably	599
htttp	600
products	601
interested	602
handle	603
month	604
boook	605
okay	606
ready	607
told	608
marie	609
wants	610
panus	611
around	612
iii	613
return	614
u	615
existing	616
sarasara	617
docs	618
acccesss	619
r	620
open	621
general	622
computer	623
pay	624
gary	625
proposed	626
weather	627
daily	628
derivatives	629
trader	630
eol	631
litttle	632
down	633
currrent	634
memo	635
prior	636
many	637
consent	638
offfer	639
commmunications	640
lotus	641
enronccc	642
limited	643
house	644
ever	645
notice	646
prices	647
line	648
once	649
say	650
alllen	651
given	652
second	653
must	654
t	655
coook	656
non	657
everyone	658
shalll	659
chance	660
team	661
securities	662
efffective	663
enclosed	664
confirmed	665
el	666
reviewing	667
leslie	668
verify	669
word	670
hearing	671
due	672
corrrect	673
45	674
arbitration	675
even	676
system	677
callled	678
status	679
tafffy	680
