Word	Label
the	1
to	2
i	3
you	4
enron	5
and	6
a	7
	8
of	9
for	10
lt	11
on	12
is	13
in	14
have	15
that	16
com	17
this	18
it	19
me	20
be	21
with	22
we	23
are	24
if	25
20	26
from	27
your	28
at	29
not	30
20001	31
know	32
mat	33
s	34
thanks	35
amp	36
please	37
will	38
stacy	39
smith	40
so	41
as	42
i'm	43
subject	44
my	45
up	46
e	47
or	48
matt	49
just	50
ect	51
but	52
was	53
do	54
et	55
any	56
get	57
out	58
am	59
would	60
can	61
let	62
mail	63
need	64
an	65
by	66
call	67
our	68
what	69
think	70
should	71
all	72
time	73
about	74
day	75
when	76
new	77
don't	78
sent	79
x	80
going	81
amto	82
attached	83
na	84
night	85
one	86
cc	87
did	88
some	89
dickson	90
re	91
713	92
pm	93
000	94
hou	95
01	96
agreement	97
had	98
gas	99
which	100
airport	101
they	102
message	103
other	104
1	105
us	106
03	107
i'll	108
go	109
how	110
well	111
there	112
2	113
want	114
work	115
today	116
mark	117
like	118
here	119
enronxgate	120
week	121
also	122
these	123
she	124
only	125
lynn	126
still	127
good	128
more	129
corp	130
questions	131
back	132
weekend	133
he	134
has	135
pirnie	136
houston	137
12	138
original	139
email	140
changes	141
pmto	142
no	143
10	144
111	145
it's	146
anyway	147
file	148
02	149
continental	150
may	151
make	152
phone	153
3	154
enroncc	155
database	156
next	157
hey	158
check	159
chris	160
version	161
were	162
great	163
sure	164
firm	165
number	166
04	167
8	168
yet	169
each	170
plant	171
could	172
flight	173
them	174
see	175
those	176
l	177
credit	178
08	179
last	180
transaction	181
ticket	182
rate	183
add	184
program	185
fw	186
than	187
222	188
guys	189
send	190
o	191
give	192
link	193
then	194
travel	195
before	196
comments	197
now	198
6	199
off	200
tx	201
where	202
already	203
been	204
contract	205
under	206
05	207
because	208
free	209
working	210
alexis	211
into	212
got	213
wanted	214
gregg	215
use	216
7	217
mailto	218
4	219
blair	220
meeting	221
later	222
deal	223
master	224
does	225
look	226
data	227
available	228
sat	229
becky	230
yahoo	231
hilton	232
numbers	233
5	234
review	235
gisb	236
located	237
comcc	238
between	239
north	240
thursday	241
website	242
days	243
29	244
krenzer	245
anything	246
him	247
forward	248
after	249
additional	250
per	251
find	252
energy	253
two	254
march	255
who	256
took	257
compubank	258
chicago	259
say	260
run	261
06	262
information	263
ww	264
her	265
really	266
tomorrow	267
try	268
http	269
discussed	270
since	271
amanda	272
again	273
through	274
miles	275
rates	276
month	277
place	278
you're	279
30	280
yesterday	281
price	282
take	283
26	284
tab	285
coming	286
can't	287
though	288
ny	289
barclay	290
little	291
hope	292
right	293
morning	294
storage	295
way	296
following	297
looking	298
purchase	299
change	300
soon	301
around	302
nov	303
sorry	304
matchbox	305
affiliates	306
set	307
hr	308
shall	309
co	310
specials	311
09	312
web	313
too	314
friday	315
getting	316
9	317
content	318
type	319
hear	320
853	321
access	322
west	323
thing	324
america	325
called	326
fine	327
business	328
york	329
february	330
down	331
b	332
0	333
made	334
i'd	335
nui	336
come	337
very	338
trip	339
over	340
model	341
few	342
points	343
16	344
newark	345
yes	346
socal	347
didn't	348
ava	349
their	350
april	351
2000	352
might	353
home	354
name	355
keep	356
said	357
outages	358
table	359
thank	360
m	361
much	362
monday	363
june	364
n	365
washington	366
key	367
il	368
nj	369
although	370
company	371
ok	372
haven't	373
copy	374
start	375
msn	376
report	377
tom	378
13	379
without	380
w	381
visit	382
his	383
description	384
saturday	385
reps	386
cycle	387
randy	388
went	389
salazar	390
latest	391
oh	392
john	393
sale	394
steve	395
id	396
long	397
definitely	398
left	399
thought	400
15	401
inc	402
lga	403
delivery	404
date	405
pipeline	406
brief	407
479	408
talk	409
invoices	410
however	411
while	412
happy	413
line	414
receive	415
jeff	416
feel	417
power	418
group	419
january	420
agreements	421
tuesday	422
spreadsheet	423
tell	424
below	425
details	426
depart	427
guess	428
terry	429
eol	430
sheet	431
parameters	432
resume	433
cleveland	434
angela	435
susan	436
first	437
trading	438
end	439
deals	440
jan	441
its	442
chance	443
fyi	444
added	445
c	446
house	447
why	448
what's	449
maybe	450
put	451
iah	452
address	453
must	454
manual	455
offers	456
until	457
transfer	458
i've	459
such	460
different	461
help	462
done	463
requested	464
ena	465
50	466
big	467
info	468
daily	469
another	470
huble	471
probably	472
even	473
contact	474
loop	475
dinner	476
works	477
14	478
licence	479
ewr	480
system	481
away	482
course	483
trying	484
27	485
guaranty	486
able	487
letter	488
explorer	489
query	490
believe	491
document	492
hour	493
remember	494
something	495
times	496
car	497
arrive	498
www	499
doc	500
city	501
18	502
jennifer	503
658	504
suite	505
special	506
position	507
bcc	508
reason	509
sometime	510
physical	511
national	512
both	513
tonight	514
needs	515
testing	516
terms	517
444	518
comsubject	519
told	520
airlines	521
receipt	522
required	523
yo	524
kathy	525
interested	526
tried	527
party	528
game	529
south	530
clay	531
notes	532
product	533
entry	534
computer	535
mike	536
list	537
333	538
louisville	539
dc	540
heard	541
leave	542
mime	543
garcia	544
origin	545
that's	546
46	547
coral	548
love	549
25	550
understand	551
team	552
kristen	553
19	554
myself	555
general	556
except	557
fax	558
point	559
sounds	560
wondering	561
spot	562
ready	563
online	564
reservations	565
21	566
u	567
location	568
office	569
sunday	570
plans	571
fgt	572
agoldberg	573
apply	574
reports	575
5705	576
quantity	577
solver	578
draft	579
things	580
text	581
plain	582
charset	583
feeling	584
regarding	585
tickets	586
mary	587
everyone	588
07	589
elizabeth	590
texas	591
nice	592
nyc	593
here's	594
further	595
same	596
t	597
stay	598
awhile	599
actually	600
doing	601
laguardia	602
pass	603
hotel	604
reviewing	605
else	606
kowalke	607
joe	608
debra	609
book	610
com'	611
person	612
request	613
ihs	614
stacey	615
town	616
larry	617
raetta	618
nng	619
listed	620
offer	621
fundamentals	622
twenty	623
417	624
asalazar	625
being	626
many	627
david	628
historicals	629
j	630
k	631
ascii	632
encoding	633
7bit	634
folder	635
filename	636
lunch	637
provisions	638
included	639
cal	640
talked	641
pretty	642
mean	643
met	644
fun	645
provision	646
waiting	647
card	648
correct	649
open	650
goes	651
conditions	652
question	653
note	654
process	655
follows	656
thinking	657
floor	658
year	659
near	660
spoke	661
test	662
service	663
site	664
downtown	665
second	666
term	667
street	668
scott	669
analyst	670
concerns	671
we'll	672
'matt	673
concert	674
reminder	675
transactions	676
family	677
complete	678
runs	679
cell	680
ky	681
midway	682
mdw	683
agree	684
read	685
payment	686
non	687
drop	688
meet	689
customer	690
enovate	691
amendment	692
buchanan	693
bad	694
either	695
fill	696
most	697
bunch	698
job	699
17	700
