Word	Label
the	1
will	2
to	3
and	4
a	5
in	6
new	7
albany	8
is	9
for	10
kw	11
on	12
value	13
be	14
you	15
4	16
of	17
with	18
scott	19
1	20
per	21
check	22
this	23
out	24
com	25
power	26
20001	27
please	28
thanks	29
jeff	30
my	31
ww	32
gorelieberman	33
2000	34
agreed	35
epmi	36
east	37
book	38
as	39
tjae	40
calger	41
if	42
sharing	43
agreement	44
deductible	45
limited	46
30	47
fuel	48
costs	49
after	50
are	51
booking	52
fixed	53
demand	54
charge	55
next	56
5	57
gas	58
through	59
facility	60
receive	61
return	62
12	63
mwh	64
1000	65
availability	66
call	67
me	68
can	69
set	70
up	71
enron	72
have	73
chris	74
involvement	75
involved	76
project	77
amp	78
q1	79
getting	80
ben	81
scott's	82
between	83
myself	84
upon	85
decision	86
line	87
accept	88
proposal	89
assuming	90
million	91
occurence	92
bi	93
days	94
includes	95
full	96
replacement	97
revenue	98
less	99
marginal	100
day	101
period	102
below	103
assumptions	104
spread	105
option	106
pays	107
years	108
follows	109
72	110
k	111
mo20002	112
63	113
mo20003	114
54	115
mo20004	116
45	117
mo20005	118
36	119
moas	120
consideration	121
has	122
right	123
toll	124
at	125
heat	126
rate	127
conversion	128
factor	129
mmbtu	130
addition	131
pay	132
start	133
maintenance	134
reserve	135
fund	136
000	137
variable	138
operating	139
llc	140
an	141
8	142
capital	143
depreciated	144
from	145
409	146
basis	147
3336	148
31	149
20005	150
output	151
assumption	152
360	153
mw	154
95	155
summer	156
75	157
winter	158
jenny	159
revise	160
rogers	161
effective	162
tonight	163
yo	164
big	165
guy	166
where	167
woman	168
could	169
come	170
kevin	171
presto	172
tv	173
he	174
thinks	175
cable	176
it	177
tv's	178
now	179
fletch	180
again	181
bill	182
rust	183
x333801	184
reg	185
tva	186
jan	187
feb	188
transmission	189
when	190
get	191
chance	192
http	193
gasfundy	194
corp	195
framework	196
default	197
asp	198
following	199
understanding	200
i	201
regarding	202
healy's	203
initiatives	204
since	205
auburndale	206
effectively	207
dead	208
no	209
longer	210
support	211
haywood	212
georgia	213
calvert	214
city	215
development	216
site	217
sales	218
p	219
l	220
healy	221
personal	222
performance	223
credit	224
elects	225
continue	226
use	227
services	228
beyond	229
ader	230
make	231
consultation	232
continued	233
cell	234
tax	235
monetization	236
dighton	237
restructuring	238
makes	239
that	240
needs	241
remain	242
actively	243
order	244
close	245
transaction	246
made	247
allocation	248
upfront	249
within	250
week	251
fair	252
cannot	253
reached	254
transition	255
responsibility	256
another	257
member	258
his	259
origination	260
team	261
do	262
agree	263
above	264
description	265
stephanie	266
eol	267
help	268
id	269
password	270
today	271
joe	272
quenet	273
