Word	Label
the	1
to	2
	3
and	4
enron	5
of	6
for	7
i	8
a	9
on	10
in	11
this	12
that	13
you	14
20	15
is	16
with	17
be	18
have	19
s	20
amp	21
we	22
are	23
will	24
not	25
et	26
at	27
lt	28
com	29
from	30
if	31
me	32
01	33
was	34
would	35
permit	36
or	37
permits	38
it	39
by	40
as	41
epa	42
enronxgate	43
4	44
please	45
your	46
has	47
out	48
larry	49
thanks	50
do	51
1	52
x	53
know	54
which	55
20001	56
they	57
he	58
2	59
air	60
any	61
up	62
an	63
3	64
were	65
call	66
meeting	67
get	68
about	69
us	70
transwestern	71
can	72
all	73
my	74
had	75
campbell	76
am	77
what	78
lynn	79
subject	80
been	81
issue	82
these	83
but	84
our	85
no	86
new	87
john	88
000	89
state	90
station	91
e	92
there	93
should	94
when	95
need	96
stacy	97
each	98
some	99
gas	100
like	101
sent	102
team	103
time	104
c	105
week	106
let	107
them	108
also	109
30	110
attached	111
message	112
review	113
after	114
region	115
tanks	116
just	117
emissions	118
agency	119
turbine	120
one	121
blair	122
back	123
10	124
may	125
l	126
questions	127
issues	128
public	129
15	130
into	131
going	132
only	133
both	134
information	135
last	136
so	137
then	138
original	139
report	140
cc	141
make	142
http	143
how	144
re	145
environmental	146
mail	147
pm	148
received	149
required	150
did	151
lc	152
work	153
arizona	154
0	155
agreement	156
eott	157
day	158
sure	159
compliance	160
8	161
give	162
comments	163
stations	164
adeq	165
az	166
issued	167
next	168
their	169
version	170
check	171
111	172
facility	173
2000	174
june	175
days	176
content	177
comment	178
status	179
agencies	180
being	181
roger	182
project	183
contact	184
pmto	185
use	186
help	187
713	188
held	189
than	190
nov	191
flagstaff	192
go	193
construction	194
ava	195
dickson	196
i'm	197
concerning	198
shafer	199
draft	200
request	201
take	202
more	203
v	204
mexico	205
under	206
d	207
here	208
pcb	209
activities	210
issuance	211
reps	212
ix	213
don't	214
p	215
month	216
keep	217
amto	218
invoices	219
kendrick	220
submitted	221
because	222
conditions	223
randy	224
him	225
could	226
joe	227
jpg	228
system	229
enroncc	230
discussed	231
today	232
his	233
first	234
9	235
engineer	236
prior	237
period	238
sulfur	239
title	240
following	241
concerns	242
853	243
06	244
see	245
foundation	246
25	247
co	248
terry	249
below	250
william	251
office	252
per	253
nng	254
annual	255
made	256
told	257
other	258
tuesday	259
think	260
two	261
red	262
mike	263
group	264
safety	265
good	266
might	267
shudeish	268
does	269
monday	270
plan	271
order	272
application	273
operating	274
july	275
question	276
12	277
socal	278
where	279
applications	280
5	281
want	282
tnrcc	283
september	284
before	285
tank	286
above	287
firm	288
second	289
presented	290
hearing	291
19	292
weeks	293
discuss	294
expansion	295
service	296
deq	297
ensr	298
type	299
changes	300
change	301
send	302
number	303
find	304
www	305
09	306
now	307
couple	308
october	309
even	310
6	311
ok	312
rock	313
way	314
again	315
inspection	316
very	317
year	318
list	319
n	320
nancy	321
said	322
bcc	323
additional	324
during	325
rick	326
7	327
due	328
ill	329
who	330
person	331
reviewing	332
proposed	333
wanted	334
date	335
meet	336
big	337
fw	338
come	339
too	340
14	341
morning	342
end	343
midland	344
requirements	345
45	346
aqb	347
over	348
fgt	349
transfer	350
returned	351
fyi	352
possible	353
reports	354
222	355
completed	356
16	357
schedule	358
scott	359
jensen	360
steve	361
it's	362
site	363
conference	364
until	365
require	366
working	367
pipeline	368
roundtable	369
right	370
however	371
raetta	372
teams	373
low	374
her	375
long	376
storage	377
night	378
test	379
california	380
kowalke	381
master	382
put	383
houston	384
north	385
south	386
process	387
problem	388
fuel	389
off	390
future	391
set	392
jerry	393
still	394
having	395
ruth	396
donna	397
based	398
she	399
well	400
management	401
spoke	402
stated	403
between	404
delay	405
asked	406
ppmvd	407
nox	408
standard	409
data	410
really	411
email	412
roof	413
t	414
kathy	415
806	416
742	417
liquids	418
mime	419
text	420
plain	421
charset	422
encoding	423
folder	424
notes	425
origin	426
filename	427
section	428
letter	429
sorry	430
down	431
third	432
bill	433
written	434
notice	435
kohn	436
everyone	437
facilities	438
apply	439
within	440
arnold	441
thursday	442
federal	443
mary	444
dan	445
5705	446
i'll	447
quarter	448
rocky	449
mountain	450
elk	451
rmef	452
j	453
since	454
gisb	455
hours	456
yr	457
crude	458
pg	459
energy	460
kevin	461
later	462
friday	463
etc	464
august	465
part	466
buchanan	467
ascii	468
7bit	469
agreements	470
credit	471
im	472
rooms	473
point	474
preliminary	475
free	476
page	477
complete	478
address	479
tubes	480
forward	481
things	482
assistance	483
ww	484
gorelieberman	485
initiate	486
years	487
capacity	488
its	489
look	490
requested	491
left	492
while	493
talked	494
found	495
cycle	496
those	497
replacement	498
quality	499
glad	500
getting	501
home	502
employees	503
b	504
o	505
longer	506
tx	507
redrock	508
different	509
given	510
40	511
include	512
ton	513
1000	514
oil	515
calls	516
02	517
got	518
same	519
floor	520
another	521
high	522
tpy	523
throughput	524
loss	525
pressure	526
nsps	527
sites	528
internal	529
sherry	530
jean	531
debra	532
several	533
7444	534
training	535
compressor	536
gov	537
602	538
charges	539
kingman	540
navajo	541
folders	542
nsf	543
most	544
referenced	545
close	546
house	547
copies	548
loop	549
lead	550
linda	551
marketing	552
line	553
html	554
field	555
danny	556
gieser	557
riedel	558
brian	559
comcc	560
talking	561
america	562
offer	563
feel	564
activity	565
plans	566
williams	567
approved	568
sign	569
apprised	570
little	571
bob	572
martin	573
already	574
used	575
martens	576
correct	577
info	578
side	579
talk	580
08	581
looking	582
non	583
bureau	584
lynnfrom	585
available	586
k	587
approval	588
oba	589
hope	590
23	591
problems	592
therefore	593
needs	594
lands	595
determine	596
less	597
indicated	598
thank	599
receive	600
much	601
21	602
rates	603
imbalances	604
approximately	605
error	606
further	607
kb	608
tangie	609
update	610
17	611
415	612
60	613
upgrade	614
considered	615
company	616
dsl	617
m	618
load	619
stacey	620
nov20001	621
trip	622
four	623
final	624
news	625
start	626
afternoon	627
tomorrow	628
blocking	629
event	630
enough	631
jolly	632
andrew	633
ralph	634
spring	635
few	636
20002	637
27	638
file	639
doc	640
went	641
permitting	642
resolved	643
ends	644
located	645
1st	646
stain	647
monitoring	648
outstanding	649
richard	650
operation	651
document	652
guy	653
doing	654
market	655
ago	656
months	657
decide	658
must	659
05	660
333	661
bret	662
something	663
sell	664
ferc	665
staff	666
care	667
28	668
looks	669
operations	670
agreed	671
remove	672
affairs	673
voice	674
note	675
conducted	676
disposal	677
mean	678
people	679
yesterday	680
meetings	681
included	682
such	683
allow	684
janzen	685
aware	686
near	687
account	688
factor	689
levels	690
loads	691
limits	692
