Word	Label
the	1
to	2
i	3
and	4
you	5
a	6
of	7
ect	8
in	9
is	10
for	11
that	12
this	13
kate	14
on	15
with	16
it	17
deal	18
enron	19
be	20
have	21
me	22
symes	23
thanks	24
we	25
subject	26
pdx	27
are	28
if	29
20001	30
ectcc	31
as	32
at	33
know	34
not	35
deals	36
from	37
will	38
but	39
please	40
pmto	41
or	42
let	43
can	44
just	45
carol	46
so	47
your	48
has	49
my	50
was	51
should	52
out	53
these	54
he	55
01	56
they	57
am	58
about	59
i'm	60
all	61
would	62
what	63
changed	64
do	65
02	66
our	67
like	68
been	69
need	70
up	71
1	72
	73
2	74
hou	75
re	76
get	77
st	78
3	79
any	80
by	81
000	82
time	83
an	84
when	85
15	86
there	87
com	88
12	89
them	90
amto	91
metoyer	92
price	93
lt	94
713	95
one	96
new	97
fax	98
peak	99
call	100
now	101
mw	102
phone	103
it's	104
i'll	105
853	106
03	107
i've	108
which	109
broker	110
think	111
no	112
25	113
111	114
e	115
4	116
mike	117
corp	118
energy	119
more	120
phillip	121
here	122
some	123
could	124
thompson	125
were	126
had	127
name	128
check	129
see	130
2000	131
amp	132
646	133
his	134
mail	135
off	136
3989	137
following	138
10	139
trade	140
make	141
missing	142
counterparty	143
back	144
she	145
33393	146
into	147
going	148
want	149
claireb	150
04	151
did	152
confirm	153
work	154
still	155
don't	156
also	157
entered	158
change	159
how	160
right	161
other	162
said	163
prebon	164
sent	165
only	166
him	167
their	168
us	169
apb	170
sure	171
30	172
who	173
day	174
two	175
questions	176
send	177
x	178
s	179
go	180
good	181
over	182
because	183
today	184
shows	185
last	186
power	187
clair	188
help	189
does	190
mark	191
buys	192
number	193
ees	194
week	195
credit	196
may	197
13	198
c	199
sorry	200
mid	201
contact	202
chris	203
checkout	204
done	205
under	206
kateevelyn	207
her	208
report	209
system	210
5	211
then	212
look	213
jeff	214
agreement	215
evelyn	216
language	217
both	218
05	219
stacy	220
date	221
3892713	222
well	223
np	224
gas	225
office	226
desk	227
correct	228
than	229
before	230
sells	231
term	232
take	233
point	234
talk	235
west	236
6	237
enron03	238
09	239
enpower	240
sharen	241
enronxgate	242
why	243
information	244
kerri	245
way	246
find	247
forward	248
enroncc	249
07	250
first	251
soon	252
trades	253
delivery	254
cason	255
26	256
group	257
50	258
comments	259
08	260
list	261
morning	262
master	263
06	264
changes	265
confirmed	266
amerex	267
through	268
next	269
got	270
anything	271
looks	272
222	273
might	274
20	275
same	276
enron02	277
pm	278
sp	279
much	280
each	281
give	282
28	283
message	284
et	285
made	286
checked	287
didn't	288
letter	289
already	290
piwetz	291
added	292
per	293
thought	294
come	295
again	296
traders	297
hours	298
23	299
use	300
firm	301
fee	302
where	303
katekerri	304
section	305
thank	306
index	307
confirmation	308
since	309
after	310
27	311
attached	312
williams	313
long	314
16	315
numbers	316
p	317
that's	318
allen	319
31	320
really	321
daily	322
show	323
says	324
those	325
put	326
matt	327
buy	328
tomorrow	329
form	330
l	331
wanted	332
trader	333
email	334
john	335
yesterday	336
17	337
kimberly	338
company	339
0	340
fine	341
swerzbin	342
between	343
doing	344
yes	345
8	346
getting	347
bob	348
14	349
few	350
down	351
contract	352
either	353
real	354
okay	355
cp	356
guaranty	357
keep	358
hundl	359
until	360
actually	361
friday	362
end	363
something	364
trying	365
little	366
draft	367
left	368
susan	369
very	370
sean	371
confirms	372
copy	373
marketing	374
looking	375
spoke	376
part	377
inc	378
cc	379
prices	380
29	381
version	382
another	383
m	384
received	385
great	386
add	387
asked	388
days	389
working	390
needs	391
he's	392
tell	393
else	394
18	395
type	396
home	397
sierra	398
guys	399
eol	400
such	401
being	402
around	403
monday	404
you're	405
too	406
schedule	407
told	408
unit	409
year	410
meeting	411
people	412
k	413
checking	414
month	415
wrong	416
things	417
names	418
464	419
set	420
trading	421
april	422
enron04	423
9	424
issues	425
19	426
original	427
thing	428
try	429
believe	430
note	431
38889713	432
bill	433
7	434
party	435
having	436
pacific	437
diana	438
hope	439
even	440
feel	441
bloomberg	442
night	443
house	444
sale	445
plan	446
enron01	447
melissa	448
different	449
short	450
problem	451
natsource	452
isda	453
katestephanie	454
called	455
b	456
its	457
kim	458
anyway	459
tom	460
can't	461
ask	462
regarding	463
richter	464
request	465
status	466
yet	467
second	468
love	469
most	470
dickson	471
na	472
sell	473
hrs	474
houston	475
termination	476
transfer	477
i'd	478
once	479
21	480
portland	481
afternoon	482
total	483
heard	484
jones	485
entering	486
enron12	487
person	488
leave	489
24	490
three	491
better	492
enron111	493
while	494
o	495
pinnacle	496
california	497
someone	498
sending	499
march	500
care	501
review	502
later	503
instead	504
talked	505
issue	506
mary	507
probably	508
weekend	509
stephanie	510
default	511
discuss	512
file	513
palo	514
physical	515
rhonda	516
doesn't	517
works	518
sounds	519
notes	520
guess	521
mallory	522
latest	523
spreadsheet	524
position	525
receive	526
found	527
event	528
we'll	529
side	530
transaction	531
dow	532
include	533
ann	534
risk	535
content	536
possible	537
process	538
however	539
fixed	540
enter	541
duke	542
coming	543
life	544
every	545
below	546
volume	547
run	548
book	549
caiso	550
market	551
hear	552
june	553
say	554
amendment	555
points	556
carla	557
place	558
suzanne	559
services	560
terms	561
along	562
reflect	563
job	564
project	565
business	566
pv	567
motley	568
ahead	569
data	570
enclosed	571
entry	572
errors	573
whether	574
voice	575
additional	576
cash	577
sara	578
haven't	579
david	580
transmission	581
start	582
anyone	583
lynn	584
further	585
hour	586
00075	587
we're	588
steve	589
counterparties	590
legal	591
error	592
foster	593
incorrect	594
tonight	595
access	596
log	597
katekimberly	598
city	599
went	600
executed	601
you'd	602
above	603
el	604
7486	605
tim	606
though	607
chance	608
meet	609
problems	610
car	611
never	612
recognize	613
able	614
financial	615
sheet	616
question	617
light	618
bp	619
hopefully	620
crandall	621
revised	622
requested	623
understand	624
gets	625
collateral	626
cost	627
case	628
myself	629
given	630
they're	631
smith	632
verde	633
agree	634
tuesday	635
used	636
order	637
together	638
reason	639
kind	640
far	641
555	642
bank	643
agreed	644
won't	645
ready	646
months	647
purchase	648
minute	649
best	650
lucy	651
she's	652
document	653
free	654
sempra	655
fees	656
paid	657
95	658
hey	659
there's	660
futures	661
we've	662
details	663
cannot	664
lot	665
online	666
agreements	667
info	668
currently	669
amount	670
respect	671
less	672
pay	673
using	674
service	675
discussed	676
response	677
fyi	678
maybe	679
weeks	680
503	681
amy	682
lunch	683
always	684
01kate	685
signed	686
update	687
money	688
katerhonda	689
47	690
confusion	691
driscoll	692
seems	693
constellation	694
epmi	695
line	696
keith	697
