Word	Label
the	1
to	2
enron	3
i	4
and	5
you	6
ect	7
a	8
of	9
is	10
that	11
for	12
in	13
on	14
michelle	15
this	16
we	17
be	18
have	19
with	20
it	21
hou	22
are	23
	24
me	25
corp	26
will	27
cash	28
if	29
not	30
lt	31
would	32
thanks	33
or	34
please	35
2000	36
from	37
as	38
subject	39
your	40
com	41
at	42
am	43
by	44
can	45
know	46
do	47
any	48
x	49
my	50
an	51
about	52
he	53
let	54
was	55
information	56
amp	57
work	58
agreement	59
may	60
all	61
but	62
should	63
need	64
there	65
phillip	66
what	67
has	68
so	69
re	70
1	71
cc	72
they	73
our	74
get	75
out	76
them	77
here	78
up	79
like	80
one	81
s	82
713	83
email	84
time	85
10	86
2	87
e	88
sent	89
call	90
stacy	91
these	92
message	93
ectcc	94
think	95
some	96
us	97
hr	98
also	99
want	100
employees	101
which	102
pmto	103
12	104
just	105
development	106
gas	107
000	108
his	109
who	110
new	111
week	112
america	113
been	114
north	115
et	116
she	117
111	118
other	119
review	120
going	121
attached	122
853	123
no	124
had	125
meeting	126
06	127
him	128
could	129
employment	130
send	131
questions	132
david	133
issues	134
were	135
contract	136
did	137
attorney	138
05	139
twanda	140
confidential	141
more	142
how	143
na	144
3	145
mail	146
their	147
good	148
mark	149
make	150
when	151
pm	152
client	153
plan	154
4	155
product	156
next	157
texas	158
smith	159
don't	160
09	161
use	162
20001	163
back	164
sure	165
see	166
content	167
contain	168
john	169
comments	170
version	171
only	172
then	173
her	174
amto	175
7770002	176
privileges	177
changes	178
14000	179
protected	180
letter	181
today	182
draft	183
type	184
said	185
01	186
go	187
cashenron	188
6401michelle	189
comthis	190
before	191
project	192
day	193
copy	194
than	195
enroncc	196
thank	197
allen	198
does	199
give	200
forward	201
under	202
working	203
street	204
well	205
5	206
look	207
now	208
employee	209
mhc	210
last	211
fyi	212
agreements	213
into	214
dickson	215
04	216
data	217
still	218
check	219
two	220
15	221
issue	222
provide	223
eb	224
lon	225
after	226
over	227
services	228
deal	229
year	230
brian	231
ena	232
legal	233
3823houston	234
c	235
very	236
office	237
jeff	238
help	239
way	240
regarding	241
those	242
20	243
friday	244
print	245
company	246
form	247
m	248
file	249
because	250
l	251
number	252
08	253
transfer	254
03	255
find	256
group	257
tomorrow	258
take	259
following	260
pay	261
first	262
tim	263
list	264
date	265
enronxgate	266
i'll	267
0	268
since	269
02	270
mary	271
firm	272
lynn	273
being	274
notes	275
right	276
fax	277
received	278
lot	279
hope	280
monday	281
people	282
paid	283
transaction	284
such	285
too	286
robert	287
non	288
much	289
through	290
bcc	291
6	292
document	293
below	294
additional	295
possible	296
believe	297
put	298
available	299
30	300
rick	301
anything	302
process	303
27	304
whether	305
talk	306
receive	307
person	308
discuss	309
price	310
place	311
contact	312
same	313
energy	314
14	315
due	316
cindy	317
communications	318
schedule	319
8	320
text	321
folder	322
change	323
set	324
made	325
between	326
etc	327
system	328
cost	329
soon	330
origin	331
pat	332
understand	333
until	334
master	335
policy	336
however	337
again	338
note	339
mime	340
plain	341
charset	342
encoding	343
filename	344
both	345
given	346
second	347
26	348
13	349
i'm	350
andrea	351
looks	352
month	353
original	354
ascii	355
7bit	356
25	357
got	358
ask	359
looking	360
tuesday	361
per	362
why	363
28	364
yes	365
sweet	366
gerry	367
07	368
morning	369
where	370
sharon	371
above	372
phone	373
fine	374
might	375
asked	376
p	377
littler	378
folders	379
nsf	380
come	381
9	382
t	383
counsel	384
based	385
thoughts	386
term	387
offer	388
oxley	389
already	390
june	391
lucy	392
done	393
respond	394
law	395
keep	396
long	397
including	398
address	399
team	400
getting	401
basis	402
months	403
involved	404
really	405
try	406
another	407
discussed	408
job	409
credit	410
plans	411
down	412
houston	413
40	414
able	415
later	416
7	417
mike	418
contracts	419
status	420
schaffer	421
signed	422
needs	423
jones	424
let's	425
end	426
doing	427
great	428
diligence	429
21	430
few	431
personnel	432
days	433
question	434
23	435
most	436
response	437
probably	438
situation	439
trading	440
point	441
training	442
sign	443
documents	444
language	445
latest	446
business	447
house	448
around	449
during	450
buyer	451
keith	452
brown	453
told	454
sheila	455
ok	456
rentroll	457
16	458
someone	459
agree	460
yet	461
gregg	462
steve	463
pam	464
blair	465
prices	466
market	467
while	468
sale	469
request	470
further	471
purchase	472
labor	473
d	474
better	475
weeks	476
gisb	477
shall	478
wanted	479
numbers	480
privileged	481
rent	482
vacation	483
having	484
included	485
susan	486
mcash	487
best	488
home	489
off	490
kriste	491
general	492
chapman	493
meet	494
early	495
include	496
something	497
thomas	498
j	499
222	500
fran	501
stock	502
kim	503
ready	504
final	505
larry	506
everyone	507
george	508
even	509
g	510
daniel	511
else	512
its	513
risk	514
expect	515
left	516
power	517
resume	518
benefits	519
together	520
each	521
terms	522
weekend	523
b	524
bob	525
yowman	526
harassment	527
heard	528
24	529
spoke	530
yesterday	531
comp	532
opportunities	533
hear	534
tell	535
west	536
suggest	537
thought	538
works	539
provided	540
matter	541
wants	542
dave	543
payment	544
amy	545
future	546
didn't	547
randy	548
mg	549
intended	550
current	551
part	552
info	553
appreciate	554
conference	555
dec2000	556
details	557
upon	558
things	559
sorry	560
return	561
haven't	562
hire	563
unit	564
litigation	565
o'rourke	566
rw	567
section	568
ees	569
closing	570
olson	571
davis	572
kay	573
proposed	574
dan	575
provision	576
san	577
against	578
feel	579
little	580
interested	581
scott	582
jennifer	583
without	584
attend	585
trey	586
18	587
union	588
daily	589
recipient	590
bill	591
follow	592
johnson	593
interview	594
once	595
answer	596
support	597
full	598
leave	599
drew	600
provisions	601
talked	602
revised	603
memo	604
tara	605
thursday	606
went	607
access	608
appropriate	609
seems	610
sin	611
resources	612
persons	613
others	614
line	615
matters	616
29	617
site	618
sounds	619
costs	620
update	621
jane	622
several	623
afternoon	624
k	625
money	626
either	627
night	628
butler	629
melissa	630
gary	631
linda	632
construction	633
performance	634
couple	635
less	636
happy	637
gsp	638
letters	639
reviewed	640
case	641
kathy	642
say	643
run	644
complete	645
concerns	646
calendar	647
position	648
salary	649
used	650
w	651
neil	652
gibson	653
agreed	654
deals	655
chris	656
ann	657
room	658
confirm	659
utilities	660
report	661
storage	662
doc	663
name	664
structure	665
comcc	666
desk	667
compensation	668
wait	669
outside	670
butcher	671
ted	672
determine	673
mayes	674
gina	675
save	676
19	677
frank	678
floor	679
necessary	680
ava	681
thing	682
points	683
invoices	684
mentioned	685
manager	686
nui	687
plus	688
17	689
copies	690
within	691
missed	692
rather	693
always	694
different	695
worked	696
groups	697
value	698
natural	699
reps	700
ogwb	701
