Word	Label
to	1
the	2
you	3
a	4
enron	5
and	6
that	7
in	8
i	9
on	10
is	11
are	12
of	13
greg	14
we	15
be	16
this	17
for	18
have	19
it	20
from	21
about	22
will	23
out	24
he	25
but	26
20001	27
m	28
at	29
with	30
june	31
would	32
thanks	33
whalley	34
liz	35
me	36
there	37
available	38
may	39
if	40
com	41
ect	42
taylor	43
subject	44
many	45
2000	46
p	47
not	48
an	49
my	50
06	51
check	52
ww	53
gorelieberman	54
w	55
000	56
call	57
thursday	58
one	59
hou	60
wednesday	61
your	62
john	63
lavorato	64
going	65
tuesday	66
sa	67
was	68
by	69
how	70
please	71
any	72
london	73
know	74
also	75
like	76
enronxgate	77
amto	78
business	79
all	80
other	81
stan	82
has	83
05	84
position	85
he's	86
as	87
can	88
up	89
ectcc	90
meeting	91
next	92
could	93
get	94
what	95
5	96
30	97
open	98
number	99
should	100
curve	101
volume	102
04	103
fw	104
original	105
message	106
sent	107
111	108
hi	109
afternoon	110
day	111
7	112
meet	113
hour	114
just	115
too	116
long	117
big	118
seems	119
market	120
sounds	121
make	122
our	123
gas	124
went	125
over	126
per	127
joe	128
am	129
4	130
time	131
location	132
mobile	133
carrying	134
444	135
79015166638	136
into	137
report	138
j	139
buy	140
believe	141
guy	142
office	143
it's	144
wide	145
advise	146
e	147
mail	148
great	149
do	150
or	151
10	152
work	153
interest	154
power	155
portland	156
did	157
i'll	158
fun	159
though	160
group	161
sold	162
pmto	163
price	164
ok	165
sure	166
much	167
down	168
payment	169
help	170
line	171
today	172
quenet	173
options	174
book	175
questions	176
where	177
right	178
now	179
around	180
stu	181
08	182
13	183
houston	184
14	185
jun	186
let	187
times	188
guys	189
dinner	190
night	191
look	192
least	193
chart	194
find	195
vladimir	196
gorny	197
validation	198
april	199
company	200
second	201
fed	202
ex	203
been	204
early	205
through	206
end	207
him	208
until	209
few	210
slots	211
availability	212
boys	213
thought	214
were	215
short	216
small	217
house	218
yesterday	219
2	220
yet	221
each	222
don't	223
dave	224
talk	225
developing	226
general	227
mw	228
oregon	229
horton	230
called	231
tim	232
pge	233
these	234
week	235
everywhere	236
20	237
johnsubject	238
delainey	239
they	240
want	241
very	242
came	243
development	244
things	245
no	246
heard	247
collonges	248
remi	249
03	250
re	251
below	252
while	253
aes	254
sul	255
25	256
discount	257
spot	258
25th	259
ricardo	260
august	261
change	262
when	263
gone	264
announcement	265
since	266
some	267
units	268
might	269
think	270
investment	271
amp	272
l	273
mark	274
frevert	275
draft	276
organizational	277
wholesale	278
12	279
only	280
whalley's	281
voicemail	282
budget	283
date	284
cst	285
trip	286
assumed	287
intentional	288
wanted	289
moment	290
works	291
volumes	292
continue	293
rise	294
need	295
