Word	Label
the	1
to	2
i	3
enron	4
you	5
and	6
of	7
on	8
is	9
a	10
for	11
in	12
that	13
this	14
we	15
	16
s	17
have	18
amp	19
with	20
et	21
are	22
not	23
me	24
if	25
be	26
it	27
at	28
will	29
please	30
was	31
your	32
they	33
would	34
know	35
do	36
stacy	37
thanks	38
or	39
my	40
up	41
gas	42
any	43
just	44
going	45
from	46
day	47
lynn	48
x	49
can	50
as	51
all	52
out	53
get	54
agreement	55
them	56
he	57
so	58
let	59
need	60
attached	61
what	62
am	63
our	64
but	65
there	66
2	67
us	68
about	69
like	70
20001	71
one	72
did	73
call	74
new	75
week	76
1	77
deal	78
by	79
enronxgate	80
questions	81
when	82
she	83
no	84
want	85
had	86
blair	87
an	88
000	89
version	90
think	91
back	92
changes	93
should	94
were	95
i'm	96
which	97
firm	98
price	99
com	100
too	101
work	102
sure	103
has	104
give	105
some	106
time	107
joe	108
good	109
3	110
how	111
4	112
may	113
her	114
end	115
here	116
their	117
topock	118
does	119
go	120
next	121
these	122
send	123
credit	124
make	125
ava	126
last	127
dickson	128
reps	129
e	130
el	131
paso	132
comments	133
thank	134
him	135
don't	136
subject	137
also	138
june	139
check	140
pay	141
more	142
only	143
socal	144
than	145
master	146
night	147
it's	148
house	149
terry	150
meeting	151
come	152
mail	153
sent	154
randy	155
san	156
because	157
nui	158
30	159
got	160
month	161
type	162
invoices	163
john	164
6	165
m	166
2000	167
getting	168
contract	169
into	170
plant	171
tuesday	172
06	173
can't	174
see	175
today	176
use	177
per	178
0	179
content	180
tell	181
days	182
then	183
daily	184
under	185
being	186
wanted	187
regarding	188
enroncc	189
told	190
monday	191
review	192
find	193
other	194
eol	195
went	196
15	197
could	198
mike	199
over	200
additional	201
again	202
latest	203
5	204
who	205
i'll	206
take	207
still	208
transfer	209
cc	210
gisb	211
big	212
rate	213
maybe	214
been	215
year	216
down	217
larry	218
lt	219
fgt	220
yes	221
address	222
kowalke	223
01	224
change	225
deals	226
his	227
where	228
lunch	229
222	230
point	231
non	232
concerns	233
8	234
number	235
transaction	236
very	237
nng	238
both	239
ok	240
mary	241
raetta	242
west	243
mark	244
sale	245
those	246
fyi	247
letter	248
anything	249
help	250
needs	251
talked	252
message	253
cycle	254
never	255
storage	256
713	257
853	258
system	259
right	260
mmbtu	261
based	262
energy	263
home	264
try	265
same	266
now	267
made	268
stay	269
yesterday	270
since	271
discussed	272
add	273
information	274
access	275
pmto	276
buchanan	277
hope	278
line	279
20	280
agree	281
1000	282
email	283
5705	284
agreements	285
pool	286
gregg	287
section	288
great	289
each	290
volume	291
however	292
much	293
following	294
keep	295
well	296
off	297
volumes	298
juan	299
talk	300
10	301
doing	302
kathy	303
floor	304
reviewing	305
n	306
another	307
really	308
card	309
re	310
jean	311
original	312
amto	313
above	314
probably	315
ww	316
gorelieberman	317
small	318
mean	319
said	320
forward	321
nice	322
first	323
bcc	324
weeks	325
two	326
problem	327
shippers	328
works	329
saturday	330
leave	331
little	332
couple	333
chris	334
l	335
debra	336
document	337
agreed	338
payment	339
purchase	340
everyone	341
team	342
date	343
info	344
lynnfrom	345
12	346
sending	347
111	348
cary	349
referenced	350
second	351
april	352
inside	353
ferc	354
came	355
town	356
mom	357
vacation	358
room	359
mime	360
text	361
plain	362
charset	363
ascii	364
encoding	365
7bit	366
tholt	367
folder	368
origin	369
filename	370
look	371
ena	372
company	373
dsl	374
morning	375
having	376
sold	377
amoco	378
7	379
25	380
percent	381
thought	382
buyer	383
imbalances	384
long	385
around	386
glad	387
friday	388
calendar	389
tangie	390
oba	391
terms	392
looking	393
sell	394
way	395
better	396
natural	397
able	398
notice	399
sounds	400
understand	401
penalty	402
sorry	403
14	404
even	405
05	406
p	407
services	408
guy	409
houston	410
deb	411
meet	412
that's	413
free	414
north	415
america	416
interested	417
index	418
spot	419
points	420
received	421
notes	422
tickets	423
its	424
stacey	425
receive	426
afternoon	427
corp	428
speed	429
t	430
must	431
delivery	432
pge	433
capacity	434
after	435
upon	436
people	437
something	438
linda	439
thoughts	440
bodnar	441
phone	442
sunday	443
rick	444
loop	445
blanco	446
every	447
ask	448
short	449
show	450
paul	451
nov	452
washington	453
hotel	454
possible	455
believe	456
anyone	457
thursday	458
love	459
request	460
berger	461
janzen	462
before	463
during	464
jan	465
report	466
book	467
later	468
care	469
says	470
texas	471
03calendar	472
jeff	473
loan	474
track	475
assume	476
copy	477
9	478
18	479
nancy	480
contact	481
requested	482
trip	483
stock	484
enovate	485
person	486
might	487
o	488
seen	489
incorporates	490
fax	491
kids	492
d	493
buy	494
pictures	495
invoice	496
someone	497
issue	498
sign	499
business	500
jane	501
folders	502
nsf	503
already	504
waiting	505
asked	506
own	507
form	508
special	509
msn	510
http	511
high	512
suppose	513
trade	514
bought	515
border	516
17	517
total	518
bcf	519
early	520
until	521
happy	522
group	523
demand	524
party	525
flows	526
advise	527
frank	528
didn't	529
www	530
cynthia	531
together	532
contracts	533
customer	534
due	535
bill	536
plus	537
physical	538
several	539
fw	540
he's	541
wfs	542
done	543
vegas	544
corporate	545
why	546
gotta	547
draft	548
pnm	549
hit	550
prices	551
available	552
storm	553
changed	554
plan	555
excellent	556
c	557
leaving	558
fine	559
02	560
james	561
porter	562
visit	563
feb	564
50	565
flight	566
21	567
different	568
rates	569
approximately	570
flash	571
hub	572
diego	573
desk	574
tomorrow	575
pm	576
enro	577
lynda	578
phillips	579
13	580
16	581
brokers	582
trades	583
say	584
training	585
80	586
garcia	587
york	588
cal	589
concerning	590
position	591
event	592
question	593
patti	594
either	595
timely	596
process	597
callans	598
deadline	599
took	600
place	601
rudwell	602
thinking	603
express	604
office	605
feel	606
basis	607
language	608
list	609
saw	610
christmas	611
called	612
conversation	613
internet	614
fun	615
included	616
copies	617
confirmations	618
bob	619
providing	620
few	621
ago	622
below	623
status	624
details	625
dollar	626
cuts	627
fuel	628
away	629
gatekeeper	630
currently	631
implemented	632
state	633
transport	634
rights	635
williams	636
block	637
proposal	638
recommended	639
ehrenberg	640
26	641
follow	642
scheduled	643
full	644
customers	645
gets	646
trying	647
tried	648
watch	649
what's	650
rivers	651
checks	652
msr's	653
start	654
tw	655
vail	656
update	657
left	658
04	659
shelley	660
dietz	661
gerry	662
fix	663
ready	664
while	665
milagro	666
flow	667
job	668
amendment	669
gift	670
ignacio	671
opinion	672
gtc	673
without	674
close	675
sat	676
cold	677
through	678
barb	679
myself	680
critical	681
pretty	682
huge	683
boy	684
everything	685
stayed	686
area	687
yum	688
perfect	689
looks	690
ever	691
