Word	Label
the	1
to	2
ect	3
i	4
enron	5
and	6
you	7
of	8
a	9
lt	10
is	11
for	12
hou	13
in	14
that	15
we	16
have	17
on	18
	19
with	20
this	21
be	22
it	23
com	24
me	25
will	26
are	27
carol	28
if	29
subject	30
from	31
your	32
as	33
st	34
jones	35
please	36
at	37
tana	38
can	39
cc	40
not	41
or	42
am	43
thanks	44
know	45
our	46
any	47
my	48
do	49
would	50
713	51
2000	52
they	53
agreement	54
so	55
get	56
need	57
re	58
20001	59
clair	60
by	61
them	62
all	63
an	64
us	65
what	66
up	67
fax	68
20	69
pm	70
credit	71
was	72
853	73
about	74
let	75
out	76
but	77
master	78
corp	79
1	80
x	81
counterparty	82
just	83
sent	84
mark	85
enronxgate	86
call	87
phone	88
646	89
there	90
09	91
has	92
trading	93
should	94
amp	95
isda	96
10	97
like	98
no	99
new	100
2	101
000	102
he	103
list	104
attached	105
when	106
power	107
want	108
01	109
financial	110
3989	111
33393	112
3	113
also	114
which	115
see	116
one	117
e	118
think	119
claireb	120
could	121
some	122
111	123
going	124
form	125
gas	126
time	127
05	128
legal	129
may	130
na	131
susan	132
12	133
send	134
back	135
been	136
had	137
only	138
s	139
don't	140
their	141
energy	142
i'm	143
06	144
email	145
company	146
04	147
02	148
here	149
trade	150
how	151
message	152
group	153
other	154
03	155
these	156
copy	157
mail	158
week	159
she	160
questions	161
under	162
communications	163
draft	164
name	165
make	166
08	167
3892713	168
4	169
were	170
5	171
online	172
go	173
john	174
comments	175
help	176
original	177
work	178
look	179
now	180
her	181
approval	182
information	183
place	184
forward	185
doc	186
product	187
07	188
who	189
good	190
then	191
30	192
language	193
development	194
swap	195
into	196
more	197
mary	198
executed	199
physical	200
l	201
kim	202
day	203
products	204
received	205
pmto	206
take	207
got	208
access	209
him	210
inc	211
counterparties	212
c	213
date	214
today	215
still	216
guaranty	217
eol	218
taylor	219
did	220
6	221
per	222
following	223
next	224
below	225
request	226
david	227
approved	228
type	229
sure	230
database	231
sara	232
changes	233
change	234
last	235
number	236
ectcc	237
p	238
two	239
deal	240
since	241
hope	242
phillip	243
people	244
before	245
agreements	246
letter	247
give	248
w	249
use	250
i'll	251
file	252
lon	253
his	254
trades	255
review	256
signed	257
referenced	258
issues	259
done	260
after	261
down	262
ward	263
stephanie	264
net	265
office	266
where	267
might	268
content	269
thank	270
until	271
well	272
amto	273
8	274
price	275
houston	276
find	277
tomorrow	278
friday	279
does	280
notes	281
amendment	282
m	283
23	284
getting	285
ena	286
dg	287
set	288
working	289
heard	290
open	291
tom	292
transfer	293
t	294
because	295
off	296
each	297
contact	298
north	299
monday	300
contract	301
version	302
confirm	303
transactions	304
tanya	305
7	306
nda	307
talk	308
first	309
stacy	310
both	311
said	312
right	313
leslie	314
way	315
between	316
15	317
again	318
respect	319
really	320
such	321
doing	322
same	323
25	324
38889713	325
enrononline	326
karen	327
14	328
america	329
ok	330
jeff	331
anything	332
it's	333
over	334
much	335
bob	336
schedule	337
confirmation	338
being	339
documents	340
wanted	341
non	342
check	343
bank	344
business	345
than	346
b	347
its	348
lisa	349
soon	350
through	351
works	352
global	353
made	354
put	355
assignment	356
copies	357
suzanne	358
come	359
meeting	360
counsel	361
transaction	362
tuesday	363
june	364
add	365
keep	366
already	367
section	368
provide	369
asked	370
long	371
those	372
bill	373
9	374
london	375
13	376
28	377
deals	378
canada	379
too	380
paul	381
team	382
very	383
21	384
17	385
d	386
0	387
darron	388
someone	389
party	390
person	391
moran	392
giron	393
looking	394
able	395
morning	396
wednesday	397
dated	398
address	399
discuss	400
great	401
thought	402
few	403
note	404
something	405
termination	406
26	407
frank	408
either	409
spoke	410
19	411
entity	412
proposed	413
mike	414
process	415
i've	416
16	417
services	418
year	419
based	420
yes	421
31	422
weather	423
whether	424
pereira	425
29	426
bcc	427
issue	428
sign	429
law	430
contracts	431
needs	432
thursday	433
shackleton	434
revised	435
house	436
above	437
can't	438
things	439
having	440
part	441
another	442
days	443
west	444
end	445
18	446
joe	447
leave	448
desk	449
april	450
dave	451
why	452
forms	453
marketing	454
approvals	455
robert	456
trying	457
left	458
around	459
night	460
222	461
confidentiality	462
didn't	463
yet	464
available	465
return	466
meet	467
possible	468
best	469
try	470
bailey	471
response	472
looks	473
j	474
24	475
shall	476
enclosed	477
attorney	478
marie	479
else	480
27	481
plain	482
scott	483
greenberg	484
text	485
et	486
currently	487
further	488
encoding	489
origin	490
steve	491
tax	492
regarding	493
folder	494
additional	495
nymex	496
current	497
respond	498
charset	499
system	500
mailto	501
com'	502
requested	503
lunch	504
sorry	505
mime	506
filename	507
little	508
fyi	509
corporation	510
anyone	511
home	512
boyd	513
peter	514
collateral	515
russell	516
chris	517
folders	518
smith	519
annex	520
sever	521
yesterday	522
say	523
hear	524
tell	525
nsf	526
cook	527
amount	528
r	529
sending	530
adams	531
lees	532
click	533
probably	534
cannot	535
dickson	536
allen	537
maybe	538
hansen	539
deutsche	540
info	541
canadian	542
month	543
understand	544
project	545
order	546
called	547
however	548
lambert	549
fw	550
clark	551
texas	552
told	553
once	554
discussed	555
young	556
believe	557
u	558
start	559
cash	560
345	561
old	562
term	563
everyone	564
kelly	565
firm	566
most	567
event	568
7bit	569
final	570
fine	571
default	572
eta	573
used	574
receive	575
regards	576
better	577
okay	578
3490	579
password	580
interest	581
effective	582
later	583
g	584
point	585
weeks	586
ascii	587
michael	588
patti	589
update	590
wants	591
k	592
problem	593
feel	594
shari	595
coming	596
attaching	597
el	598
appears	599
due	600
via	601
status	602
hearing	603
march	604
jim	605
weekend	606
support	607
book	608
enroncc	609
love	610
document	611
consent	612
ca	613
period	614
plan	615
davis	616
haven't	617
many	618
brent	619
larry	620
afternoon	621
444	622
taffy	623
morgan	624
prices	625
never	626
san	627
numbers	628
include	629
333999	630
pyoung	631
market	632
agreed	633
lawyer	634
side	635
together	636
service	637
pay	638
pg	639
tjones	640
notice	641
asap	642
comcc	643
changed	644
confirms	645
conference	646
cal	647
correct	648
dan	649
9573	650
rate	651
approve	652
comsubject	653
disclosure	654
lists	655
jeffrey	656
risk	657
even	658
conversation	659
masters	660
daily	661
aol	662
bruce	663
ask	664
thing	665
hunter	666
limited	667
basis	668
lc	669
diamond	670
derivatives	671
general	672
link	673
commodity	674
etc	675
employees	676
follow	677
james	678
always	679
paso	680
while	681
account	682
website	683
ready	684
george	685
added	686
cross	687
case	688
given	689
h	690
waiting	691
justin	692
samantha	693
cheryl	694
saturday	695
earlier	696
electronic	697
guys	698
ed	699
full	700
application	701
latest	702
