Word	Label
enron	1
the	2
to	3
i	4
lt	5
you	6
amp	7
s	8
and	9
et	10
on	11
for	12
	13
is	14
we	15
this	16
of	17
a	18
be	19
will	20
have	21
in	22
20001	23
that	24
tracy	25
are	26
subject	27
please	28
not	29
with	30
me	31
it	32
geaccone	33
if	34
com	35
thanks	36
know	37
fgt	38
enroncc	39
at	40
gpgfin	41
your	42
from	43
john	44
would	45
as	46
re	47
meeting	48
need	49
pmto	50
do	51
up	52
or	53
02	54
can	55
enronxgate	56
lynn	57
am	58
let	59
steve	60
000	61
ect	62
should	63
what	64
out	65
these	66
they	67
get	68
corp	69
any	70
my	71
by	72
01	73
our	74
when	75
all	76
x	77
like	78
embedded	79
stdolelink	80
there	81
ots	82
stacy	83
sure	84
about	85
james	86
call	87
amto	88
day	89
just	90
going	91
e	92
go	93
blair	94
one	95
sent	96
week	97
was	98
10	99
time	100
attached	101
think	102
2	103
30	104
so	105
had	106
111	107
could	108
1	109
discuss	110
hou	111
us	112
them	113
an	114
don't	115
cc	116
february	117
how	118
questions	119
co	120
make	121
eott	122
some	123
06	124
plan	125
randy	126
mary	127
12	128
05	129
attend	130
tuesday	131
karen	132
has	133
send	134
review	135
fyi	136
also	137
want	138
message	139
ava	140
schedule	141
data	142
terry	143
reps	144
did	145
quarter	146
3	147
elaine	148
he	149
month	150
june	151
i'm	152
keiser	153
last	154
13	155
2000	156
take	157
work	158
but	159
222	160
net	161
steven	162
maintenance	163
who	164
next	165
mail	166
where	167
which	168
check	169
kathy	170
good	171
today	172
saunders	173
15	174
04	175
agreement	176
back	177
tw	178
invoices	179
rod	180
first	181
sap	182
pm	183
nng	184
dickson	185
9	186
new	187
monday	188
gas	189
20	190
caroline	191
16	192
forecast	193
friday	194
team	195
business	196
master	197
aol	198
issues	199
other	200
harris	201
26	202
version	203
no	204
come	205
were	206
original	207
well	208
julie	209
than	210
meetings	211
find	212
set	213
report	214
getting	215
does	216
now	217
see	218
concklin	219
been	220
accounting	221
houston	222
end	223
use	224
over	225
thankstracy	226
too	227
gilbert	228
she	229
09	230
here	231
january	232
larry	233
may	234
morning	235
only	236
comments	237
possible	238
everyone	239
capital	240
then	241
approval	242
charges	243
bob	244
kleb	245
botello	246
gpgfn	247
kowalke	248
hope	249
really	250
people	251
hayslett	252
functional	253
calendar	254
25	255
right	256
feb	257
group	258
hpl	259
jones	260
31	261
per	262
raetta	263
help	264
more	265
ets	266
soon	267
713	268
him	269
both	270
ok	271
working	272
because	273
0	274
content	275
sunday	276
margin	277
dan	278
dana	279
m	280
room	281
year	282
company	283
mike	284
03	285
still	286
close	287
together	288
system	289
before	290
firm	291
karl	292
into	293
thursday	294
change	295
7	296
darrell	297
audrey	298
robertson	299
after	300
available	301
1st	302
chandler	303
samples	304
chase	305
v	306
fancler	307
transition	308
budget	309
buchanan	310
amy	311
barnes	312
bill	313
looking	314
23	315
i'll	316
pallavi	317
goradia	318
done	319
problem	320
down	321
keep	322
28	323
joe	324
later	325
c	326
853	327
jackson	328
access	329
21	330
needs	331
thank	332
changes	333
reports	334
each	335
kevin	336
r	337
rice	338
kim	339
having	340
big	341
care	342
couple	343
n	344
wanted	345
anything	346
cobb	347
reviewing	348
eva	349
security	350
ps	351
again	352
14	353
jean	354
her	355
19	356
start	357
hotte	358
current	359
buc	360
danny	361
basis	362
numbers	363
planning	364
scheduled	365
ww	366
gorelieberman	367
email	368
already	369
left	370
several	371
jan	372
project	373
until	374
concerns	375
8	376
debra	377
rick	378
oba	379
due	380
very	381
5	382
gisb	383
give	384
energy	385
great	386
items	387
its	388
29	389
hyatt	390
keller	391
cheryl	392
cole	393
ladish	394
lindy	395
donoho	396
copy	397
information	398
number	399
4	400
mhughes	401
paincarecenter	402
deal	403
home	404
commercial	405
meet	406
those	407
days	408
second	409
non	410
amount	411
mean	412
ees	413
floor	414
fn	415
talked	416
lynnfrom	417
cycle	418
contact	419
house	420
shelley	421
weitekamp	422
legal	423
entity	424
stan	425
receive	426
below	427
feel	428
ready	429
wednesday	430
thought	431
costs	432
follow	433
trip	434
robert	435
tangie	436
imbalances	437
include	438
transfer	439
request	440
since	441
storage	442
order	443
guys	444
being	445
talk	446
model	447
approximately	448
msn	449
saturday	450
schoolcraft	451
dates	452
l	453
shawn	454
file	455
following	456
able	457
dsl	458
it's	459
50	460
employees	461
agreements	462
march	463
08	464
additional	465
fw	466
lets	467
hours	468
im	469
address	470
18	471
sending	472
6	473
line	474
services	475
billing	476
tell	477
many	478
tony	479
gary	480
ricki	481
income	482
statement	483
such	484
shows	485
listed	486
center	487
cost	488
complete	489
tomorrow	490
same	491
loop	492
ena	493
night	494
guy	495
berger	496
janzen	497
distribution	498
agreed	499
employee	500
vera	501
apodaca	502
move	503
credit	504
add	505
5705	506
lead	507
said	508
hoping	509
comcc	510
location	511
show	512
checks	513
look	514
expense	515
everything	516
sheila	517
howard	518
december	519
off	520
training	521
36	522
however	523
keiser02	524
laura	525
linda	526
book	527
w	528
lorraine	529
asked	530
full	531
cal	532
bodnar	533
form	534
list	535
earnings	536
actual	537
roles	538
analyst	539
viewer	540
corporate	541
sorry	542
process	543
even	544
told	545
nancy	546
deadline	547
forward	548
upload	549
estimate	550
39	551
michael	552
armstrong	553
rather	554
important	555
unit	556
49c2	557
intranet	558
name	559
another	560
campos	561
etc	562
gotta	563
chris	564
much	565
letter	566
through	567
charge	568
notice	569
party	570
can't	571
adams	572
diana	573
porter	574
jerry	575
dietz	576
lee	577
greg	578
mark	579
rate	580
discussed	581
cary	582
purchase	583
sale	584
lynda	585
testing	586
small	587
their	588
practice	589
45	590
unfortunately	591
geaccone02	592
52	593
duration	594
mime	595
type	596
text	597
plain	598
charset	599
ascii	600
encoding	601
7bit	602
bcc	603
folder	604
stacey	605
origin	606
filename	607
jennifer	608
franks	609
date	610
david	611
lewis	612
question	613
else	614
reply	615
heard	616
rodeo	617
weekend	618
understand	619
probably	620
ibit	621
gruesen	622
00012	623
enro	624
cynthia	625
b	626
deals	627
glad	628
different	629
his	630
garcia	631
pending	632
sell	633
assume	634
armstrong02	635
dave	636
fix	637
brokers	638
level	639
enr	640
low	641
contracts	642
errors	643
flash	644
na	645
control	646
timely	647
continue	648
callans	649
p	650
further	651
okey	652
43	653
moran	654
corman	655
mccarty	656
white	657
ruth	658
coordinator	659
parent	660
keiser01	661
two	662
susan	663
outlook	664
gave	665
gregg	666
went	667
actually	668
payment	669
charged	670
judy	671
allocation	672
monthly	673
speed	674
got	675
yesterday	676
try	677
job	678
conversation	679
response	680
dykes	681
sherry	682
forbish	683
greaney	684
janet	685
mcdaniel	686
scurlock	687
sturr	688
washington	689
harry	690
woodson	691
update	692
short	693
copies	694
run	695
jeff	696
afternoon	697
wed	698
payroll	699
taxes	700
accounts	701
labor	702
base	703
clear	704
checking	705
approved	706
against	707
little	708
away	709
ramona	710
upgrade	711
regarding	712
gerry	713
1000	714
ask	715
48	716
kids	717
cliff	718
27	719
doing	720
volume	721
planned	722
notes	723
fi	724
workday	725
hit	726
activity	727
latest	728
transaction	729
pharr	730
pmsent	731
love	732
chance	733
marsha	734
pmsubject	735
lucindas	736
evening	737
maybe	738
aware	739
providing	740
long	741
yet	742
pretty	743
things	744
better	745
contribution	746
agree	747
met	748
included	749
exceptions	750
0584	751
put	752
nron	753
miller	754
rivers	755
statistical	756
myself	757
drop	758
tropical	759
storm	760
scott	761
section	762
daily	763
chicago	764
person	765
west	766
craft	767
paid	768
thoughts	769
flood	770
lblair	771
privileged	772
shippers	773
gomez	774
wgr	775
draft	776
user	777
risk	778
attending	779
gilbert01	780
geaccone01	781
depreciation	782
property	783
deadlines	784
session	785
000p	786
ms	787
rates	788
passing	789
processing	790
o	791
controller	792
gpg	793
planner	794
barney	795
brasher	796
lower	797
volumes	798
bellsouth	799
why	800
msr's	801
eees	802
teams	803
kuehl	804
post	805
via	806
updates	807
market	808
representative	809
rest	810
either	811
vacation	812
represented	813
julia	814
mann	815
rita	816
houser	817
winters	818
meers	819
thomas	820
prior	821
pre	822
1n9	823
columbia	824
returned	825
hop	826
issue	827
signed	828
district	829
584	830
lin	831
share	832
outage	833
says	834
40	835
degrees	836
29th	837
sat	838
heads	839
benningfield	840
bryan	841
carr	842
linhart	843
perry	844
shirley	845
wilkens	846
zadow	847
doc	848
input	849
yes	850
17	851
management	852
might	853
drafting	854
details	855
knock	856
we're	857
benefits	858
expenses	859
way	860
stop	861
unless	862
entry	863
d	864
markup	865
always	866
let's	867
invoice	868
amendment	869
enovate	870
provisions	871
galen	872
cannot	873
tms	874
assist	875
point	876
assistance	877
large	878
production	879
15th	880
july	881
54	882
few	883
office	884
test	885
laferla	886
showed	887
effort	888
mom	889
fun	890
parents	891
anyone	892
34	893
january02	894
prepared	895
savings	896
expansion	897
perlingiere	898
nov20001	899
folders	900
sdickso	901
nsf	902
contract	903
executable	904
between	905
executed	906
free	907
entries	908
anyway	909
brown	910
once	911
paul	912
phone	913
lerea	914
class	915
powerpoint	916
required	917
times	918
shall	919
thats	920
skiing	921
weeks	922
suggest	923
sign	924
trying	925
stay	926
60	927
hi	928
boys	929
65	930
gets	931
owe	932
remember	933
assets	934
lunch	935
58	936
leave	937
maria	938
operations	939
stands	940
instead	941
minter	942
christine	943
mcevoy	944
albert	945
hernandez	946
beverly	947
mulligan	948
ward	949
drafts	950
gina	951
1999	952
woman	953
something	954
35842	955
shipper	956
goes	957
47	958
u	959
park	960
ball	961
supposed	962
requested	963
rudwell	964
chasecc	965
partyi	966
valentine's	967
backedout	968
robin	969
burks	970
tooversee	971
though	972
picked	973
upand	974
carpool	975
cafeteria	976
robinand	977
thinkyou	978
sharon	979
damage	980
while	981
account	982
taken	983
'bout	984
won't	985
place	986
western	987
mitchell	988
answers	989
brian	990
towards	991
works	992
vps	993
conference	994
sbs	995
ya'll	996
support	997
reporting	998
across	999
card	1000
sophie	1001
stand	1002
pay	1003
related	1004
7th	1005
statements	1006
somewhat	1007
talking	1008
involved	1009
10th	1010
interested	1011
own	1012
problems	1013
customers	1014
customer	1015
preliminary	1016
unusual	1017
high	1018
dollar	1019
amounts	1020
answering	1021
tas	1022
error	1023
unbilled	1024
correcting	1025
south	1026
commodity	1027
security02	1028
towto	1029
srf	1030
remedy	1031
3336028	1032
requesting	1033
internal	1034
counterparty	1035
record	1036
provided	1037
mohannes	1038
ross	1039
someone	1040
true	1041
plant	1042
spot	1043
marketing	1044
communications	1045
toby	1046
longer	1047
calls	1048
32	1049
natural	1050
nomination	1051
closing	1052
far	1053
afraid	1054
overflowing	1055
thanksfrom	1056
krone	1057
mayer	1058
meetingsi'll	1059
smith	1060
lowry	1061
phil	1062
