Word	Label
the	1
to	2
i	3
a	4
ect	5
and	6
enron	7
you	8
of	9
is	10
in	11
for	12
hou	13
that	14
on	15
this	16
have	17
with	18
	19
we	20
be	21
are	22
will	23
subject	24
it	25
shankman	26
me	27
if	28
jeffrey	29
your	30
lt	31
please	32
at	33
from	34
as	35
my	36
would	37
not	38
2000	39
jeff	40
am	41
thanks	42
was	43
or	44
com	45
can	46
re	47
do	48
ectcc	49
know	50
about	51
our	52
what	53
corp	54
but	55
like	56
out	57
get	58
any	59
carol	60
by	61
so	62
they	63
an	64
there	65
up	66
20001	67
20	68
he	69
all	70
need	71
i'm	72
10	73
phillip	74
call	75
let	76
1	77
amp	78
01	79
x	80
time	81
has	82
some	83
think	84
communications	85
saler	86
2	87
12	88
should	89
john	90
pmto	91
713	92
want	93
new	94
us	95
here	96
alexandra	97
development	98
when	99
st	100
gas	101
111	102
amto	103
going	104
just	105
meeting	106
cc	107
also	108
him	109
how	110
000	111
one	112
s	113
week	114
853	115
na	116
been	117
which	118
good	119
these	120
fax	121
02	122
work	123
them	124
e	125
more	126
no	127
great	128
last	129
mike	130
3	131
phone	132
could	133
did	134
eees	135
had	136
pm	137
see	138
go	139
their	140
lon	141
make	142
i'll	143
mark	144
group	145
day	146
well	147
4	148
stacy	149
send	150
sure	151
don't	152
today	153
business	154
646	155
email	156
back	157
she	158
next	159
sent	160
30	161
jennifer	162
trading	163
into	164
may	165
only	166
3989	167
then	168
et	169
office	170
take	171
year	172
his	173
print	174
agreement	175
very	176
33393	177
09	178
look	179
message	180
who	181
over	182
other	183
questions	184
claireb	185
thank	186
mail	187
l	188
credit	189
5	190
still	191
were	192
tomorrow	193
her	194
put	195
help	196
eescc	197
forward	198
i'd	199
now	200
03	201
talk	202
give	203
use	204
attached	205
much	206
j	207
market	208
08	209
than	210
products	211
15	212
05	213
review	214
clair	215
after	216
lng	217
information	218
deal	219
first	220
13	221
energy	222
under	223
6	224
before	225
allen	226
m	227
hope	228
where	229
book	230
comments	231
too	232
nowlan	233
really	234
crude	235
3892713	236
around	237
being	238
come	239
best	240
night	241
both	242
04	243
happy	244
yes	245
got	246
price	247
wharton	248
p	249
letter	250
david	251
weekend	252
mcconnell	253
18	254
people	255
working	256
content	257
friday	258
14	259
06	260
off	261
23	262
7	263
most	264
way	265
dinner	266
does	267
number	268
morning	269
discuss	270
two	271
again	272
long	273
changes	274
fun	275
little	276
date	277
markets	278
process	279
schedule	280
house	281
doing	282
following	283
each	284
power	285
through	286
language	287
ees	288
desk	289
fyi	290
london	291
list	292
find	293
issues	294
type	295
project	296
anything	297
8	298
regarding	299
per	300
report	301
plan	302
houston	303
done	304
below	305
another	306
master	307
version	308
0	309
wanted	310
home	311
few	312
form	313
since	314
try	315
egm	316
such	317
b	318
ok	319
part	320
17	321
9	322
transfer	323
set	324
draft	325
enroncc	326
resume	327
chris	328
c	329
let's	330
its	331
later	332
believe	333
gary	334
program	335
asked	336
together	337
contract	338
end	339
right	340
days	341
dickson	342
follow	343
made	344
contact	345
team	346
sorry	347
monday	348
enronxgate	349
conference	350
george	351
calendar	352
between	353
guys	354
risk	355
soon	356
person	357
ees12	358
meet	359
update	360
understand	361
getting	362
copy	363
29	364
address	365
can't	366
company	367
section	368
regards	369
interest	370
25	371
something	372
party	373
leave	374
until	375
might	376
keep	377
feel	378
19	379
traders	380
weather	381
eol	382
able	383
thought	384
looking	385
either	386
during	387
event	388
change	389
27	390
better	391
having	392
additional	393
things	394
down	395
sarah	396
told	397
07	398
check	399
system	400
scott	401
interested	402
start	403
weeks	404
because	405
222	406
why	407
run	408
26	409
saturday	410
issue	411
it's	412
attend	413
same	414
burns	415
those	416
transaction	417
thing	418
cost	419
month	420
said	421
received	422
december	423
receive	424
ny	425
possible	426
larry	427
love	428
didn't	429
hear	430
comcc	431
many	432
trying	433
guaranty	434
position	435
fraser	436
eric	437
global	438
north	439
note	440
tuesday	441
thoughts	442
physical	443
else	444
notes	445
access	446
america	447
went	448
looks	449
above	450
show	451
susan	452
lisa	453
lynn	454
product	455
hi	456
ben	457
firm	458
var	459
early	460
due	461
24	462
big	463
file	464
penn	465
name	466
i've	467
fine	468
needs	469
open	470
sign	471
yet	472
called	473
guy	474
thursday	475
while	476
mentioned	477
jshankm	478
already	479
ena	480
prices	481
16	482
super	483
money	484
50	485
financial	486
add	487
second	488
michael	489
million	490
mary	491
21	492
term	493
tell	494
left	495
however	496
move	497
trade	498
brad	499
idea	500
november	501
problem	502
lucy	503
within	504
joe	505
bcc	506
folder	507
signed	508
original	509
further	510
confirm	511
lunch	512
deals	513
spoke	514
kevin	515
pay	516
current	517
text	518
read	519
lot	520
ask	521
termination	522
probably	523
oil	524
net	525
cash	526
even	527
january	528
though	529
heard	530
opportunity	531
include	532
38889713	533
isda	534
wait	535
steve	536
point	537
order	538
28	539
revised	540
ready	541
opportunities	542
management	543
site	544
seems	545
shipping	546
agreements	547
given	548
numbers	549
etc	550
meetings	551
mime	552
plain	553
charset	554
support	555
pierre	556
mr	557
35	558
three	559
d	560
keith	561
yesterday	562
short	563
nov	564
october	565
rick	566
plans	567
request	568
currently	569
available	570
trip	571
ascii	572
encoding	573
origin	574
filename	575
experience	576
place	577
bid	578
daily	579
approval	580
latest	581
provide	582
dan	583
suzanne	584
offer	585
job	586
7bit	587
discussed	588
level	589
unit	590
afternoon	591
west	592
k	593
daniel	594
town	595
trades	596
head	597
analyst	598
different	599
amount	600
busy	601
details	602
jan	603
bring	604
distribution	605
cindy	606
committee	607
agree	608
collateral	609
counterparties	610
nezi	611
shall	612
bank	613
reports	614
course	615
june	616
months	617
cannot	618
3d	619
based	620
robert	621
info	622
coming	623
high	624
say	625
equity	626
jackson	627
ees01	628
interview	629
san	630
paid	631
jones	632
voice	633
response	634
continue	635
kristin	636
customers	637
period	638
commodity	639
potential	640
needed	641
appreciate	642
liquids	643
enron10	644
basis	645
r	646
randy	647
beth	648
contracts	649
floor	650
close	651
side	652
value	653
fill	654
interviews	655
rent	656
tom	657
michele	658
everyone	659
folders	660
nsf	661
counterparty	662
europe	663
40	664
manager	665
years	666
making	667
services	668
ever	669
ago	670
used	671
terms	672
31	673
resources	674
free	675
ideas	676
vince	677
gregg	678
aol	679
everything	680
storage	681
martinez	682
default	683
scheduled	684
cell	685
units	686
cathy	687
couple	688
frank	689
t	690
full	691
businesses	692
points	693
rentroll	694
legal	695
pretty	696
thomas	697
proceed	698
someone	699
line	700
dec	701
small	702
sara	703
jim	704
maybe	705
lavorato	706
