Word	Label
to	1
enron	2
and	3
the	4
	5
for	6
a	7
on	8
of	9
in	10
i	11
amp	12
s	13
you	14
et	15
is	16
20	17
drew	18
me	19
ets	20
will	21
20001	22
with	23
fossum	24
mike	25
that	26
has	27
organization	28
general	29
counsel	30
0	31
it	32
from	33
be	34
have	35
this	36
com	37
his	38
please	39
1	40
as	41
new	42
your	43
up	44
thanks	45
df	46
subject	47
000	48
my	49
enronxgate	50
our	51
we	52
enroncc	53
03	54
07	55
president	56
report	57
at	58
get	59
are	60
if	61
currently	62
vice	63
chairman	64
managing	65
director	66
what	67
special	68
i'll	69
not	70
know	71
been	72
houston	73
out	74
pmto	75
year	76
08	77
10	78
01	79
do	80
amto	81
message	82
transportation	83
gas	84
like	85
or	86
2000	87
lt	88
x	89
original	90
march	91
moran	92
after	93
effective	94
stay	95
one	96
he	97
several	98
join	99
but	100
don't	101
by	102
going	103
those	104
operations	105
without	106
natural	107
april	108
transition	109
issues	110
congratulating	111
just	112
rate	113
09	114
i'm	115
all	116
horton	117
wednesday	118
58	119
services	120
hard	121
role	122
agreed	123
assignment	124
good	125
call	126
which	127
some	128
check	129
work	130
too	131
an	132
cruz	133
steve	134
fw	135
announcement	136
mailto	137
imceanotes	138
20general	139
20announcement	140
26s	141
40enron	142
behalf	143
stan	144
ceo	145
enronsent	146
enronsubject	147
announcementmichael	148
decided	149
retire	150
distinguished	151
27	152
career	153
conscience	154
statesman	155
imagine	156
fortunately	157
northern	158
transwestern	159
accepted	160
offer	161
become	162
relocate	163
assist	164
projects	165
board	166
months	167
continue	168
thanking	169
many	170
contributions	171
got	172
any	173
performance	174
30	175
am	176
about	177
no	178
job	179
ww	180
gorelieberman	181
need	182
prc	183
law	184
make	185
5	186
can	187
big	188
was	189
magdelena	190
ect	191
denise	192
how	193
dffrom	194
today	195
miller	196
process	197
50	198
us	199
let	200
pm	201
corp	202
guy	203
were	204
111	205
now	206
06	207
mary	208
kent	209
fgt	210
jim	211
still	212
june	213
legal	214
following	215
send	216
give	217
2	218
should	219
rates	220
think	221
day	222
bill	223
cc	224
sure	225
mavrix	226
05	227
system	228
privileged	229
hou	230
class	231
xms	232
lagesse	233
already	234
great	235
gotta	236
texas	237
more	238
smtp	239
reply	240
6	241
also	242
dc	243
mail	244
omaha	245
i'd	246
each	247
3	248
maximum	249
l	250
f	251
there	252
so	253
here	254
go	255
may	256
necessary	257
committee	258
susan	259
non	260
approval	261
information	262
when	263
8	264
summer	265
cal	266
management	267
npng	268
him	269
i've	270
miss	271
gpg	272
managers	273
best	274
it's	275
remember	276
man	277
thought	278
times	279
announcementdrew	280
well	281
done	282
house	283
them	284
sorry	285
julia	286
kay	287
note	288
feel	289
car	290
doesn't	291
before	292
due	293
luck	294
questions	295
other	296
much	297
specific	298
regulatory	299
kathy	300
ringblom	301
re	302
tariff	303
17	304
minimum	305
000222	306
such	307
sent	308
getting	309
deal	310
john	311
lets	312
who	313
number	314
people	315
where	316
talk	317
group	318
right	319
because	320
its	321
hope	322
their	323
forward	324
james	325
postings	326
time	327
border	328
sales	329
4	330
last	331
request	332
content	333
dfossum	334
expense	335
dave	336
into	337
rc	338
judy	339
eott	340
leave	341
office	342
he's	343
mean	344
boys	345
congratulations	346
hop	347
keep	348
plates	349
pavlou	350
announcementcongratulations	351
you're	352
hotte	353
shelley	354
corman	355
valtech	356
michael	357
revised	358
meeting	359
sound	360
weekly	361
deposition	362
could	363
voice	364
tony	365
back	366
something	367
joe	368
answers	369
12	370
want	371
dept	372
example	373
past	374
objectives	375
these	376
did	377
own	378
ferc	379
04	380
anyway	381
kern	382
ft	383
per	384
surcharges	385
over	386
under	387
set	388
received	389
factor	390
long	391
line	392
'bout	393
knock	394
el	395
paso	396
worked	397
woman	398
advised	399
pep	400
online	401
than	402
based	403
had	404
most	405
review	406
stuff	407
trying	408
everyone	409
yet	410
probably	411
since	412
better	413
cordes	414
02	415
promotion	416
opportunity	417
looking	418
see	419
capacity	420
d	421
actually	422
able	423
deals	424
operational	425
sale	426
discuss	427
off	428
home	429
energy	430
version	431
bcc	432
include	433
show	434
713	435
853	436
ok	437
neubauer	438
robert	439
denver	440
regarding	441
paralegal	442
down	443
agree	444
dorothy	445
eric	446
lin	447
distribution	448
o	449
look	450
dari	451
maria	452
ots	453
hr	454
manager	455
ld	456
yes	457
dear	458
announcementdrewcongratulations	459
wishes	460
additional	461
fed	462
ex	463
little	464
never	465
gym	466
janet	467
closing	468
larry	469
16	470
white	471
steven	472
harris	473
lisa	474
rick	475
contracts	476
project	477
executive	478
kickoff	479
via	480
thank	481
dog	482
caught	483
enjoyed	484
chase	485
quite	486
conditions	487
coming	488
being	489
next	490
thinking	491
allday's	492
scheduled	493
lawyers	494
pryor	495
didn't	496
fixed	497
tomorrow	498
can't	499
ahold	500
here's	501
having	502
anyone	503
responses	504
thursday	505
possible	506
compliance	507
testy	508
bit	509
fifteenth	510
sheet	511
dth	512
below	513
transporter	514
authorized	515
service	516
date	517
reservation	518
demand	519
72000	520
daily	521
5826	522
00072	523
00023	524
00045	525
appropriate	526
mdq	527
b	528
volumes	529
current	530
thermal	531
conversion	532
pls	533
cips	534
rims	535
whatever	536
hell	537
