Word	Label
the	1
to	2
i	3
you	4
and	5
lt	6
a	7
that	8
is	9
of	10
enron	11
carol	12
in	13
for	14
st	15
we	16
ect	17
on	18
this	19
have	20
with	21
com	22
it	23
be	24
are	25
will	26
me	27
clair	28
if	29
am	30
your	31
hou	32
at	33
713	34
from	35
my	36
fax	37
please	38
can	39
853	40
	41
as	42
or	43
phone	44
would	45
know	46
what	47
not	48
646	49
3989	50
our	51
33393	52
get	53
was	54
out	55
claireb	56
do	57
need	58
up	59
subject	60
going	61
they	62
so	63
thanks	64
but	65
call	66
there	67
just	68
cc	69
let	70
all	71
about	72
any	73
think	74
1	75
2	76
go	77
3892713	78
an	79
some	80
2000	81
time	82
like	83
by	84
should	85
want	86
he	87
how	88
here	89
new	90
them	91
when	92
e	93
don't	94
work	95
amp	96
could	97
us	98
credit	99
agreement	100
has	101
week	102
sent	103
re	104
see	105
phillip	106
good	107
000	108
mail	109
which	110
3	111
did	112
send	113
one	114
mark	115
pm	116
language	117
x	118
may	119
back	120
she	121
draft	122
make	123
06	124
05	125
been	126
isda	127
doc	128
had	129
4	130
her	131
10	132
i'm	133
no	134
last	135
guaranty	136
master	137
5	138
these	139
weekend	140
s	141
also	142
email	143
more	144
message	145
next	146
form	147
6	148
were	149
their	150
him	151
susan	152
day	153
attached	154
comments	155
38889713	156
30	157
today	158
b	159
give	160
take	161
12	162
who	163
gas	164
corp	165
20001	166
look	167
tomorrow	168
night	169
only	170
still	171
other	172
stacy	173
sure	174
letter	175
group	176
111	177
date	178
suzanne	179
party	180
john	181
into	182
after	183
now	184
before	185
over	186
sara	187
then	188
c	189
well	190
his	191
talk	192
questions	193
forward	194
section	195
energy	196
where	197
issues	198
got	199
didn't	200
try	201
since	202
file	203
mary	204
number	205
much	206
help	207
information	208
use	209
under	210
doing	211
schedule	212
et	213
amendment	214
does	215
something	216
home	217
review	218
david	219
until	220
20	221
changes	222
check	223
original	224
transfer	225
hope	226
getting	227
really	228
07	229
than	230
jeff	231
again	232
great	233
guys	234
23	235
change	236
l	237
two	238
place	239
might	240
termination	241
7	242
heard	243
june	244
following	245
counterparty	246
around	247
those	248
both	249
part	250
meet	251
list	252
leave	253
tonight	254
na	255
p	256
respect	257
office	258
8	259
version	260
legal	261
discuss	262
looks	263
each	264
way	265
such	266
year	267
come	268
off	269
very	270
people	271
thank	272
can't	273
monday	274
done	275
put	276
bill	277
enronxgate	278
power	279
event	280
few	281
tana	282
friday	283
why	284
find	285
too	286
9	287
soon	288
right	289
01	290
set	291
meeting	292
made	293
process	294
default	295
play	296
enclosed	297
assignment	298
game	299
09	300
received	301
looking	302
sat	303
contact	304
deal	305
someone	306
wanted	307
working	308
thought	309
adams	310
fine	311
collateral	312
either	313
okay	314
morning	315
through	316
said	317
issue	318
04	319
days	320
between	321
allen	322
things	323
weeks	324
long	325
keep	326
type	327
first	328
trading	329
trades	330
lunch	331
lc	332
left	333
taylor	334
physical	335
confirm	336
same	337
law	338
02	339
copy	340
swap	341
feel	342
its	343
love	344
tell	345
anything	346
14	347
able	348
company	349
russell	350
down	351
matt	352
better	353
fun	354
consent	355
dickson	356
address	357
understand	358
name	359
i'll	360
best	361
person	362
needs	363
13	364
financial	365
below	366
probably	367
additional	368
works	369
sorry	370
later	371
price	372
counterparties	373
leslie	374
asked	375
per	376
08	377
went	378
tuesday	379
15	380
tax	381
development	382
hopefully	383
ena	384
content	385
mike	386
m	387
cash	388
deals	389
houston	390
say	391
being	392
transaction	393
amount	394
house	395
'carol	396
03	397
trying	398
0	399
project	400
pay	401
plan	402
another	403
end	404
haven't	405
25	406
discussed	407
hear	408
lenhart	409
because	410
else	411
add	412
town	413
online	414
having	415
open	416
spoke	417
anyone	418
stay	419
mega	420
chance	421
com'	422
everything	423
believe	424
nice	425
everyone	426
wednesday	427
scott	428
transactions	429
16	430
pretty	431
confirmation	432
point	433
inc	434
yesterday	435
definition	436
possible	437
amto	438
regarding	439
pmto	440
money	441
sending	442
alos	443
once	444
notes	445
charles	446
business	447
keith	448
let's	449
response	450
even	451
threshold	452
eta	453
voice	454
available	455
conference	456
yet	457
shackleton	458
signed	459
morgan	460
joe	461
afternoon	462
contract	463
little	464
yes	465
i've	466
steve	467
while	468
format	469
month	470
requested	471
rod	472
cannot	473
bad	474
annex	475
18	476
room	477
revised	478
latest	479
csa	480
west	481
market	482
together	483
thursday	484
confirms	485
product	486
fri	487
ready	488
big	489
team	490
note	491
it's	492
care	493
north	494
26	495
agreements	496
final	497
word	498
larry	499
counsel	500
risk	501
bailey	502
proposed	503
given	504
based	505
include	506
numbers	507
engage	508
different	509
vacation	510
bank	511
above	512
agreed	513
cost	514
used	515
sign	516
george	517
second	518
ii	519
firm	520
maybe	521
lynn	522
current	523
line	524
support	525
lot	526
wants	527
fyi	528
baby	529
maria	530
cover	531
close	532
jones	533
added	534
1000	535
free	536
documents	537
ed	538
ok	539
elizabeth	540
golf	541
thoughts	542
wait	543
side	544
ace	545
doesn't	546
lin	547
agree	548
mailto	549
most	550
hearing	551
attorney	552
pick	553
using	554
21	555
ask	556
request	557
paragraph	558
never	559
50	560
coming	561
texas	562
j	563
marketing	564
paul	565
currently	566
executed	567
lucy	568
dave	569
28	570
receive	571
hit	572
utilicorp	573
flynn	574
prefer	575
hansen	576
payment	577
paid	578
canada	579
guarantee	580
points	581
cross	582
provisions	583
start	584
old	585
exposure	586
desk	587
bcc	588
told	589
rhonda	590
already	591
19	592
mac	593
entity	594
july	595
ees	596
222	597
update	598
taffy	599
prices	600
follow	601
services	602
dates	603
chnages	604
h	605
denton	606
trade	607
31	608
sounds	609
vegas	610
schedules	611
called	612
denver	613
order	614
document	615
thing	616
access	617
upon	618
matthew	619
arbitration	620
accept	621
mentioned	622
provide	623
america	624
setoff	625
seems	626
shuttee	627
jim	628
case	629
term	630
o	631
27	632
effective	633
won't	634
29	635
g	636
net	637
concerns	638
ago	639
isn't	640
copies	641
funny	642
frank	643
folder	644
job	645
info	646
saturday	647
return	648
red	649
early	650
execution	651
randy	652
stuff	653
assistant	654
shortly	655
k	656
months	657
intended	658
san	659
says	660
plans	661
changed	662
el	663
notice	664
kaiser	665
daily	666
high	667
24	668
planning	669
tanya	670
text	671
encoding	672
girl	673
actually	674
lsu	675
cool	676
yeah	677
gonna	678
rent	679
every	680
report	681
further	682
taht	683
ahead	684
question	685
tracy	686
forms	687
mime	688
plain	689
charset	690
origin	691
filename	692
shall	693
gpu	694
policy	695
guy	696
kristina	697
late	698
gets	699
thinking	700
