Word	Label
the	1
to	2
enron	3
i	4
and	5
you	6
this	7
a	8
of	9
	10
on	11
is	12
in	13
for	14
rick	15
amp	16
s	17
have	18
et	19
that	20
be	21
we	22
with	23
will	24
me	25
thanks	26
if	27
it	28
are	29
please	30
not	31
your	32
x	33
at	34
lynn	35
know	36
was	37
as	38
would	39
or	40
up	41
stacy	42
can	43
there	44
from	45
do	46
my	47
should	48
all	49
but	50
what	51
out	52
any	53
rac	54
need	55
our	56
get	57
they	58
has	59
just	60
attached	61
enronxgate	62
blair	63
fyi	64
20001	65
am	66
by	67
meeting	68
he	69
an	70
no	71
had	72
going	73
which	74
call	75
com	76
so	77
buy	78
been	79
us	80
let	81
here	82
agreement	83
also	84
version	85
these	86
about	87
like	88
credit	89
one	90
questions	91
tx	92
day	93
did	94
when	95
mail	96
how	97
ava	98
want	99
sure	100
john	101
i'm	102
don't	103
content	104
dickson	105
him	106
think	107
time	108
reps	109
may	110
june	111
new	112
deal	113
risk	114
good	115
review	116
sent	117
more	118
terry	119
check	120
2000	121
1	122
could	123
randy	124
subject	125
into	126
make	127
send	128
see	129
invoices	130
were	131
back	132
ok	133
some	134
before	135
use	136
where	137
000	138
work	139
06	140
gas	141
go	142
great	143
week	144
london	145
them	146
then	147
0	148
cc	149
comments	150
e	151
each	152
enroncc	153
keep	154
again	155
help	156
next	157
give	158
month	159
discuss	160
changes	161
team	162
still	163
well	164
ees	165
come	166
firm	167
now	168
since	169
ted	170
over	171
lt	172
transfer	173
master	174
jeff	175
fgt	176
2	177
too	178
tuesday	179
w	180
than	181
exposure	182
does	183
change	184
kowalke	185
after	186
needs	187
last	188
i'll	189
market	190
nng	191
per	192
only	193
very	194
type	195
bcc	196
4	197
raetta	198
karen	199
business	200
both	201
people	202
larry	203
today	204
mean	205
system	206
she	207
try	208
already	209
lets	210
wanted	211
find	212
office	213
above	214
713	215
853	216
deals	217
effort	218
better	219
their	220
joe	221
kathy	222
buchanan	223
probably	224
message	225
gisb	226
told	227
down	228
being	229
re	230
end	231
hope	232
mime	233
text	234
plain	235
charset	236
ascii	237
encoding	238
7bit	239
folder	240
notes	241
origin	242
filename	243
issue	244
group	245
those	246
take	247
two	248
big	249
5705	250
guy	251
pmto	252
dsl	253
management	254
report	255
mike	256
12	257
floor	258
reviewing	259
person	260
training	261
222	262
jean	263
debra	264
issues	265
forward	266
who	267
ww	268
gorelieberman	269
30	270
because	271
voice	272
due	273
transaction	274
request	275
agreements	276
n	277
mary	278
20	279
made	280
other	281
house	282
days	283
amto	284
stay	285
getting	286
monday	287
energy	288
company	289
following	290
concerns	291
anything	292
teams	293
m	294
little	295
tangie	296
information	297
move	298
said	299
problem	300
much	301
oba	302
working	303
together	304
section	305
small	306
folders	307
nsf	308
latest	309
put	310
25	311
his	312
place	313
really	314
another	315
3	316
111	317
lynnfrom	318
imbalances	319
sign	320
able	321
steve	322
process	323
everyone	324
attend	325
mtg	326
it's	327
l	328
cycle	329
original	330
email	331
01	332
storage	333
janzen	334
info	335
quite	336
line	337
fine	338
doing	339
talked	340
conversation	341
her	342
until	343
numbers	344
5	345
maybe	346
contact	347
10	348
spoke	349
idea	350
friday	351
stacey	352
huge	353
way	354
thank	355
job	356
berger	357
linda	358
decision	359
skilling	360
same	361
feb	362
houston	363
details	364
home	365
off	366
talk	367
additional	368
night	369
referenced	370
6	371
feedback	372
best	373
bradford	374
thoughts	375
dash	376
task	377
close	378
times	379
second	380
different	381
even	382
right	383
board	384
ask	385
loop	386
bodnar	387
purchase	388
corp	389
letter	390
asked	391
understand	392
control	393
trading	394
number	395
13	396
pm	397
chris	398
janet	399
sell	400
plant	401
complete	402
appropriate	403
looking	404
everything	405
year	406
something	407
copy	408
left	409
things	410
while	411
space	412
meet	413
var	414
went	415
sounds	416
jan	417
guys	418
speed	419
http	420
www	421
bill	422
andy	423
'sent	424
r	425
large	426
cary	427
14	428
enro	429
james	430
lynda	431
porter	432
cynthia	433
say	434
must	435
services	436
through	437
impact	438
myself	439
contracts	440
commodity	441
heard	442
discussed	443
15	444
02	445
tomorrow	446
soon	447
hopefully	448
msn	449
providing	450
address	451
add	452
suggest	453
txu	454
glad	455
rest	456
david	457
care	458
receive	459
michael	460
force	461
increase	462
answered	463
note	464
possible	465
fw	466
approximately	467
flash	468
committee	469
sale	470
require	471
included	472
gotta	473
garcia	474
non	475
several	476
include	477
performance	478
prc	479
mark	480
nui	481
cal	482
brokers	483
without	484
checking	485
first	486
shippers	487
update	488
adams	489
robert	490
dykes	491
sherry	492
forbish	493
greaney	494
mcdaniel	495
scurlock	496
sturr	497
harry	498
woodson	499
shelley	500
gomez	501
related	502
between	503
most	504
talking	505
conference	506
sorry	507
pretty	508
real	509
contract	510
response	511
others	512
wgr	513
taken	514
causey	515
immediate	516
1000	517
asset	518
banks	519
presentation	520
outside	521
interest	522
richard	523
test	524
draft	525
nov20001	526
sdickso	527
later	528
form	529
long	530
stand	531
c	532
nancy	533
callans	534
washington	535
rivers	536
sheila	537
print	538
passing	539
service	540
look	541
decide	542
once	543
checks	544
msr's	545
customer	546
40	547
needed	548
dietz	549
ready	550
short	551
19	552
during	553
got	554
seems	555
activity	556
many	557
within	558
morning	559
outlook	560
always	561
unless	562
trying	563
murphy	564
guess	565
uk	566
having	567
final	568
thought	569
can't	570
p	571
schedule	572
data	573
name	574
leave	575
date	576
future	577
improve	578
capital	579
return	580
luck	581
assist	582
question	583
timely	584
ms	585
thursday	586
away	587
rates	588
accounts	589
every	590
low	591
reports	592
attending	593
further	594
fix	595
gerry	596
gregg	597
district	598
however	599
testing	600
ramona	601
upgrade	602
agreed	603
deadline	604
continue	605
available	606
ricki	607
flood	608
below	609
tropical	610
storm	611
yesterday	612
50	613
feel	614
lblair	615
privileged	616
activities	617
yes	618
sense	619
part	620
recent	621
000p	622
8	623
sending	624
goal	625
spot	626
anyone	627
isn't	628
position	629
benningfield	630
linhart	631
gary	632
western	633
assets	634
few	635
mitchell	636
effective	637
concluded	638
either	639
mentioned	640
used	641
interested	642
never	643
remember	644
signature	645
assignment	646
returned	647
hear	648
news	649
done	650
positions	651
read	652
payment	653
price	654
wasn't	655
26	656
least	657
returns	658
dan	659
july	660
action	661
prior	662
org	663
defer	664
fund	665
ben	666
brief	667
discussion	668
document	669
such	670
met	671
portfolio	672
etc	673
possibly	674
course	675
jun20001	676
rbuy	677
trip	678
perlingiere	679
rudwell	680
29th	681
daily	682
bod	683
gave	684
says	685
critical	686
zadow	687
bryan	688
carr	689
shirley	690
