Word	Label
the	1
to	2
and	3
i	4
	5
a	6
you	7
enron	8
of	9
for	10
in	11
is	12
on	13
that	14
we	15
this	16
ect	17
have	18
will	19
with	20
be	21
it	22
lt	23
20	24
mike	25
are	26
your	27
as	28
if	29
me	30
hou	31
at	32
please	33
would	34
thanks	35
from	36
or	37
not	38
mcconnell	39
am	40
our	41
but	42
my	43
was	44
subject	45
know	46
an	47
can	48
he	49
do	50
what	51
com	52
about	53
any	54
all	55
like	56
up	57
by	58
2000	59
they	60
out	61
business	62
has	63
get	64
x	65
need	66
time	67
phillip	68
1	69
new	70
email	71
some	72
amp	73
call	74
01	75
there	76
m	77
also	78
very	79
make	80
let	81
us	82
think	83
corp	84
s	85
development	86
so	87
e	88
more	89
2	90
jeff	91
when	92
one	93
20001	94
been	95
gas	96
his	97
these	98
here	99
him	100
want	101
see	102
them	103
should	104
work	105
don't	106
ectcc	107
re	108
just	109
group	110
meeting	111
000	112
how	113
other	114
could	115
may	116
were	117
had	118
good	119
which	120
going	121
3	122
week	123
did	124
help	125
10	126
send	127
attached	128
go	129
questions	130
thank	131
information	132
cc	133
mark	134
their	135
back	136
john	137
stacy	138
take	139
great	140
well	141
111	142
changes	143
way	144
next	145
sure	146
pmto	147
mail	148
global	149
give	150
no	151
now	152
last	153
review	154
year	155
over	156
look	157
forward	158
et	159
amto	160
sent	161
office	162
price	163
713	164
cathy	165
enronxgate	166
5	167
still	168
comments	169
believe	170
only	171
project	172
houston	173
team	174
first	175
than	176
talk	177
0	178
message	179
i'll	180
market	181
na	182
4	183
hope	184
people	185
today	186
deal	187
use	188
really	189
day	190
businesses	191
much	192
into	193
again	194
who	195
08	196
plan	197
30	198
agreement	199
discuss	200
copy	201
12	202
after	203
two	204
didn't	205
version	206
net	207
contact	208
presentation	209
07	210
markets	211
lng	212
list	213
working	214
09	215
then	216
friday	217
853	218
trading	219
she	220
energy	221
phillips	222
content	223
communications	224
made	225
number	226
technology	227
below	228
i'm	229
type	230
under	231
being	232
following	233
draft	234
both	235
company	236
few	237
put	238
p	239
greg	240
works	241
does	242
carol	243
9	244
allen	245
find	246
before	247
date	248
provide	249
off	250
jeffrey	251
since	252
contract	253
shankman	254
set	255
egm	256
each	257
wanted	258
add	259
pm	260
process	261
03	262
fyi	263
change	264
05	265
02	266
george	267
chris	268
might	269
best	270
fax	271
interested	272
conference	273
david	274
fine	275
morning	276
through	277
meet	278
north	279
america	280
same	281
together	282
eol	283
lot	284
weather	285
possible	286
15	287
another	288
right	289
thought	290
couple	291
j	292
her	293
down	294
issues	295
opportunity	296
looking	297
done	298
phone	299
letter	300
most	301
regarding	302
even	303
address	304
already	305
return	306
06	307
update	308
received	309
additional	310
tomorrow	311
04	312
dickson	313
gary	314
while	315
steve	316
because	317
monday	318
transfer	319
lon	320
many	321
around	322
soon	323
via	324
unit	325
issue	326
trip	327
doing	328
its	329
eric	330
try	331
available	332
getting	333
opportunities	334
note	335
things	336
t	337
better	338
focus	339
schedule	340
keep	341
asked	342
understand	343
plans	344
credit	345
follow	346
said	347
l	348
later	349
risk	350
6	351
guys	352
check	353
cost	354
big	355
per	356
however	357
where	358
can't	359
home	360
come	361
response	362
move	363
guy	364
document	365
something	366
13	367
attend	368
yes	369
anything	370
place	371
feel	372
larry	373
such	374
got	375
long	376
several	377
too	378
key	379
system	380
rick	381
jdf	382
thursday	383
interest	384
million	385
joe	386
years	387
important	388
those	389
management	390
ou	391
days	392
until	393
mary	394
report	395
end	396
products	397
discussed	398
left	399
8	400
14	401
everyone	402
text	403
notes	404
sorry	405
thoughts	406
future	407
little	408
world	409
power	410
final	411
physical	412
r	413
7	414
encoding	415
plain	416
charset	417
ken	418
enron's	419
during	420
lynn	421
enroncc	422
yet	423
support	424
able	425
afternoon	426
construction	427
different	428
continue	429
1000	430
firm	431
needs	432
transaction	433
within	434
receive	435
mime	436
happy	437
specific	438
st	439
28	440
ees	441
luck	442
site	443
general	444
original	445
having	446
leave	447
bob	448
money	449
ready	450
program	451
weeks	452
doug	453
wednesday	454
keith	455
appreciate	456
news	457
name	458
month	459
numbers	460
financial	461
actually	462
items	463
full	464
job	465
bcc	466
19	467
include	468
part	469
point	470
25	471
activities	472
prices	473
due	474
someone	475
san	476
committee	477
ascii	478
others	479
file	480
piece	481
probably	482
efforts	483
units	484
lucy	485
japan	486
27	487
making	488
why	489
jones	490
desk	491
visit	492
section	493
looks	494
chairman	495
else	496
master	497
daily	498
eees	499
agree	500
summer	501
early	502
walk	503
philippe	504
pay	505
person	506
details	507
coal	508
currently	509
jay	510
commercial	511
respond	512
latest	513
event	514
21	515
ideas	516
join	517
co	518
tuesday	519
family	520
including	521
spoke	522
marketing	523
went	524
o	525
points	526
case	527
told	528
analyst	529
president	530
responsible	531
using	532
months	533
purchase	534
lunch	535
natural	536
board	537
d	538
weekend	539
short	540
july	541
ena	542
crude	543
http	544
based	545
west	546
january	547
directly	548
hear	549
line	550
online	551
sales	552
especially	553
voicemail	554
remember	555
origination	556
goals	557
paid	558
222	559
virginia	560
26	561
folder	562
storage	563
cindy	564
supply	565
decision	566
either	567
say	568
night	569
although	570
i've	571
feedback	572
between	573
high	574
role	575
building	576
k	577
old	578
page	579
23	580
b	581
mentioned	582
form	583
growth	584
resume	585
sooners	586
further	587
access	588
meetings	589
survey	590
scheduled	591
without	592
services	593
start	594
read	595
free	596
london	597
origin	598
filename	599
texas	600
direct	601
comcc	602
product	603
less	604
chance	605
coming	606
current	607
industry	608
c	609
agreements	610
rice	611
view	612
n	613
june	614
value	615
yesterday	616
louise	617
7bit	618
commerce	619
october	620
must	621
talking	622
order	623
open	624
ask	625
consideration	626
dan	627
randy	628
needed	629
property	630
sale	631
areas	632
organization	633
companies	634
earlier	635
house	636
frevert	637
complete	638
24	639
above	640
trades	641
traders	642
bonnard	643
close	644
calendar	645
646	646
build	647
march	648
floor	649
w	650
hr	651
deals	652
jim	653
it's	654
potential	655
executive	656
once	657
times	658
bibi	659
small	660
position	661
art	662
show	663
talked	664
pass	665
priority	666
story	667
29	668
taking	669
rent	670
mcmahon	671
16	672
resources	673
outlook	674
5000	675
second	676
transactions	677
quick	678
bring	679
create	680
strategy	681
always	682
cash	683
thor	684
rentroll	685
late	686
nsf	687
area	688
given	689
inc	690
manager	691
reports	692
april	693
fill	694
course	695
sincerely	696
hesitate	697
anyone	698
bid	699
speak	700
prepared	701
room	702
total	703
ahead	704
investment	705
groups	706
term	707
distribution	708
requested	709
jjones	710
jonesenergy	711
nice	712
18	713
