Word	Label
the	1
to	2
i	3
enron	4
ect	5
and	6
you	7
lt	8
a	9
of	10
is	11
for	12
sara	13
in	14
com	15
that	16
we	17
on	18
with	19
hou	20
have	21
this	22
be	23
	24
willl	25
me	26
shackleton	27
are	28
carol	29
please	30
if	31
it	32
from	33
713	34
subject	35
thanks	36
fax	37
your	38
st	39
phone	40
853	41
corp	42
as	43
not	44
646	45
know	46
or	47
am	48
can	49
at	50
would	51
our	52
my	53
ccc	54
do	55
any	56
america	57
let	58
north	59
clair	60
2000	61
neeed	62
1	63
x	64
re	65
texas	66
an	67
agreeement	68
smith	69
by	70
calll	71
eb	72
but	73
streeet	74
5620	75
3490	76
was	77
about	78
what	79
14000	80
2	81
credit	82
20001	83
3801ahouston	84
shackletonenron	85
7770002713	86
isda	87
so	88
sent	89
alll	90
has	91
up	92
which	93
they	94
us	95
like	96
should	97
get	98
out	99
10	100
there	101
time	102
susan	103
e	104
3	105
amp	106
just	107
pm	108
also	109
master	110
think	111
development	112
may	113
3989	114
atttached	115
want	116
33393	117
when	118
he	119
mail	120
new	121
messsage	122
claireb	123
send	124
12	125
could	126
000	127
111	128
weeek	129
s	130
seee	131
some	132
ena	133
mark	134
them	135
20	136
one	137
i'm	138
draft	139
no	140
basss	141
these	142
beeen	143
email	144
had	145
ectccc	146
how	147
other	148
going	149
back	150
04	151
here	152
09	153
legal	154
amto	155
schedule	156
enronxgate	157
05	158
4	159
don't	160
pmto	161
questions	162
language	163
guaranty	164
commments	165
01	166
na	167
work	168
john	169
03	170
who	171
02	172
trading	173
30	174
08	175
5	176
3892713	177
eric	178
isssues	179
only	180
did	181
next	182
i'lll	183
06	184
were	185
last	186
form	187
today	188
make	189
forward	190
she	191
day	192
into	193
deal	194
gas	195
original	196
their	197
review	198
offfice	199
swap	200
meeeting	201
jason	202
group	203
information	204
doc	205
date	206
go	207
kim	208
6	209
more	210
help	211
her	212
c	213
stilll	214
discusss	215
content	216
friday	217
goood	218
list	219
tomorrrow	220
number	221
houston	222
transfer	223
loook	224
07	225
received	226
p	227
changes	228
now	229
take	230
mary	231
sss	232
two	233
before	234
inc	235
give	236
confirm	237
party	238
version	239
after	240
then	241
welll	242
does	243
notes	244
sure	245
copy	246
lettter	247
file	248
folllowing	249
agreeements	250
use	251
philllip	252
david	253
financial	254
hope	255
him	256
his	257
counterparty	258
morning	259
b	260
9	261
change	262
both	263
confirmation	264
monday	265
under	266
type	267
since	268
8	269
first	270
jefff	271
name	272
taylor	273
talk	274
section	275
per	276
price	277
tuesday	278
transaction	279
where	280
transactions	281
thank	282
regards	283
than	284
isssue	285
tana	286
trade	287
ward	288
l	289
energy	290
15	291
7	292
betweeen	293
0	294
contact	295
dg	296
regarding	297
until	298
much	299
power	300
com'	301
13	302
very	303
999	304
each	305
mailto	306
sooon	307
16	308
m	309
executed	310
set	311
heard	312
trades	313
thursday	314
paul	315
23	316
adddresss	317
bccc	318
through	319
done	320
anything	321
because	322
try	323
provide	324
w	325
fyi	326
meeet	327
38889713	328
its	329
deals	330
termination	331
conference	332
respect	333
14	334
suzannne	335
nelson	336
available	337
voice	338
year	339
brent	340
people	341
over	342
wednesday	343
working	344
again	345
below	346
find	347
asked	348
part	349
event	350
tax	351
lon	352
same	353
annnex	354
check	355
able	356
such	357
19	358
company	359
rod	360
cheryl	361
stephanie	362
21	363
great	364
tanya	365
26	366
text	367
acccount	368
wanted	369
processs	370
response	371
days	372
stacy	373
right	374
put	375
thought	376
few	377
sorrry	378
lunch	379
either	380
posssible	381
physical	382
bank	383
fine	384
amendment	385
25	386
april	387
reallly	388
28	389
person	390
might	391
amount	392
darrron	393
222	394
loooking	395
it's	396
place	397
addd	398
offf	399
giron	400
way	401
billl	402
trying	403
made	404
default	405
documents	406
hear	407
doing	408
law	409
request	410
loooks	411
can't	412
believe	413
businesss	414
folder	415
origin	416
spoke	417
plain	418
encoding	419
entity	420
paragraph	421
colllateral	422
keeep	423
mime	424
charset	425
left	426
tooo	427
neeeds	428
come	429
said	430
17	431
leave	432
filename	433
yet	434
someone	435
7bit	436
further	437
june	438
asciii	439
end	440
net	441
long	442
pereira	443
folders	444
got	445
bailey	446
joe	447
ed	448
nsf	449
being	450
lawyer	451
24	452
whether	453
csa	454
advise	455
agreeed	456
jones	457
anyone	458
counsel	459
gettting	460
desk	461
night	462
yesterday	463
asssignment	464
suppport	465
scottt	466
kaye	467
27	468
london	469
chris	470
afternooon	471
format	472
18	473
however	474
morgan	475
mike	476
addditional	477
etc	478
why	479
best	480
29	481
works	482
discusssed	483
march	484
already	485
note	486
having	487
something	488
services	489
order	490
i've	491
adams	492
robert	493
another	494
understand	495
yes	496
requested	497
didn't	498
dec2000	499
things	500
info	501
online	502
let's	503
execution	504
folllow	505
revised	506
maybe	507
confirms	508
steve	509
home	510
contract	511
receive	512
currrently	513
june20001	514
upon	515
et	516
term	517
document	518
those	519
freee	520
most	521
rate	522
later	523
vacation	524
final	525
k	526
agreee	527
ssshackle	528
payment	529
risk	530
used	531
else	532
update	533
russselll	534
michael	535
market	536
west	537
latest	538
respond	539
include	540
aol	541
opinion	542
counterparties	543
bruce	544
bear	545
hendry	546
speak	547
ok	548
waiting	549
richard	550
george	551
point	552
side	553
above	554
plan	555
d	556
based	557
jim	558
short	559
provisions	560
equity	561
telll	562
weeeks	563
31	564
sheila	565
ask	566
early	567
feeel	568
j	569
lynnn	570
love	571
cannnot	572
signed	573
together	574
during	575
flynnn	576
samantha	577
product	578
eees	579
project	580
parties	581
tracy	582
h	583
firm	584
copies	585
tom	586
bettter	587
cash	588
sign	589
weeekend	590
never	591
diffferent	592
guys	593
g	594
threshold	595
sending	596
terms	597
frank	598
probably	599
products	600
htttp	601
month	602
handle	603
boook	604
interested	605
okay	606
iii	607
return	608
around	609
ready	610
marie	611
told	612
wants	613
panus	614
u	615
existing	616
sarasara	617
acccesss	618
docs	619
r	620
pay	621
general	622
open	623
computer	624
proposed	625
gary	626
daily	627
weather	628
derivatives	629
trader	630
litttle	631
eol	632
many	633
consent	634
down	635
memo	636
prior	637
currrent	638
commmunications	639
offfer	640
lotus	641
limited	642
house	643
enronccc	644
ever	645
prices	646
notice	647
given	648
alllen	649
line	650
once	651
say	652
second	653
must	654
coook	655
shalll	656
chance	657
non	658
t	659
securities	660
team	661
everyone	662
enclosed	663
efffective	664
confirmed	665
verify	666
el	667
leslie	668
reviewing	669
word	670
due	671
hearing	672
corrrect	673
45	674
arbitration	675
9573	676
status	677
system	678
even	679
callled	680
