Word	Label
enron	1
amp	2
et	3
s	4
the	5
to	6
you	7
i	8
and	9
a	10
of	11
in	12
on	13
for	14
2000	15
is	16
have	17
with	18
that	19
subject	20
are	21
michelle	22
lt	23
com	24
this	25
your	26
lokay	27
thanks	28
if	29
me	30
will	31
enroncc	32
please	33
it	34
be	35
not	36
at	37
000	38
out	39
know	40
up	41
from	42
or	43
as	44
how	45
would	46
we	47
like	48
audrey	49
amto	50
time	51
01	52
about	53
kevin	54
hyatt	55
christine	56
fgt	57
was	58
10	59
all	60
good	61
lindy	62
pmto	63
stokes	64
my	65
e	66
jeffery	67
fawcett	68
lorraine	69
lindberg	70
tk	71
lohman	72
too	73
deal	74
going	75
do	76
fyi	77
any	78
by	79
but	80
can	81
111	82
day	83
check	84
8	85
bob	86
mike	87
donoho	88
no	89
i'm	90
adr	91
one	92
steve	93
30	94
tw	95
get	96
just	97
5	98
profitability	99
let	100
4	101
watson	102
steven	103
harris	104
problems	105
december	106
were	107
those	108
today	109
2	110
again	111
25	112
ww	113
gorelieberman	114
think	115
been	116
he	117
our	118
new	119
it's	120
kimberly	121
still	122
call	123
what	124
got	125
mail	126
now	127
some	128
john	129
am	130
model	131
ots	132
class	133
guys	134
friday	135
monday	136
09	137
cc	138
energy	139
07	140
burleson	141
there	142
27	143
jim	144
revenue	145
august	146
michael	147
linda	148
re	149
ie5	150
system	151
marilyn	152
compaq	153
so	154
much	155
big	156
i'll	157
08	158
they	159
mei	160
ling	161
list	162
npng	163
sorry	164
service	165
november	166
wednesday	167
reports	168
advance	169
last	170
04	171
mlokay	172
gas	173
company	174
electric	175
an	176
already	177
here	178
go	179
vacation	180
sean	181
lee	182
bill	183
robertson	184
internet	185
explorer	186
work	187
message	188
has	189
doing	190
guy	191
sure	192
when	193
rice	194
9	195
first	196
14	197
us	198
12	199
scott	200
could	201
look	202
say	203
hi	204
off	205
week	206
tuesday	207
robertson111	208
20	209
submit	210
night	211
joe	212
com'	213
contract	214
fuel	215
help	216
name	217
same	218
california	219
don't	220
over	221
bolks	222
meeting	223
ok	224
houston	225
marketing	226
everyone	227
well	228
meghan	229
soon	230
03	231
did	232
lunch	233
voice	234
long	235
gotta	236
m	237
count	238
terry	239
home	240
house	241
try	242
713	243
since	244
back	245
see	246
christmas	247
13	248
holiday	249
either	250
logon	251
hope	252
'mlokay	253
less	254
these	255
park	256
1000	257
02	258
send	259
email	260
