Word	Label
the	1
to	2
i	3
lt	4
and	5
enron	6
you	7
a	8
of	9
is	10
ect	11
in	12
that	13
for	14
on	15
	16
we	17
kay	18
com	19
this	20
it	21
have	22
be	23
with	24
are	25
will	26
if	27
hou	28
carol	29
subject	30
from	31
mann	32
me	33
or	34
as	35
st	36
at	37
thanks	38
please	39
not	40
2000	41
your	42
can	43
would	44
corp	45
know	46
re	47
my	48
20	49
any	50
do	51
so	52
but	53
by	54
what	55
cc	56
am	57
need	58
clair	59
was	60
get	61
20001	62
our	63
agreement	64
out	65
713	66
an	67
i'm	68
up	69
call	70
he	71
about	72
10	73
they	74
all	75
fax	76
1	77
there	78
has	79
phone	80
just	81
2	82
think	83
x	84
enroncc	85
853	86
let	87
like	88
pmto	89
which	90
e	91
sent	92
mail	93
time	94
want	95
should	96
646	97
some	98
12	99
3	100
33393	101
3989	102
them	103
see	104
one	105
could	106
09	107
don't	108
111	109
01	110
message	111
us	112
may	113
amp	114
000	115
claireb	116
pm	117
ge	118
when	119
amto	120
also	121
how	122
going	123
development	124
new	125
send	126
had	127
been	128
draft	129
4	130
suzanne	131
go	132
week	133
good	134
i'll	135
here	136
03	137
email	138
work	139
these	140
08	141
him	142
john	143
contract	144
she	145
02	146
make	147
06	148
other	149
today	150
no	151
more	152
05	153
back	154
letter	155
next	156
tomorrow	157
form	158
information	159
day	160
3892713	161
change	162
deal	163
07	164
original	165
last	166
adams	167
susan	168
mark	169
language	170
comments	171
their	172
s	173
her	174
did	175
c	176
30	177
take	178
copy	179
doc	180
were	181
na	182
5	183
ben	184
04	185
hi	186
attached	187
credit	188
meeting	189
ena	190
only	191
well	192
his	193
gas	194
since	195
6	196
version	197
energy	198
now	199
give	200
look	201
into	202
before	203
sure	204
questions	205
help	206
date	207
still	208
then	209
forward	210
power	211
who	212
changes	213
hope	214
enronxgate	215
way	216
received	217
friday	218
office	219
number	220
after	221
phillip	222
l	223
review	224
discuss	225
issues	226
15	227
conference	228
michael	229
use	230
monday	231
than	232
group	233
project	234
erac	235
two	236
lisa	237
nmann	238
does	239
i've	240
purchase	241
master	242
thank	243
under	244
where	245
check	246
guaranty	247
much	248
order	249
list	250
being	251
something	252
said	253
sheila	254
schedule	255
assignment	256
option	257
legal	258
jacoby	259
off	260
working	261
first	262
kathleen	263
ca	264
dg	265
thought	266
really	267
ectcc	268
file	269
transfer	270
very	271
same	272
mailto	273
documents	274
content	275
isda	276
its	277
such	278
might	279
david	280
price	281
talk	282
thursday	283
morning	284
getting	285
j	286
got	287
find	288
great	289
23	290
until	291
done	292
p	293
right	294
fyi	295
each	296
wednesday	297
25	298
soon	299
made	300
scott	301
available	302
section	303
set	304
put	305
following	306
7	307
agreements	308
16	309
both	310
m	311
north	312
part	313
chris	314
carlos	315
anything	316
again	317
home	318
jeff	319
love	320
wanted	321
yet	322
k	323
38889713	324
13	325
over	326
come	327
company	328
didn't	329
days	330
type	331
through	332
because	333
believe	334
8	335
leave	336
w	337
comcc	338
com'	339
tuesday	340
notice	341
asked	342
14	343
can't	344
someone	345
too	346
document	347
b	348
name	349
america	350
around	351
0	352
facility	353
process	354
contact	355
222	356
things	357
year	358
fred	359
stacy	360
issue	361
try	362
19	363
looking	364
looks	365
party	366
haven't	367
darron	368
sara	369
lunch	370
regarding	371
neil	372
ok	373
giron	374
probably	375
needs	376
it's	377
kslaw	378
doing	379
abb	380
transaction	381
9	382
trying	383
signed	384
f	385
left	386
payment	387
people	388
ii	389
shall	390
26	391
maybe	392
either	393
amount	394
better	395
tell	396
possible	397
gregg	398
meet	399
address	400
long	401
21	402
final	403
houston	404
mary	405
28	406
llc	407
fine	408
sign	409
respond	410
pereira	411
those	412
night	413
afternoon	414
between	415
notes	416
18	417
deals	418
end	419
termination	420
contracts	421
amendment	422
person	423
mike	424
intended	425
revised	426
fuel	427
stuff	428
per	429
another	430
sorry	431
keep	432
27	433
request	434
peter	435
additional	436
able	437
heard	438
place	439
later	440
most	441
tweed	442
print	443
etc	444
entity	445
add	446
else	447
below	448
kayfrom	449
few	450
carnahan	451
turbine	452
d	453
sole	454
point	455
counterparty	456
down	457
17	458
copies	459
having	460
confirm	461
feel	462
bcc	463
24	464
heather	465
enovate	466
carolyn	467
ask	468
bill	469
told	470
yesterday	471
29	472
room	473
discussed	474
confidential	475
steve	476
event	477
business	478
west	479
ready	480
otherwise	481
once	482
confidentiality	483
equipment	484
comsubject	485
current	486
r	487
folder	488
june	489
respect	490
provide	491
here's	492
consent	493
et	494
taylor	495
problem	496
little	497
why	498
plan	499
31	500
pay	501
tax	502
closing	503
used	504
hear	505
info	506
best	507
counsel	508
risk	509
include	510
text	511
voice	512
weeks	513
team	514
50	515
physical	516
close	517
yes	518
march	519
say	520
mitro	521
cost	522
works	523
akllp	524
understand	525
lee	526
paul	527
however	528
based	529
note	530
market	531
free	532
karen	533
spoke	534
while	535
net	536
care	537
delete	538
due	539
anyone	540
agree	541
encoding	542
origin	543
above	544
guys	545
sounds	546
house	547
wants	548
together	549
big	550
transactions	551
word	552
proposed	553
mime	554
plain	555
charset	556
filename	557
terms	558
lawyer	559
city	560
law	561
latest	562
doesn't	563
okay	564
called	565
open	566
question	567
that's	568
jeffrey	569
without	570
requested	571
early	572
read	573
plant	574
thompson	575
folders	576
case	577
sale	578
nsf	579
given	580
engeldorf	581
enclosed	582
signature	583
already	584
docs	585
term	586
executed	587
won't	588
russell	589
january	590
ascii	591
7bit	592
guess	593
whether	594
advise	595
weekend	596
t	597
jones	598
follow	599
trading	600
n	601
clark	602
joe	603
roseann	604
line	605
site	606
during	607
default	608
happy	609
notify	610
town	611
agreed	612
using	613
response	614
book	615
cash	616
performance	617
'sent	618
services	619
vepco	620
unit	621
tana	622
privileged	623
commercial	624
fw	625
although	626
error	627
ed	628
taking	629
currently	630
approval	631
outside	632
peoples	633
desk	634
mentioned	635
system	636
school	637
george	638
collateral	639
different	640
sending	641
mitch	642
bills	643
immediately	644
9573	645
financial	646
communication	647
start	648
upon	649
individual	650
seller	651
cell	652
couple	653
confirmation	654
thing	655
further	656
kent	657
including	658
return	659
kmann	660
changed	661
g	662
isn't	663
least	664
paragraph	665
reference	666
ps	667
required	668
allen	669
everything	670
co	671
1000	672
delivery	673
thoughts	674
specific	675
online	676
must	677
interested	678
month	679
visit	680
leslie	681
guarantee	682
firm	683
sheet	684
texas	685
sender	686
jim	687
receive	688
july	689
execution	690
position	691
vacation	692
ckm	693
numbers	694
keffer	695
unless	696
second	697
status	698
interest	699
october	700
