Word	Label
the	1
to	2
	3
i	4
and	5
of	6
a	7
enron	8
you	9
in	10
is	11
for	12
mark	13
that	14
ect	15
on	16
this	17
with	18
be	19
we	20
have	21
are	22
will	23
it	24
20	25
me	26
e	27
please	28
if	29
as	30
hou	31
or	32
would	33
not	34
from	35
your	36
at	37
am	38
haedicke	39
lt	40
our	41
thanks	42
by	43
com	44
any	45
subject	46
an	47
cc	48
know	49
x	50
can	51
my	52
do	53
amp	54
what	55
legal	56
was	57
1	58
20001	59
carol	60
about	61
they	62
but	63
need	64
phillip	65
2	66
let	67
has	68
there	69
think	70
up	71
he	72
get	73
call	74
all	75
like	76
should	77
out	78
713	79
mail	80
us	81
time	82
so	83
s	84
work	85
new	86
some	87
000	88
could	89
pm	90
want	91
which	92
may	93
2000	94
them	95
one	96
st	97
isda	98
sent	99
corp	100
john	101
10	102
meeting	103
853	104
agreement	105
information	106
also	107
3	108
fax	109
here	110
stacy	111
these	112
gas	113
attached	114
back	115
make	116
see	117
trading	118
09	119
development	120
111	121
12	122
been	123
going	124
energy	125
when	126
send	127
their	128
more	129
week	130
other	131
questions	132
4	133
phone	134
no	135
just	136
na	137
only	138
review	139
law	140
him	141
646	142
business	143
his	144
credit	145
had	146
how	147
re	148
m	149
use	150
under	151
et	152
01	153
did	154
were	155
issues	156
5	157
p	158
enronxgate	159
good	160
give	161
next	162
talk	163
office	164
comments	165
power	166
message	167
who	168
list	169
3989	170
go	171
email	172
content	173
well	174
take	175
houston	176
04	177
33393	178
form	179
last	180
than	181
thank	182
into	183
02	184
contracts	185
very	186
such	187
sure	188
look	189
help	190
risk	191
claireb	192
30	193
year	194
firm	195
number	196
regards	197
master	198
03	199
before	200
over	201
contract	202
letter	203
deal	204
still	205
she	206
project	207
transactions	208
draft	209
version	210
date	211
schedule	212
does	213
don't	214
type	215
changes	216
two	217
jeff	218
then	219
forward	220
where	221
per	222
set	223
following	224
ena	225
contact	226
put	227
allen	228
now	229
today	230
change	231
market	232
0	233
group	234
c	235
copy	236
day	237
yes	238
15	239
section	240
david	241
issue	242
counsel	243
clair	244
after	245
language	246
financial	247
arbitration	248
peter	249
transfer	250
first	251
through	252
working	253
report	254
done	255
transaction	256
since	257
plan	258
friday	259
org	260
made	261
sa	262
mary	263
06	264
much	265
support	266
quicklinks	267
text	268
steve	269
court	270
l	271
america	272
price	273
monday	274
both	275
being	276
3892713	277
6	278
notes	279
rob	280
tomorrow	281
fyi	282
said	283
ok	284
long	285
each	286
dickson	287
discuss	288
might	289
find	290
let's	291
doing	292
try	293
bruce	294
few	295
general	296
company	297
regarding	298
including	299
agreements	300
great	301
whether	302
provide	303
board	304
communications	305
janette	306
randy	307
case	308
policy	309
b	310
richard	311
lynn	312
process	313
physical	314
7	315
services	316
25	317
its	318
person	319
her	320
memo	321
further	322
available	323
05	324
non	325
j	326
name	327
check	328
i'm	329
possible	330
additional	331
looks	332
t	333
cal	334
below	335
believe	336
wanted	337
meet	338
bcc	339
right	340
alan	341
way	342
note	343
jim	344
why	345
however	346
cost	347
conference	348
original	349
folder	350
between	351
guaranty	352
deals	353
outside	354
received	355
plain	356
getting	357
13	358
month	359
08	360
point	361
matter	362
interest	363
mike	364
charset	365
encoding	366
place	367
9	368
dan	369
really	370
asked	371
request	372
together	373
team	374
litigation	375
keep	376
mime	377
origin	378
filename	379
cash	380
8	381
most	382
best	383
north	384
continue	385
party	386
looking	387
fine	388
tuesday	389
include	390
needs	391
too	392
elizabeth	393
again	394
add	395
many	396
off	397
morning	398
robert	399
7bit	400
within	401
counterparties	402
pay	403
term	404
thoughts	405
update	406
file	407
around	408
ascii	409
because	410
counterparty	411
sign	412
care	413
understand	414
discussed	415
paul	416
above	417
program	418
brazilian	419
state	420
hope	421
susan	422
soon	423
shall	424
event	425
order	426
thursday	427
experience	428
folders	429
nsf	430
basis	431
agree	432
chris	433
14	434
taylor	435
come	436
attorney	437
thought	438
intended	439
end	440
until	441
leave	442
purchase	443
march	444
same	445
george	446
walls	447
confirm	448
bob	449
address	450
respect	451
cannot	452
currently	453
april	454
while	455
26	456
open	457
canada	458
termination	459
receive	460
house	461
prices	462
days	463
27	464
san	465
used	466
costs	467
part	468
index	469
michelle	470
lucy	471
commercial	472
collateral	473
happy	474
position	475
another	476
london	477
either	478
current	479
people	480
having	481
significant	482
keith	483
michigan	484
things	485
home	486
follow	487
down	488
trades	489
tax	490
october	491
anything	492
system	493
payment	494
able	495
second	496
traders	497
greg	498
o	499
lisa	500
brazil	501
opinion	502
joe	503
response	504
local	505
during	506
terms	507
sanders	508
doc	509
access	510
bill	511
seems	512
larry	513
19	514
full	515
without	516
future	517
matters	518
23	519
w	520
numbers	521
members	522
january	523
better	524
lunch	525
june	526
west	527
those	528
18	529
h	530
already	531
against	532
months	533
certain	534
california	535
trying	536
hodge	537
amount	538
free	539
bank	540
r	541
resume	542
inc	543
product	544
g	545
recipient	546
plans	547
default	548
29	549
feel	550
department	551
based	552
n	553
later	554
latest	555
site	556
public	557
approval	558
confidentiality	559
problem	560
attachments	561
confidential	562
delete	563
invoices	564
d	565
ees	566
yet	567
james	568
paid	569
construction	570
16	571
notice	572
regulatory	573
elbertson	574
bar	575
requested	576
signed	577
hear	578
something	579
points	580
monthly	581
equity	582
return	583
website	584
provisions	585
k	586
december	587
even	588
job	589
07	590
rick	591
michael	592
etc	593
committee	594
proposed	595
wednesday	596
mhaedic	597
status	598
agreed	599
aronowitz	600
smith	601
ask	602
concerns	603
21	604
different	605
lawyers	606
sami	607
novak	608
pmto	609
given	610
didn't	611
south	612
daily	613
left	614
chance	615
rules	616
due	617
years	618
planning	619
works	620
rent	621
young	622
amendment	623
desk	624
prior	625
electronic	626
chart	627
38889713	628
far	629
money	630
less	631
trip	632
little	633
probably	634
sale	635
wholesale	636
rentroll	637
keohane	638
canadian	639
afternoon	640
mentioned	641
units	642
eol	643
fees	644
assets	645
final	646
oct20001	647
using	648
york	649
heard	650
212	651
standard	652
julia	653
travis	654
ogc	655
provision	656
say	657
line	658
ews	659
meetings	660
location	661
ii	662
written	663
gregg	664
info	665
unit	666
appreciate	667
sheila	668
summary	669
frank	670
lance	671
17	672
period	673
dispute	674
required	675
visit	676
several	677
told	678
businesses	679
gisb	680
document	681
commodity	682
companies	683
start	684
spoke	685
floor	686
once	687
gary	688
least	689
voice	690
sorry	691
revised	692
opportunity	693
value	694
50	695
distribution	696
three	697
anyone	698
storage	699
property	700
blair	701
journal	702
defendant	703
although	704
foreign	705
28	706
specific	707
