Word	Label
ect	1
enron	2
	3
hou	4
enronxgate	5
the	6
to	7
a	8
and	9
you	10
on	11
corp	12
i	13
be	14
development	15
e	16
for	17
this	18
in	19
will	20
na	21
are	22
is	23
score	24
your	25
john	26
we	27
of	28
at	29
please	30
en	31
com	32
have	33
not	34
20001	35
storey	36
geoff	37
t	38
h	39
garage	40
out	41
gmat	42
with	43
w	44
ron	45
ww	46
subject	47
week	48
or	49
ii	50
k	51
l	52
r	53
communications	54
smith	55
gorelieberman	56
2000	57
my	58
report	59
may	60
geof	61
as	62
new	63
allen	64
enro	65
michael	66
m	67
center	68
check	69
an	70
that	71
lt	72
ets	73
additional	74
if	75
include	76
all	77
meeting	78
wei	79
colleen	80
document	81
parking	82
ec	83
n	84
lisa	85
ct	86
what	87
need	88
can	89
scores	90
20	91
request	92
it	93
from	94
zhiyong	95
me	96
requirements	97
stephen	98
gtv	99
very	100
ees	101
d	102
f	103
nron	104
mark	105
christopher	106
nxgate	107
david	108
chris	109
robert	110
george	111
susan	112
sent	113
just	114
amto	115
5	116
available	117
s	118
by	119
609	120
would	121
first	122
weeks	123
re	124
3	125
time	126
phase	127
sullivan	128
any	129
off	130
next	131
amp	132
transportation	133
c	134
jeff	135
eees	136
kimberly	137
clark	138
richard	139
jeffrey	140
brad	141
j	142
bruce	143
mary	144
miller	145
kenneth	146
nguyen	147
25	148
were	149
test	150
customer	151
service	152
org	153
111	154
years	155
still	156
reporting	157
accept	158
which	159
suggest	160
fee	161
one	162
form	163
via	164
following	165
receive	166
address	167
date	168
number	169
original	170
message	171
pm	172
bed	173
she	174
come	175
there	176
03	177
ectcc	178
4	179
000	180
today	181
march	182
know	183
10	184
also	185
stock	186
beth	187
perlman	188
philippe	189
bibi	190
dependencies	191
pmto	192
louise	193
inception	194
stephanie	195
basis	196
options	197
eric	198
ou	199
patrick	200
mike	201
g	202
ronxgate	203
dan	204
steve	205
johnson	206
jones	207
enronxga	208
te	209
kevin	210
kelly	211
greg	212
moore	213
xgate	214
laura	215
ring	216
b	217
larry	218
frank	219
p	220
james	221
jason	222
williams	223
ri	224
offer	225
here	226
go	227
because	228
forgot	229
was	230
i'm	231
official	232
copy	233
some	234
again	235
04	236
16	237
cc	238
reports	239
many	240
than	241
old	242
they	243
us	244
each	245
requested	246
being	247
recipients	248
do	249
complete	250
mail	251
should	252
fax	253
8883	254
7771	255
card	256
letter	257
requesting	258
testing	259
6104	260
nj	261
name	262
information	263
survey	264
link	265
http	266
wednesday	267
how	268
find	269
853	270
left	271
now	272
around	273
only	274
stroller	275
house	276
daddy	277
desk	278
222	279
08	280
regarding	281
version	282
let	283
when	284
dont	285
want	286
person	287
myself	288
gas	289
big	290
guy	291
i'll	292
working	293
comments	294
signature	295
timeline	296
production	297
dates	298
where	299
group	300
these	301
representative	302
sign	303
who	304
work	305
kitchen	306
schoppe	307
tammie	308
thanks	309
per	310
line	311
up	312
joe	313
two	314
but	315
take	316
final	317
1	318
move	319
deal	320
phillip	321
irma	322
peggy	323
michelle	324
enronxgat	325
brown	326
gary	327
bryan	328
carter	329
conner	330
sheri	331
martin	332
flores	333
butler	334
garcia	335
ned	336
enr	337
harris	338
amy	339
brian	340
melissa	341
kim	342
andrew	343
lopez	344
martinez	345
judy	346
veronica	347
janet	348
sandy	349
palmer	350
paul	351
rogers	352
elizabeth	353
ve	354
nronxgate	355
gregory	356
shari	357
sherry	358
y	359
campos	360
cook	361
ho	362
u	363
cash	364
karen	365
jim	366
carolyn	367
gerri	368
gosnell	369
victor	370
thomas	371
katherine	372
william	373
scott	374
o	375
soon	376
initial	377
spaces	378
cost	379
saturn	380
until	381
use	382
elevator	383
exit	384
email	385
democrat	386
pay	387
asking	388
school	389
don't	390
fancy	391
transcipt	392
hand	393
someone	394
curious	395
paid	396
once	397
paying	398
great	399
444	400
'geoff	401
com'	402
gmatthank	403
contacting	404
contain	405
three	406
most	407
recent	408
results	409
achievedin	410
last	411
however	412
achieved	413
20years	414
ago	415
although	416
records	417
retained	418
institutionswill	419
more	420
five	421
theypresent	422
special	423
interpretation	424
problems	425
contact	426
theinstitution	427
applying	428
determine	429
whether	430
willaccept	431
older	432
reportrequests	433
processed	434
mailing	435
designatedinstitutions	436
within	437
after	438
received	439
note	440
indicated	441
cannot	442
bechanged	443
deleted	444
unfortunately	445
requests	446
mailor	447
internet	448
obtain	449
send	450
copiesof	451
scorereport	452
methods	453
yourscore	454
donot	455
enclose	456
returned	457
checks	458
moneyorders	459
payable	460
4349	461
telephone	462
73330	463
payingby	464
visa	465
mastercard	466
american	467
express	468
credit	469
numberand	470
expiration	471
thefollowing	472
addresses	473
regular	474
courier	475
addressgmat	476
gmateducational	477
educational	478
servicepo	479
box	480
2225	481
phillips	482
boulevardprinceton	483
08541	484
ewing	485
08628	486
7435for	487
faxes	488
full	489
birth	490
currentmailing	491
approximate	492
registration	493
recipient	494
really	495
appreciate	496
feedback	497
order	498
provide	499
betterassistance	500
offering	501
online	502
satisfaction	503
tocomplete	504
click	505
ntis01	506
onyx	507
intcssur	508
htmthank	509
advance	510
write	511
previous	512
messages	513
servicesvisit	514
our	515
web	516
site	517
gmac	518
comgmat	519
73330gmat	520
4349pcctracking	521
a00098319	522
0005111629	523
apr	524
01	525
39	526
gmat's	527
geoffrey	528
clinton	529
storey713	530
7058	531
well	532
vicki	533
hospital	534
feb	535
she's	536
been	537
home	538
since	539
we're	540
31	541
doctor	542
said	543
wants	544
induce	545
36	546
37	547
so	548
got	549
excited	550
weekend	551
cause	552
bought	553
car	554
seat	555
push	556
teddy	557
bear	558
pretending	559
chow	560
thats	561
fine	562
32c2	563
3pm	564
48	565
v3geoff	566
about	567
thursday	568
8	569
15	570
zhiyongsubject	571
v3we	572
gasfundy	573
framework	574
default	575
asp	576
yo	577
agree	578
statements	579
start	580
priorities	581
status	582
geoflouise	583
kitchen03	584
19	585
14	586
enroncc	587
added	588
lists	589
ie	590
uat	591
roll	592
other	593
groups	594
interaction	595
required	596
outside	597
zheiyong's	598
highlighted	599
needs	600
portion	601
below	602
director	603
level	604
organiztion	605
clearly	606
people	607
rolling	608
early	609
project	610
utilized	611
specfication	612
completed	613
near	614
future	615
majority	616
done	617
short	618
term	619
developers	620
moves	621
team	622
issue	623
louisefrom	624
12	625
34	626
iilouise	627
attached	628
greatly	629
appreciated	630
consulting	631
necessary	632
revision	633
signatures	634
afternoon	635
21	636
thankszhiyong	637
behalf	638
louisesent	639
tuesday	640
13	641
24	642
zhiyongcc	643
understand	644
finalized	645
90	646
could	647
pull	648
together	649
format	650
timelines	651
whoever	652
writing	653
spend	654
circulate	655
draft	656
listed	657
above	658
including	659
embedded	660
stdolelink	661
eol	662
help	663
set	664
id	665
password	666
quenet	667
hey	668
sell	669
chi	670
financially	671
deals	672
woman	673
call	674
stuck	675
going	676
her	677
medication	678
rest	679
he	680
doesn't	681
his	682
own	683
th	684
efirst	685
him	686
that's	687
news	688
before	689
no	690
definitely	691
issues	692
correct	693
imagine	694
6	695
pages	696
daily	697
pipe	698
alone	699
while	700
forward	701
entry	702
type	703
kitchen04	704
06	705
57	706
thank	707
much	708
28	709
07	710
09deshonda	711
hamilton	712
09brad	713
alford	714
megan	715
angelos	716
suzanne	717
dams	718
allario	719
alvarez	720
airam	721
arteaga	722
berney	723
aucoi	724
banczak	725
robin	726
barbe	727
edward	728
baughman	729
pam	730
becton	731
corry	732
bentley	733
patricia	734
bloom	735
sandra	736
brawner	737
jer	738
ry	739
britain	740
bills	741
blaine	742
boyt	743
cheryl	744
arguijo	745
ader	746
bernstein	747
rebecca	748
cantrell	749
bob	750
carol	751
carmen	752
chavira	753
morris	754
terri	755
clynes	756
karla	757
compean	758
ruth	759
concannon	760
cromwell	761
edith	762
cross	763
cuilla	764
curry	765
danielson	766
sf	767
peter	768
del	769
vecchio	770
barbar	771
dillard	772
rufino	773
doroteo	774
christin	775
drummond	776
tom	777
dutta	778
laynie	779
east	780
enerson	781
fairley	782
nony	783
craig	784
fox	785
julie	786
gartner	787
aria	788
garza	789
germany	790
monica	791
coffman	792
coker	793
coleman	794
ewc	795
nicki	796
daw	797
ranabir	798
dutt	799
kurt	800
eggebrecht	801
marsha	802
francis	803
nancy	804
corb	805
et	806
margaret	807
doucette	808
maria	809
hum	810
berto	811
cubillos	812
uejbe	813
barton	814
crady	815
stinson	816
gibner	817
stacy	818
gibson	819
gilbert	820
mathew	821
gimble	822
barbara	823
gray	824
alisa	825
green	826
greer	827
wayne	828
gresham	829
grigsby	830
linda	831
guinn	832
cathy	833
tosha	834
henderson	835
scot	836
hendrickson	837
nick	838
hiemstra	839
hillis	840
dorie	841
hitchcock	842
hodge	843
geor	844
geanne	845
hodges	846
hoover	847
horn	848
joseph	849
hrgovcic	850
hyvl	851
irvin	852
rhett	853
jackson	854
patric	855
jon	856
tana	857
pe	858
ter	859
keavey	860
keenan	861
kerrigan	862
kyle	863
kettler	864
faith	865
killen	866
rdon	867
herron	868
lynna	869
