Word	Label
enron	1
the	2
to	3
amp	4
s	5
et	6
and	7
	8
you	9
on	10
i	11
this	12
for	13
of	14
lynn	15
with	16
thanks	17
is	18
be	19
have	20
a	21
are	22
in	23
we	24
enronxgate	25
if	26
up	27
blair	28
will	29
not	30
out	31
20001	32
that	33
know	34
your	35
please	36
just	37
ava	38
me	39
or	40
from	41
reps	42
would	43
terry	44
june	45
it	46
subject	47
was	48
invoices	49
john	50
at	51
can	52
000	53
am	54
get	55
06	56
x	57
check	58
com	59
about	60
enroncc	61
all	62
by	63
2000	64
questions	65
randy	66
day	67
let	68
as	69
sure	70
my	71
had	72
tuesday	73
fgt	74
how	75
should	76
any	77
kowalke	78
going	79
nng	80
raetta	81
larry	82
they	83
like	84
work	85
lt	86
there	87
gas	88
these	89
an	90
pmto	91
buchanan	92
kathy	93
meeting	94
too	95
need	96
fyi	97
reviewing	98
good	99
joe	100
so	101
back	102
time	103
when	104
go	105
sent	106
us	107
our	108
concerns	109
one	110
days	111
mary	112
wanted	113
he	114
new	115
amto	116
ww	117
gorelieberman	118
them	119
n	120
jean	121
call	122
next	123
did	124
floor	125
keep	126
do	127
lynnfrom	128
01	129
message	130
week	131
change	132
what	133
but	134
see	135
20	136
today	137
some	138
cycle	139
oba	140
tangie	141
m	142
imbalances	143
team	144
she	145
ok	146
original	147
12	148
has	149
been	150
home	151
1	152
come	153
last	154
big	155
here	156
monday	157
i'm	158
222	159
mike	160
report	161
storage	162
janzen	163
month	164
hope	165
berger	166
linda	167
loop	168
were	169
rick	170
bodnar	171
send	172
lynda	173
02	174
re	175
small	176
talk	177
both	178
over	179
approximately	180
again	181
take	182
those	183
0	184
garcia	185
cc	186
non	187
mail	188
talked	189
night	190
everyone	191
house	192
2	193
gotta	194
very	195
glad	196
guy	197
use	198
14	199
since	200
email	201
no	202
enro	203
james	204
e	205
cynthia	206
training	207
then	208
fw	209
before	210
system	211
contracts	212
flash	213
outlook	214
testing	215
ramona	216
upgrade	217
may	218
into	219
gerry	220
working	221
reports	222
deadline	223
washington	224
him	225
content	226
lblair	227
privileged	228
tropical	229
storm	230
don't	231
than	232
well	233
i'll	234
speed	235
update	236
where	237
10	238
looking	239
timely	240
shippers	241
gomez	242
wgr	243
sell	244
pm	245
nancy	246
callans	247
adams	248
robert	249
dykes	250
sherry	251
forbish	252
chris	253
greaney	254
debra	255
scurlock	256
janet	257
mcdaniel	258
sturr	259
harry	260
woodson	261
rivers	262
went	263
4	264
cal	265
6	266
want	267
000p	268
shelley	269
dietz	270
fix	271
ricki	272
number	273
also	274
line	275
checks	276
msr's	277
make	278
ms	279
rates	280
flood	281
sending	282
find	283
galen	284
being	285
21	286
tms	287
assist	288
their	289
assistance	290
needs	291
july	292
thursday	293
54	294
test	295
process	296
which	297
1000	298
each	299
7	300
15	301
possible	302
laferla	303
help	304
really	305
off	306
woman	307
transfer	308
taken	309
care	310
25	311
attending	312
address	313
asked	314
thoughts	315
much	316
stay	317
long	318
short	319
knock	320
it's	321
getting	322
50	323
jan	324
still	325
hop	326
checking	327
morning	328
rest	329
w	330
gary	331
session	332
35842	333
brian	334
kuehl	335
question	336
tw	337
26	338
western	339
mitchell	340
end	341
5	342
left	343
teams	344
already	345
zadow	346
bryan	347
carr	348
shirley	349
perry	350
tracy	351
minter	352
nron	353
diana	354
porter	355
jerry	356
wilkens	357
linhart	358
christine	359
mcevoy	360
albert	361
hernandez	362
beverly	363
miller	364
mulligan	365
ward	366
second	367
9	368
30	369
19	370
8	371
111	372
'bout	373
mean	374
amy	375
benningfield	376
sbs	377
further	378
ya'll	379
ready	380
while	381
agree	382
damage	383
her	384
told	385
13	386
plant	387
doc	388
updates	389
18	390
only	391
marketing	392
exceptions	393
customer	394
commodity	395
having	396
different	397
accounts	398
customers	399
close	400
same	401
preliminary	402
passing	403
unusual	404
high	405
low	406
dollar	407
amounts	408
answering	409
tas	410
error	411
unbilled	412
processing	413
errors	414
correcting	415
receive	416
luck	417
kelly	418
little	419
cannot	420
away	421
loose	422
thought	423
betancourt	424
testinglynn	425
regarding	426
explained	427
require	428
more	429
large	430
thank	431
medeles	432
changes	433
few	434
months	435
office	436
screens	437
complete	438
ask	439
available	440
could	441
move	442
myself	443
mime	444
version	445
type	446
text	447
plain	448
charset	449
ascii	450
encoding	451
7bit	452
bcc	453
folder	454
'sent	455
origin	456
l	457
filename	458
pst	459
05	460
wednesday's	461
allisonlynn	462
following	463
allison	464
right	465
now	466
several	467
prayers	468
trying	469
trouble	470
every	471
other	472
yesterday	473
boys	474
later	475
sharon	476
doing	477
hopefully	478
you're	479
start	480
windows	481
takes	482
26th	483
lynnava	484
garcia06	485
ups	486
everything	487
friday	488
follow	489
answers	490
note	491
ftenergy	492
operational	493
person	494
capacity	495
input	496
tomorrow	497
cycles	498
thrown	499
ie	500
around	501
even	502
lead	503
let's	504
another	505
quenet	506
resources	507
co2	508
assets	509
year	510
owe	511
dth	512
first	513
dan	514
together	515
does	516
instructions	517
critical	518
put	519
jodie	520
floyd	521
walden	522
katherine	523
aldinger	524
karen	525
clapper	526
marion	527
coon	528
tim	529
laura	530
giambrone	531
jack	532
howard	533
phillips	534
c	535
locknar	536
09lynn	537
sheila	538
nacey	539
sorry	540
closing	541
cin	542
we're	543
anything	544
deal	545
sign	546
after	547
scott	548
michael	549
enr	550
magdelena	551
order	552
weekend	553
injections	554
04	555
corman	556
mondayand	557
migrated	558
tuesday's	559
beneficialin	560
minimizing	561
shipper	562
teamsto	563
iam	564
post	565
b	566
darrell	567
additional	568
funds	569
fed	570
ex	571
he's	572
down	573
hospital	574
steve	575
mom	576
chance	577
pipe	578
nomination	579
communicate	580
accounting	581
issues	582
related	583
gathering	584
due	585
toby	586
calls	587
p	588
elizabeth	589
categories	590
items	591
corresponding	592
msr	593
volume	594
msr'sadjust	595
reservation	596
information	597
who	598
09	599
daily	600
concerning	601
etc	602
assigning	603
totals	604
3	605
letter	606
notice	607
relief	608
employees	609
family	610
touch	611
migration	612
fine	613
schedule	614
concerned	615
becauseof	616
shortage	617
lyndaif	618
thetesting	619
johnjust	620
spoke	621
upcoming	622
agreed	623
schedules	624
permited	625
said	626
point	627
project	628
production	629
15th	630
lynncc	631
matheson	632
maggie	633
terrysubject	634
code	635
past	636
mved	637
model	638
fairly	639
functions	640
icons	641
includes	642
processes	643
pipes	644
knowthe	645
outcome	646
relation	647
outinvoices	648
vegas	649
look	650
montessori	651
think	652
stuff	653
trip	654
drop	655
downtown	656
calendar	657
job	658
love	659
draemer	660
53	661
understand	662
dra	663
activities	664
attend	665
worry	666
blood	667
pressure	668
probably	669
cocktails	670
thanksgiving	671
richard	672
status	673
issue	674
galen's	675
follows	676
people	677
tosend	678
cards	679
appreicate	680
address106222	681
endicott	682
lanehouston	683
tx	684
777318thanks	685
battles	686
else	687
bought	688
blocks	689
doesn't	690
yet	691
burr	692
cold	693
avg	694
temp	695
60	696
feb	697
married	698
play'	699
say	700
hi	701
qq	702
untiltuesday	703
remove	704
drain	705
tubes	706
brown	707
27	708
feeling	709
pretty	710
stuck	711
kids	712
way	713
rolling	714
along	715
used	716
always	717
adapt	718
slb	719
hey	720
elpaso	721
outage	722
side	723
goes	724
29	725
reviewjust	726
labels	727
stands	728
okay	729
withtoby	730
answered	731
haveall	732
respond	733
havea	734
great	735
robinhold	736
brobinhold	737
08	738
35	739
'lynn	740
com'	741
capacityi	742
found	743
name	744
site	745
guessing	746
might	747
best	748
tolob	749
towards	750
sitehttp	751
www	752
twdb	753
etfr	754
avcap	755
htmland	756
resultsback	757
ambiguous	758
flowing	759
allfor	760
evening	761
intraday	762
thereas	763
thedifferent	764
posted	765
guide	766
atresults	767
intraday1	768
robinholdft	769
energybrobinhold	770
com720	771
548	772
57222	773
outstatus	774
consistency	775
reportand	776
automation	777
discuss	778
heads	779
thisinfo	780
sounds	781
ranch	782
prompt	783
reply	784
28	785
behind	786
aware	787
pending	788
least	789
none	790
returns	791
communicated	792
planned	793
affected	794
totalled	795
points	796
107	797
36	798
fuel	799
usage	800
unit	801
five	802
wgr's	803
benedum	804
midkiff	805
ball	806
near	807
zero	808
embedded	809
stdolelink	810
addresses	811
listthis	812
dennis	813
ple	814
intranet	815
procedures	816
03	817
09larry	818
william	819
collins	820
coope	821
r	822
ramer	823
maryann	824
en	825
ron	826
nningfield	827
t	828
buch	829
anan	830
09revised	831
popup	832
women	833
rob	834
shared	835
room	836
third	837
sleep	838
slight	839
buzz	840
must	841
deleted	842
godd	843
interview	844
craziest	845
ever	846
saw	847
f	848
g	849
traded	850
75	851
h	852
j	853
92	854
summer	855
138	856
sep	857
45	858
q4	859
43	860
peak	861
80	862
winter	863
69	864
74	865
makes	866
sense	867
beers	868
bush	869
plenty	870
streets	871
apart	872
verify	873
charlie	874
kileand	875
ronnie	876
waiting	877
ole	878
cop	879
humor	880
minute	881
banking	882
numbers	883
713	884
853	885
52229	886
spend	887
train	888
conversion	889
49	890
09katherine	891
hibbard	892
joh	893
walde	894
enronxga	895
te	896
ard	897
linha	898
rt	899
illiam	900
col	901
lins	902
cooper	903
enronxg	904
ate	905
cramer	906
09outlook	907
course	908
10th	909
interested	910
ext	911
31816	912
cruz	913
option	914
learn	915
own	916
book	917
include	918
pamphlets	919
case	920
place	921
allocation	922
questionshave	923
crew	924
documenting	925
thequestions	926
phone	927
messageto	928
research	929
group	930
withstorage	931
determine	932
made	933
sunday	934
tobe	935
able	936
allocated	937
portion	938
areallocating	939
withdrawals	940
allocatingwithdrawals	941
access	942
willpursue	943
enhancement	944
lynnlynn	945
blair06	946
17	947
56	948
brad	949
holmes	950
allocationsfyi	951
talking	952
duck	953
ahead	954
cover	955
16	956
mortem	957
k	958
vacation	959
conflicting	960
mtg	961
reschedule	962
however	963
totally	964
morgage	965
company	966
took	967
leave	968
envelope	969
delivered	970
exageration	971
never	972
hurts	973
remember	974
fourteen	975
man	976
answer	977
surgery	978
18th	979
towork	980
surprised	981
postponed	982
theflooding	983
medical	984
center	985
stayed	986
sureready	987
felt	988
nurses	989
diagnostic	990
full	991
helping	992
themedthodist	993
herman	994
hospitals	995
belongings	996
havemore	997
peoplestarting	998
redo	999
walls	1000
klimesh's	1001
heard	1002
his	1003
card	1004
lunchwith	1005
forward	1006
spending	1007
withhis	1008
speaking	1009
parents	1010
yours	1011
soon	1012
gets	1013
definitely	1014
lunch	1015
miss	1016
nominating	1017
nng's	1018
theyhave	1019
location	1020
poi	1021
purposes	1022
effect	1023
oba's	1024
schoolcraft	1025
spraggins	1026
steven	1027
january	1028
resourcesjust	1029
exception	1030
clearing	1031
ends	1032
involving	1033
between	1034
effective	1035
1st	1036
