Word	Label
the	1
to	2
ect	3
i	4
enron	5
hou	6
you	7
for	8
and	9
a	10
is	11
on	12
this	13
of	14
in	15
have	16
that	17
deal	18
we	19
be	20
	21
with	22
me	23
will	24
if	25
it	26
from	27
daren	28
subject	29
j	30
are	31
2000	32
farmer	33
at	34
please	35
000	36
ectcc	37
not	38
can	39
know	40
d	41
or	42
your	43
gas	44
1	45
need	46
was	47
corp	48
would	49
meter	50
as	51
thanks	52
am	53
do	54
let	55
should	56
2	57
phillip	58
any	59
what	60
there	61
20001	62
10	63
x	64
lt	65
amp	66
but	67
up	68
out	69
get	70
has	71
so	72
3	73
they	74
my	75
111	76
these	77
01	78
an	79
com	80
pmto	81
12	82
new	83
day	84
by	85
na	86
amto	87
about	88
our	89
he	90
re	91
s	92
like	93
call	94
e	95
deals	96
been	97
time	98
month	99
volume	100
when	101
02	102
all	103
contract	104
stacy	105
just	106
sitara	107
20	108
some	109
hpl	110
also	111
think	112
03	113
one	114
which	115
5	116
questions	117
going	118
had	119
want	120
into	121
04	122
us	123
energy	124
price	125
see	126
999	127
don't	128
change	129
et	130
4	131
work	132
mary	133
were	134
flow	135
may	136
them	137
no	138
volumes	139
l	140
last	141
only	142
did	143
make	144
attached	145
here	146
gco	147
days	148
09	149
pm	150
enronxgate	151
0	152
megan	153
tenaska	154
how	155
week	156
ena	157
she	158
their	159
duke	160
cc	161
help	162
over	163
look	164
30	165
6	166
back	167
desk	168
agreement	169
allen	170
north	171
aimee	172
email	173
send	174
good	175
could	176
9	177
sale	178
thank	179
robert	180
08	181
america	182
since	183
use	184
m	185
information	186
mail	187
under	188
sure	189
ticket	190
meeting	191
sent	192
purchase	193
changes	194
nom	195
now	196
15	197
find	198
done	199
jan	200
below	201
him	202
7	203
more	204
then	205
transport	206
go	207
05	208
number	209
date	210
content	211
feb	212
lannou	213
8	214
message	215
today	216
smith	217
gary	218
still	219
two	220
following	221
i'm	222
his	223
98	224
well	225
pat	226
demand	227
14	228
06	229
each	230
march	231
forward	232
713	233
set	234
daily	235
who	236
k	237
texas	238
give	239
next	240
first	241
michael	242
trading	243
system	244
dickson	245
through	246
george	247
after	248
other	249
iv	250
office	251
check	252
take	253
friday	254
jackie	255
put	256
type	257
bob	258
version	259
down	260
31	261
before	262
list	263
year	264
parker	265
spreadsheet	266
cover	267
plant	268
anything	269
plan	270
clynes	271
does	272
group	273
stacey	274
w	275
13	276
29	277
than	278
mark	279
come	280
above	281
23	282
very	283
per	284
however	285
needs	286
21	287
another	288
extend	289
tomorrow	290
fee	291
able	292
same	293
tom	294
looking	295
steve	296
due	297
regarding	298
notes	299
transaction	300
flowed	301
services	302
until	303
pay	304
amount	305
mike	306
way	307
getting	308
28	309
review	310
being	311
lynn	312
enroncc	313
sales	314
much	315
cost	316
company	317
853	318
created	319
julie	320
access	321
made	322
19	323
222	324
contact	325
john	326
july	327
said	328
mtr	329
jeff	330
off	331
manager	332
spot	333
issue	334
16	335
currently	336
allocated	337
dec	338
firm	339
delivery	340
07	341
around	342
april	343
line	344
talk	345
original	346
transfer	347
file	348
extended	349
october	350
numbers	351
txu	352
25	353
26	354
again	355
correct	356
50	357
additional	358
rita	359
based	360
try	361
changed	362
things	363
info	364
koch	365
monday	366
carlos	367
leave	368
contracts	369
little	370
january	371
c	372
it's	373
paid	374
got	375
trying	376
27	377
p	378
18	379
24	380
comments	381
june	382
looks	383
received	384
else	385
zero	386
between	387
too	388
didn't	389
17	390
b	391
where	392
lucy	393
fine	394
schedule	395
project	396
acton	397
already	398
david	399
h	400
market	401
during	402
really	403
house	404
left	405
katherine	406
keep	407
tuesday	408
receive	409
meters	410
vance	411
mmbtu	412
wynne	413
those	414
tickets	415
storage	416
business	417
production	418
management	419
keith	420
problem	421
why	422
sold	423
james	424
possible	425
create	426
lisa	427
person	428
bcc	429
folder	430
counterparty	431
afternoon	432
either	433
larry	434
pipeline	435
few	436
can't	437
might	438
prior	439
gregg	440
463	441
fyi	442
different	443
total	444
point	445
months	446
susan	447
pops	448
money	449
credit	450
master	451
later	452
west	453
end	454
probably	455
home	456
star	457
position	458
prices	459
mime	460
text	461
plain	462
charset	463
encoding	464
origin	465
filename	466
logistics	467
note	468
issues	469
morning	470
someone	471
working	472
process	473
poorman	474
f	475
yes	476
inc	477
february	478
doing	479
payment	480
ascii	481
7bit	482
copy	483
fax	484
terry	485
listed	486
g	487
term	488
right	489
kelly	490
houston	491
lone	492
rate	493
t	494
wanted	495
both	496
survey	497
rent	498
risk	499
supply	500
name	501
told	502
soon	503
brenda	504
her	505
sherlyn	506
costs	507
something	508
long	509
even	510
add	511
place	512
include	513
rentroll	514
having	515
team	516
neuweiler	517
san	518
used	519
stop	520
problems	521
better	522
bid	523
jim	524
invoices	525
ok	526
gisb	527
mentioned	528
randy	529
darren	530
anyone	531
best	532
cash	533
actuals	534
update	535
confirm	536
weekend	537
folders	538
nsf	539
eol	540
path	541
blair	542
activity	543
ami	544
added	545
olsen	546
rest	547
show	548
estimates	549
greg	550
everything	551
start	552
receipt	553
adjust	554
couple	555
utilities	556
'sent	557
hplc	558
1st	559
buy	560
current	561
meet	562
open	563
accounting	564
request	565
o	566
index	567
dfarmer	568
construction	569
45	570
discuss	571
adjusted	572
1999	573
unit	574
hope	575
support	576
exchange	577
provide	578
fuel	579
taylor	580
yvette	581
thu	582
needed	583
shows	584
december	585
i've	586
charge	587
i'll	588
rolled	589
enron03	590
believe	591
agreements	592
enter	593
order	594
rodriguez	595
customer	596
thursday	597
allocation	598
sell	599
fill	600
future	601
schumack	602
cotten	603
natural	604
most	605
fees	606
because	607
field	608
unify	609
buyer	610
without	611
pricing	612
people	613
went	614
fw	615
understand	616
september	617
hours	618
clem	619
pg	620
checked	621
second	622
phone	623
old	624
anyway	625
points	626
tell	627
yet	628
chris	629
edward	630
august	631
thought	632
asked	633
run	634
baumbach	635
kim	636
liz	637
cheryl	638
king	639
bank	640
loan	641
nov	642
basis	643
noms	644
revised	645
chokshi	646
marketing	647
garcia	648
view	649
howard	650
karen	651
co	652
actual	653
invoice	654
shall	655
scheduling	656
night	657
concerns	658
enron02	659
patti	660
related	661
victor	662
case	663
william	664
hall	665
less	666
land	667
lee	668
5000	669
power	670
oct	671
question	672
average	673
com'	674
input	675
together	676
track	677
allocate	678
cynthia	679
ray	680
property	681
everyone	682
game	683
chance	684
agree	685
small	686
kathy	687
roll	688
frank	689
location	690
vacation	691
333	692
coming	693
ahead	694
november	695
return	696
51	697
net	698
quantity	699
dmary	700
