Word	Label
lt	1
the	2
to	3
i	4
you	5
and	6
enron	7
com	8
of	9
a	10
for	11
on	12
in	13
that	14
this	15
is	16
ect	17
have	18
it	19
me	20
yahoo	21
with	22
dana	23
your	24
if	25
davis	26
he	27
from	28
be	29
not	30
we	31
thanks	32
will	33
subject	34
hou	35
at	36
was	37
2000	38
know	39
my	40
are	41
as	42
na	43
	44
all	45
up	46
do	47
20001	48
what	49
can	50
am	51
them	52
so	53
out	54
but	55
time	56
had	57
would	58
hotmail	59
get	60
they	61
just	62
lynn	63
one	64
who	65
day	66
his	67
there	68
message	69
corp	70
x	71
us	72
mail	73
she	74
need	75
by	76
re	77
been	78
i'm	79
him	80
our	81
or	82
go	83
about	84
her	85
10	86
how	87
when	88
were	89
don't	90
think	91
an	92
too	93
let	94
000	95
going	96
back	97
please	98
god	99
water	100
pmto	101
has	102
like	103
1	104
denise	105
12	106
amp	107
call	108
amto	109
take	110
help	111
home	112
marnie	113
good	114
some	115
here	116
02	117
prayer	118
com'	119
down	120
ava	121
only	122
off	123
work	124
08	125
well	126
jan	127
sure	128
send	129
111	130
09	131
cc	132
make	133
could	134
http	135
check	136
those	137
it's	138
information	139
2	140
01	141
pm	142
should	143
said	144
vacation	145
also	146
did	147
now	148
co	149
again	150
any	151
these	152
want	153
sent	154
over	155
today	156
brian	157
week	158
bjackson	159
sswpc	160
0	161
no	162
fwd	163
read	164
next	165
blair	166
each	167
ok	168
because	169
last	170
hey	171
file	172
i'll	173
lisa	174
pst	175
great	176
then	177
way	178
two	179
night	180
ectcc	181
request	182
still	183
type	184
ww	185
tx	186
meeting	187
s	188
moore	189
tuesday	190
man	191
long	192
find	193
content	194
may	195
more	196
tonight	197
comcc	198
18	199
john	200
even	201
come	202
e	203
kmg	204
morning	205
house	206
15	207
16	208
23	209
never	210
their	211
after	212
03	213
lamb	214
things	215
24	216
08000	217
50	218
joe	219
pray	220
church	221
since	222
keep	223
juno	224
friday	225
trying	226
before	227
30	228
gorelieberman	229
net	230
et	231
enroncc	232
told	233
original	234
line	235
poha	236
another	237
much	238
looking	239
yesterday	240
big	241
schedules	242
fyi	243
see	244
auctions	245
ever	246
later	247
into	248
wednesday	249
21	250
until	251
both	252
same	253
went	254
14	255
06	256
hope	257
monday	258
05	259
side	260
7	261
'dana	262
forwarded	263
love	264
someone	265
friends	266
people	267
everyone	268
attached	269
where	270
right	271
jackson	272
made	273
answer	274
small	275
short	276
nicole	277
possible	278
regarding	279
little	280
give	281
didn't	282
wilson	283
date	284
mime	285
version	286
8	287
every	288
felt	289
while	290
other	291
than	292
being	293
spoke	294
i've	295
energy	296
table	297
drink	298
negative	299
terry	300
sorry	301
6	302
