Word	Label
the	1
to	2
i	3
and	4
enron	5
ect	6
you	7
that	8
a	9
of	10
for	11
in	12
on	13
will	14
is	15
be	16
hou	17
this	18
with	19
have	20
we	21
are	22
sally	23
	24
me	25
your	26
as	27
it	28
from	29
if	30
at	31
would	32
my	33
not	34
can	35
know	36
am	37
please	38
or	39
thanks	40
beck	41
lt	42
so	43
was	44
week	45
do	46
corp	47
our	48
subject	49
time	50
all	51
meeting	52
get	53
but	54
has	55
up	56
about	57
by	58
let	59
out	60
com	61
any	62
an	63
what	64
carol	65
there	66
she	67
he	68
office	69
they	70
2000	71
some	72
work	73
na	74
need	75
like	76
1	77
one	78
amp	79
000	80
should	81
enronxgate	82
next	83
us	84
20	85
call	86
her	87
just	88
operations	89
e	90
these	91
mail	92
20001	93
been	94
2	95
ectcc	96
when	97
back	98
new	99
x	100
make	101
could	102
think	103
team	104
had	105
phillip	106
also	107
713	108
here	109
st	110
houston	111
may	112
them	113
see	114
phone	115
were	116
well	117
want	118
review	119
12	120
business	121
day	122
last	123
patti	124
30	125
monday	126
his	127
good	128
london	129
risk	130
s	131
how	132
their	133
which	134
10	135
3	136
more	137
who	138
friday	139
853	140
today	141
gas	142
group	143
very	144
look	145
going	146
forward	147
date	148
him	149
mike	150
fax	151
111	152
information	153
hope	154
year	155
other	156
development	157
pm	158
list	159
did	160
over	161
process	162
communications	163
help	164
schedule	165
sent	166
two	167
before	168
01	169
great	170
sure	171
then	172
questions	173
mark	174
4	175
working	176
don't	177
brent	178
send	179
after	180
note	181
still	182
plan	183
646	184
pmto	185
message	186
jeff	187
3989	188
go	189
cc	190
ees	191
mary	192
energy	193
able	194
global	195
john	196
33393	197
talk	198
those	199
amto	200
thursday	201
only	202
price	203
stacy	204
take	205
claireb	206
tuesday	207
through	208
following	209
now	210
eees	211
both	212
tomorrow	213
contact	214
trading	215
david	216
5	217
re	218
lunch	219
first	220
credit	221
no	222
discuss	223
wednesday	224
ena	225
end	226
attend	227
into	228
while	229
give	230
since	231
et	232
number	233
thank	234
during	235
around	236
dinner	237
way	238
james	239
made	240
04	241
home	242
much	243
attached	244
scott	245
each	246
morning	247
agreement	248
issues	249
m	250
management	251
does	252
use	253
wanted	254
thought	255
too	256
open	257
comments	258
bob	259
clair	260
09	261
set	262
meet	263
put	264
january	265
best	266
rick	267
email	268
being	269
report	270
doing	271
days	272
susan	273
trip	274
copy	275
than	276
program	277
together	278
soon	279
08	280
where	281
done	282
project	283
night	284
05	285
support	286
regarding	287
cindy	288
changes	289
might	290
prc	291
off	292
asked	293
probably	294
thompson	295
draft	296
03	297
available	298
afternoon	299
beth	300
white	301
lon	302
8	303
america	304
name	305
within	306
3892713	307
role	308
9	309
march	310
until	311
under	312
find	313
few	314
calendar	315
north	316
i'm	317
details	318
come	319
really	320
many	321
services	322
people	323
right	324
glad	325
try	326
6	327
power	328
allen	329
content	330
place	331
july	332
things	333
letter	334
getting	335
weeks	336
hall	337
keep	338
7	339
15	340
check	341
same	342
december	343
meetings	344
language	345
again	346
ou	347
needs	348
feel	349
access	350
believe	351
02	352
texas	353
below	354
floor	355
operational	356
between	357
ted	358
form	359
memo	360
most	361
start	362
another	363
shona	364
person	365
update	366
todd	367
p	368
possible	369
april	370
address	371
having	372
understand	373
06	374
anything	375
request	376
numbers	377
someone	378
steve	379
brenda	380
change	381
fyi	382
works	383
deal	384
provide	385
reports	386
leave	387
leslie	388
cost	389
d	390
vacation	391
however	392
staff	393
employees	394
include	395
left	396
version	397
type	398
company	399
info	400
part	401
looks	402
summer	403
looking	404
love	405
fun	406
per	407
voice	408
already	409
point	410
either	411
additional	412
thoughts	413
job	414
27	415
nice	416
house	417
222	418
chris	419
everyone	420
didn't	421
key	422
doorstep	423
join	424
early	425
event	426
school	427
weekend	428
14	429
fernley	430
yes	431
l	432
richard	433
system	434
16	435
else	436
notes	437
long	438
transfer	439
better	440
recruiting	441
hear	442
presentation	443
sheila	444
j	445
such	446
yet	447
calgary	448
c	449
master	450
month	451
assistant	452
section	453
dpr	454
manager	455
causey	456
reporting	457
later	458
ut	459
mid	460
plans	461
0	462
visit	463
reviews	464
kim	465
several	466
market	467
names	468
dickson	469
financial	470
b	471
cwhite	472
received	473
said	474
dates	475
07	476
something	477
follow	478
dad	479
greg	480
three	481
add	482
guaranty	483
final	484
13	485
included	486
october	487
mom	488
enroncc	489
etc	490
michael	491
can't	492
given	493
late	494
scheduled	495
input	496
hr	497
location	498
direct	499
issue	500
got	501
party	502
return	503
room	504
trying	505
r	506
tickets	507
sunday	508
reeves	509
ask	510
daily	511
focus	512
resources	513
peggy	514
completed	515
standards	516
free	517
jordan	518
june	519
full	520
austin	521
26	522
director	523
thomas	524
seeing	525
hopefully	526
21	527
conference	528
confirm	529
interested	530
evening	531
family	532
above	533
28	534
sounds	535
contract	536
promotion	537
costs	538
interview	539
appropriate	540
folder	541
talked	542
down	543
w	544
response	545
commoditylogic	546
sap	547
suggested	548
egm	549
frank	550
every	551
needed	552
congratulations	553
kristin	554
lexi	555
lynn	556
products	557
idea	558
23	559
wilson	560
session	561
due	562
stephen	563
firm	564
desk	565
x39106	566
counterparty	567
29	568
analyst	569
managing	570
george	571
close	572
discussed	573
24	574
cara	575
31	576
receive	577
it's	578
saturday	579
17	580
cash	581
complete	582
even	583
san	584
isda	585
deals	586
why	587
told	588
offer	589
students	590
yesterday	591
certainly	592
whether	593
worked	594
bcc	595
its	596
high	597
original	598
barry	599
february	600
november	601
holiday	602
data	603
town	604
little	605
effort	606
once	607
transaction	608
happy	609
sorry	610
baby	611
short	612
let's	613
years	614
involved	615
level	616
ideas	617
currently	618
groups	619
august	620
without	621
38889713	622
christmas	623
taking	624
solmonson	625
apollo	626
september	627
effective	628
cover	629
viviance	630
move	631
continue	632
25	633
points	634
bring	635
lot	636
markets	637
concerns	638
file	639
say	640
fine	641
gary	642
hotel	643
senior	644
current	645
case	646
others	647
book	648
months	649
efforts	650
enron's	651
because	652
items	653
west	654
basis	655
addition	656
opportunity	657
lisa	658
termination	659
tell	660
messages	661
held	662
decision	663
ready	664
order	665
interviews	666
eol	667
anyone	668
hard	669
used	670
19	671
trade	672
larry	673
systems	674
flores	675
based	676
appreciate	677
results	678
second	679
text	680
jim	681
sale	682
lucy	683
candidates	684
approval	685
plus	686
feedback	687
18	688
planning	689
physical	690
experience	691
scribner	692
bill	693
okay	694
earlier	695
keith	696
sending	697
makes	698
usta	699
mentioned	700
schedules	701
k	702
michelle	703
making	704
performance	705
prior	706
always	707
