Word	Label
the	1
to	2
i	3
you	4
and	5
a	6
of	7
is	8
for	9
enron	10
on	11
in	12
	13
that	14
this	15
have	16
be	17
we	18
with	19
me	20
will	21
are	22
if	23
ect	24
it	25
would	26
x	27
please	28
at	29
as	30
not	31
from	32
your	33
can	34
thanks	35
or	36
my	37
know	38
phillip	39
call	40
but	41
what	42
any	43
com	44
amp	45
do	46
am	47
1	48
was	49
by	50
hou	51
about	52
let	53
all	54
get	55
out	56
need	57
elizabeth	58
sager	59
an	60
e	61
up	62
gas	63
there	64
2	65
week	66
lt	67
so	68
here	69
think	70
work	71
has	72
they	73
time	74
he	75
our	76
stacy	77
us	78
s	79
853	80
713	81
cc	82
see	83
sent	84
just	85
carol	86
could	87
should	88
like	89
20001	90
new	91
et	92
when	93
meeting	94
000	95
one	96
agreement	97
which	98
also	99
want	100
some	101
attached	102
been	103
subject	104
power	105
email	106
going	107
3	108
them	109
send	110
content	111
may	112
how	113
no	114
only	115
next	116
fax	117
make	118
go	119
talk	120
into	121
questions	122
4	123
did	124
i'm	125
help	126
draft	127
were	128
letter	129
these	130
more	131
comments	132
version	133
mail	134
still	135
eei	136
contract	137
20	138
review	139
back	140
great	141
sure	142
st	143
10	144
trading	145
then	146
well	147
hi	148
today	149
changes	150
other	151
forward	152
master	153
allen	154
don't	155
last	156
after	157
day	158
type	159
him	160
5	161
good	162
give	163
she	164
enronxgate	165
under	166
0	167
use	168
product	169
had	170
than	171
corp	172
credit	173
na	174
office	175
his	176
energy	177
phone	178
mark	179
soon	180
transfer	181
dickson	182
hope	183
deal	184
fyi	185
information	186
firm	187
w	188
jeff	189
their	190
epmi	191
notes	192
12	193
look	194
tva	195
very	196
message	197
bcc	198
friday	199
over	200
price	201
copy	202
111	203
thank	204
group	205
discuss	206
try	207
find	208
physical	209
john	210
who	211
text	212
folder	213
6349	214
following	215
date	216
2000	217
language	218
now	219
before	220
mime	221
plain	222
charset	223
encoding	224
origin	225
filename	226
take	227
tomorrow	228
pm	229
7bit	230
646	231
i'll	232
per	233
ascii	234
much	235
ok	236
30	237
01	238
re	239
list	240
again	241
right	242
first	243
monday	244
lynn	245
number	246
schedule	247
folders	248
nsf	249
3989	250
fine	251
form	252
since	253
made	254
file	255
set	256
where	257
check	258
yes	259
prices	260
two	261
later	262
transaction	263
project	264
06	265
pg	266
houston	267
mike	268
33393	269
put	270
too	271
6	272
financial	273
plan	274
revised	275
lucy	276
market	277
tuesday	278
way	279
being	280
clair	281
david	282
05	283
cost	284
15	285
legal	286
west	287
claireb	288
does	289
working	290
received	291
year	292
wanted	293
same	294
done	295
9	296
morning	297
available	298
anything	299
another	300
between	301
termination	302
note	303
issues	304
trades	305
larry	306
issue	307
looks	308
home	309
else	310
request	311
until	312
keith	313
print	314
because	315
wed	316
her	317
sorry	318
weekend	319
daily	320
june	321
7	322
original	323
04	324
regarding	325
looking	326
works	327
its	328
numbers	329
such	330
definition	331
mary	332
due	333
thursday	334
brenda	335
leave	336
san	337
document	338
risk	339
each	340
month	341
09	342
possible	343
can't	344
used	345
based	346
around	347
receive	348
thoughts	349
meet	350
thought	351
might	352
ena	353
section	354
shall	355
esager	356
house	357
agreements	358
desk	359
said	360
cash	361
additional	362
provide	363
both	364
discussed	365
open	366
play	367
lunch	368
things	369
getting	370
p	371
able	372
didn't	373
why	374
through	375
come	376
doing	377
access	378
genia	379
mopa	380
joe	381
pay	382
trying	383
8	384
above	385
hear	386
isda	387
spoke	388
randy	389
those	390
attorney	391
process	392
change	393
either	394
long	395
steve	396
better	397
paid	398
line	399
gregg	400
guaranty	401
m	402
purchase	403
asked	404
yet	405
confirm	406
address	407
george	408
latest	409
left	410
include	411
transactions	412
afternoon	413
current	414
gisb	415
final	416
few	417
rentroll	418
rent	419
ahead	420
off	421
delivery	422
below	423
place	424
susan	425
follow	426
blair	427
3892713	428
richard	429
april	430
having	431
pca	432
confirmation	433
person	434
name	435
during	436
shari	437
janice	438
keep	439
points	440
payment	441
deals	442
already	443
understand	444
tennis	445
really	446
construction	447
storage	448
nov20001	449
chance	450
love	451
k	452
million	453
while	454
added	455
down	456
sale	457
days	458
end	459
b	460
money	461
contracts	462
d	463
moore	464
needs	465
meetings	466
thankselizabeth	467
got	468
amount	469
14	470
unit	471
voice	472
annex	473
add	474
requested	475
maybe	476
traders	477
notice	478
against	479
further	480
t	481
chris	482
utilities	483
costs	484
even	485
part	486
canadian	487
prepared	488
response	489
25	490
always	491
likely	492
update	493
terms	494
index	495
early	496
bid	497
migration	498
frank	499
rest	500
earlier	501
03	502
court	503
second	504
without	505
business	506
company	507
general	508
thurs	509
loan	510
memo	511
13	512
agree	513
approval	514
different	515
party	516
conference	517
socal	518
ready	519
jan	520
property	521
california	522
r	523
doc	524
using	525
order	526
wspp	527
several	528
natural	529
wants	530
items	531
agreed	532
hit	533
sounds	534
unless	535
contact	536
documents	537
currently	538
l	539
concerns	540
plans	541
believe	542
land	543
inc	544
lets	545
grigsby	546
let's	547
start	548
pmto	549
together	550
bank	551
copies	552
fitzgerald	553
buyer	554
invoices	555
complete	556
seems	557
most	558
bob	559
prior	560
doesn't	561
site	562
h	563
16	564
counterparties	565
term	566
08	567
january	568
nui	569
signed	570
andy	571
mentioned	572
jim	573
thinking	574
eol	575
continue	576
02	577
1000	578
case	579
anyone	580
short	581
units	582
something	583
hopefully	584
26	585
guys	586
support	587
financing	588
total	589
however	590
sign	591
c	592
sending	593
tues	594
columbia	595
i've	596
night	597
07	598
track	599
fill	600
little	601
best	602
collateral	603
ava	604
paul	605
north	606
system	607
exposure	608
non	609
outlook	610
development	611
fgt	612
ii	613
reviewing	614
basis	615
coming	616
christian	617
yesterday	618
july	619
sat	620
profit	621
format	622
amendment	623
hours	624
met	625
far	626
position	627
canada	628
floor	629
cap	630
helpful	631
wade	632
upon	633
amounts	634
provisions	635
offer	636
team	637
calendar	638
manager	639
reps	640
book	641
products	642
j	643
side	644
pallen	645
reviewed	646
estimates	647
portland	648
enclosed	649
sell	650
speaking	651
proposed	652
ees	653
trip	654
playing	655
actual	656
ina	657
white	658
remember	659
tell	660
greg	661
across	662
law	663
special	664
amto	665
close	666
changed	667
option	668
idea	669
terry	670
forms	671
required	672
smith	673
leslie	674
return	675
nothing	676
aware	677
dec2000	678
jacques	679
plus	680
closing	681
36349	682
high	683
cover	684
service	685
click	686
bring	687
less	688
went	689
fw	690
grant	691
wait	692
kids	693
event	694
speak	695
enroncc	696
report	697
bill	698
27	699
america	700
never	701
months	702
job	703
