Word	Label
the	1
to	2
i	3
you	4
and	5
a	6
enron	7
ect	8
of	9
lt	10
is	11
for	12
that	13
in	14
have	15
me	16
on	17
it	18
this	19
are	20
hou	21
be	22
if	23
robin	24
we	25
with	26
was	27
your	28
	29
not	30
my	31
know	32
will	33
01	34
what	35
management	36
at	37
as	38
please	39
from	40
so	41
do	42
just	43
i'm	44
phillip	45
subject	46
can	47
but	48
1	49
here	50
would	51
about	52
gas	53
amp	54
or	55
thanks	56
up	57
get	58
am	59
let	60
rodrigue	61
going	62
000	63
he	64
need	65
out	66
any	67
they	68
all	69
there	70
2	71
ectcc	72
by	73
think	74
x	75
call	76
an	77
time	78
2000	79
corp	80
when	81
20001	82
like	83
don't	84
should	85
did	86
no	87
stacy	88
one	89
work	90
go	91
book	92
day	93
good	94
3	95
s	96
how	97
email	98
had	99
she	100
want	101
some	102
id	103
now	104
i'll	105
were	106
re	107
na	108
et	109
com	110
see	111
questions	112
12	113
our	114
today	115
back	116
new	117
pmto	118
more	119
10	120
has	121
these	122
p	123
111	124
been	125
amto	126
them	127
still	128
week	129
02	130
make	131
him	132
5	133
it's	134
last	135
could	136
attached	137
talk	138
give	139
agg	140
portfolio	141
later	142
4	143
well	144
l	145
his	146
also	147
only	148
help	149
dt	150
than	151
then	152
thank	153
send	154
anything	155
gabriel	156
really	157
file	158
her	159
allen	160
sure	161
information	162
positions	163
price	164
which	165
their	166
much	167
something	168
position	169
sent	170
e	171
before	172
us	173
eff	174
agreement	175
take	176
other	177
pwr	178
cc	179
even	180
morning	181
use	182
off	183
crd	184
find	185
after	186
got	187
dickson	188
b	189
lunch	190
little	191
very	192
actually	193
too	194
didn't	195
two	196
jeff	197
right	198
30	199
feb	200
books	201
home	202
ya	203
month	204
look	205
6	206
0	207
tomorrow	208
told	209
713	210
into	211
09	212
since	213
office	214
try	215
having	216
7	217
come	218
lynn	219
might	220
report	221
15	222
way	223
weekend	224
said	225
long	226
john	227
over	228
doing	229
why	230
20	231
changes	232
made	233
enronxgate	234
same	235
basis	236
9	237
number	238
date	239
mail	240
version	241
05	242
tell	243
does	244
hey	245
first	246
8	247
c	248
down	249
thought	250
who	251
deal	252
content	253
already	254
around	255
year	256
probably	257
222	258
06	259
14	260
west	261
again	262
meeting	263
friday	264
being	265
may	266
08	267
type	268
that's	269
group	270
night	271
becky	272
next	273
i've	274
leave	275
jan	276
yahoo	277
07	278
kathy	279
each	280
firm	281
because	282
yet	283
13	284
03	285
left	286
can't	287
getting	288
check	289
people	290
better	291
went	292
susan	293
review	294
where	295
per	296
cost	297
desk	298
canada	299
done	300
working	301
daily	302
hear	303
04	304
set	305
else	306
hope	307
plan	308
following	309
under	310
lucy	311
trying	312
you're	313
another	314
keith	315
access	316
m	317
looks	318
glad	319
853	320
market	321
project	322
soon	323
must	324
looking	325
frank	326
pretty	327
things	328
until	329
chicago	330
text	331
list	332
change	333
pay	334
wanted	335
those	336
copy	337
master	338
16	339
pm	340
maybe	341
26	342
yes	343
fine	344
energy	345
credit	346
comments	347
contract	348
mike	349
29	350
numbers	351
trading	352
paid	353
haven't	354
yesterday	355
days	356
post	357
monday	358
risk	359
keep	360
while	361
prices	362
rr	363
everything	364
brian	365
message	366
chris	367
forward	368
intra	369
coal	370
company	371
able	372
bad	373
23	374
every	375
ft	376
paul	377
28	378
transaction	379
name	380
job	381
guess	382
few	383
house	384
plans	385
larry	386
transfer	387
money	388
put	389
once	390
fun	391
rent	392
open	393
believe	394
sorry	395
feel	396
george	397
though	398
asked	399
included	400
couple	401
most	402
however	403
notes	404
rentroll	405
doesn't	406
system	407
21	408
spoke	409
gregg	410
reports	411
i'd	412
gisb	413
deals	414
below	415
ok	416
end	417
both	418
we're	419
there's	420
request	421
course	422
blair	423
nice	424
power	425
never	426
17	427
ready	428
mark	429
schedule	430
say	431
tax	432
used	433
north	434
david	435
needs	436
shopping	437
bid	438
guys	439
trip	440
possible	441
additional	442
definitely	443
second	444
31	445
folder	446
storage	447
anyone	448
either	449
san	450
plain	451
phone	452
construction	453
through	454
bcc	455
k	456
boss	457
fax	458
156324	459
294	460
note	461
mean	462
sale	463
sounds	464
afternoon	465
least	466
she's	467
someone	468
randy	469
25	470
spreadsheet	471
june	472
america	473
nothing	474
between	475
phy	476
lot	477
how's	478
great	479
hours	480
traders	481
part	482
enough	483
enroncc	484
longer	485
understand	486
http	487
files	488
program	489
grms	490
cal	491
development	492
floor	493
buy	494
natural	495
cash	496
original	497
mime	498
charset	499
encoding	500
origin	501
filename	502
added	503
issue	504
man	505
monroy111	506
var	507
million	508
ees	509
busy	510
tonight	511
tuesday	512
together	513
process	514
minutes	515
27	516
during	517
ascii	518
7bit	519
start	520
robinx57478	521
18	522
communications	523
remember	524
says	525
we'll	526
class	527
originations	528
due	529
everyone	530
different	531
d	532
trader	533
finally	534
discussed	535
receive	536
mary	537
problem	538
kind	539
physical	540
thinking	541
loan	542
costs	543
thursday	544
coming	545
property	546
shall	547
you'll	548
utilities	549
bas	550
what's	551
r	552
using	553
24	554
won't	555
contracts	556
heard	557
regarding	558
unit	559
j	560
add	561
happy	562
points	563
include	564
chance	565
talked	566
actual	567
agreements	568
always	569
place	570
without	571
total	572
stay	573
houston	574
benchmark	575
wasn't	576
front	577
line	578
manager	579
guy	580
hard	581
origination	582
address	583
sell	584
finish	585
question	586
best	587
person	588
business	589
purchase	590
planning	591
land	592
analyst	593
myself	594
seems	595
nui	596
here's	597
reported	598
high	599
wait	600
complete	601
prc	602
such	603
letter	604
grigsby	605
bring	606
gary	607
binh	608
laura	609
received	610
products	611
calendar	612
invoices	613
wrong	614
respond	615
50	616
works	617
40	618
rest	619
december	620
love	621
waiting	622
insurance	623
erms	624
reps	625
down951	626
oh	627
car	628
financing	629
let's	630
units	631
payment	632
steve	633
run	634
folders	635
nsf	636
early	637
above	638
document	639
latest	640
ava	641
fgt	642
profit	643
team	644
buyer	645
found	646
site	647
funny	648
friend	649
sat	650
plus	651
eees	652
wade	653
big	654
correct	655
issues	656
bilal	657
interesting	658
bank	659
exactly	660
meet	661
hr	662
financial	663
kids	664
pitre	665
thousands	666
mom	667
'sent	668
game	669
fixed	670
format	671
im	672
migration	673
ask	674
own	675
form	676
19	677
robingabriel	678
deposit	679
bye	680
fyi	681
sometime	682
click	683
several	684
detail	685
nancy	686
provide	687
shannon	688
hopefully	689
christmas	690
missed	691
estimates	692
full	693
contact	694
yeah	695
read	696
region	697
concerns	698
website	699
333	700
eol	701
reporting	702
down952	703
july	704
