Word	Label
the	1
to	2
enron	3
you	4
and	5
of	6
lt	7
i	8
a	9
in	10
	11
for	12
is	13
on	14
jeff	15
com	16
ect	17
this	18
have	19
that	20
be	21
with	22
your	23
skilling	24
will	25
at	26
we	27
if	28
me	29
please	30
it	31
are	32
subject	33
from	34
would	35
hou	36
corp	37
as	38
not	39
sherri	40
thanks	41
know	42
amp	43
20001	44
any	45
or	46
e	47
20	48
development	49
s	50
he	51
our	52
am	53
3d	54
let	55
an	56
time	57
can	58
up	59
stacy	60
by	61
has	62
2000	63
mail	64
so	65
call	66
mr	67
cc	68
000	69
my	70
et	71
was	72
do	73
out	74
may	75
853	76
message	77
meeting	78
about	79
pmto	80
communications	81
regards	82
there	83
information	84
01	85
like	86
x	87
sera	88
sent	89
all	90
but	91
enronxgate	92
10	93
one	94
get	95
us	96
which	97
12	98
fax	99
713	100
houston	101
attached	102
look	103
chairman	104
enroncc	105
re	106
his	107
thank	108
business	109
just	110
30	111
1	112
what	113
i'm	114
john	115
they	116
need	117
see	118
m	119
05	120
been	121
amto	122
new	123
group	124
should	125
646	126
03	127
mark	128
energy	129
111	130
forward	131
how	132
04	133
15	134
him	135
i'll	136
company	137
questions	138
8381	139
na	140
when	141
work	142
some	143
next	144
2	145
5984713	146
seraassistant	147
these	148
paul	149
them	150
no	151
dickson	152
skilling713	153
who	154
p	155
very	156
agreement	157
more	158
also	159
send	160
email	161
their	162
make	163
david	164
7	165
09	166
contact	167
ride	168
well	169
14	170
last	171
sure	172
had	173
02	174
ees	175
find	176
good	177
gas	178
8	179
team	180
executive	181
monday	182
lon	183
april	184
back	185
want	186
jeff's	187
could	188
other	189
hope	190
net	191
take	192
today	193
lynn	194
pm	195
mike	196
did	197
wanted	198
think	199
don't	200
meet	201
07	202
opportunity	203
date	204
office	205
then	206
note	207
going	208
eees	209
3	210
asked	211
first	212
srs	213
day	214
5	215
4	216
give	217
week	218
year	219
greg	220
firm	221
schedule	222
here	223
number	224
j	225
two	226
over	227
than	228
review	229
06	230
conference	231
help	232
kevin	233
dear	234
best	235
doc	236
really	237
again	238
event	239
now	240
changes	241
however	242
enron's	243
version	244
attend	245
right	246
check	247
dinner	248
march	249
08	250
aol	251
'jeff	252
friday	253
june	254
great	255
ceo	256
org	257
lunch	258
go	259
phone	260
morning	261
joannie	262
transaction	263
interest	264
between	265
into	266
jeffrey	267
before	268
invitation	269
future	270
http	271
tomorrow	272
below	273
original	274
way	275
most	276
it's	277
chuck	278
michael	279
those	280
technology	281
com'	282
letter	283
interested	284
credit	285
content	286
night	287
services	288
chief	289
25	290
park	291
speak	292
few	293
0	294
thursday	295
comments	296
discussion	297
per	298
behalf	299
free	300
address	301
were	302
much	303
come	304
name	305
www	306
does	307
after	308
only	309
19	310
details	311
24	312
additional	313
following	314
president	315
goal	316
down	317
font	318
north	319
family	320
she	321
long	322
james	323
9	324
process	325
comcc	326
open	327
through	328
use	329
sign	330
since	331
dates	332
able	333
keep	334
jerry	335
gregg	336
bill	337
master	338
each	339
regarding	340
current	341
steve	342
available	343
working	344
place	345
blair	346
soon	347
tuesday	348
person	349
list	350
visit	351
222	352
18	353
still	354
times	355
jay	356
follow	357
reps	358
too	359
gisb	360
23	361
yes	362
shall	363
closer	364
doing	365
lay	366
scheduled	367
brown	368
provide	369
companies	370
together	371
return	372
error	373
advise	374
saturday	375
years	376
we're	377
where	378
29	379
w	380
type	381
l	382
many	383
breakfast	384
capital	385
december	386
13	387
financial	388
discuss	389
copy	390
offer	391
happy	392
28	393
response	394
october	395
club	396
america	397
received	398
weeks	399
while	400
fgt	401
plan	402
service	403
joe	404
inc	405
weekend	406
mind	407
end	408
little	409
telephone	410
yet	411
deal	412
bcc	413
talk	414
because	415
ms	416
rick	417
invoices	418
unable	419
being	420
price	421
50	422
calendar	423
made	424
r	425
ms150	426
said	427
currently	428
karen	429
until	430
fitzgerald	431
minutes	432
21	433
set	434
ken	435
respond	436
trading	437
members	438
days	439
looking	440
around	441
join	442
management	443
matthew	444
uk	445
center	446
events	447
n	448
via	449
report	450
ypo	451
got	452
appreciate	453
anything	454
might	455
change	456
assistance	457
jim	458
notes	459
hearing	460
hi	461
her	462
o	463
afternoon	464
november	465
transfer	466
house	467
16	468
ots	469
off	470
steven	471
rice	472
nui	473
network	474
unfortunately	475
feel	476
document	477
month	478
sale	479
reply	480
street	481
26	482
distribution	483
ww	484
i've	485
raise	486
busy	487
touch	488
ok	489
system	490
online	491
survey	492
he's	493
already	494
under	495
ava	496
larry	497
stan	498
texas	499
hannon	500
6	501
people	502
program	503
several	504
getting	505
hotmail	506
k	507
investment	508
another	509
traveling	510
guys	511
left	512
tx	513
such	514
september	515
believe	516
better	517
party	518
try	519
randy	520
during	521
erica	522
contract	523
cindy	524
kenneth	525
news	526
concerns	527
kean	528
early	529
robert	530
prc	531
possible	532
agreements	533
msn	534
mailto	535
31	536
further	537
buy	538
45	539
scrimshaw	540
february	541
start	542
term	543
confidential	544
employees	545
56	546
solutions	547
interview	548
update	549
understand	550
making	551
text	552
sorry	553
scott	554
sherriff	555
floor	556
wednesday	557
receive	558
heard	559
chris	560
rebecca	561
terry	562
january	563
janet	564
piper	565
market	566
sincerely	567
evening	568
hear	569
27	570
williamson	571
copies	572
ceos	573
jskilli	574
reach	575
put	576
anyone	577
genesis	578
pdf	579
its	580
immediately	581
co	582
fine	583
eott	584
c	585
held	586
1000	587
same	588
smith	589
request	590
hour	591
industry	592
private	593
discussed	594
employee	595
access	596
bibi	597
b	598
appropriate	599
second	600
big	601
harris	602
kristin	603
applications	604
lot	605
file	606
houstontech	607
purpose	608
thought	609
angus	610
franz	611
resume	612
yesterday	613
617	614
mime	615
plain	616
charset	617
encoding	618
folder	619
non	620
origin	621
filename	622
sutton	623
everyone	624
conversation	625
form	626
broadband	627
building	628
important	629
part	630
purchase	631
212	632
website	633
director	634
having	635
high	636
even	637
t	638
both	639
amelia	640
kathy	641
neil	642
europe	643
cbe	644
ago	645
hesitate	646
global	647
product	648
location	649
resources	650
home	651
forum	652
area	653
size	654
color	655
roman	656
columbus	657
presentation	658
azurix	659
works	660
richard	661
whalley	662
susan	663
latest	664
topics	665
analyst	666
past	667
oil	668
katherine	669
customers	670
philippe	671
writing	672
hodge	673
needs	674
based	675
pick	676
short	677
hours	678
london	679
choice	680
bp	681
above	682
couple	683
value	684
mary	685
went	686
potential	687
something	688
tour	689
345	690
link	691
didn't	692
14pt	693
black	694
strictly	695
kerr	696
harvard	697
transactions	698
won't	699
