Word	Label
lt	1
to	2
com'	3
the	4
i	5
com	6
this	7
enron	8
scott	9
dean	10
from	11
palmer	12
2000	13
mphlegal	14
for	15
a	16
simpletel	17
re	18
and	19
december	20
subject	21
in	22
of	23
weekend	24
original	25
message	26
sent	27
111	28
'rdonoghue	29
can	30
get	31
'clint	32
that	33
monday	34
you	35
we	36
'lgasparini	37
i'm	38
clint	39
pm	40
on	41
ebner	42
daniel	43
mailto	44
it	45
wood	46
cc	47
12	48
is	49
debner	50
jpi	51
'ebner	52
daniel'	53
have	54
are	55
so	56
up	57
exodus	58
net	59
me	60
4	61
there	62
good	63
rdonoghue	64
one	65
if	66
some	67
pretty	68
need	69
an	70
about	71
firewood	72
tent	73
not	74
two	75
smtp	76
2	77
think	78
i'd	79
half	80
going	81
been	82
be	83
lgasparini	84
usually	85
around	86
5	87
did	88
fire	89
quite	90
much	91
steaks	92
10	93
37	94
'scott	95
palmer'	96
should	97
just	98
02	99
1	100
bring	101
richard	102
getting	103
also	104
'luis	105
gasparini'	106
luis	107
pmto	108
do	109
know	110
8	111
com'subject	112
guys	113
night	114
3	115
000	116
time	117
short	118
camp	119
as	120
long	121
beam	122
50	123
kick	124
cord	125
feet	126
together	127
assume	128
we're	129
every	130
cost	131
say	132
it's	133
dark	134
before	135
am	136
i've	137
has	138
tuesday	139
sorry	140
gasparini	141
54	142
want	143
go	144
at	145
over	146
or	147
see	148
don't	149
kicking	150
all	151
24	152
big	153
everybody	154
help	155
week	156
something	157
with	158
my	159
what	160
where	161
out	162
silent	163
amto	164
our	165
she	166
years	167
yes	168
let	169
new	170
york	171
strip	172
pick	173
bulk	174
sam's	175
marinade	176
them	177
eight	178
ounce	179
per	180
package	181
20	182
they	183
quality	184
packages	185
thinking	186
bringing	187
hunter	188
who	189
bbq	190
instead	191
o'clock	192
kidding	193
consensus	194
position	195
intrinsic	196
value	197
spiking	198
upward	199
due	200
warmth	201
then	202
crashing	203
down	204
turns	205
ash	206
however	207
always	208
47	209
fast	210
option	211
writing	212
calls	213
who's	214
buying	215
wow	216
34	217
59	218
right	219
unthinkable	220
bought	221
uninitiated	222
stack	223
roughly	224
18	225
inch	226
logs	227
high	228
camping	229
555	230
coming	231
you've	232
awful	233
throughout	234
scrape	235
5000	236
pennies	237
ok	238
bit	239
since	240
tend	241
build	242
year	243
cover	244
place	245
easy	246
there's	247
only	248
area	249
first	250
ones	251
claim	252
site	253
lately	254
noon	255
decent	256
ride	257
able	258
pitch	259
tents	260
gets	261
that'll	262
mean	263
early	264
morning	265
dallas	266
bout	267
48	268
looking	269
coppell	270
crap	271
albertson's	272
burns	273
15	274
minutes	275
could	276
find	277
any	278
got	279
can't	280
shop	281
someone	282
charge	283
best	284
actual	285
supplier	286
trucks	287
side	288
road	289
nursuries	290
sometimes	291
split	292
later	293
planning	294
showing	295
sleeping	296
stuff	297
food	298
bike	299
lanterns	300
anything	301
else	302
park	303
meeting	304
your	305
corp	306
vacation	307
day	308
check	309
ww	310
gorelieberman	311
donoghue	312
work	313
fun	314
small	315
might	316
friend	317
interested	318
houston	319
replying	320
04	321
weekenddanny	322
piece	323
wants	324
either	325
youwant	326
how	327
many	328
they're	329
ouncespre	330
cooked	331
weekenddo	332
somein	333
toten	334
unlessscott	335
com'cc	336
weekendsounds	337
thank	338
very	339
kim	340
melodick	341
ect10	342
16	343
38	344
enroncc	345
balancejust	346
note	347
follow	348
employee	349
sevice	350
center	351
informs	352
corporate	353
working	354
balance	355
adjustment	356
hopefully	357
will	358
hear	359
correction	360
made	361
next	362
yo	363
guy	364
woman	365
call	366
http	367
gasfundy	368
gas	369
framework	370
default	371
asp	372
speaks	373
13	374
08	375
weekendguys	376
unfortunately	377
bow	378
campingtrip	379
rather	380
ill	381
last	382
andi'm	383
sure	384
elements	385
alcohol	386
areinvolved	387
weekend's	388
festivities	389
hoping	390
better	391
but	392
between	393
cold	394
andplease	395
try	396
make	397
too	398
while	399
awood	400
frenzy	401
41	402
weekendi	403
borrowed	404
emergesfrom	405
depths	406
legal	407
system	408
join	409
us	410
quest	411
physicalpain	412
inebriation	413
large	414
uncontrollable	415
fires	416
35	417
weekendclint	418
spoken	419
28	420
does	421
extra	422
needed	423
btw	424
pack	425
change	426
warm	427
clothes	428
suggest	429
kind	430
light	431
nylon	432
coat	433
drizzle	434
ten	435
unless	436
sounds	437
amy	438
hi	439
richard's	440
now	441
erin's	442
spoke	443
wanted	444
sometime	445
probably	446
little	447
electricity	448
trader	449
lived	450
three	451
known	452
9	453
fraternity	454
days	455
27	456
graduated	457
ut	458
ago	459
course	460
would	461
hearing	462
well	463
erin	464
told	465
had	466
thought	467
meet	468
