Word	Label
enron	1
the	2
ect	3
to	4
you	5
and	6
hou	7
i	8
on	9
for	10
	11
lt	12
a	13
of	14
susan	15
enronxgate	16
com	17
be	18
is	19
pereira	20
with	21
in	22
this	23
have	24
s	25
w	26
thanks	27
amp	28
we	29
that	30
will	31
et	32
at	33
subject	34
if	35
your	36
it	37
20001	38
are	39
me	40
know	41
from	42
not	43
would	44
please	45
20	46
as	47
corp	48
can	49
or	50
was	51
up	52
our	53
pmto	54
any	55
out	56
all	57
do	58
get	59
gas	60
2000	61
so	62
let	63
2	64
eott	65
just	66
lynn	67
about	68
re	69
na	70
but	71
02	72
day	73
us	74
by	75
my	76
there	77
what	78
work	79
time	80
111	81
000	82
like	83
i'll	84
10	85
01	86
john	87
had	88
when	89
aol	90
cc	91
they	92
also	93
12	94
communications	95
need	96
04	97
going	98
30	99
comcc	100
has	101
03	102
4	103
email	104
back	105
1	106
am	107
stevens	108
development	109
her	110
i'm	111
one	112
think	113
amto	114
5	115
he	116
imbalance	117
may	118
no	119
3	120
should	121
check	122
questions	123
them	124
tuesday	125
she	126
team	127
sent	128
could	129
blair	130
06	131
mmbtu	132
kali	133
x	134
call	135
an	136
then	137
did	138
next	139
last	140
see	141
been	142
6	143
713	144
clickathome	145
net	146
scott	147
go	148
help	149
image	150
how	151
message	152
mail	153
hollister	154
enroncc	155
it's	156
stacy	157
e	158
don't	159
want	160
joe	161
more	162
meeting	163
volumes	164
daily	165
today	166
kathy	167
two	168
come	169
sure	170
which	171
before	172
prices	173
here	174
take	175
well	176
week	177
l	178
respond	179
days	180
monday	181
crice	182
nge	183
pm	184
kids	185
dan	186
ava	187
new	188
too	189
send	190
make	191
received	192
sunday	193
able	194
night	195
08	196
bazor	197
ectcc	198
these	199
first	200
25	201
june	202
reps	203
7	204
05	205
since	206
mary	207
p	208
0	209
michael	210
deal	211
pricing	212
who	213
good	214
14	215
available	216
jan	217
april	218
david	219
home	220
thursday	221
thank	222
terry	223
m	224
chris	225
until	226
robert	227
original	228
hope	229
into	230
contract	231
koch	232
9	233
were	234
fuel	235
07	236
09	237
soon	238
larry	239
15	240
teams	241
wanted	242
other	243
invoices	244
some	245
18	246
plant	247
21	248
only	249
month	250
randy	251
f	252
transportation	253
foz	254
give	255
address	256
might	257
due	258
u	259
house	260
sorry	261
mike	262
222	263
susanstevens	264
change	265
storage	266
we'll	267
smith	268
40	269
february	270
26	271
march	272
term	273
mark	274
ots	275
talk	276
cindy	277
list	278
50	279
office	280
28	281
very	282
imbalances	283
meet	284
el	285
paso	286
stingray	287
down	288
helen	289
ok	290
than	291
really	292
robinson	293
find	294
n	295
fgt	296
got	297
issues	298
confirmation	299
per	300
number	301
use	302
626	303
destin	304
small	305
october	306
second	307
friday	308
afternoon	309
laura	310
now	311
evening	312
price	313
after	314
place	315
com'	316
leave	317
summer	318
janis	319
janisp	320
dialdata	321
br	322
r	323
having	324
few	325
i've	326
richard	327
both	328
fyi	329
still	330
brad	331
kowalke	332
nng	333
tomorrow	334
cole	335
etc	336
another	337
agreement	338
dickson	339
leslie	340
following	341
13	342
steve	343
paul	344
julie	345
energy	346
much	347
same	348
again	349
big	350
start	351
24	352
jean	353
raetta	354
migration	355
doing	356
garcia	357
renato	358
booth	359
travel	360
garage	361
space	362
pershing	363
yet	364
hear	365
receive	366
schedule	367
pmplease	368
invoice	369
over	370
made	371
morning	372
17	373
mtg	374
those	375
through	376
mmmbtu	377
went	378
neal	379
judy	380
james	381
frank	382
lesson	383
off	384
feb	385
contact	386
ridge	387
19	388
org	389
date	390
swbell	391
because	392
said	393
letter	394
george	395
yes	396
july	397
h	398
8	399
floor	400
reviewing	401
girls	402
weeks	403
away	404
already	405
better	406
trip	407
version	408
content	409
reply	410
service	411
card	412
their	413
provide	414
left	415
buchanan	416
concerns	417
changes	418
keep	419
everyone	420
45	421
transport	422
volume	423
info	424
lisa	425
little	426
yesterday	427
looking	428
'susan	429
16	430
o	431
being	432
great	433
its	434
large	435
right	436
kelly	437
b	438
attached	439
class	440
flash	441
rio	442
z	443
27	444
patrick	445
center	446
d	447
netflix	448
dvd	449
happy	450
forward	451
probably	452
three	453
pay	454
several	455
talked	456
fw	457
wednesday	458
wed	459
ww	460
gorelieberman	461
31	462
name	463
interested	464
miller	465
allen	466
eees	467
ees	468
jeff	469
recognitions	470
however	471
things	472
november	473
57	474
molly	475
you're	476
debra	477
system	478
during	479
between	480
kimberly	481
ring	482
information	483
asked	484
taken	485
paperwork	486
saturday	487
victor	488
around	489
glad	490
hotel	491
brazil	492
set	493
plan	494
him	495
yahoo	496
movies	497
you'll	498
outlook	499
later	500
maybe	501
houston	502
game	503
where	504
enjoy	505
nov	506
can't	507
together	508
type	509
confirm	510
notes	511
59	512
853	513
rice	514
49	515
east	516
does	517
computer	518
order	519
put	520
planning	521
looks	522
someone	523
k	524
jim	525
gary	526
pereirahermannpk	527
peters	528
inside	529
rebel	530
54	531
correct	532
lynnfrom	533
tangie	534
oba	535
whether	536
told	537
cycle	538
moss	539
southside	540
germany	541
each	542
pick	543
everything	544
council	545
cinergy	546
lrc	547
lrp	548
people	549
times	550
amy	551
lamadrid	552
hodge	553
c	554
firm	555
long	556
birthday	557
year	558
j	559
workshop	560
staff	561
his	562
working	563
linda	564
t	565
less	566
sony	567
ms	568
private	569
practice	570
anyone	571
late	572
flight	573
lockeliddell	574
trainers	575
feel	576
taking	577
susanp	578
early	579
party	580
didn't	581
lyris	582
bcc	583
thought	584
camp	585
group	586
bodnar	587
allocated	588
access	589
rick	590
loop	591
speed	592
riceenergy	593
solutionsmailto	594
comphone	595
2426fax	596
2604	597
waiting	598
printer	599
click	600
participate	601
error	602
showing	603
return	604
29	605
ruth	606
money	607
session	608
location	609
anytime	610
roy	611
60	612
even	613
23	614
ena	615
guy	616
getting	617
444	618
comsubject	619
training	620
berger	621
adams	622
sherry	623
janzen	624
janet	625
katherine	626
short	627
wait	628
process	629
via	630
line	631
finalize	632
goodell	633
junek	634
jkboud	635
sounds	636
troop	637
player	638
soccer	639
discussed	640
btu	641
review	642
thankssusan	643
needs	644
report	645
checking	646
stay	647
spend	648
movie	649
that's	650
care	651
we're	652
g	653
ev1	654
taylor	655
kenneth	656
eric	657
cynthia	658
parking	659
southern	660
agent	661
assigned	662
receivable	663
reports	664
rates	665
details	666
suzanne	667
weekend	668
spring	669
gets	670
close	671
transfer	672
word	673
spereir	674
51	675
deposit	676
camps	677
payment	678
credit	679
fax	680
mean	681
update	682
non	683
fix	684
coach	685
final	686
pereirastevens	687
ridgesusan	688
sold	689
returned	690
pmsent	691
pc	692
actually	693
settlement	694
lig	695
sign	696
signed	697
ahead	698
scheduled	699
blue	700
hopefully	701
doesn't	702
station	703
tom	704
gomez	705
townsend	706
possible	707
53	708
gotta	709
company	710
else	711
v	712
done	713
below	714
bryan	715
nancy	716
harry	717
37	718
move	719
deadline	720
citymgr	721
dnm	722
myself	723
ask	724
fine	725
sort	726
attend	727
mailto	728
fun	729
miss	730
chance	731
master	732
end	733
daniel	734
called	735
copy	736
plantsusan	737
kevin	738
carter	739
superty	740
north	741
tropical	742
kind	743
gross	744
24222	745
brian	746
person	747
margaret	748
different	749
town	750
side	751
falls	752
far	753
hi	754
mother	755
sitara	756
cal	757
nelson	758
wellhead	759
mitchell	760
bernstein	761
greg	762
schedules	763
alexia	764
walking	765
members	766
amplease	767
http	768
greetings	769
christopher	770
clark	771
jeffrey	772
elizabeth	773
currently	774
offer	775
customer	776
hit	777
sell	778
brokers	779
asking	780
enro	781
lynda	782
contracts	783
calendar	784
bp	785
accounts	786
approximately	787
petal	788
free	789
spoken	790
rfp	791
leaving	792
part	793
shirt	794
try	795
ordered	796
harrison	797
29th	798
sat	799
mime	800
text	801
plain	802
charset	803
ascii	804
encoding	805
7bit	806
dictionary	807
folder	808
origin	809
filename	810
1000	811
tx	812
heard	813
39	814
jeananne	815
heck	816
numbers	817
portion	818
56	819
shelley	820
dietz	821
gerry	822
ready	823
while	824
amount	825
kahuna	826
casa	827
enronto	828
34	829
payments	830
973	831
statement	832
way	833
38	834
035	835
fox	836
unless	837
enron02	838
stephanie	839
concannon	840
sullivan	841
maria	842
shirley	843
vickers	844
something	845
19th	846
cookie	847
sale	848
average	849
total	850
point	851
ferc	852
deducted	853
cash	854
idea	855
mailed	856
changed	857
rest	858
trying	859
touch	860
oct	861
sample	862
1st	863
months	864
pipeline	865
driver	866
callans	867
dykes	868
forbish	869
greaney	870
mcdaniel	871
diana	872
scurlock	873
sturr	874
washington	875
jerry	876
woodson	877
nights	878
25th	879
ups	880
timely	881
susandavid	882
sandra	883
brawner	884
peter	885
mckay	886
andrea	887
victoria	888
versen	889
project	890
begin	891
along	892
easier	893
unfortunately	894
convenient	895
such	896
girl	897
clear	898
owed	899
gave	900
low	901
agreed	902
pereirap	903
stacey	904
issue	905
anything	906
always	907
busy	908
collins	909
jesse	910
villarreal	911
loving	912
columbia	913
america	914
storm	915
love	916
attending	917
dear	918
must	919
agreements	920
deduct	921
question	922
best	923
capacity	924
lost	925
remember	926
field	927
discuss	928
depending	929
takes	930
argentina	931
tour	932
lblair	933
privileged	934
eol	935
id	936
'lucy1	937
net'	938
doug	939
chicago	940
recruiting	941
lebeau	942
davis	943
karbarz	944
jay	945
azurix	946
gilbert	947
website	948
sebastien	949
guess	950
ricki	951
sonat	952
52	953
either	954
feeling	955
bath	956
bag	957
brown	958
dillard	959
christine	960
craig	961
green	962
johnson	963
jones	964
bruce	965
kim	966
jason	967
young	968
karen	969
hernandez	970
william	971
nguyen	972
offered	973
cost	974
trouble	975
gathering	976
89	977
portable	978
watch	979
lot	980
boys	981
including	982
survey	983
outside	984
trades	985
box	986
won't	987
enron10	988
regarding	989
agree	990
shippers	991
comments	992
notice	993
lessons	994
fly	995
rounds	996
int	997
greeter	998
assistance	999
district	1000
wgr	1001
36	1002
trading	1003
rivers	1004
000p	1005
book	1006
guys	1007
checks	1008
msr's	1009
public	1010
jmayer0206	1011
middle	1012
flood	1013
testing	1014
ramona	1015
upgrade	1016
extra	1017
rr	1018
practices	1019
exception	1020
trophy	1021
playing	1022
works	1023
dec	1024
listmanager	1025
301289q	1026
lists	1027
lexico	1028
'sent	1029
subscription	1030
needed	1031
mailing	1032
add	1033
kidventurecamp	1034
333	1035
kidventure	1036
accounting	1037
allocation	1038
phone	1039
research	1040
sbs	1041
further	1042
ya'll	1043
test	1044
shipper	1045
aga	1046
before3pm	1047
coachcan	1048
pulich's	1049
cafeteria	1050
ofsomeone	1051
pereiraclickathome	1052
reorder	1053
enron03	1054
participant	1055
verify	1056
billing	1057
collected	1058
susanfrom	1059
problem	1060
