Word	Label
the	1
to	2
i	3
you	4
and	5
enron	6
a	7
of	8
is	9
that	10
for	11
on	12
in	13
this	14
have	15
with	16
	17
are	18
be	19
we	20
will	21
me	22
phillip	23
ect	24
it	25
if	26
please	27
your	28
would	29
as	30
not	31
can	32
at	33
or	34
my	35
from	36
amp	37
am	38
carol	39
what	40
1	41
x	42
stacy	43
any	44
do	45
need	46
gas	47
2	48
was	49
know	50
s	51
about	52
out	53
hou	54
they	55
by	56
thanks	57
call	58
et	59
an	60
but	61
713	62
up	63
here	64
our	65
he	66
get	67
there	68
all	69
com	70
some	71
853	72
should	73
new	74
000	75
let	76
st	77
e	78
agreement	79
like	80
fax	81
work	82
time	83
these	84
has	85
them	86
just	87
so	88
email	89
allen	90
did	91
think	92
send	93
3	94
questions	95
20001	96
going	97
when	98
week	99
attached	100
4	101
phone	102
which	103
sent	104
one	105
us	106
could	107
credit	108
corp	109
want	110
more	111
mail	112
dickson	113
make	114
were	115
5	116
646	117
3989	118
see	119
also	120
been	121
him	122
cc	123
33393	124
their	125
na	126
lt	127
only	128
use	129
how	130
claireb	131
enronxgate	132
may	133
she	134
subject	135
letter	136
jeff	137
day	138
still	139
thank	140
comments	141
go	142
no	143
his	144
master	145
had	146
changes	147
price	148
lynn	149
good	150
last	151
version	152
information	153
10	154
don't	155
under	156
sure	157
find	158
mark	159
than	160
back	161
today	162
energy	163
clair	164
content	165
review	166
office	167
12	168
take	169
deal	170
project	171
john	172
0	173
then	174
firm	175
lucy	176
look	177
into	178
type	179
cost	180
111	181
next	182
tomorrow	183
date	184
give	185
list	186
other	187
transaction	188
two	189
language	190
help	191
number	192
3892713	193
before	194
since	195
try	196
plan	197
check	198
friday	199
per	200
talk	201
over	202
i'm	203
following	204
does	205
prices	206
contract	207
who	208
transfer	209
9	210
keith	211
section	212
forward	213
year	214
mike	215
very	216
now	217
form	218
30	219
trading	220
after	221
meeting	222
larry	223
2000	224
paid	225
done	226
san	227
rent	228
physical	229
6	230
month	231
mary	232
home	233
susan	234
file	235
draft	236
rentroll	237
same	238
market	239
west	240
01	241
much	242
guaranty	243
cash	244
well	245
message	246
daily	247
numbers	248
gregg	249
yes	250
7	251
made	252
june	253
gisb	254
between	255
put	256
blair	257
20	258
received	259
p	260
george	261
why	262
desk	263
trades	264
again	265
regarding	266
might	267
15	268
such	269
shall	270
notes	271
latest	272
pay	273
additional	274
house	275
too	276
construction	277
storage	278
randy	279
issues	280
group	281
copy	282
right	283
set	284
doing	285
counterparties	286
termination	287
first	288
said	289
risk	290
agreements	291
her	292
being	293
power	294
access	295
pm	296
receive	297
k	298
issue	299
getting	300
fine	301
wanted	302
way	303
process	304
leave	305
days	306
note	307
around	308
above	309
sale	310
looks	311
original	312
anything	313
where	314
working	315
bcc	316
folder	317
monday	318
morning	319
bid	320
left	321
points	322
loan	323
costs	324
unit	325
14	326
text	327
through	328
come	329
tuesday	330
8	331
socal	332
another	333
didn't	334
change	335
discuss	336
property	337
financial	338
natural	339
open	340
utilities	341
business	342
mime	343
plain	344
charset	345
encoding	346
m	347
origin	348
filename	349
each	350
company	351
person	352
few	353
until	354
schedule	355
long	356
purchase	357
those	358
index	359
below	360
steve	361
really	362
deals	363
06	364
ascii	365
7bit	366
grigsby	367
frank	368
spoke	369
add	370
second	371
isda	372
understand	373
discussed	374
buyer	375
land	376
address	377
ena	378
nui	379
invoices	380
fgt	381
keep	382
soon	383
product	384
deposit	385
money	386
possible	387
confirm	388
looking	389
needs	390
both	391
different	392
due	393
b	394
financing	395
concerns	396
units	397
payment	398
having	399
ava	400
annex	401
joe	402
place	403
site	404
plans	405
used	406
down	407
even	408
david	409
eol	410
end	411
document	412
l	413
north	414
total	415
contact	416
04	417
bank	418
13	419
include	420
profit	421
because	422
request	423
migration	424
inc	425
part	426
its	427
response	428
manager	429
reps	430
terry	431
25	432
trying	433
pallen	434
ready	435
signed	436
floor	437
better	438
later	439
follow	440
requested	441
ina	442
line	443
26	444
based	445
wade	446
estimates	447
columbia	448
else	449
during	450
fyi	451
counterparty	452
38889713	453
off	454
things	455
fill	456
agreed	457
can't	458
jacques	459
hear	460
complete	461
reviewing	462
across	463
investment	464
update	465
ahead	466
track	467
program	468
term	469
america	470
traders	471
terms	472
folders	473
nsf	474
sign	475
thoughts	476
enroncc	477
outlook	478
little	479
russell	480
system	481
spreadsheet	482
able	483
believe	484
plus	485
million	486
thought	487
05	488
confirms	489
items	490
amount	491
gary	492
voice	493
available	494
re	495
amendment	496
hope	497
actual	498
got	499
guys	500
'sent	501
holst	502
sara	503
password	504
asked	505
agree	506
yet	507
swap	508
sending	509
provide	510
short	511
closing	512
houston	513
high	514
without	515
contracts	516
mentioned	517
missed	518
meet	519
builders	520
seems	521
basis	522
april	523
enovate	524
mm	525
partnership	526
let's	527
click	528
says	529
02	530
general	531
chris	532
july	533
ok	534
juan	535
added	536
suzanne	537
team	538
support	539
yesterday	540
user	541
anyone	542
name	543
using	544
okay	545
coral	546
marcos	547
weekend	548
provision	549
monthly	550
order	551
most	552
further	553
5705	554
fees	555
development	556
appraisal	557
less	558
close	559
o	560
calendar	561
thursday	562
already	563
once	564
california	565
event	566
something	567
kipp	568
special	569
delivery	570
n	571
t	572
id	573
jim	574
attorney	575
matt	576
hopefully	577
it's	578
however	579
50	580
report	581
paul	582
sell	583
assignment	584
confirmation	585
info	586
afternoon	587
prior	588
bring	589
demand	590
respond	591
provisions	592
utility	593
return	594
together	595
cary	596
design	597
front	598
job	599
party	600
full	601
brenda	602
notice	603
j	604
h	605
09	606
while	607
1000	608
pmto	609
reports	610
tenants	611
bills	612
03	613
non	614
conference	615
collateral	616
insurance	617
reagan	618
amto	619
rest	620
jan	621
either	622
7041	623
several	624
bob	625
executed	626
capacity	627
went	628
value	629
probably	630
remember	631
final	632
21	633
services	634
months	635
guarantee	636
transactions	637
format	638
doc	639
planning	640
patti	641
march	642
npng	643
survey	644
current	645
period	646
resume	647
tell	648
january	649
garcia	650
service	651
kowalke	652
raetta	653
c	654
kathy	655
debra	656
ermis	657
care	658
lenhart	659
smith	660
alos	661
account	662
1st	663
ace	664
cannot	665
60	666
feel	667
trip	668
enclosed	669
side	670
forecast	671
222	672
23	673
statement	674
cap	675
default	676
talked	677
great	678
question	679
best	680
higher	681
doesn't	682
equity	683
stacey	684
95	685
night	686
clean	687
website	688
case	689
point	690
chance	691
daniel	692
book	693
files	694
builder	695
works	696
addition	697
description	698
legal	699
finally	700
assuming	701
architect	702
far	703
small	704
nng	705
