Word	Label
the	1
to	2
i	3
and	4
a	5
you	6
of	7
lt	8
enron	9
in	10
is	11
	12
for	13
that	14
on	15
be	16
this	17
ect	18
have	19
with	20
it	21
me	22
we	23
if	24
are	25
will	26
com	27
not	28
at	29
amp	30
as	31
from	32
your	33
my	34
or	35
hou	36
know	37
was	38
would	39
susan	40
s	41
so	42
but	43
do	44
et	45
about	46
any	47
out	48
can	49
get	50
am	51
i'm	52
just	53
subject	54
what	55
please	56
our	57
scott	58
all	59
an	60
up	61
he	62
by	63
there	64
time	65
let	66
think	67
going	68
enronxgate	69
they	70
2000	71
need	72
some	73
like	74
has	75
1	76
e	77
good	78
one	79
20	80
thanks	81
m	82
see	83
no	84
2	85
when	86
could	87
phillip	88
call	89
had	90
here	91
000	92
work	93
him	94
gas	95
how	96
go	97
should	98
don't	99
been	100
corp	101
agreement	102
more	103
may	104
new	105
make	106
them	107
last	108
want	109
which	110
email	111
well	112
week	113
carol	114
really	115
night	116
tw	117
x	118
also	119
us	120
3	121
other	122
day	123
back	124
still	125
were	126
10	127
these	128
his	129
re	130
sure	131
over	132
20001	133
rate	134
she	135
it's	136
mail	137
weekend	138
i'll	139
questions	140
capacity	141
much	142
comments	143
4	144
713	145
things	146
talk	147
now	148
right	149
did	150
very	151
attached	152
until	153
next	154
only	155
than	156
her	157
into	158
111	159
i've	160
their	161
then	162
does	163
853	164
deal	165
hope	166
after	167
give	168
stacy	169
send	170
since	171
5	172
way	173
12	174
contract	175
enroncc	176
friday	177
before	178
too	179
first	180
got	181
around	182
hotmail	183
phone	184
st	185
01	186
04	187
pm	188
draft	189
take	190
sent	191
today	192
09	193
cc	194
pmto	195
because	196
try	197
fax	198
who	199
language	200
off	201
30	202
great	203
use	204
tomorrow	205
might	206
little	207
soon	208
two	209
ectcc	210
service	211
letter	212
houston	213
even	214
its	215
mary	216
love	217
say	218
date	219
being	220
thought	221
ferc	222
tariff	223
under	224
energy	225
na	226
come	227
guys	228
information	229
anything	230
ted	231
look	232
meeting	233
you're	234
find	235
while	236
probably	237
again	238
mark	239
trade	240
changes	241
point	242
same	243
month	244
can't	245
03	246
year	247
made	248
firm	249
wanted	250
file	251
transwestern	252
believe	253
resources	254
capital	255
order	256
group	257
such	258
section	259
jeff	260
filing	261
didn't	262
list	263
credit	264
something	265
san	266
trip	267
allen	268
market	269
help	270
days	271
7	272
long	273
message	274
john	275
said	276
able	277
9	278
thank	279
either	280
project	281
lisa	282
drew	283
morning	284
amto	285
review	286
few	287
whether	288
options	289
doing	290
must	291
however	292
feel	293
place	294
office	295
available	296
i'd	297
monday	298
following	299
issues	300
life	301
d	302
leave	303
6	304
forward	305
pretty	306
where	307
cost	308
those	309
down	310
anyway	311
better	312
02	313
working	314
discuss	315
done	316
646	317
people	318
already	319
fun	320
getting	321
through	322
later	323
version	324
hey	325
company	326
p	327
case	328
commission	329
part	330
3989	331
keep	332
07	333
each	334
put	335
home	336
regarding	337
plan	338
hear	339
best	340
together	341
having	342
set	343
big	344
comcc	345
why	346
received	347
shipper	348
end	349
shippers	350
c	351
further	352
name	353
both	354
rates	355
meet	356
thursday	357
party	358
33393	359
yes	360
term	361
definitely	362
check	363
shall	364
pipeline	365
enough	366
15	367
b	368
course	369
development	370
price	371
copy	372
claireb	373
kevin	374
change	375
type	376
line	377
possible	378
steve	379
though	380
0	381
schedule	382
request	383
another	384
never	385
saturday	386
always	387
number	388
tell	389
pay	390
address	391
option	392
else	393
system	394
include	395
t	396
everyone	397
msn	398
form	399
looks	400
austin	401
yet	402
house	403
tw's	404
maybe	405
content	406
mike	407
trying	408
05	409
told	410
approval	411
actually	412
8	413
deals	414
daily	415
etc	416
coming	417
free	418
parties	419
happy	420
open	421
issue	422
14	423
between	424
dickson	425
discount	426
thing	427
below	428
25	429
process	430
went	431
business	432
08	433
most	434
trading	435
asked	436
sue	437
w	438
provide	439
original	440
looking	441
28	442
person	443
l	444
okay	445
during	446
least	447
lot	448
bill	449
tuesday	450
marketing	451
contracts	452
based	453
power	454
agree	455
services	456
transfer	457
basis	458
own	459
19	460
http	461
terms	462
chance	463
game	464
06	465
transportation	466
couple	467
tonight	468
note	469
ca	470
london	471
lynn	472
o	473
larry	474
discussed	475
sorry	476
david	477
sounds	478
clair	479
given	480
response	481
left	482
heard	483
miller	484
contact	485
visit	486
wait	487
k	488
keith	489
add	490
prices	491
points	492
mind	493
socal	494
fee	495
understand	496
question	497
fuel	498
13	499
legal	500
that's	501
master	502
fine	503
anyone	504
agreements	505
transaction	506
23	507
glad	508
sunday	509
interested	510
3892713	511
notice	512
bid	513
fossum	514
27	515
remember	516
problem	517
dinner	518
different	519
california	520
aol	521
current	522
second	523
proposed	524
april	525
above	526
26	527
show	528
someone	529
thinking	530
notes	531
per	532
internet	533
planning	534
we'll	535
desk	536
amount	537
customers	538
kay	539
negotiated	540
months	541
offer	542
everything	543
ever	544
used	545
ask	546
costs	547
old	548
additional	549
final	550
less	551
he's	552
bit	553
full	554
let's	555
explorer	556
access	557
j	558
weeks	559
lorraine	560
due	561
paid	562
longer	563
yesterday	564
law	565
settlement	566
bad	567
guy	568
emily	569
start	570
needs	571
although	572
transport	573
once	574
friend	575
18	576
physical	577
fact	578
cash	579
answer	580
several	581
event	582
oh	583
haven't	584
town	585
wants	586
june	587
interest	588
fyi	589
mentioned	590
ok	591
west	592
read	593
george	594
ahead	595
afternoon	596
respond	597
net	598
17	599
provision	600
program	601
21	602
past	603
r	604
currently	605
years	606
lunch	607
money	608
hi	609
jim	610
far	611
myself	612
job	613
document	614
rather	615
kind	616
you've	617
close	618
many	619
nothing	620
risk	621
rent	622
sscott5	623
three	624
book	625
darren	626
whole	627
july	628
16	629
h	630
move	631
christine	632
el	633
plans	634
every	635
counterparty	636
lucy	637
drop	638
ena	639
run	640
we're	641
early	642
duke	643
glen	644
friends	645
taking	646
guess	647
pge	648
31	649
future	650
without	651
leaving	652
total	653
julie	654
pnm	655
idea	656
requested	657
mean	658
regulatory	659
hold	660
conference	661
michael	662
prior	663
certain	664
late	665
rest	666
yahoo	667
construction	668
numbers	669
proposal	670
eric	671
smith	672
guaranty	673
n	674
charge	675
hard	676
provisions	677
wondering	678
text	679
bcc	680
return	681
thoughts	682
reason	683
fts	684
period	685
ny	686
here's	687
control	688
diego	689
completely	690
works	691
folder	692
joe	693
situation	694
says	695
purchase	696
texas	697
care	698
hopefully	699
harris	700
distribution	701
nice	702
50	703
40	704
effective	705
facilities	706
seems	707
latest	708
sign	709
weather	710
