Word	Label
000	1
01	2
a	3
20001	4
08	5
00020001	6
03	7
09	8
to	9
the	10
10	11
97	12
you	13
i	14
0	15
05	16
and	17
enron	18
lt	19
06	20
02	21
14	22
111	23
for	24
in	25
on	26
ect	27
this	28
cooper	29
richey	30
is	31
17	32
have	33
04	34
222	35
of	36
19	37
from	38
07	39
it	40
that	41
be	42
com	43
we	44
cal	45
with	46
amp	47
12	48
23	49
16	50
20	51
18	52
subject	53
15	54
13	55
at	56
up	57
thanks	58
21	59
are	60
30	61
me	62
if	63
	64
your	65
can	66
50	67
40	68
56	69
24	70
s	71
was	72
27	73
i'm	74
45	75
123	76
will	77
as	78
enronxgate	79
re	80
25	81
just	82
or	83
not	84
my	85
out	86
et	87
know	88
910004	89
29	90
but	91
get	92
like	93
42	94
should	95
lynn	96
do	97
35	98
48	99
here	100
879997	101
what	102
about	103
may	104
time	105
353	106
am	107
good	108
26	109
would	110
31	111
37	112
5	113
90002	114
pmto	115
web	116
sent	117
28	118
going	119
pm	120
ectcc	121
please	122
141	123
32	124
check	125
when	126
message	127
holly	128
53	129
58	130
98	131
call	132
there	133
next	134
some	135
any	136
week	137
don't	138
calgary	139
888999	140
an	141
sure	142
corp	143
so	144
original	145
2	146
come	147
all	148
trade	149
think	150
1	151
they	152
2000	153
resources	154
craig	155
let	156
one	157
work	158
capital	159
cc	160
no	161
had	162
ava	163
it's	164
prc	165
user	166
weekend	167
blair	168
amto	169
send	170
also	171
portland	172
reps	173
back	174
see	175
1222	176
been	177
well	178
i'll	179
last	180
robert	181
into	182
x	183
day	184
93	185
95	186
our	187
need	188
by	189
today	190
go	191
meeting	192
cdtto	193
colin	194
poon	195
smtp	196
down	197
how	198
has	199
he	200
too	201
want	202
1112	203
000sd4	204
then	205
new	206
were	207
development	208
take	209
server	210
849998	211
which	212
000sd3	213
night	214
tuesday	215
you're	216
mclurg	217
greg	218
k	219
data	220
june	221
hope	222
36	223
59	224
121	225
monday	226
terry	227
getting	228
friday	229
these	230
weather	231
could	232
make	233
1110	234
125	235
more	236
us	237
change	238
john	239
very	240
hi	241
reserve	242
anderson	243
tip	244
berry	245
conference	246
thursday	247
6	248
possible	249
them	250
give	251
tim	252
laura	253
id	254
password	255
great	256
days	257
105	258
mail	259
cmclurg	260
ww	261
fundamentals	262
embedded	263
again	264
'cooper	265
file	266
working	267
8	268
play	269
much	270
80003	271
860001	272
870003	273
http	274
did	275
email	276
through	277
reviewing	278
invoices	279
over	280
phone	281
questions	282
spot	283
46	284
ok	285
now	286
coop	287
luv	288
having	289
dji	290
two	291
things	292
i've	293
720001	294
70999	295
than	296
houston	297
mike	298
enroncc	299
doing	300
wanted	301
until	302
month	303
fyi	304
75	305
p	306
com'	307
mom	308
only	309
m	310
403	311
big	312
price	313
124	314
710001	315
34	316
940002	317
333	318
76	319
him	320
talk	321
concerns	322
made	323
use	324
still	325
access	326
kowalke	327
keep	328
cadvision	329
retreat	330
where	331
gorelieberman	332
pdx	333
52	334
probably	335
really	336
tomorrow	337
something	338
look	339
moved	340
41	341
issues	342
error	343
got	344
we're	345
house	346
banff	347
n	348
3999	349
250	350
444	351
102	352
101	353
760002	354
126	355
1000	356
888	357
long	358
54	359
she	360
servers	361
kathy	362
raetta	363
floor	364
talked	365
test	366
nng	367
outlook	368
i'd	369
since	370
interested	371
attending	372
maui	373
apr	374
find	375
bob	376
called	377
went	378
guys	379
leaving	380
little	381
sorry	382
looking	383
line	384
later	385
can't	386
etc	387
love	388
done	389
summer	390
home	391
