Word	Label
the	1
to	2
i	3
of	4
a	5
you	6
for	7
and	8
is	9
that	10
in	11
this	12
on	13
have	14
will	15
as	16
are	17
up	18
be	19
not	20
at	21
we	22
me	23
gas	24
thanks	25
our	26
please	27
out	28
my	29
pete	30
has	31
with	32
daily	33
products	34
would	35
000	36
call	37
if	38
com	39
2000	40
know	41
all	42
your	43
check	44
it	45
today	46
too	47
or	48
going	49
some	50
good	51
am	52
ww	53
gorelieberman	54
any	55
been	56
by	57
one	58
market	59
also	60
no	61
big	62
what	63
like	64
time	65
enron	66
get	67
product	68
trading	69
about	70
were	71
from	72
how	73
swap	74
only	75
just	76
there	77
these	78
long	79
over	80
new	81
he	82
description	83
basis	84
john	85
could	86
need	87
guy	88
hub	89
those	90
trade	91
was	92
day	93
house	94
but	95
gotta	96
first	97
trades	98
eol	99
customers	100
see	101
keavey	102
few	103
stack	104
manager	105
don't	106
want	107
now	108
2	109
it's	110
do	111
i'm	112
i'll	113
ok	114
6	115
4	116
can	117
luck	118
joe	119
numbers	120
10	121
much	122
short	123
work	124
let	125
created	126
well	127
still	128
again	129
last	130
here	131
system	132
when	133
issue	134
8	135
cal	136
made	137
days	138
give	139
price	140
knock	141
second	142
swaps	143
set	144
locations	145
may	146
henry	147
mean	148
boys	149
times	150
think	151
match	152
sure	153
deal	154
cin	155
two	156
30	157
night	158
home	159
got	160
pm	161
29	162
far	163
make	164
hop	165
http	166
went	167
9	168
after	169
pay	170
seems	171
premium	172
go	173
weeks	174
physical	175
index	176
should	177
woman	178
'bout	179
us	180
dale	181
approve	182
line	183
rest	184
desk	185
later	186
since	187
talking	188
many	189
financial	190
growing	191
benefits	192
access	193
volume	194
bid	195
offer	196
an	197
convention	198
current	199
yesterday	200
stay	201
50	202
01	203
0	204
peter	205
3x72777	206
managing	207
east	208
louise	209
them	210
interested	211
updates	212
being	213
remember	214
conversation	215
ago	216
changes	217
implemented	218
yet	219
myself	220
available	221
right	222
him	223
part	224
vvrroomm	225
bush	226
we're	227
additional	228
fed	229
ex	230
other	231
confusion	232
create	233
september	234
thought	235
gym	236
1	237
reason	238
into	239
tonite	240
5	241
never	242
hurts	243
he's	244
agree	245
1000	246
8910	247
bace	248
tx	249
713	250
827	251
22271	252
hm713	253
851	254
0372	255
quenet	256
mail	257
put	258
20	259
worse	260
more	261
such	262
closing	263
term	264
31	265
activate	266
corp	267
research	268
framework	269
default	270
asp	271
third	272
year	273
peaker	274
chicago	275
payment	276
underlying	277
next	278
currently	279
who	280
things	281
where	282
trip	283
worked	284
problem	285
possibly	286
help	287
id	288
doing	289
actually	290
buying	291
stuff	292
different	293
quote	294
cable	295
had	296
same	297
they	298
sorry	299
getting	300
ecthou	301
webcl1	302
ect	303
jeff	304
take	305
spread	306
selling	307
external	308
markets	309
volumes	310
customer	311
than	312
through	313
both	314
spreads	315
main	316
way	317
removed	318
doubt	319
use	320
information	321
traded	322
card	323
transaction	324
problems	325
near	326
look	327
summer	328
able	329
trying	330
trouble	331
small	332
everyone	333
off	334
75	335
45	336
confirms	337
custody	338
child	339
monthly	340
management	341
website	342
853	343
weekend	344
morning	345
forward	346
questions	347
yes	348
dear	349
disaster	350
arnold	351
qquestions	352
sometime	353
morningpete	354
3x72777john	355
3x3230	356
rickey	357
always	358
starting	359
wr	360
though	361
package	362
exert	363
energy	364
temporary'	365
plate	366
harley	367
plenty	368
streets	369
apart	370
morgage	371
company	372
took	373
funds	374
leave	375
envelope	376
office	377
already	378
delivered	379
possible	380
west	381
mapped	382
dailly	383
cause	384
gdd	385
yo	386
rosters	387
because	388
ready	389
davis	390
robinson	391
ricky	392
pick	393
warrick	394
decent	395
receiver	396
guys	397
offering	398
top	399
players	400
heads	401
supposed	402
meet	403
tommy	404
brennan	405
that's	406
little	407
exageration	408
fourteen	409
man	410
totally	411
colleen	412
aga	413
change	414
drhouston	415
7770555	416
mbanne	417
sounds	418
another	419
ranch	420
worry	421
blood	422
pressure	423
probably	424
pop	425
yvette's	426
boyfriend	427
around	428
ish	429
called	430
andm	431
voice	432
rob's	433
oct	434
dec	435
schedule	436
vacation	437
daysthanks	438
oh	439
truth	440
texas	441
resident	442
tell	443
evils	444
expensive	445
suit	446
filled	447
cheap	448
intellect	449
lack	450
thereof	451
usual	452
whoever	453
elected	454
difference	455
anyway	456
keep	457
touch	458
course	459
pjm	460
forgot	461
18	462
till	463
itthanks	464
waiting	465
enaresearch	466
women	467
rob	468
shared	469
room	470
sleep	471
slight	472
buzz	473
longest	474
life	475
richard	476
throught	477
cents	478
net	479
604	480
giving	481
optionality	482
relative	483
value	484
nyz6	485
socal	486
worth	487
alliance	488
taken	489
strong	490
interest	491
hunter	492
won't	493
liquid	494
physically	495
justify	496
molecules	497
group	498
roll	499
existing	500
exist	501
descriptions	502
list	503
shortly	504
each	505
happen	506
large	507
boy	508
we'll	509
el	510
paso	511
aquila	512
knows	513
follow	514
simpler	515
reading	516
typealso	517
while	518
copying	519
does	520
stephanie	521
per	522
password	523
kyle	524
fine	525
larry	526
pretty	527
z6	528
vol	529
years	530
so	531
outside	532
loop	533
zip	534
code	535
25	536
neighbors	537
their	538
builder	539
enter	540
street	541
data	542
base	543
co	544
nuts	545
told	546
least	547
https	548
dr	549
houston	550
7770555713	551
cell085	552
62	553
23487	554
68	555
dutch	556
care	557
exactly	558
whcich	559
reliant	560
cocktails	561
thanksgiving	562
democrat	563
ole	564
cop	565
humor	566
gasliquidityeol	567
allowed	568
simultaneously	569
provide	570
internal	571
realtime	572
ability	573
execute	574
receive	575
instantaneous	576
confimations	577
resulted	578
rapidly	579
participation	580
allow	581
prices	582
rather	583
funnelled	584
party	585
brokers	586
committed	587
providing	588
depth	589
tight	590
committment	591
driver	592
growth	593
rollout	594
nov	595
transparencythe	596
existence	597
firmness	598
bids	599
offers	600
lessened	601
dependance	602
sometimes	603
unreliable	604
broker	605
served	606
competitors	607
source	608
vehicle	609
service	610
provides	611
free	612
real	613
worlds	614
competition	615
regard	616
aspect	617
helpful	618
smaller	619
primarily	620
operations	621
flowas	622
maker	623
derive	624
tangible	625
collecting	626
transactions	627
results	628
direct	629
bottom	630
benefit	631
enron's	632
share	633
tranactions	634
increase	635
overtime	636
become	637
easiest	638
most	639
reliable	640
transact	641
either	642
blazer	643
purse	644
sent	645
spoke	646
consistent	647
determining	648
tranaction	649
ng	650
discount	651
present	652
consistency	653
parity	654
calendar	655
months	656
changing	657
position	658
curve	659
result	660
having	661
dated	662
cases	663
eliminate	664
opinion	665
matter	666
