Word	Label
the	1
to	2
lt	3
and	4
enron	5
	6
a	7
of	8
i	9
in	10
that	11
com	12
you	13
for	14
is	15
on	16
20	17
it	18
be	19
we	20
jeff	21
with	22
have	23
this	24
ect	25
are	26
from	27
will	28
at	29
if	30
dasovich	31
me	32
as	33
subject	34
hou	35
carol	36
not	37
would	38
by	39
cc	40
but	41
e	42
or	43
can	44
20001	45
na	46
your	47
was	48
thanks	49
x	50
st	51
re	52
know	53
power	54
about	55
do	56
best	57
up	58
please	59
get	60
am	61
has	62
my	63
they	64
2000	65
amp	66
california	67
what	68
said	69
out	70
our	71
any	72
an	73
1	74
all	75
he	76
pm	77
so	78
energy	79
call	80
state	81
mail	82
there	83
10	84
sent	85
ees	86
need	87
just	88
let	89
2	90
some	91
could	92
like	93
time	94
eees	95
us	96
one	97
clair	98
which	99
more	100
i'm	101
think	102
com'	103
fax	104
should	105
been	106
01	107
want	108
111	109
phone	110
gas	111
susan	112
when	113
also	114
713	115
may	116
message	117
000	118
going	119
s	120
12	121
no	122
3	123
corp	124
new	125
them	126
09	127
their	128
d	129
very	130
see	131
how	132
other	133
don't	134
j	135
853	136
meeting	137
had	138
week	139
back	140
work	141
who	142
make	143
market	144
berkeley	145
last	146
were	147
davis	148
price	149
his	150
its	151
much	152
5	153
646	154
good	155
electricity	156
than	157
it's	158
go	159
3989	160
edu	161
next	162
now	163
day	164
05	165
4	166
33393	167
i'll	168
bill	169
ca	170
original	171
30	172
into	173
sellers	174
mark	175
here	176
these	177
03	178
claireb	179
utilities	180
04	181
james	182
take	183
scott	184
06	185
bass	186
enronxgate	187
only	188
group	189
prices	190
did	191
02	192
haas	193
help	194
today	195
richard	196
07	197
eric	198
well	199
monday	200
information	201
two	202
paul	203
net	204
she	205
over	206
forward	207
content	208
credit	209
san	210
customers	211
pg	212
before	213
deal	214
after	215
tomorrow	216
jdasovic	217
utility	218
send	219
questions	220
john	221
nancy	222
year	223
sure	224
steffes	225
him	226
got	227
pmto	228
friday	229
agreement	230
still	231
first	232
cameron	233
email	234
because	235
c	236
rate	237
give	238
attached	239
then	240
commission	241
company	242
amto	243
mike	244
her	245
plan	246
9	247
mara	248
since	249
office	250
great	251
too	252
6	253
mailto	254
draft	255
edison	256
version	257
language	258
w	259
comments	260
look	261
3892713	262
15	263
discuss	264
under	265
talk	266
8	267
issues	268
folks	269
date	270
public	271
steve	272
08	273
off	274
business	275
those	276
hope	277
long	278
might	279
contracts	280
tuesday	281
number	282
ferc	283
karen	284
use	285
kaufman	286
7	287
order	288
m	289
through	290
david	291
l	292
does	293
million	294
made	295
transfer	296
again	297
way	298
try	299
list	300
getting	301
right	302
where	303
shapiro	304
thursday	305
issue	306
based	307
type	308
letter	309
governor	310
notes	311
come	312
0	313
kim	314
place	315
conference	316
both	317
billion	318
direct	319
soon	320
people	321
i've	322
put	323
being	324
around	325
pay	326
31	327
anything	328
term	329
wednesday	330
file	331
14	332
things	333
development	334
access	335
end	336
puc	337
between	338
done	339
fyi	340
thank	341
same	342
phillip	343
mary	344
set	345
really	346
415	347
such	348
keep	349
michael	350
cost	351
doc	352
working	353
most	354
contact	355
costs	356
harry	357
joe	358
part	359
denne	360
13	361
find	362
case	363
say	364
together	365
16	366
rates	367
bcc	368
iso	369
gov	370
jason	371
23	372
down	373
mccubbin	374
until	375
sandra	376
doing	377
can't	378
robert	379
something	380
possible	381
b	382
available	383
p	384
proposal	385
night	386
meet	387
asked	388
text	389
companies	390
review	391
however	392
while	393
sorry	394
state's	395
perfect	396
aol	397
crisis	398
point	399
change	400
francisco	401
many	402
california's	403
big	404
prentice	405
generators	406
info	407
encoding	408
trying	409
plain	410
folder	411
following	412
jim	413
little	414
that's	415
yesterday	416
demand	417
whether	418
financial	419
provide	420
houston	421
form	422
having	423
dg	424
origin	425
days	426
system	427
regarding	428
another	429
mime	430
even	431
charset	432
wanted	433
filename	434
'	435
during	436
received	437
per	438
problem	439
morning	440
each	441
already	442
nsf	443
folders	444
master	445
service	446
et	447
stock	448
thought	449
communications	450
cpuc	451
19	452
month	453
years	454
buy	455
supply	456
we're	457
copy	458
few	459
kingerski	460
someone	461
ward	462
ken	463
18	464
needs	465
dwr	466
t	467
report	468
7bit	469
http	470
law	471
28	472
etc	473
schedule	474
far	475
able	476
pdx	477
better	478
process	479
ectcc	480
check	481
note	482
contract	483
isda	484
money	485
yet	486
26	487
high	488
why	489
legal	490
address	491
hotmail	492
21	493
hearing	494
june	495
'jeff	496
looks	497
chris	498
650	499
guys	500
name	501
sce	502
24	503
psellers	504
leslie	505
leave	506
ascii	507
there's	508
july	509
though	510
27	511
didn't	512
you're	513
org	514
weekend	515
april	516
sfo	517
summer	518
else	519
deals	520
looking	521
seems	522
guaranty	523
must	524
hour	525
left	526
25	527
include	528
electric	529
thing	530
support	531
home	532
told	533
smith	534
anyone	535
weeks	536
percent	537
17	538
below	539
changes	540
sue	541
short	542
calpine	543
38889713	544
given	545
joseph	546
plants	547
president	548
free	549
used	550
g	551
either	552
proposed	553
later	554
customer	555
further	556
continue	557
likely	558
believe	559
including	560
months	561
sacramento	562
staff	563
march	564
jones	565
decision	566
open	567
everyone	568
trading	569
response	570
yes	571
section	572
additional	573
less	574
idea	575
current	576
amount	577
news	578
assembly	579
i'd	580
we'll	581
party	582
feel	583
offer	584
federal	585
williams	586
called	587
three	588
222	589
consumers	590
fw	591
says	592
works	593
suzanne	594
purchase	595
bankruptcy	596
love	597
ok	598
final	599
due	600
doesn't	601
increase	602
without	603
cash	604
chance	605
agree	606
governor's	607
paid	608
generation	609
50	610
tell	611
press	612
29	613
probably	614
natural	615
own	616
times	617
h	618
darron	619
start	620
team	621
request	622
dan	623
west	624
alan	625
giron	626
numbers	627
agreed	628
o	629
risk	630
pretty	631
tim	632
capacity	633
hear	634
stacy	635
above	636
understand	637
plant	638
person	639
kean	640
wants	641
sdg	642
sara	643
cap	644
enough	645
heard	646
interested	647
buying	648
along	649
won't	650
large	651
coming	652
discussed	653
administration	654
house	655
tax	656
june20001	657
project	658
gmssr	659
happy	660
firm	661
points	662
r	663
line	664
signed	665
f	666
el	667
wholesale	668
show	669
event	670
several	671
pereira	672
question	673
hi	674
least	675
skean	676
core	677
run	678
services	679
steven	680
solution	681
1000	682
position	683
chronicle	684
committee	685
southern	686
respond	687
early	688
exchange	689
sunday	690
dinner	691
city	692
lot	693
officials	694
fine	695
lunch	696
thoughts	697
allen	698
senate	699
transmission	700
interest	701
sempra	702
sf	703
second	704
maybe	705
future	706
