Word	Label
the	1
i	2
to	3
for	4
and	5
is	6
this	7
of	8
you	9
are	10
a	11
have	12
if	13
mark	14
on	15
as	16
turbine	17
may	18
data	19
in	20
with	21
not	22
20002	23
me	24
com	25
be	26
know	27
out	28
was	29
we	30
can	31
will	32
2000	33
by	34
tom	35
let	36
faults	37
or	38
check	39
ww	40
gorelieberman	41
were	42
has	43
graphs	44
site	45
your	46
10	47
do	48
all	49
from	50
energy	51
enron	52
about	53
here	54
at	55
only	56
sites	57
report	58
questions	59
there	60
please	61
that	62
software	63
what	64
going	65
it	66
request	67
need	68
attached	69
also	70
lost	71
these	72
records	73
ge	74
minute	75
been	76
turbines	77
before	78
recovery	79
additional	80
work	81
used	82
per	83
message	84
when	85
but	86
total	87
one	88
where	89
5	90
use	91
version	92
tex	93
information	94
so	95
install	96
machine	97
graph	98
mean	99
my	100
those	101
times	102
jeff	103
due	104
up	105
some	106
time	107
production	108
30	109
3	110
them	111
file	112
guy	113
big	114
no	115
password	116
thanks	117
fault	118
june	119
index	120
boxplots	121
had	122
number	123
jan	124
would	125
they	126
drop	127
ewc	128
subject	129
continue	130
users	131
security	132
expedition	133
go	134
mar	135
spreadsheets	136
created	137
apr	138
possibly	139
does	140
better	141
id	142
0	143
i'll	144
home	145
6	146
mail	147
just	148
second	149
fed	150
ex	151
leave	152
it's	153
http	154
methods	155
types	156
paretos	157
pitch	158
overspeed	159
line	160
set	161
today	162
joe	163
pareto	164
curtailed	165
then	166
established	167
other	168
messages	169
between	170
uncurtailed	171
recorded	172
still	173
see	174
more	175
like	176
earlier	177
months	178
pdf	179
both	180
texas	181
high	182
numbers	183
am	184
which	185
completed	186
comments	187
transfer	188
kwh	189
values	190
same	191
sample	192
removed	193
gearbox	194
temp	195
than	196
provide	197
many	198
occured	199
over	200
1000	201
105	202
1st	203
utc	204
current	205
he	206
expecting	207
talking	208
1	209
don't	210
03	211
pmto	212
v	213
run	214
through	215
defend	216
our	217
right	218
reports	219
hope	220
ok	221
probably	222
couple	223
miktex	224
windows	225
program	226
using	227
start	228
outlook	229
benefitscc	230
download	231
manual	232
guide	233
geps	234
allowed	235
notes	236
network	237
send	238
an	239
d	240
desert	241
sky	242
yet	243
poor	244
fenner	245
klondike	246
actual	247
democrat	248
boys	249
thought	250
gym	251
recalculated	252
amp	253
wend	254
down	255
slightly	256
extra	257
gone	258
filling	259
holes	260
appear	261
sorted	262
totaled	263
bus	264
extras	265
bottom	266
pop	267
yvette's	268
boyfriend	269
around	270
ish	271
called	272
andm	273
got	274
voice	275
we're	276
rob's	277
house	278
4	279
pm	280
stage	281
duration	282
easy	283
7	284
specifically	285
requested	286
want	287
pull	288
acrobat	289
how	290
morgage	291
company	292
took	293
funds	294
envelope	295
office	296
already	297
delivered	298
gasfundy	299
corp	300
gas	301
framework	302
default	303
asp	304
hey	305
w	306
prepared	307
grpahs	308
examples	309
including	310
clarification	311
first	312
women	313
rob	314
shared	315
room	316
third	317
went	318
sleep	319
9	320
slight	321
buzz	322
stephanie	323
eol	324
help	325
quenet	326
nemila	327
curtail2000206	328
db	329
question	330
sequence	331
events	332
840006029	333
19th	334
10843	335
108555	336
until	337
11134	338
anything	339
assume	340
curtailment	341
example	342
did	343
become	344
maybe	345
mis	346
interpreted	347
again	348
wait	349
continuing	350
counts	351
may20002paretos	352
readability	353
top	354
each	355
displayed	356
very	357
wind	358
deviation	359
attaching	360
different	361
may20002mean	362
shows	363
highest	364
show	365
outliers	366
desired	367
upload	368
always	369
files	370
desertskycurtail	371
dirtectory	372
sums	373
columns	374
provided	375
seem	376
day	377
woman	378
call	379
output	380
ambient	381
less	382
needed	383
1640	384
1740	385
temperatures	386
3666	387
format	388
acceptable	389
generate	390
basis	391
drops	392
however	393
entire	394
amount	395
month	396
though	397
expected	398
individual	399
impact	400
average	401
having	402
lowers	403
kurt	404
anderson07	405
51	406
duff	407
walker	408
fisher	409
enroncc	410
mill	411
virtual	412
