Word	Label
enron	1
	2
ect	3
hou	4
to	5
the	6
you	7
corp	8
for	9
ots	10
and	11
i	12
na	13
a	14
have	15
this	16
20	17
on	18
out	19
that	20
if	21
in	22
do	23
2000	24
is	25
your	26
yes	27
no	28
check	29
com	30
migration	31
01	32
john	33
from	34
with	35
will	36
ww	37
gorelieberman	38
20001	39
w	40
hodge	41
it	42
be	43
know	44
ticket	45
at	46
has	47
please	48
access	49
are	50
an	51
outlook	52
scott	53
m	54
subject	55
notes	56
when	57
what	58
calendar	59
who	60
we	61
000	62
sitara	63
colonial	64
but	65
they	66
point	67
my	68
need	69
gas	70
me	71
survey	72
eric	73
mark	74
brad	75
f	76
enr	77
09	78
email	79
put	80
of	81
anyone	82
any	83
3	84
enroncc	85
line	86
can	87
id	88
thanks	89
cpr	90
d	91
big	92
guy	93
team	94
05	95
26	96
pm	97
ed	98
p	99
b	100
reese	101
n	102
mckay	103
e	104
s	105
david	106
frank	107
phil	108
young	109
t	110
information	111
5	112
user	113
date	114
click	115
thank	116
office	117
type	118
none	119
permission	120
responsible	121
updating	122
address	123
book	124
shared	125
list	126
our	127
7	128
so	129
mm	130
ddd	131
yyy	132
12	133
cindy	134
were	135
into	136
one	137
was	138
volumes	139
north	140
outstanding	141
or	142
attached	143
very	144
still	145
get	146
afternoon	147
could	148
week	149
been	150
let	151
amto	152
site	153
economics	154
overview	155
summary	156
would	157
leidy	158
them	159
stephanie	160
as	161
per	162
eol	163
help	164
set	165
up	166
password	167
today	168
joe	169
quenet	170
reports	171
print	172
manager	173
own	174
cqg	175
http	176
gasfundy	177
framework	178
default	179
asp	180
yo	181
where	182
woman	183
call	184
why	185
jean	186
mrha	187
alternate	188
14	189
09v	190
charles	191
weldon	192
mcmichael	193
boyt	194
cor	195
moon	196
geraldine	197
irvine	198
jin	199
guo	200
louis	201
dicarlo	202
maria	203
garza	204
sandy	205
olitsky	206
santiago	207
garcia	208
enro	209
steven	210
curlee	211
alexandra	212
villarreal	213
rea	214
ring	215
chris	216
germany	217
sc	218
ott	219
hendrickson	220
thode	221
jennifer	222
walker	223
judy	224
townsend	225
kathie	226
grabstald	227
kim	228
berly	229
bates	230
koenig	231
peter	232
keavey	233
ct	234
rebecca	235
ford	236
sandra	237
brawner	238
goode	239
ll	240
neal	241
sean	242
boyle	243
usan	244
pereira	245
victoria	246
versen	247
vladi	248
pimenov	249
nron	250
craig	251
taylor	252
jones	253
v	254
ickers	255
gil	256
muhl	257
maureen	258
smith	259
nelson	260
ferries	261
demoes	262
robin	263
barbe	264
ruth	265
concannon	266
tam	267
mi	268
depaolis	269
daniel	270
lisk	271
hillary	272
mack	273
jan	274
sutherland	275
jason	276
wolfe	277
sh	278
annon	279
groenewold	280
enronxgate	281
shelly	282
mendel	283
stacey	284
j	285
rewer	286
suzanne	287
christiansen	288
ted	289
evans	290
dina	291
snow	292
kay	293
lance	294
schuler	295
legal	296
vineet	297
arora	298
beth	299
ryan	300
bill	301
ber	302
keland	303
terlip	304
doug	305
leach	306
ec	307
marc	308
de	309
la	310
roche	311
randal	312
maffett	313
tushar	314
dhr	315
uv	316
yolanda	317
cordova	318
gilbert	319
amy	320
villasenor	321
ot	322
debra	323
jeff	324
arnold	325
jo	326
hn	327
fgt	328
josh	329
mayes	330
larry	331
fenstad	332
adleman	333
mary	334
ann	335
johnson	336
ary	337
lynne	338
dix	339
mike	340
thomas	341
morris	342
brassfie	343
ld	344
rinetia	345
turner	346
robert	347
geheb	348
ruthann	349
frausto	350
tyrone	351
brown	352
cc	353
092	354
17	355
current	356
ensure	357
experience	358
successful	359
necessary	360
gather	361
individual	362
prior	363
o	364
take	365
few	366
minutes	367
completely	368
fill	369
followin	370
g	371
double	372
document	373
edit	374
mode	375
finis	376
h	377
simply	378
'reply	379
history'	380
button	381
then	382
hit	383
'send'	384
su	385
rvey	386
automatically	387
sent	388
mailbox	389
full	390
name	391
login	392
jhodge2	393
extension	394
37276	395
location	396
eb32223c	397
computer	398
desktop	399
laptop	400
both	401
pda	402
ipaq	403
palm	404
pilo	405
jornada	406
anyone's	407
does	408
else's	409
else	410
which	411
distribution	412
groups	413
messaging	414
maintains	415
ass	416
mailings	417
here	418
all	419
databases	420
applications	421
currently	422
use	423
efforts	424
plan	425
exact	426
time	427
also	428
normal	429
work	430
hours	431
near	432
future	433
vacation	434
leave	435
etc	436
unknown	437
according	438
dick's	439
deal	440
recalled	441
28	442
31	443
8	444
222	445
24	446
talking	447
appears	448
least	449
two	450
tickets	451
sale	452
another	453
us	454
buying	455
back	456
658124	457
covering	458
buyback	459
march	460
looking	461
there	462
inconsistency	463
between	464
unify	465
bridged	466
had	467
chance	468
america	469
dozier	470
04	471
46	472
dick	473
jenkins	474
cynthia	475
franklin	476
ardick	477
word	478
tetc	479
items	480
orginally	481
thought	482
recallable	483
dozier5	484
7213	485
old	486
dated	487
marketlink	488
presentation	489
monday	490
meet	491
other	492
next	493
job	494
change	495
invigorating	496
enjoyable	497
really	498
appreciate	499
opportunity	500
available	501
vickers04	502
13	503
111	504
06	505
reviewjohn	506
review	507
completed	508
form	509
convenience	510
together	511
bed	512
thanksfrank	513
interconnect	514
data	515
sheet	516
athens	517
raimund	518
may	519
want	520
update	521
specific	522
criteria	523
identified	524
since	525
changed	526
power	527
plant	528
talk	529
about	530
basis	531
past	532
valued	533
cng	534
summer	535
tetco	536
m3	537
transco	538
nny	539
z6	540
winter	541
probably	542
refined	543
by	544
now	545
daily	546
suggested	547
come	548
index	549
starting	550
november	551
however	552
don't	553
liquidity	554
bring	555
demoes05	556
03	557
marketlinkjohn	558
met	559
con	560
last	561
asked	562
market	563
link	564
going	565
good	566
liquid	567
buy	568
long	569
term	570
supply	571
told	572
didn't	573
think	574
little	575
research	576
worked	577
pretty	578
hard	579
look	580
including	581
some	582
rough	583
hey	584
