Word	Label
the	1
to	2
i	3
lt	4
and	5
you	6
a	7
of	8
is	9
enron	10
for	11
that	12
on	13
this	14
in	15
we	16
ect	17
have	18
with	19
be	20
are	21
will	22
com	23
carol	24
hou	25
it	26
from	27
me	28
2000	29
if	30
st	31
at	32
as	33
please	34
chris	35
germany	36
not	37
subject	38
my	39
1	40
deal	41
your	42
	43
or	44
would	45
gas	46
know	47
what	48
do	49
can	50
000	51
need	52
2	53
our	54
713	55
amp	56
clair	57
thanks	58
any	59
about	60
fax	61
all	62
phone	63
re	64
up	65
out	66
853	67
was	68
ces	69
should	70
they	71
get	72
am	73
an	74
just	75
3	76
may	77
by	78
new	79
so	80
but	81
i'm	82
like	83
3989	84
646	85
has	86
33393	87
let	88
ectcc	89
e	90
there	91
claireb	92
think	93
call	94
these	95
he	96
day	97
pmto	98
4	99
some	100
time	101
contract	102
10	103
see	104
when	105
phillip	106
make	107
sent	108
one	109
corp	110
cc	111
going	112
them	113
capacity	114
don't	115
how	116
which	117
here	118
back	119
x	120
could	121
agreement	122
111	123
5	124
12	125
want	126
also	127
been	128
amto	129
send	130
work	131
mail	132
3892713	133
week	134
production	135
us	136
no	137
questions	138
20001	139
credit	140
scott	141
did	142
deals	143
take	144
6	145
energy	146
ena	147
demand	148
s	149
date	150
still	151
30	152
john	153
number	154
had	155
now	156
storage	157
look	158
more	159
go	160
last	161
compression	162
language	163
message	164
were	165
she	166
only	167
other	168
cng	169
dominion	170
price	171
power	172
group	173
month	174
volume	175
him	176
use	177
after	178
into	179
master	180
their	181
company	182
following	183
stacy	184
01	185
email	186
comments	187
through	188
08	189
sure	190
who	191
good	192
09	193
attached	194
31	195
today	196
where	197
draft	198
its	199
june	200
next	201
23	202
pm	203
forward	204
original	205
transport	206
05	207
04	208
mark	209
buy	210
system	211
his	212
does	213
mary	214
set	215
then	216
07	217
tomorrow	218
give	219
isda	220
fuel	221
name	222
cgas	223
over	224
l	225
gathering	226
her	227
pool	228
under	229
process	230
well	231
9	232
veselack	233
06	234
02	235
letter	236
guaranty	237
before	238
susan	239
03	240
sale	241
same	242
ees	243
dth	244
help	245
form	246
38889713	247
doing	248
type	249
contracts	250
m	251
20	252
office	253
0	254
information	255
jeff	256
since	257
columbiaenergygroup	258
et	259
talk	260
change	261
said	262
7	263
file	264
find	265
15	266
both	267
changes	268
point	269
schedule	270
effective	271
than	272
done	273
received	274
per	275
sitara	276
review	277
joni	278
friday	279
goodell	280
hope	281
issues	282
way	283
monday	284
transfer	285
much	286
very	287
8	288
because	289
numbers	290
address	291
below	292
working	293
july	294
try	295
13	296
made	297
na	298
those	299
until	300
section	301
h	302
request	303
meeting	304
april	305
termination	306
looking	307
put	308
first	309
k	310
volumes	311
available	312
regulated	313
charge	314
amount	315
p	316
contact	317
i'll	318
probably	319
market	320
service	321
14	322
doc	323
com'	324
services	325
off	326
thank	327
business	328
event	329
part	330
enronxgate	331
getting	332
needs	333
believe	334
right	335
home	336
leave	337
daily	338
end	339
desk	340
discuss	341
too	342
party	343
around	344
purchase	345
copy	346
requests	347
rights	348
days	349
list	350
companies	351
mailto	352
two	353
looks	354
able	355
soon	356
5000	357
joe	358
didn't	359
hey	360
incremental	361
tuesday	362
invoice	363
changed	364
come	365
why	366
really	367
someone	368
morning	369
pay	370
include	371
person	372
transco	373
allen	374
version	375
eees	376
add	377
national	378
between	379
either	380
check	381
such	382
few	383
place	384
north	385
got	386
down	387
opportunity	388
california	389
guys	390
27	391
sold	392
keep	393
confirm	394
little	395
pg	396
utility	397
jan	398
anything	399
term	400
ok	401
222	402
respect	403
receive	404
might	405
default	406
trades	407
additional	408
east	409
afternoon	410
21	411
lunch	412
yes	413
agreements	414
works	415
thought	416
brenda	417
16	418
year	419
enclosed	420
okay	421
access	422
west	423
counterparty	424
each	425
transmission	426
it's	427
24	428
continue	429
yet	430
dickson	431
content	432
anyone	433
worksheet	434
physical	435
cost	436
support	437
david	438
legal	439
notes	440
currently	441
collateral	442
rate	443
firm	444
points	445
being	446
sell	447
tco	448
march	449
29	450
again	451
amendment	452
wanted	453
b	454
g	455
left	456
customers	457
marketing	458
people	459
pacific	460
invoices	461
value	462
'chris	463
once	464
25	465
charges	466
bill	467
regarding	468
comsubject	469
steve	470
non	471
mike	472
trading	473
close	474
zone	475
tenn	476
weekend	477
neg	478
pge	479
can't	480
using	481
dan	482
18	483
asked	484
great	485
balance	486
delivery	487
long	488
plan	489
fyi	490
things	491
application	492
best	493
feel	494
trying	495
paid	496
approved	497
open	498
added	499
something	500
having	501
producers	502
26	503
transaction	504
entered	505
total	506
yesterday	507
pricing	508
however	509
else	510
another	511
sorry	512
man	513
supply	514
fine	515
17	516
tell	517
dick	518
50	519
told	520
sara	521
assignment	522
pipeline	523
care	524
start	525
suzanne	526
even	527
written	528
citygate	529
show	530
everything	531
understand	532
issue	533
possible	534
r	535
months	536
1000	537
based	538
stuff	539
night	540
spoke	541
keith	542
applications	543
say	544
prices	545
must	546
limited	547
28	548
1st	549
sheet	550
september	551
note	552
together	553
later	554
different	555
behind	556
cash	557
clinton	558
better	559
most	560
august	561
several	562
19	563
correct	564
info	565
wade	566
thompson	567
'carol	568
discussed	569
thursday	570
project	571
america	572
retail	573
above	574
producer	575
products	576
local	577
team	578
robert	579
second	580
financial	581
304	582
provide	583
weeks	584
according	585
joann	586
enroncc	587
sending	588
lynn	589
hear	590
basis	591
free	592
run	593
meter	594
meet	595
love	596
problem	597
agreed	598
voice	599
comcc	600
wednesday	601
trco	602
confirmation	603
morgan	604
w	605
current	606
singer	607
columbia	608
how's	609
jim	610
created	611
taking	612
larry	613
threshold	614
lc	615
victor	616
already	617
development	618
heard	619
beginning	620
showing	621
old	622
ready	623
maria	624
doug	625
rates	626
although	627
623	628
response	629
chat	630
chance	631
used	632
consent	633
tax	634
manager	635
inc	636
o	637
house	638
payment	639
c	640
cannot	641
period	642
peoples	643
revised	644
index	645
included	646
during	647
theresa	648
won't	649
bought	650
i've	651
gloria	652
final	653
referenced	654
electric	655
angie	656
latest	657
move	658
activity	659
agree	660
while	661
swap	662
phillips	663
lucy	664
ii	665
never	666
that's	667
plus	668
order	669
guess	670
unify	671
existing	672
lin	673
january	674
thinking	675
room	676
question	677
ed	678
porter	679
notice	680
definition	681
proposed	682
hard	683
years	684
big	685
hopefully	686
bring	687
annex	688
counterparties	689
wants	690
bid	691
everyone	692
thoughts	693
paul	694
says	695
tetco	696
mega	697
high	698
bcc	699
d	700
csa	701
requested	702
commodity	703
customer	704
