Word	Label
	1
the	2
to	3
i	4
20	5
of	6
on	7
you	8
for	9
gas	10
this	11
as	12
out	13
09	14
south	15
com	16
a	17
is	18
2000	19
are	20
will	21
packers	22
we	23
check	24
ww	25
gorelieberman	26
with	27
ect	28
at	29
my	30
in	31
enron	32
please	33
it	34
be	35
going	36
northwest	37
pipeline	38
green	39
river	40
appears	41
web	42
lt	43
point	44
by	45
me	46
if	47
6	48
all	49
and	50
thanks	51
work	52
new	53
locations	54
hou	55
steve	56
8	57
7	58
1	59
was	60
told	61
there	62
do	63
up	64
week	65
know	66
i'll	67
0packers	68
melba	69
am	70
corp	71
review	72
location	73
09misc	74
abbreviation	75
nw	76
no	77
gr	78
sort	79
code	80
0945550	81
description	82
09the	83
transaction	84
receipt	85
h	86
seller	87
01	88
s	89
choice	90
req'd	91
09steve	92
so	93
thank	94
now	95
also	96
call	97
but	98
not	99
plan	100
that	101
home	102
guy	103
rsvp	104
christmas	105
party	106
wife	107
ann	108
ena	109
trading	110
bears	111
13	112
what	113
get	114
line	115
can	116
set	117
password	118
ok	119
your	120
brandon	121
head	122
control	123
something	124
been	125
should	126
deal	127
have	128
changed	129
sitara	130
attend	131
much	132
dexter	133
email	134
were	135
35	136
over	137
raiders	138
where	139
30	140
how	141
second	142
fed	143
ex	144
leave	145
it's	146
went	147
vikings	148
sat	149
changes	150
follow	151
below	152
from	153
lozano	154
02	155
14	156
20001	157
111	158
54	159
steven	160
p	161
cc	162
chris	163
walker	164
robert	165
b	166
cass	167
kevin	168
meredith	169
subject	170
attached	171
language	172
58986	173
north	174
nort	175
kemmer	176
sout	177
invite	178
attending	179
12	180
steelers	181
soon	182
about	183
playoffs	184
may	185
town	186
monday	187
20th	188
trip	189
play	190
night	191
281	192
897	193
9252	194
713	195
853	196
6798	197
hey	198
big	199
w	200
http	201
gasfundy	202
framework	203
default	204
asp	205
result	206
cy	207
fair	208
footballs	209
oldest	210
rivalry	211
top	212
calling	213
star	214
selections	215
tonight	216
i'm	217
sure	218
tell	219
them	220
far	221
practices	222
concerned	223
still	224
plus	225
alternate	226
stephanie	227
per	228
eol	229
help	230
id	231
today	232
joe	233
quenet	234
don't	235
worry	236
blood	237
pressure	238
probably	239
right	240
talked	241
human	242
resource	243
rep	244
they	245
find	246
could	247
bring	248
patty	249
sullivan	250
has	251
hopefully	252
next	253
one	254
agree	255
bc	256
4704448	257
very	258
steis	259
ngi	260
guest	261
asap	262
publication	263
extremely	264
important	265
sets	266
california	267
index	268
dexter's	269
address	270
intelligencepress	271
mean	272
boys	273
thought	274
gym	275
those	276
times	277
improve	278
their	279
record	280
5	281
win	282
woman	283
pop	284
yvette's	285
boyfriend	286
around	287
ish	288
called	289
andm	290
only	291
got	292
voice	293
mail	294
we're	295
rob's	296
house	297
4	298
pm	299
when	300
just	301
looked	302
into	303
interns	304
myself	305
morgage	306
company	307
took	308
additional	309
funds	310
envelope	311
office	312
already	313
delivered	314
first	315
women	316
rob	317
shared	318
room	319
third	320
sleep	321
9	322
slight	323
buzz	324
here	325
go	326
democrat	327
case	328
some	329
e	330
mails	331
floating	332
through	333
cyber	334
space	335
recap	336
cardinals	337
6bucs	338
37	339
patriots	340
6packers	341
let	342
receive	343
price	344
beat	345
21	346
oct	347
2	348
courthouse	349
stadium	350
actually	351
broke	352
sweat	353
down	354
payment	355
you'	356
looking	357
wisconsin	358
before	359
early	360
m	361
ark	362
000	363
evening	364
year	365
fact	366
daily	367
05	368
yes	369
dear	370
