Word	Label
	1
the	2
to	3
of	4
and	5
in	6
20	7
enron	8
be	9
com	10
this	11
project	12
will	13
i	14
a	15
with	16
for	17
as	18
richard	19
on	20
shall	21
power	22
by	23
shapiro	24
an	25
you	26
lt	27
development	28
is	29
that	30
out	31
me	32
milestone	33
haywood	34
report	35
01	36
from	37
where	38
regulatory	39
ww	40
gorelieberman	41
2000	42
or	43
mark	44
upon	45
tva	46
have	47
europe	48
michael	49
x	50
paul	51
it	52
we	53
check	54
your	55
any	56
20001	57
cc	58
subject	59
amp	60
30	61
agreement	62
should	63
fee	64
each	65
interconnection	66
approved	67
eric	68
shaw	69
lewis	70
hirl	71
brown	72
affairs	73
also	74
if	75
please	76
new	77
joseph	78
at	79
know	80
not	81
thanks	82
are	83
read	84
achievement	85
l	86
its	87
deemed	88
network	89
upgrade	90
calvert	91
do	92
want	93
his	94
john	95
12	96
let	97
exhibit	98
cost	99
such	100
priorities	101
value	102
expense	103
r	104
government	105
ect	106
day	107
continue	108
our	109
energy	110
future	111
can	112
all	113
support	114
leadership	115
has	116
05	117
40	118
joe	119
8	120
p	121
attached	122
1	123
na	124
london	125
last	126
her	127
following	128
2	129
payment	130
total	131
respect	132
proposed	133
facility	134
set	135
forth	136
between	137
achieved	138
execution	139
5	140
than	141
construction	142
commercial	143
possible	144
10	145
group	146
09	147
name	148
these	149
issues	150
while	151
office	152
april	153
gas	154
sherriff	155
lon	156
organization	157
rick	158
five	159
s	160
well	161
peter	162
doug	163
team	164
efforts	165
uk	166
markets	167
electricity	168
most	169
ferc	170
jurisdiction	171
transmission	172
under	173
despite	174
lack	175
california	176
e	177
mail	178
other	179
here	180
blandford	181
org	182
pmto	183
rshapiro	184
reception	185
gray	186
congresswoman	187
jane	188
dr	189
sidney	190
democratic	191
democrat	192
m	193
i'm	194
lisa	195
taylor	196
others	197
visit	198
host	199
about	200
being	201
current	202
time	203
would	204
item	205
3	206
175	207
000	208
described	209
letter	210
4	211
b	212
follows	213
c	214
tennessee	215
mw	216
lagoon	217
creek	218
5000kv	219
evidenced	220
said	221
related	222
requirements	223
million	224
fully	225
extent	226
exclusively	227
proceed	228
50	229
commencement	230
could	231
top	232
document	233
either	234
big	235
guy	236
pm	237
one	238
both	239
additional	240
contribute	241
my	242
stays	243
role	244
concur	245
employee	246
680	247
http	248
content	249
bcc	250
sent	251
governtal	252
t	253
draft	254
send	255
spoken	256
business	257
origination	258
styles	259
dawson	260
hennemeyer	261
wood	262
nick	263
o	264
japan	265
now	266
houston	267
lead	268
france	269
governmental	270
critical	271
nation's	272
achieve	273
robust	274
competition	275
wholesale	276
order	277
ensure	278
move	279
effectively	280
produced	281
needed	282
end	283
administration	284
strongly	285
encourage	286
federal	287
commission	288
actively	289
exercise	290
over	291
aspects	292
interstate	293
commerce	294
place	295
uses	296
grid	297
same	298
rates	299
terms	300
conditions	301
must	302
extended	303
congress	304
cover	305
non	306
jurisdictional	307
authorities	308
still	309
who	310
governor	311
davis	312
dga	313
ndn	314
chooses	315
fact	316
imposed	317
incalcuble	318
pain	319
costs	320
remove	321
lists	322
forward	323
thank	324
smtp	325
democrats	326
06	327
27	328
03	329
honoring	330
gov	331
davissenator	332
lieberman	333
harmanalong	334
governors'	335
association	336
networkand	337
congressional	338
delegationinvite	339
attend	340
benefitinggovernor	341
davisof	342
californiahosted	343
harmanwith	344
special	345
guest	346
senator	347
liebermanjuly	348
200016	349
offices	350
harman	351
international11101	352
pennsylvania	353
avenue	354
nw	355
adobe	356
acrobat	357
file	358
contains	359
complete	360
invitation	361
registration	362
form	363
davis0712	364
pdf	365
leaving	366
o'clock	367
don't	368
works	369
yoho	370
02	371
28	372
111	373
25	374
amto	375
enroncc	376
newsomerick	377
am	378
working	379
chris	380
pull	381
together	382
agenda	383
materials	384
newsome's	385
march	386
6th	387
newsome	388
offered	389
you're	390
available	391
heard	392
more	393
viviana	394
before	395
left	396
week	397
apparently	398
concern	399
she	400
was'nt	401
properly	402
guided	403
mentored	404
apparent	405
performance	406
think	407
owe	408
action	409
plan	410
mid	411
year	412
latest	413
decent	414
opportunity	415
redeem	416
herself	417
how	418
assistance	419
go	420
recommended	421
changes	422
like	423
discuss	424
waiver	425
conflicts	426
section	427
page	428
equal	429
project's	430
individual	431
milestones	432
payments	433
abandonment	434
valley	435
authority	436
320	437
expansion	438
county	439
which	440
results	441
allowed	442
interconnect	443
into	444
existing	445
open	446
bus	447
position	448
substation	449
specifications	450
decision	451
eliminate	452
reactive	453
power's	454
system	455
impact	456
study	457
presently	458
estimated	459
eliminated	460
less	461
but	462
greater	463
zero	464
pro	465
rata	466
portion	467
paid	468
city	469
elimination	470
tva's	471
present	472
requirement	473
pay	474
consisting	475
mile	476
line	477
cumberland	478
montgomery	479
occur	480
having	481
determined	482
