Word	Label
enron	1
amp	2
s	3
et	4
to	5
the	6
we	7
	8
i	9
on	10
and	11
is	12
a	13
in	14
be	15
of	16
you	17
enronxgate	18
for	19
will	20
if	21
this	22
are	23
have	24
at	25
from	26
ots	27
that	28
not	29
david	30
it	31
with	32
know	33
20001	34
rick	35
subject	36
station	37
out	38
me	39
darrell	40
team	41
please	42
there	43
lt	44
tw	45
enroncc	46
randy	47
can	48
or	49
ds	50
schoolcraft	51
possible	52
what	53
need	54
rich	55
05	56
johnson	57
jolly	58
let	59
jerry	60
gas	61
plant	62
3	63
check	64
graves	65
roensch	66
smith	67
should	68
was	69
do	70
run	71
max	72
james	73
fgt	74
project	75
8	76
june	77
my	78
think	79
brown	80
thanks	81
pig	82
they	83
when	84
2000	85
down	86
change	87
6	88
earl	89
chanley	90
moore	91
smartpigging	92
us	93
re	94
4	95
amto	96
arnie	97
bailey	98
but	99
point	100
2	101
p	102
get	103
here	104
some	105
09	106
flagstaff	107
schedule	108
work	109
any	110
perry	111
dates	112
7	113
line	114
unit	115
like	116
too	117
by	118
com	119
steve	120
sanmiguel	121
gary	122
1	123
time	124
ken	125
embedded	126
stdolelink	127
into	128
about	129
frazier	130
l	131
craig	132
rice	133
concern	134
000	135
c	136
just	137
ww	138
gorelieberman	139
may	140
young	141
am	142
buchanan	143
unloaders	144
day	145
as	146
pm	147
scheduled	148
ava	149
would	150
had	151
much	152
long	153
how	154
an	155
going	156
up	157
now	158
gallup	159
also	160
n	161
call	162
713	163
see	164
miles	165
hour	166
smart	167
our	168
sure	169
their	170
houston	171
i'm	172
06	173
blair	174
alma	175
condensate	176
all	177
no	178
big	179
m	180
kenneth	181
control	182
inspection	183
other	184
last	185
these	186
looking	187
actively	188
mtg	189
345	190
new	191
24	192
so	193
red	194
been	195
getting	196
garcia	197
lynn	198
has	199
energas	200
were	201
9	202
30	203
don't	204
31	205
ecf	206
matt	207
francis	208
kent	209
beebe	210
jonny	211
hendricks	212
ronnie	213
morse	214
carbajal	215
ralph	216
mireles	217
kingman	218
sta1	219
sta2	220
sta3	221
sta4	222
ben	223
asante	224
stoney	225
maestas	226
1090	227
stations	228
hours	229
outage	230
6th	231
which	232
made	233
something	234
add	235
volumes	236
move	237
thinking	238
dsfrom	239
pigging	240
done	241
able	242
questions	243
he	244
between	245
map	246
powers	247
cedar	248
poi	249
receipt	250
imbalance	251
linda	252
man	253
