Word	Label
the	1
to	2
enron	3
i	4
you	5
and	6
of	7
a	8
is	9
for	10
on	11
	12
that	13
this	14
have	15
in	16
stacy	17
amp	18
with	19
me	20
be	21
s	22
ect	23
are	24
et	25
please	26
will	27
we	28
if	29
it	30
not	31
your	32
x	33
at	34
am	35
from	36
know	37
any	38
20001	39
attached	40
as	41
dickson	42
thanks	43
would	44
e	45
or	46
agreement	47
hou	48
do	49
gas	50
can	51
phillip	52
my	53
what	54
call	55
up	56
let	57
was	58
out	59
lynn	60
by	61
an	62
cc	63
need	64
com	65
subject	66
1	67
000	68
they	69
our	70
changes	71
here	72
all	73
did	74
enronxgate	75
firm	76
sent	77
which	78
these	79
just	80
version	81
questions	82
get	83
about	84
one	85
so	86
should	87
transaction	88
he	89
she	90
master	91
there	92
when	93
time	94
lt	95
like	96
gregg	97
credit	98
2	99
but	100
us	101
gisb	102
going	103
think	104
comments	105
new	106
4	107
them	108
blair	109
were	110
has	111
corp	112
day	113
deal	114
find	115
some	116
energy	117
how	118
per	119
sure	120
review	121
content	122
price	123
shall	124
check	125
mail	126
work	127
see	128
3	129
713	130
use	131
no	132
thank	133
0	134
had	135
want	136
853	137
contract	138
sale	139
2000	140
email	141
more	142
under	143
nui	144
make	145
than	146
back	147
send	148
01	149
pm	150
good	151
may	152
10	153
111	154
week	155
ava	156
june	157
randy	158
06	159
also	160
john	161
their	162
reps	163
mark	164
today	165
agreements	166
i'm	167
two	168
been	169
very	170
message	171
mike	172
04	173
her	174
before	175
office	176
then	177
invoices	178
month	179
purchase	180
give	181
information	182
type	183
don't	184
go	185
terry	186
12	187
jeff	188
does	189
him	190
number	191
5	192
look	193
additional	194
north	195
america	196
between	197
transfer	198
eol	199
original	200
enovate	201
letter	202
west	203
allen	204
re	205
now	206
last	207
well	208
days	209
only	210
deals	211
copy	212
each	213
5705	214
latest	215
bcc	216
folder	217
notes	218
still	219
fine	220
lucy	221
discussed	222
since	223
enroncc	224
guaranty	225
who	226
larry	227
daily	228
socal	229
those	230
document	231
other	232
chris	233
02	234
14	235
desk	236
take	237
year	238
meeting	239
unit	240
prices	241
units	242
20	243
fyi	244
wanted	245
anything	246
could	247
following	248
date	249
says	250
into	251
ena	252
garcia	253
03	254
help	255
05	256
made	257
amto	258
draft	259
doc	260
susan	261
mime	262
text	263
plain	264
charset	265
encoding	266
origin	267
filename	268
talk	269
b	270
coral	271
change	272
tuesday	273
yes	274
during	275
fgt	276
regarding	277
long	278
forward	279
file	280
joe	281
too	282
term	283
his	284
again	285
keep	286
ascii	287
7bit	288
stacey	289
down	290
left	291
nng	292
because	293
debra	294
same	295
open	296
access	297
kowalke	298
30	299
na	300
tomorrow	301
7	302
reviewing	303
kathy	304
system	305
product	306
physical	307
provisions	308
actual	309
getting	310
already	311
monday	312
concerns	313
folders	314
nsf	315
much	316
house	317
provision	318
patti	319
ok	320
sdickso	321
next	322
hope	323
come	324
doing	325
first	326
morning	327
pmto	328
description	329
receive	330
after	331
project	332
market	333
floor	334
click	335
quantity	336
raetta	337
spot	338
form	339
daniel	340
working	341
password	342
having	343
amendment	344
15	345
fw	346
ww	347
p	348
keith	349
basis	350
right	351
j	352
friday	353
went	354
over	355
night	356
home	357
storage	358
steve	359
being	360
end	361
natural	362
line	363
where	364
rick	365
investment	366
o	367
report	368
team	369
due	370
provide	371
6	372
jean	373
yesterday	374
company	375
columbia	376
contracts	377
confirmation	378
gtc	379
note	380
termination	381
financial	382
referenced	383
agree	384
better	385
8	386
inc	387
gorelieberman	388
m	389
even	390
09	391
payment	392
add	393
resources	394
most	395
above	396
section	397
sending	398
told	399
looking	400
sell	401
loan	402
rudwell	403
rent	404
phone	405
while	406
through	407
buyer	408
such	409
delivery	410
needs	411
linda	412
222	413
second	414
russell	415
put	416
discuss	417
leave	418
trading	419
language	420
guarantee	421
outlook	422
legal	423
san	424
understand	425
n	426
numbers	427
follow	428
list	429
hodge	430
asked	431
try	432
special	433
ellen	434
remember	435
terms	436
why	437
place	438
thoughts	439
13	440
fax	441
index	442
http	443
pg	444
requested	445
execution	446
response	447
cyndie	448
conversation	449
big	450
grigsby	451
quoted	452
k	453
small	454
it's	455
50	456
both	457
non	458
tell	459
penman	460
spoke	461
cary	462
versions	463
nov20001	464
april	465
really	466
address	467
oba	468
july	469
way	470
set	471
l	472
several	473
buchanan	474
group	475
further	476
ready	477
imbalances	478
little	479
08	480
across	481
include	482
transactions	483
spreadsheet	484
below	485
checks	486
construction	487
plan	488
another	489
said	490
reports	491
possible	492
power	493
james	494
off	495
6669	496
website	497
marketing	498
migration	499
cash	500
counterparty	501
dsl	502
cycle	503
column	504
juan	505
issues	506
9	507
mean	508
able	509
done	510
respond	511
business	512
general	513
question	514
msdw	515
process	516
issue	517
guy	518
behalf	519
idacorp	520
looks	521
final	522
id	523
allegheny	524
yet	525
jan	526
paul	527
mary	528
wade	529
got	530
attorney	531
can't	532
land	533
couple	534
fill	535
breese	536
glad	537
talked	538
soon	539
janzen	540
26	541
together	542
frank	543
agreed	544
perlingiere	545
c	546
contact	547
things	548
thursday	549
added	550
bodnar	551
myself	552
melba	553
complete	554
meter	555
lynnfrom	556
however	557
didn't	558
sold	559
bid	560
volume	561
meredith	562
diamond	563
schedule	564
21	565
until	566
cal	567
guys	568
t	569
acceptable	570
paid	571
swap	572
found	573
against	574
customer	575
robert	576
user	577
person	578
millions	579
vs	580
investors	581
25	582
berger	583
i'll	584
included	585
uses	586
copies	587
confirmations	588
assignment	589
longer	590
54	591
hansen	592
specific	593
dan	594
1000	595
bidweek	596
www	597
michelle	598
includes	599
return	600
files	601
balfour	602
flanagan	603
signed	604
utility	605
names	606
'sent	607
trying	608
short	609
gotta	610
everyone	611
temp	612
later	613
without	614
anyone	615
brad	616
jim	617
porter	618
sincerely	619
order	620
red	621
harry	622
sounds	623
incorporates	624
available	625
capacity	626
heard	627
chance	628
miss	629
points	630
months	631
concerning	632
info	633
shows	634
incorporated	635
feel	636
seems	637
sara	638
update	639
loop	640
fix	641
1st	642
elledge	643
anderson	644
okay	645
commercial	646
rates	647
around	648
based	649
page	650
cynthia	651
different	652
notice	653
demand	654
sign	655
george	656
lynda	657
few	658
approximately	659
expenses	660
might	661
h	662
reimbursement	663
save	664
pay	665
period	666
low	667
items	668
charge	669
site	670
timely	671
wait	672
calendar	673
roll	674
input	675
adams	676
nancy	677
janet	678
vacation	679
brokers	680
problems	681
equal	682
plant	683
msn	684
training	685
amount	686
utilities	687
confirms	688
creekside	689
risk	690
